*mpd[__mpd__]
estimate_values:
catchability[CSacous].q catchability[WCacous].q catchability[CRsum].q catchability[SAsum].q catchability[SAaut].q observation[CRsumbio].process_error observation[SAsumbio].process_error process[recruit_E].b0 process[recruit_W].b0 process[recruit_E].ycs_values{1975} process[recruit_E].ycs_values{1976} process[recruit_E].ycs_values{1977} process[recruit_E].ycs_values{1978} process[recruit_E].ycs_values{1979} process[recruit_E].ycs_values{1980} process[recruit_E].ycs_values{1981} process[recruit_E].ycs_values{1982} process[recruit_E].ycs_values{1983} process[recruit_E].ycs_values{1984} process[recruit_E].ycs_values{1985} process[recruit_E].ycs_values{1986} process[recruit_E].ycs_values{1987} process[recruit_E].ycs_values{1988} process[recruit_E].ycs_values{1989} process[recruit_E].ycs_values{1990} process[recruit_E].ycs_values{1991} process[recruit_E].ycs_values{1992} process[recruit_E].ycs_values{1993} process[recruit_E].ycs_values{1994} process[recruit_E].ycs_values{1995} process[recruit_E].ycs_values{1996} process[recruit_E].ycs_values{1997} process[recruit_E].ycs_values{1998} process[recruit_E].ycs_values{1999} process[recruit_E].ycs_values{2000} process[recruit_E].ycs_values{2001} process[recruit_E].ycs_values{2002} process[recruit_E].ycs_values{2003} process[recruit_E].ycs_values{2004} process[recruit_E].ycs_values{2005} process[recruit_E].ycs_values{2006} process[recruit_E].ycs_values{2007} process[recruit_E].ycs_values{2008} process[recruit_E].ycs_values{2009} process[recruit_E].ycs_values{2010} process[recruit_E].ycs_values{2011} process[recruit_E].ycs_values{2012} process[recruit_E].ycs_values{2013} process[recruit_E].ycs_values{2014} process[recruit_W].ycs_values{1975} process[recruit_W].ycs_values{1976} process[recruit_W].ycs_values{1977} process[recruit_W].ycs_values{1978} process[recruit_W].ycs_values{1979} process[recruit_W].ycs_values{1980} process[recruit_W].ycs_values{1981} process[recruit_W].ycs_values{1982} process[recruit_W].ycs_values{1983} process[recruit_W].ycs_values{1984} process[recruit_W].ycs_values{1985} process[recruit_W].ycs_values{1986} process[recruit_W].ycs_values{1987} process[recruit_W].ycs_values{1988} process[recruit_W].ycs_values{1989} process[recruit_W].ycs_values{1990} process[recruit_W].ycs_values{1991} process[recruit_W].ycs_values{1992} process[recruit_W].ycs_values{1993} process[recruit_W].ycs_values{1994} process[recruit_W].ycs_values{1995} process[recruit_W].ycs_values{1996} process[recruit_W].ycs_values{1997} process[recruit_W].ycs_values{1998} process[recruit_W].ycs_values{1999} process[recruit_W].ycs_values{2000} process[recruit_W].ycs_values{2001} process[recruit_W].ycs_values{2002} process[recruit_W].ycs_values{2003} process[recruit_W].ycs_values{2004} process[recruit_W].ycs_values{2005} process[recruit_W].ycs_values{2006} process[recruit_W].ycs_values{2007} process[recruit_W].ycs_values{2008} process[recruit_W].ycs_values{2009} process[recruit_W].ycs_values{2010} process[recruit_W].ycs_values{2011} process[recruit_W].ycs_values{2012} process[recruit_W].ycs_values{2013} process[recruit_W].ycs_values{2014} selectivity[M_male].x0 selectivity[M_male].y0 selectivity[M_male].y1 selectivity[M_male].y2 selectivity[M_female].x0 selectivity[M_female].y0 selectivity[M_female].y1 selectivity[M_female].y2 selectivity[sel_Whome].v{1} selectivity[sel_Whome].v{2} selectivity[sel_Whome].v{3} selectivity[sel_Whome].v{4} selectivity[sel_Whome].v{5} selectivity[sel_Whome].v{6} selectivity[sel_Whome].v{7} selectivity[sel_Espmg_Male].v{1} selectivity[sel_Espmg_Male].v{2} selectivity[sel_Espmg_Male].v{3} selectivity[sel_Espmg_Male].v{4} selectivity[sel_Espmg_Male].v{5} selectivity[sel_Espmg_Male].v{6} selectivity[sel_Espmg_Male].v{7} selectivity[sel_Espmg_Male].v{8} selectivity[sel_Wspmg_Male].v{1} selectivity[sel_Wspmg_Male].v{2} selectivity[sel_Wspmg_Male].v{3} selectivity[sel_Wspmg_Male].v{4} selectivity[sel_Wspmg_Male].v{5} selectivity[sel_Wspmg_Male].v{6} selectivity[sel_Wspmg_Male].v{7} selectivity[sel_Wspmg_Male].v{8} selectivity[sel_Espmg_Female].v{1} selectivity[sel_Espmg_Female].v{2} selectivity[sel_Espmg_Female].v{3} selectivity[sel_Espmg_Female].v{4} selectivity[sel_Espmg_Female].v{5} selectivity[sel_Espmg_Female].v{6} selectivity[sel_Espmg_Female].v{7} selectivity[sel_Espmg_Female].v{8} selectivity[sel_Wspmg_Female].v{1} selectivity[sel_Wspmg_Female].v{2} selectivity[sel_Wspmg_Female].v{3} selectivity[sel_Wspmg_Female].v{4} selectivity[sel_Wspmg_Female].v{5} selectivity[sel_Wspmg_Female].v{6} selectivity[sel_Wspmg_Female].v{7} selectivity[sel_Wspmg_Female].v{8} selectivity[Enspsl].mu selectivity[Enspsl].sigma_l selectivity[Enspsl].sigma_r selectivity[Wnspsl].mu selectivity[Wnspsl].sigma_l selectivity[Wnspsl].sigma_r selectivity[Espsl].a50 selectivity[Espsl].ato95 time_varying[shifted_a50].a selectivity[CRsl].mu selectivity[CRsl].sigma_l selectivity[CRsl].sigma_r selectivity[SAsl].mu selectivity[SAsl].sigma_l selectivity[SAsl].sigma_r 
0.60219 0.530831 0.0786761 0.0852829 0.074403 0.146333 0.374356 451600 858640 0.320221 0.474303 0.527959 0.950522 0.726552 0.262972 0.350438 0.225217 0.382375 0.445837 0.3766 0.209951 1.01499 0.971031 0.441793 0.133932 0.412975 0.422624 0.399793 0.622011 0.277831 0.3001 0.507888 0.308032 0.06 0.531221 0.165912 0.301508 0.528492 0.588616 0.528434 0.665344 0.564771 0.379989 0.720288 0.118384 0.884541 0.329912 0.356376 2.01863 0.425947 0.701295 0.620819 0.602662 0.456905 0.502721 0.587968 0.48446 0.921188 0.833468 0.329627 0.153244 1.52255 0.876876 0.0838557 0.0773964 0.855963 1.29855 0.353767 1.01376 0.219887 0.201088 0.2513 0.187693 0.06 0.333935 0.0863383 0.738115 0.447894 0.492472 0.501244 0.725493 0.590111 0.679884 0.457006 0.121544 1.16744 0.349826 0.317474 2.01868 7.06459 0.182163 1.43775 1.57158 6.50416 0.0886551 1.72201 0.811144 0.135453 0.0518283 0.264672 0.366556 0.321216 0.719039 0.999999 0.00260006 0.131875 0.419152 0.651259 0.656706 0.740286 0.819666 0.564781 0.218325 0.67178 0.778994 0.801727 0.868162 0.74516 0.63837 0.541675 0.000389156 0.0649079 0.203707 0.373401 0.372476 0.472808 0.619932 0.6 0.121321 0.332425 0.234809 0.502682 0.545194 0.544722 0.700508 0.6 71.0879 10.7585 44 67.5324 12.617 27.0245 44.8014 4 -0.0913585 64 17.0635 38.3121 84 44 44 
covariance_matrix:
0.00363456 -0.00108188 0.000109962 -0.000186028 -0.000136689 0.000100937 0.000549295 0.000107987 -0.000767191 -0.00100018 -0.000994275 -0.000682377 -0.0020682 -0.00150175 -6.69458e-05 -0.000102021 -6.85251e-05 -0.000266967 5.85932e-05 5.9211e-05 8.31571e-05 0.000609991 0.000770779 0.000545923 0.000153286 0.000424892 0.000456338 0.000510564 0.000580773 0.000333884 0.000341791 0.00037688 0.000185359 -1.58662e-13 0.000298023 0.000111634 -8.02425e-05 0.000163949 4.30446e-05 0.000156589 -0.000166238 -8.06186e-05 -0.0004633 -0.000377829 8.70952e-06 -0.000361376 0.000129169 5.70584e-05 0.000189423 0.000668996 0.000330919 -0.000169444 -0.000838595 -0.000640845 -0.00012496 0.000246701 8.77431e-05 -0.000144783 -0.000383962 -7.58093e-05 -6.22122e-07 0.000202455 -5.70621e-05 4.44761e-06 -3.91322e-06 -0.000289357 -0.000553475 -0.000163505 -0.000320141 -0.000103671 -9.62713e-05 7.79541e-05 0.000130611 5.02348e-16 0.000236328 3.55641e-05 0.00022671 0.000163814 0.000340033 0.000100453 0.000316672 0.000140016 0.000213408 0.000691363 -3.42911e-07 -6.93786e-05 -0.000267816 -0.000100794 0.000190391 0.00048454 -0.000104838 -0.00011699 -0.000121335 -0.000622787 -0.000110673 0.000169976 0.000420066 0.000224009 1.44116e-05 0.000484548 -7.96727e-05 -0.00032962 -0.000134153 5.64896e-10 -6.77592e-07 -3.17195e-05 -0.000271498 -0.000191527 -4.61464e-05 0.000366811 0.00030611 0.000221298 2.96597e-05 -2.51958e-05 -2.69339e-05 -0.000105514 -9.93114e-05 -0.000290869 -0.000224659 0.000124222 -5.46218e-08 -1.12672e-05 -7.29305e-05 -0.000298332 -0.000255494 -0.000353393 -0.000292572 6.91675e-12 -4.81115e-05 -7.2458e-05 -4.43864e-05 -1.60738e-05 0.000238195 0.000500638 0.000146345 1.44643e-12 0.0173054 0.00841227 -7.72937e-10 -0.00428894 -0.00146214 -0.0167921 -0.00027814 7.98028e-10 -1.17734e-05 -4.94596e-11 0.00177749 -0.00416623 -3.14354e-10 -6.09915e-10 -7.35699e-10 
-0.00108188 0.00847355 3.62564e-05 0.0012024 0.000788502 -9.60237e-05 -0.00120148 -0.00399141 0.00186081 0.000116263 0.000599706 0.000550401 -0.000891535 0.00035432 -1.92155e-05 -0.000543629 -0.00026172 0.000466707 0.000262407 -0.000132502 3.86374e-05 0.000499751 0.000801702 0.000130365 3.38156e-05 0.000368341 0.000292152 4.19724e-05 0.000632482 0.000109611 0.000194694 0.000540318 0.000498548 2.20026e-14 0.000486242 5.18565e-05 0.000429751 0.000295367 0.000637866 0.000268494 0.00057165 0.000211292 0.000666694 0.000588309 -7.9819e-05 0.000928573 0.000357435 -0.000166586 -0.000103988 -0.0016904 -0.00440367 -0.00242996 -0.00282928 -0.000961611 0.000949125 0.00130105 6.06977e-05 0.000551449 0.000312403 -0.000334927 -2.34183e-05 0.000294736 0.000111298 0.000113491 0.000170605 0.000724204 0.0015692 0.00065903 0.000984715 0.000327845 0.000240161 -1.44445e-08 -0.000288282 -1.19915e-14 -0.000422502 -0.000101114 -0.000358849 -0.000139879 -0.000222867 0.000361022 0.000367454 0.000351095 0.000189565 -0.000753024 0.000100992 -0.000957765 0.000686472 -7.87761e-05 -0.000105784 0.00963988 -0.000117372 0.00107828 -0.00104517 0.0121979 -0.000250898 0.00147834 0.000141064 -0.00105774 -0.000744007 -0.00172689 -0.0020194 -0.000861523 -3.56375e-05 2.17844e-08 -3.09577e-06 -3.90067e-05 0.000280796 0.00103161 0.00147855 0.00302147 0.0011043 0.0012551 4.00211e-05 -4.41043e-05 -0.00067648 -0.00094441 -0.000771278 -0.00220366 -0.00154396 0.000884178 -1.11883e-06 2.91115e-05 0.000221797 0.000906279 0.000894018 0.00129065 0.0025507 2.80464e-10 -0.000116661 0.000398165 0.00023128 -0.000398344 -0.000237682 -9.41483e-05 -0.00173689 1.49312e-10 -0.00673966 -0.00582756 -2.99456e-08 -0.00218359 -0.00345841 -0.0291776 0.00358698 3.5427e-08 9.09052e-05 3.98021e-09 -0.00994693 -0.00116947 -1.33304e-08 -2.62224e-08 -2.90987e-08 
0.000109962 3.62564e-05 2.45978e-05 6.94893e-06 1.26854e-06 2.15616e-06 3.3336e-05 -7.37613e-05 -1.66062e-05 -7.68676e-05 -6.49246e-05 -2.7643e-05 -0.000140235 -9.89393e-05 -1.64771e-05 -1.33462e-05 -1.44219e-05 -2.38859e-06 -3.11398e-06 -4.00624e-06 5.31106e-06 2.85246e-05 4.08696e-05 2.14867e-05 6.98941e-06 2.49952e-05 2.88107e-05 2.91844e-05 4.11885e-05 1.87104e-05 1.81408e-05 2.69905e-05 1.46035e-05 -1.16889e-14 1.0406e-05 4.27714e-06 -3.62904e-06 7.26423e-06 3.07845e-06 7.07052e-06 1.23973e-06 6.90817e-06 -7.1727e-06 -1.01751e-05 1.75914e-06 3.12427e-05 2.62011e-05 6.12778e-06 2.30799e-05 3.83671e-05 -3.35817e-05 -4.78595e-05 -0.000110362 -6.25271e-05 4.48271e-06 4.12262e-05 2.81249e-05 5.02944e-05 4.9099e-06 -8.51306e-06 4.60583e-06 4.58984e-05 1.12088e-06 5.8392e-06 5.36646e-06 -3.61647e-06 5.92782e-06 6.72034e-06 5.14657e-06 4.36357e-07 -1.81737e-06 5.89067e-06 5.96598e-06 5.80097e-16 6.20158e-06 1.5311e-07 6.94672e-06 3.09208e-06 8.30934e-06 -2.041e-06 8.5761e-06 -1.55258e-06 -3.7375e-06 1.47823e-05 -3.96189e-06 -0.000106575 -6.55564e-06 -7.10122e-06 2.30173e-05 0.000169509 -1.48565e-05 -5.08788e-06 -2.88748e-05 0.00011296 -1.74262e-05 3.59717e-05 4.19553e-05 4.88747e-06 -9.99531e-06 2.45827e-05 -2.81769e-05 -4.19513e-05 -1.39648e-05 4.35781e-10 -8.14682e-08 -2.67759e-06 -1.16546e-05 -4.64969e-06 1.52414e-05 8.14122e-05 4.8073e-05 3.66828e-05 3.05556e-06 -3.0535e-06 -1.46519e-05 -2.34341e-05 -2.05831e-05 -6.19111e-05 -4.51694e-05 3.00503e-05 -3.22555e-08 -2.51058e-08 -3.60326e-06 -4.45661e-06 -2.1578e-06 -1.25747e-05 3.96433e-06 5.57271e-12 -5.77791e-06 -9.31907e-07 -9.01403e-06 -6.57441e-06 1.70895e-05 4.14671e-05 -1.22497e-05 2.70997e-12 0.00154888 0.000770117 -5.99192e-10 -0.00040219 -0.000246266 -0.00199642 8.74238e-05 6.94845e-10 1.01282e-05 6.29516e-11 -0.000722626 -0.000329008 -2.63134e-10 -5.16601e-10 -5.80359e-10 
-0.000186028 0.0012024 6.94893e-06 0.00023266 0.000128606 -1.83082e-05 -0.000210965 -0.000677564 0.000327279 3.81094e-05 0.000130753 0.000120183 -0.000103597 8.09812e-05 3.13914e-05 -1.03465e-05 -1.82631e-05 5.1754e-05 4.90642e-05 -1.85852e-05 6.9376e-06 4.48266e-05 9.43823e-05 -7.03669e-07 -2.05165e-06 5.32124e-05 2.96849e-05 -3.06427e-06 8.77739e-05 1.02958e-05 2.19112e-05 7.96369e-05 7.64118e-05 -2.40624e-15 7.31983e-05 4.96018e-06 7.3908e-05 4.48692e-05 0.000108103 4.09858e-05 0.000115463 3.39262e-05 0.000119831 6.25602e-05 -1.47591e-05 0.000197915 5.30424e-05 -2.95964e-05 -2.29012e-05 -0.000290621 -0.000729323 -0.00039447 -0.000454364 -0.000153453 0.000169478 0.000246792 3.87722e-05 0.000119051 4.67591e-05 -6.18155e-05 -3.1108e-06 9.66637e-05 2.33905e-05 2.26218e-05 3.11216e-05 9.99523e-05 0.00027761 9.88833e-05 0.00016928 5.44126e-05 4.10728e-05 -1.05605e-05 -5.26194e-05 3.43314e-15 -8.0562e-05 -1.65472e-05 -7.1379e-05 -2.82953e-05 -5.15812e-05 5.51024e-05 3.62276e-05 6.03282e-05 2.39481e-05 -9.53595e-05 1.7861e-05 -0.000270595 0.000104164 -1.36847e-05 -2.32563e-05 0.00156146 -1.84519e-05 0.000164804 -0.000169754 0.00202542 -4.32054e-05 0.000247983 5.09737e-06 -0.000178697 -0.000123381 -0.000292848 -0.00034169 -0.000136561 -2.69536e-06 3.56605e-09 -4.67282e-07 -5.23317e-06 3.54296e-05 0.000176978 0.000249255 0.000491839 0.000171994 0.000206296 6.99391e-06 -9.05879e-06 -0.000108239 -0.00015335 -0.00012518 -0.000356594 -0.000249174 0.000138668 -1.411e-07 5.78913e-06 4.80074e-05 0.0001513 0.000151447 0.000222087 0.000435593 4.59562e-11 -1.9261e-05 6.27939e-05 3.42625e-05 -6.82716e-05 -4.05099e-05 -1.99729e-05 -0.000290306 2.45809e-11 -0.00123589 -0.000996067 -4.90483e-09 -0.000405654 -0.000101128 -0.00473968 0.000630816 5.80924e-09 1.39514e-05 6.58995e-10 -0.0015162 -8.23954e-05 -2.1851e-09 -4.29884e-09 -4.76701e-09 
-0.000136689 0.000788502 1.26854e-06 0.000128606 0.000114178 -1.38472e-05 -0.000151356 -0.000432547 0.000202039 3.62959e-06 5.79028e-05 3.77757e-05 -0.000149153 -1.61827e-06 1.63275e-05 -7.71682e-05 1.72635e-06 7.40362e-05 1.48927e-05 -6.75607e-07 1.05093e-05 7.85259e-05 0.000115095 2.56039e-05 7.72359e-06 4.9572e-05 3.73104e-05 1.06014e-05 7.70048e-05 1.63414e-05 2.65159e-05 6.67277e-05 5.88934e-05 1.63669e-14 6.45621e-05 9.32044e-06 5.4849e-05 4.98553e-05 9.22824e-05 4.90013e-05 9.42343e-05 4.49496e-05 7.15491e-05 0.000104014 -1.022e-05 0.000107224 4.26462e-06 -2.68051e-05 -4.72329e-05 -0.000203301 -0.000489804 -0.000264463 -0.000310234 -0.000124585 9.08538e-05 0.000140756 -1.82676e-05 -1.27398e-05 3.23204e-05 3.4437e-06 -4.5341e-06 -1.68785e-05 1.15626e-06 1.98905e-07 9.43581e-06 7.7289e-05 0.000171916 7.48053e-05 0.000111307 3.6109e-05 2.61822e-05 2.35371e-06 -2.89311e-05 -4.87664e-15 -4.41723e-05 -8.87199e-06 -3.59659e-05 -1.31393e-05 -2.54336e-05 4.24651e-05 3.42686e-05 4.05063e-05 4.30354e-05 -8.52471e-05 2.42548e-05 6.35533e-05 4.76649e-05 -1.4667e-05 -4.74169e-05 0.00104154 -9.40168e-06 0.000120955 -0.0001098 0.00134314 -2.49158e-05 0.000155467 -4.81526e-06 -0.000122987 -7.92704e-05 -0.000189476 -0.00024149 -8.98506e-05 8.73142e-07 2.2828e-09 -3.85679e-07 -6.08093e-06 2.72884e-05 0.000121673 0.000172336 0.000319275 0.000103926 0.000143945 4.75524e-06 -6.73902e-06 -6.48625e-05 -0.000101288 -8.25366e-05 -0.000230829 -0.00016097 7.99225e-05 -1.44841e-07 2.68005e-06 1.19805e-05 8.64561e-05 9.44661e-05 0.000150459 0.000308534 2.94604e-11 -1.2695e-05 4.2998e-05 3.95313e-05 -4.15679e-05 -2.18994e-05 -1.08697e-05 -0.000196463 1.58871e-11 -0.00091836 -0.000748379 -3.14191e-09 -0.000202119 -0.000373175 -0.00305611 0.000361837 3.72909e-09 6.29796e-06 4.29608e-10 -0.00112169 -9.73052e-05 -1.40175e-09 -2.75827e-09 -3.05472e-09 
0.000100937 -9.60237e-05 2.15616e-06 -1.83082e-05 -1.38472e-05 0.000141826 2.70462e-05 3.11062e-05 -6.88359e-05 -1.92785e-05 -7.15637e-05 -7.62994e-05 -5.14783e-05 6.77587e-05 -3.24211e-05 2.21101e-05 -1.39145e-05 4.2359e-05 2.00319e-05 9.98338e-07 1.63383e-05 7.67539e-05 9.42762e-05 5.19568e-05 1.54031e-05 3.02554e-05 4.91689e-05 4.7933e-05 6.05252e-05 3.5426e-05 3.52975e-05 3.33978e-05 1.97723e-05 -3.13807e-14 3.12203e-05 1.1499e-05 -9.41114e-06 7.95199e-06 -1.8438e-05 -7.14546e-06 -8.1625e-05 -5.8406e-05 -0.000160171 -0.000170822 -3.73515e-06 -0.000316261 3.76307e-05 7.60394e-06 5.04976e-05 2.66005e-05 2.44294e-06 1.67327e-06 1.91405e-05 5.52994e-05 1.75173e-05 -6.72125e-05 -6.14732e-05 -5.65404e-05 -9.65964e-05 -9.14827e-05 -1.0485e-05 -6.00025e-05 -2.54959e-05 7.6017e-06 5.66566e-06 -5.19684e-05 -0.00011944 -2.57582e-05 -5.27864e-05 -1.50088e-05 -1.48039e-05 -3.17939e-06 -1.09643e-06 -3.89782e-16 1.24552e-05 -1.17427e-06 4.02304e-06 4.21757e-06 3.24346e-05 9.62851e-06 6.03722e-05 1.70044e-05 0.000101933 0.000141111 -8.69574e-06 0.000185937 6.09593e-05 1.03194e-05 5.09191e-05 0.000116515 -4.0851e-06 2.46108e-05 -1.26034e-05 0.000149645 -3.6562e-06 1.52748e-05 3.09403e-05 2.00124e-05 -6.49532e-06 -5.17097e-05 1.50846e-05 -1.77605e-05 -7.88988e-06 2.28958e-10 -4.74071e-08 7.37751e-08 -2.79507e-06 -1.21948e-05 -1.23026e-05 3.41048e-05 4.34745e-05 -8.13476e-06 -3.6428e-06 1.17459e-05 -2.51601e-05 -1.42693e-05 -9.76891e-06 -3.11601e-05 -2.39934e-05 4.3914e-05 -1.03024e-07 2.88618e-07 -6.30685e-06 -2.45748e-06 -1.38933e-05 -1.49551e-05 -3.55726e-05 2.70321e-12 8.82585e-07 1.8768e-05 3.01633e-06 2.20708e-06 -1.51434e-05 -1.17746e-05 -1.97604e-06 9.76367e-13 -0.000733244 -0.000321609 -2.96812e-10 4.71162e-05 -0.000311978 0.000335119 0.000469046 3.23914e-10 -8.62753e-06 1.17957e-11 -0.000196299 -0.000353396 -1.251e-10 -2.44079e-10 -2.84651e-10 
0.000549295 -0.00120148 3.3336e-05 -0.000210965 -0.000151356 2.70462e-05 0.00103156 0.000616922 -0.000410845 7.26507e-05 2.62238e-05 2.76223e-05 -0.00112461 -0.00040568 -0.00016678 -0.000290949 -0.000171457 -0.000121927 -0.000229989 -0.000239052 -8.72465e-05 -0.000393697 -0.000430362 -0.000141579 -1.72433e-05 -0.000199611 -0.000113114 -8.42514e-05 -0.000246341 -6.18754e-05 -7.56423e-05 -0.000206616 -0.000151272 -5.72364e-15 -0.000205039 -4.3807e-05 -0.000184597 -0.000195553 -0.000307821 -0.000213477 -0.000407618 -0.000196289 -0.000219265 -0.000260695 1.83763e-05 -0.000467352 0.00023182 0.000123359 0.00084316 0.000632813 0.000296435 -0.000524179 -0.000796236 -5.44885e-05 0.00036819 0.000227249 -9.58425e-05 0.000122312 8.31896e-05 -5.36902e-05 1.91418e-05 -8.81147e-05 1.55081e-05 2.75494e-05 -3.41179e-06 3.36519e-05 -6.18669e-05 -1.98526e-05 -3.79401e-05 -2.55506e-05 -1.86049e-05 9.24772e-05 0.000102088 1.27327e-15 0.000140528 1.17931e-05 0.000118498 5.2519e-06 7.63268e-05 -7.98485e-05 4.38077e-05 -9.06768e-05 1.5957e-05 0.000204574 -4.50679e-05 0.000348206 7.62455e-05 -1.51651e-05 0.000843682 -0.000481168 -2.81643e-05 -0.000357775 2.55304e-05 -0.00294996 -2.65928e-05 5.75064e-05 0.000875957 0.000328732 3.34176e-05 0.000308858 0.0007734 -5.05658e-05 -0.000126082 -5.3645e-10 4.55732e-07 3.49969e-06 -8.21902e-05 -0.000240724 -0.000446466 -3.20857e-06 0.000326752 2.47551e-05 1.65612e-05 6.72332e-05 -0.000148472 7.81626e-05 4.13e-05 -2.8919e-05 -5.4238e-05 3.70955e-05 -1.10143e-07 1.53815e-05 -5.60208e-05 -0.000211562 -0.00036813 -0.000458641 -0.00109036 -8.37219e-12 -2.22666e-05 -7.57357e-05 4.49282e-05 -0.000208294 -0.000146202 0.00025126 0.000480362 -9.10091e-12 0.00849446 0.00466137 8.15579e-10 -0.000739161 -0.00201577 -0.00201452 0.000413575 -1.22942e-09 -6.39716e-06 -3.95336e-10 0.00206116 -0.0020475 4.31078e-10 8.67487e-10 8.28582e-10 
0.000107987 -0.00399141 -7.37613e-05 -0.000677564 -0.000432547 3.11062e-05 0.000616922 0.00273567 -0.000956021 6.60766e-05 -0.000222737 -0.000196963 0.000997018 0.000298473 1.66791e-05 0.000218359 8.70273e-05 -0.000222015 -0.000163928 2.6158e-06 -7.3001e-05 -0.000545592 -0.000783339 -0.000263583 -6.36248e-05 -0.000409593 -0.000365838 -0.000225715 -0.000652504 -0.000192562 -0.000237038 -0.000492255 -0.000364124 5.96825e-14 -0.000362274 -4.45267e-05 -0.000224182 -0.000140282 -0.000314445 -0.000108557 -0.000222653 4.39585e-05 -0.000288569 8.63222e-05 0.000115611 -0.000162724 -0.000178007 9.0384e-05 2.31761e-05 0.000919616 0.00249014 0.00143188 0.0017345 0.000644332 -0.000570955 -0.000924515 -0.000177367 -0.000427503 -0.000157778 0.000164972 -6.39618e-07 -0.000398976 -0.000153781 -7.99658e-05 -0.000108774 -0.000409289 -0.00104561 -0.000390529 -0.000720536 -0.000205769 -0.000145496 -2.73452e-05 0.000126747 1.09022e-14 0.000208805 4.84925e-05 0.000205227 8.6373e-05 0.000113458 -0.000160389 -0.000101105 -0.000116572 0.000145982 0.000360309 -6.67829e-05 0.00122481 -0.000290928 6.22646e-05 2.45061e-05 -0.0054169 6.42059e-05 -0.000539745 0.000585676 -0.00661021 0.00015009 -0.000859179 -0.000137322 0.000614394 0.000430243 0.00095549 0.0011835 0.000523112 3.33523e-05 -1.21356e-08 2.37033e-06 4.92317e-05 -6.91295e-05 -0.000581414 -0.000834372 -0.0017233 -0.000634572 -0.000716143 -2.74857e-05 3.92086e-05 0.000378944 0.000539874 0.000442089 0.00125922 0.000885781 -0.000470601 7.20624e-07 -6.63405e-06 -8.65242e-05 -0.000458904 -0.000475554 -0.0007033 -0.00142006 -1.56307e-10 7.50122e-05 -0.00019299 -0.000108263 0.000254675 0.000115864 -3.95021e-06 0.000962521 -8.31787e-11 0.00155802 0.00191533 1.6689e-08 0.00214282 -2.07299e-05 0.0184756 -0.00202193 -1.9744e-08 -0.000126203 -2.21348e-09 0.0059059 0.0010443 7.42926e-09 1.46142e-08 1.62171e-08 
