*mpd[__mpd__]
MPD {list}
estimated_values {dataframe}
process[Recruit_BH].b0 growth_increment[female_growth].min_sigma process[Recruit_BH].recruitment_multipliers{1986} process[Recruit_BH].recruitment_multipliers{1987} process[Recruit_BH].recruitment_multipliers{1988} process[Recruit_BH].recruitment_multipliers{1989} process[Recruit_BH].recruitment_multipliers{1990} process[Recruit_BH].recruitment_multipliers{1991} process[Recruit_BH].recruitment_multipliers{1992} process[Recruit_BH].recruitment_multipliers{1993} process[Recruit_BH].recruitment_multipliers{1994} process[Recruit_BH].recruitment_multipliers{1995} process[Recruit_BH].recruitment_multipliers{1996} process[Recruit_BH].recruitment_multipliers{1997} process[Recruit_BH].recruitment_multipliers{1998} process[Recruit_BH].recruitment_multipliers{1999} process[Recruit_BH].recruitment_multipliers{2000} process[Recruit_BH].recruitment_multipliers{2001} process[Recruit_BH].recruitment_multipliers{2002} process[Recruit_BH].recruitment_multipliers{2003} process[Recruit_BH].recruitment_multipliers{2004} process[Recruit_BH].recruitment_multipliers{2005} process[Recruit_BH].recruitment_multipliers{2006} process[Recruit_BH].recruitment_multipliers{2007} process[Recruit_BH].recruitment_multipliers{2008} process[Recruit_BH].recruitment_multipliers{2009} process[Recruit_BH].recruitment_multipliers{2010} process[Recruit_BH].recruitment_multipliers{2011} process[Recruit_BH].recruitment_multipliers{2012} process[Recruit_BH].recruitment_multipliers{2013} process[Recruit_BH].recruitment_multipliers{2014} process[Recruit_BH].recruitment_multipliers{2015} process[Recruit_BH].recruitment_multipliers{2016} process[Recruit_BH].recruitment_multipliers{2017} process[Recruit_BH].recruitment_multipliers{2018} process[Recruit_BH].recruitment_multipliers{2019} process[Recruit_BH].recruitment_multipliers{2020} process[Recruit_BH].recruitment_multipliers{2021} process[Recruit_BH].recruitment_multipliers{2022} selectivity[maturity].a50 selectivity[maturity].ato95 selectivity[FishingSel_1_male].a50 selectivity[FishingSel_1_male].ato95 selectivity[FishingSel_1_male].alpha selectivity[FishingSel_2_female].a50 selectivity[FishingSel_2_female].ato95 selectivity[FishingSel_2_male].alpha selectivity[TrawlSurveySel_1_female].a50 selectivity[TrawlSurveySel_1_female].ato95 selectivity[TrawlSurveySel_1_male].alpha selectivity[TrawlSurveySel_2_female].a50 selectivity[TrawlSurveySel_2_female].ato95 selectivity[TrawlSurveySel_2_male].alpha growth_increment[male_growth].g_alpha growth_increment[male_growth].g_beta growth_increment[female_growth].g_alpha growth_increment[female_growth].g_beta 
2379.27 4.62721 0.721831 0.311647 0.323691 0.384213 3.47704 0.483641 0.478064 0.431272 0.255178 0.380658 0.361959 0.340902 0.500877 0.363914 0.51397 0.587028 0.663174 0.292641 0.678008 0.441896 0.468616 0.549398 0.972193 0.598916 0.79355 0.955676 0.623826 0.652421 0.469703 0.821925 0.394583 0.506873 0.948353 1.36346 0.285582 0.410987 0.459069 30.1239 7.09745 41.4836 14.8269 0.875769 39.8698 16.2661 0.527306 23.5044 13.9666 1.16446 34.3027 14.3814 1.09817 14.0067 2.69152 13.3401 0.667103 
covariance_matrix {matrix}
11744.2 -0.96248 3.13396 1.90424 0.592773 0.544318 -5.35353 -1.36326 -0.269101 -0.33084 -0.0846993 -0.767553 -0.128943 0.0162043 -0.322894 0.022082 -0.0871953 0.0977461 1.13146 0.732195 1.51722 0.692149 1.7128 1.66986 3.94623 0.620275 3.09516 3.30558 1.93945 1.60935 1.30654 2.62636 1.50765 1.73565 4.05627 5.01406 1.0744 0.470454 0.59644 -0.275219 -0.158985 -9.10692 -1.82331 0.0496558 -6.01596 -4.14603 -0.0175698 8.1298 0.403832 0.111103 -4.36743 -2.06796 0.358709 -3.83119 -2.49809 -5.39614 -1.82453 
-0.96248 0.00131297 -0.001143 -0.000306362 0.000238056 0.0005241 0.000627636 0.000702832 -1.21214e-05 6.05747e-05 5.53226e-05 0.000129916 0.00010083 1.70402e-05 0.000184271 2.04547e-05 0.000105988 -0.000161647 -3.31204e-05 -6.67673e-05 -9.24728e-06 0.000147847 0.00012704 0.000210343 -2.5364e-05 0.000313328 -8.44091e-05 -4.29096e-05 0.000113363 9.13874e-05 0.000147416 -4.78327e-05 0.000122601 6.3438e-05 2.84343e-05 0.000295762 1.17808e-05 0.000127298 9.65229e-05 6.68038e-05 -0.000117445 0.000819896 -0.00020433 -4.95804e-05 0.000433573 7.52866e-05 -5.5863e-08 0.00183663 4.03876e-05 -7.436e-05 0.0005579 0.000129003 -0.000167303 0.00161222 -0.000651709 0.00125842 -0.000222943 
3.13396 -0.001143 0.0118768 0.0015921 -0.000195651 -0.00124007 -0.00467269 -0.00199428 0.000146952 -0.000514793 -0.00011921 -5.2411e-05 -1.77659e-06 0.000311096 -0.000646106 0.000154584 -0.000567544 0.00119556 -0.000284047 0.000947226 0.000176066 0.000194972 3.68443e-05 1.16394e-05 0.000425513 -0.000194699 0.000120914 -0.00048179 -0.000458373 -0.000119921 -1.59833e-06 0.000626617 0.000148475 0.000561143 2.69751e-05 -0.00402495 -0.000320783 -0.000262363 -0.000171437 -0.000284968 -0.00016753 -0.00609833 1.4991e-05 5.39605e-05 -0.00398279 -0.000740504 2.05038e-05 -0.00162209 -0.000308918 0.000328 -0.00276635 -0.000849187 0.000833134 -0.00355304 -0.00189602 -0.00340198 -0.000505646 
1.90424 -0.000306362 0.0015921 0.00408316 0.00117339 0.00101291 -0.00317809 0.000577006 0.000271835 -1.34445e-05 7.65008e-05 7.18283e-06 9.227e-05 0.000283891 -0.000149032 0.000269918 -5.57299e-05 0.000959852 -7.97157e-05 0.00100604 1.23156e-05 0.000463535 0.000238576 0.000477914 0.000450331 0.000924833 0.000441725 0.000752005 0.00028764 0.000357702 0.000481778 0.000257696 0.00031198 0.000550344 0.000972202 -0.00114453 0.000265245 0.000276372 0.000261755 -0.00015527 -4.61096e-05 -0.00275024 -0.00112875 8.31687e-06 -0.00300855 -0.000660726 5.7282e-06 0.00514938 7.21309e-05 0.000124185 -0.00098239 -0.000519204 0.000360117 -0.0015934 -0.000950155 -0.00171917 -0.000470425 
0.592773 0.000238056 -0.000195651 0.00117339 0.00604871 0.00333727 -0.00353781 0.00319247 0.000603455 0.000358417 0.000245747 0.000143088 0.00017708 0.00036005 8.26312e-05 0.000509893 0.000206608 0.00147992 -0.000237078 0.00161143 -0.000419803 0.000913699 0.000234005 0.000806595 0.000113522 0.00233644 0.000323438 0.00167476 0.000777983 0.000801876 0.00105533 -0.000259635 0.000348484 0.000585188 0.00177709 -0.000483622 0.000748518 0.00077583 0.000648332 -0.000168629 -4.40751e-05 -0.000436057 -0.00253502 -5.97295e-05 -0.00351192 -0.000244346 -1.72337e-05 0.0121219 0.000296176 5.87364e-05 0.000315237 -0.000290558 0.0002138 -0.000373758 -0.00050228 -0.00069256 -0.000533509 
0.544318 0.0005241 -0.00124007 0.00101291 0.00333727 0.00776817 -0.00310303 0.00396516 0.000594187 0.000457405 0.000293855 0.000147651 0.00020567 0.00030592 0.000272754 0.00055509 0.000378834 0.00133817 -6.21142e-05 0.00153888 -0.000386506 0.00102355 0.00037182 0.00100728 0.000394582 0.00269318 0.000506582 0.00215449 0.00116641 0.0011021 0.00133144 -0.000184751 0.000483499 0.000647443 0.0023034 0.000969853 0.00097477 0.000961059 0.000808032 -6.343e-05 -2.97214e-05 0.000207594 -0.00294862 -7.46345e-05 -0.00339038 -0.000459259 -2.81068e-05 0.014519 0.000422416 -1.68982e-05 0.000549814 -0.000285047 2.80748e-05 3.46261e-05 -0.000338333 -0.000299947 -0.000639912 
-5.35353 0.000627636 -0.00467269 -0.00317809 -0.00353781 -0.00310303 0.0322154 -0.00262822 -0.00146857 -0.00041019 -0.000204821 -0.000118936 0.000112272 -6.64353e-05 0.001225 5.3792e-05 0.000938713 -0.00169205 0.00142915 -0.00206928 0.00110043 -0.000605613 0.000129491 -0.000376437 0.000536697 -0.00181793 -0.000118335 -0.00113705 -4.47572e-05 -0.000197653 -0.000744861 0.000405615 -0.00038838 -0.000990286 -0.0020231 0.00327292 -0.000628071 -0.000734119 -0.000664067 0.000855199 -0.000197024 0.00376556 0.00318271 -3.83548e-05 0.00676421 0.00106444 -1.61283e-05 -0.0136159 -0.000309797 -0.000295072 0.00175495 0.000935168 -0.000845461 0.00256 0.00142664 0.00327058 0.000862159 
-1.36326 0.000702832 -0.00199428 0.000577006 0.00319247 0.00396516 -0.00262822 0.00883763 0.000490742 0.000365753 0.000192312 0.000129059 0.000101899 0.000209059 0.000345695 0.000580563 0.000447907 0.00132646 -0.000215087 0.0013715 -0.000610421 0.000959825 0.000133184 0.000775309 -0.000170334 0.00265583 -4.08739e-06 0.00168398 0.000926846 0.000929634 0.00117457 -0.00058051 0.000211464 0.000312114 0.00162989 0.000334642 0.000809093 0.000867113 0.000689822 -3.93281e-05 -7.18496e-06 0.00197848 -0.00257861 -7.98927e-05 -0.00222545 0.000351122 -3.16801e-05 0.0128192 0.000336228 -4.23563e-05 0.00132984 0.000111889 -6.25805e-05 0.000870703 0.000180608 0.000773524 -0.000346772 
