*mpd[__mpd__]
MPD {list}
estimated_values {dataframe}
process[Recruitment].b0 selectivity[chatTANSel].mu selectivity[chatTANSel].sigma_l selectivity[chatTANSel].sigma_r selectivity[eastFSel].mu selectivity[eastFSel].sigma_l selectivity[eastFSel].sigma_r selectivity[westFSel].mu selectivity[westFSel].sigma_l selectivity[westFSel].sigma_r process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} 
52706.6 9.6061 5.44352 11.6161 10.9063 3.51779 7.05112 6.57335 3.05853 8.04371 1.02704 1.05104 1.06949 1.08053 1.08285 1.07382 1.05133 1.02563 1.00994 0.423064 0.474214 0.515828 0.379063 0.52116 0.439916 0.665933 0.988908 0.749345 0.64362 0.583763 0.481226 0.316727 0.299232 0.218348 0.328061 0.216705 0.324133 0.910999 0.518746 0.429975 0.18533 0.304414 0.257298 0.229264 0.259707 3 3 
covariance_matrix {matrix}
1.64855e+08 -3379.58 413.509 -9702.07 -3939.88 -1408.86 -3244.27 -1991.49 -1384.4 -5926.74 116.433 208.035 255.512 291.687 275.412 220.227 187.114 183.128 114.811 -346.519 -228.856 -299.682 -286.143 -425.875 -345.103 -611.955 -853.793 -598.907 -489.331 -413.429 -326.641 -196.741 -176.326 -124.831 -162.61 -93.5527 -125.976 -174.195 -80.2439 -76.3434 -10.1362 -75.3095 -31.7052 -5.27047 -96.5897 -0.00734627 -0.00338229 
-3379.58 0.795196 0.513395 -1.03774 0.0573749 0.00738289 0.0526175 0.0279577 0.00661241 0.159739 -0.00462971 -0.0076975 -0.0105258 -0.0136712 -0.0147625 -0.0154909 -0.0151667 -0.0148045 -0.012725 0.00750408 0.00588616 0.008096 0.0095887 0.0115673 0.00865174 0.0143912 0.0136748 0.0122389 0.00899548 0.00948678 0.00720093 0.00595864 0.0048158 0.00345983 0.00631305 0.00436033 0.00655279 0.0152856 0.0136854 0.0106808 0.00456196 0.0087958 0.00650898 0.0037695 0.00382964 -4.8817e-07 -1.89003e-08 
413.509 0.513395 0.558932 -0.784002 -0.0383797 -0.0248606 -0.0101609 -0.039419 -0.0302812 0.0137971 -0.000981923 0.00184487 0.00307998 0.00357389 0.00288772 0.0026251 0.00181198 0.00334136 0.00393223 0.00261824 0.00446888 0.00413872 0.00339832 0.00279958 -0.00145363 -0.000451492 -0.00444422 0.0021521 0.000105125 0.00106998 -0.000537047 0.000299826 -0.000816196 0.000173865 0.000321959 0.0019786 -0.00040417 -0.000532346 0.00280797 -0.00230107 -0.00105405 -0.00407077 -0.00627269 -0.00714587 -0.00860544 -9.96726e-08 -6.05413e-08 
-9702.07 -1.03774 -0.784002 7.44416 0.373206 0.146078 0.420669 0.155765 0.104932 0.444191 -0.0161305 -0.0291616 -0.0372507 -0.0390699 -0.0389769 -0.0296386 -0.0229194 -0.0223462 -0.0169161 0.0465402 0.0206056 0.0140633 0.0129839 0.0423733 0.0203854 0.05144 0.0873439 0.055904 0.0571892 0.0452755 0.0412293 0.0233821 0.0225452 0.0179606 0.0226358 0.0146604 0.0211773 0.0552519 0.0187831 0.0203384 0.00462059 0.0120926 0.013977 0.00405262 0.0209974 1.67175e-06 3.02503e-07 
-3939.88 0.0573749 -0.0383797 0.373206 0.931221 0.532078 -0.812047 -0.0125999 -0.0334311 0.235439 -0.00442957 -0.0072334 -0.00971885 -0.0123096 -0.0130768 -0.0129627 -0.0124847 -0.0117672 -0.00940078 0.00745314 0.00258081 0.00279394 0.00596598 0.00870087 0.00659878 0.0126989 0.00812304 0.0132924 0.00966003 0.0100814 0.00798623 0.00678467 0.00529461 0.00622276 0.00816087 0.00488095 0.00759072 0.00301 -0.00192575 0.00502769 0.00302351 0.0036291 0.00348153 0.00156368 0.00357513 -5.17149e-07 1.25048e-07 
-1408.86 0.00738289 -0.0248606 0.146078 0.532078 0.353446 -0.451652 -0.0215362 -0.0281713 0.100048 -0.00200889 -0.00293735 -0.00425541 -0.00566658 -0.00614753 -0.00654753 -0.00603844 -0.0055462 -0.00436322 0.00190409 0.000727971 0.000528279 0.00218184 0.00281447 0.00281138 0.00383237 -0.000199632 0.00563417 0.00337268 0.00409064 0.00287977 0.00247241 0.00154503 0.00279206 0.00310372 0.00105633 0.00322335 -0.00344788 -0.00496809 0.00169452 0.00134713 0.000994613 0.000439309 3.62882e-05 0.000199421 -5.88676e-07 5.50507e-08 
-3244.27 0.0526175 -0.0101609 0.420669 -0.812047 -0.451652 2.39591 0.0733265 0.0664484 0.105548 -0.00408496 -0.00850478 -0.00984889 -0.0126634 -0.0116295 -0.00844794 -0.00929527 -0.00810101 -0.00678213 0.00617815 0.00833804 0.00369544 0.00305676 0.0179599 0.00306852 0.0165255 0.0359815 0.0200955 0.0167137 0.0187734 0.0160173 0.00575612 0.00884779 0.00168911 0.00730644 -0.000450616 0.00648365 0.0226878 0.0128256 0.00482083 0.00162534 0.00593193 0.0106051 0.00175784 0.00502302 1.09103e-06 1.81715e-07 
-1991.49 0.0279577 -0.039419 0.155765 -0.0125999 -0.0215362 0.0733265 1.00618 0.941645 -0.873834 -0.00345005 -0.00469591 -0.00514746 -0.00739467 -0.00853824 -0.00988298 -0.0102595 -0.0102492 -0.00777527 -0.00803815 -0.00237941 -0.00294271 0.00607954 0.00225994 -0.0100058 0.00754583 -0.016229 0.000445373 0.00491854 0.00840567 0.00296903 0.00548868 0.0037015 0.00200059 0.00287344 0.00202902 0.0012495 -0.00393095 0.00995208 0.0119373 0.000374223 0.00867343 0.00262466 -0.00249597 0.00592651 -8.8869e-07 9.908e-09 
