* MPD
estimate_values:
process[Recruitment].b0 selectivity[chatTANSel].mu selectivity[chatTANSel].sigma_l selectivity[chatTANSel].sigma_r selectivity[eastFSel].mu selectivity[eastFSel].sigma_l selectivity[eastFSel].sigma_r selectivity[westFSel].mu selectivity[westFSel].sigma_l selectivity[westFSel].sigma_r process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} 
52715.2 9.60572 5.44333 11.6139 10.9038 3.51659 7.05311 6.57345 3.05878 8.04328 1.02704 1.05107 1.0695 1.08057 1.08292 1.07388 1.05136 1.02565 1.01001 0.423036 0.474271 0.515759 0.379102 0.521181 0.439839 0.66603 0.988851 0.749307 0.643662 0.583723 0.48119 0.31672 0.299188 0.218314 0.328051 0.216723 0.324072 0.910974 0.518689 0.429989 0.185345 0.304371 0.257212 0.229268 0.259215 3 3 
covariance_matrix:
1.63368e+08 -4794.57 -1129.16 -13556 -10107 -5034.59 3527.76 -1386.51 35.4725 -5279.45 60.7252 136.808 141.478 90.5813 48.51 26.9118 -31.7304 -72.2358 -80.1287 -434.312 -261.858 -488.723 -243.179 -296.187 -789.298 -425.479 -1282.21 -841.964 -529.703 -605.71 -536.552 -282.687 -301.884 -229.53 -276.672 -57.7172 -377.949 -424.777 -321.072 -191.01 45.7358 -268.378 -206.191 -18.3472 -300.815 -0.00117665 0.000306 
-4794.57 0.885489 0.597238 -0.549528 0.623322 0.329331 -0.5354 0.0321177 -0.065456 0.0980955 -0.000511031 -0.00264933 -0.00234885 0.00128468 0.00246937 0.00248859 0.00317029 0.00371809 0.00421048 0.0163919 0.0145669 0.0225768 0.00836117 0.00621274 0.0456953 0.00240038 0.0588517 0.0343638 0.01681 0.0292717 0.027989 0.0147328 0.0172417 0.0138355 0.0158017 0.00380367 0.0283365 0.0371661 0.0337143 0.023346 -2.26341e-05 0.026376 0.0211665 0.00290891 0.0230032 9.52905e-08 -4.50799e-08 
-1129.16 0.597238 0.639388 -0.309332 0.467138 0.259853 -0.517044 -0.0481875 -0.102336 -0.0281073 0.00440831 0.0092823 0.0127966 0.017931 0.0227012 0.023674 0.0226577 0.0222904 0.0235226 0.0130239 0.0152799 0.0172799 0.00327815 0.000220278 0.03399 -0.00819722 0.0405395 0.0246491 0.00949952 0.0212196 0.0201144 0.00983044 0.0108695 0.00992363 0.0110194 0.00230004 0.0202838 0.022356 0.0239465 0.0110647 -0.00410203 0.0123462 0.00818483 -0.00881004 0.00785041 8.61305e-08 -4.57713e-08 
-13556 -0.549528 -0.309332 8.73137 1.85692 1.01027 -1.01387 -0.227044 -0.45082 0.710612 -0.00167121 -0.00541864 0.000318778 0.0188793 0.035076 0.0413235 0.045313 0.0506701 0.0557741 0.0790791 0.048733 0.0629861 0.0232471 0.0241249 0.13862 0.0488028 0.208401 0.149088 0.0915667 0.106377 0.10316 0.0566781 0.0548171 0.0469021 0.0657549 0.0101021 0.0880658 0.135043 0.0928061 0.054445 -0.00183192 0.0639559 0.0495296 0.0125009 0.0569053 2.9797e-07 -1.75807e-07 
-10107 0.623322 0.467138 1.85692 3.07573 1.75603 -3.00007 -0.256899 -0.551086 0.260479 0.0131115 0.0176375 0.031291 0.0530572 0.0703842 0.0681674 0.0696607 0.0704265 0.0696187 0.0515855 0.0429217 0.0593955 0.00452891 -0.00664799 0.153589 -0.0103183 0.180464 0.116851 0.0476468 0.08861 0.0916831 0.0457495 0.0501938 0.0465339 0.0522581 -0.00230981 0.0936051 0.0947233 0.0819137 0.052094 -0.0144356 0.0741329 0.061421 0.00389592 0.0735872 3.8503e-07 -2.11895e-07 
-5034.59 0.329331 0.259853 1.01027 1.75603 1.05071 -1.68916 -0.15762 -0.321949 0.119067 0.00808422 0.0109915 0.0188367 0.0306784 0.0406868 0.0389454 0.0399798 0.0405582 0.0399269 0.0276715 0.0238348 0.0321277 0.00142434 -0.00579685 0.0867549 -0.00889917 0.0991796 0.0650495 0.0249494 0.0488896 0.0507759 0.0249037 0.0274376 0.0258705 0.0278973 -0.00350958 0.0520222 0.0483931 0.0425848 0.0280364 -0.00868322 0.0409168 0.0339791 0.00219496 0.0392605 2.18881e-07 -1.20258e-07 
3527.76 -0.5354 -0.517044 -1.01387 -3.00007 -1.68916 4.64481 0.385305 0.643892 -0.0159829 -0.0209702 -0.0317894 -0.0501595 -0.0784673 -0.0958157 -0.0948225 -0.0935285 -0.0909577 -0.0881762 -0.0419886 -0.0385541 -0.053716 0.00480156 0.0264688 -0.142562 0.0308438 -0.142795 -0.087782 -0.0239871 -0.0617639 -0.0735331 -0.034743 -0.036777 -0.0402445 -0.0364545 0.00514003 -0.081072 -0.0704047 -0.0686859 -0.0420226 0.021381 -0.0661254 -0.0481668 0.00233029 -0.0720052 -3.90676e-07 2.1459e-07 
-1386.51 0.0321177 -0.0481875 -0.227044 -0.256899 -0.15762 0.385305 1.10353 1.06102 -0.906989 -0.00447892 -0.00750244 -0.0115966 -0.0162113 -0.0199722 -0.0199528 -0.0198905 -0.0200182 -0.0198989 -0.0115752 -0.00955654 -0.00361239 0.00647043 0.00945 -0.0291264 0.0129657 -0.0350523 -0.0115044 0.00525355 -0.000940253 -0.00687501 0.00217019 -0.000831878 -0.00305213 -0.00175345 0.00339935 -0.011324 -0.00944839 -0.00330324 0.00949905 0.0049279 -0.00151034 -0.00544425 0.00468892 -0.00951372 -5.93038e-08 4.49792e-08 
