process[Recruitment].b0 selectivity[chatTANSel].mu selectivity[chatTANSel].sigma_l selectivity[chatTANSel].sigma_r selectivity[eastFSel].mu selectivity[eastFSel].sigma_l selectivity[eastFSel].sigma_r selectivity[westFSel].mu selectivity[westFSel].sigma_l selectivity[westFSel].sigma_r process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} 
100000 9.10323 5.49831 10.6287 10.3537 3.30972 6.79887 6.18879 2.76797 7.46899 1.04134 1.07684 1.10322 1.11816 1.12029 1.10759 1.07916 1.0475 1.02832 0.383671 0.448833 0.475099 0.345043 0.469307 0.396301 0.591466 0.885971 0.675394 0.581758 0.532375 0.442387 0.293178 0.277963 0.204402 0.306115 0.204836 0.307718 0.881394 0.506074 0.415582 0.180954 0.293487 0.249895 0.224398 0.258989 3 3 
90000 9.16375 5.49227 10.7203 10.4148 3.33189 6.8122 6.23686 2.80481 7.52069 1.03986 1.0741 1.09955 1.11397 1.11604 1.10365 1.07583 1.04482 1.02603 0.387761 0.451607 0.479545 0.348671 0.474888 0.400914 0.599489 0.89704 0.683169 0.588443 0.537879 0.446504 0.295657 0.280224 0.205824 0.308455 0.206189 0.30958 0.884832 0.50764 0.417483 0.181536 0.294863 0.250992 0.225189 0.259251 3 3 
80000 9.23718 5.48174 10.8471 10.4953 3.3619 6.83493 6.29801 2.8517 7.59027 1.03787 1.07044 1.09467 1.10842 1.1104 1.09846 1.07146 1.04131 1.02304 0.393029 0.455039 0.485155 0.353424 0.482097 0.406967 0.609723 0.911316 0.693368 0.597058 0.544927 0.451864 0.298815 0.283152 0.207713 0.311449 0.20788 0.311931 0.889017 0.509457 0.419616 0.18225 0.296593 0.252285 0.226098 0.259843 3 3 
70000 9.33455 5.46927 11.0261 10.6026 3.40217 6.87468 6.37585 2.91078 7.69168 1.0351 1.06546 1.08811 1.1011 1.10305 1.09186 1.06592 1.03683 1.01922 0.4004 0.459759 0.492852 0.359884 0.491939 0.415278 0.623762 0.930771 0.707372 0.608876 0.554612 0.45924 0.303217 0.28715 0.210353 0.315686 0.210154 0.31506 0.894784 0.511951 0.422463 0.183141 0.298835 0.253896 0.227181 0.260339 3 3 
60000 9.46918 5.45463 11.3 10.7528 3.45908 6.94875 6.47827 2.98809 7.85255 1.03119 1.0584 1.07895 1.09091 1.09299 1.08275 1.05847 1.03103 1.01436 0.411212 0.466643 0.503916 0.369152 0.50606 0.427111 0.644141 0.958872 0.727566 0.625589 0.568743 0.469708 0.309734 0.292912 0.214219 0.321538 0.213368 0.319539 0.902509 0.515384 0.426136 0.184301 0.301718 0.255754 0.22843 0.260579 3 3 
50000 9.66786 5.43923 11.7811 10.9789 3.54614 7.10835 6.61312 3.08711 8.14149 1.02509 1.04763 1.06516 1.07587 1.07838 1.06997 1.04832 1.02341 1.00817 0.429083 0.477543 0.521676 0.383732 0.528296 0.446083 0.676381 1.00331 0.759734 0.652213 0.591087 0.486916 0.320042 0.302272 0.220457 0.330979 0.218398 0.326442 0.91489 0.520367 0.431369 0.185927 0.305516 0.25795 0.229325 0.258582 3 3 
40000 9.98224 5.42318 12.8712 11.3448 3.68944 7.56173 6.78386 3.20626 8.7916 1.01431 1.02906 1.04202 1.05131 1.05526 1.05055 1.03376 1.01323 1.00038 0.462509 0.497376 0.553705 0.409479 0.568423 0.480334 0.734639 1.08342 0.81786 0.699868 0.631362 0.518239 0.338828 0.31946 0.232069 0.347999 0.227094 0.338136 0.935554 0.528111 0.438552 0.187964 0.309917 0.259507 0.228203 0.250848 3 3 
30000 10.5111 5.39822 18.3662 11.9272 3.91791 10.2893 6.93417 3.28739 11.1164 0.991593 0.991897 0.997931 1.00689 1.01593 1.02013 1.01375 1.0019 0.993435 0.548749 0.542248 0.628586 0.467684 0.660003 0.559457 0.868214 1.27162 0.953224 0.81065 0.726193 0.592413 0.384405 0.360364 0.259077 0.388495 0.245793 0.363902 0.978244 0.53941 0.447906 0.189296 0.311399 0.252702 0.215648 0.219482 3 3 
20000 12.555 5.48369 37.3963 10.2273 2.98949 154.914 6.40116 2.57686 49.1446 0.899903 0.847945 0.830013 0.834152 0.85523 0.881304 0.901493 0.911688 0.914481 1.0068 0.717262 1.01197 0.741268 1.11361 0.947616 1.47543 2.19757 1.54989 1.28081 1.12757 0.923783 0.590437 0.561109 0.388755 0.571647 0.319766 0.452108 1.08172 0.546188 0.401244 0.164555 0.241905 0.177998 0.129155 0.10869 3 3 
10000 10.2987 5.0932 38.109 8.17069 1.22206 154.792 8.24727 1.74038 50.3486 0.442231 0.372587 0.329707 0.369084 0.384794 0.466405 0.496048 0.524539 0.408554 0.994212 3.30767 3.30597 4.17408 2.69274 5.45126 0.284941 4.0294 4.48367 3.44189 1.90481 1.50299 1.14163 4.94582 3.71419 0.0850927 0.400138 1.68985 2.33414 2.77562 0.217591 0.0113316 0.0362698 0.0158792 0.0237114 0.0110394 3 3 
