process[Recruitment].r0 catchability[chatTANq].q selectivity[chatTANSel].mu selectivity[chatTANSel].sigma_l selectivity[chatTANSel].sigma_r selectivity[eastFSel].mu selectivity[eastFSel].sigma_l selectivity[eastFSel].sigma_r selectivity[westFSel].mu selectivity[westFSel].sigma_l selectivity[westFSel].sigma_r process[Recruitment].ycs_values(1) process[Recruitment].ycs_values(2) process[Recruitment].ycs_values(3) process[Recruitment].ycs_values(4) process[Recruitment].ycs_values(5) process[Recruitment].ycs_values(6) process[Recruitment].ycs_values(7) process[Recruitment].ycs_values(8) process[Recruitment].ycs_values(9) process[Recruitment].ycs_values(10) process[Recruitment].ycs_values(11) process[Recruitment].ycs_values(12) process[Recruitment].ycs_values(13) process[Recruitment].ycs_values(14) process[Recruitment].ycs_values(15) process[Recruitment].ycs_values(16) process[Recruitment].ycs_values(17) process[Recruitment].ycs_values(18) process[Recruitment].ycs_values(19) process[Recruitment].ycs_values(20) process[Recruitment].ycs_values(21) process[Recruitment].ycs_values(22) process[Recruitment].ycs_values(23) process[Recruitment].ycs_values(24) process[Recruitment].ycs_values(25) process[Recruitment].ycs_values(26) process[Recruitment].ycs_values(27) process[Recruitment].ycs_values(28) process[Recruitment].ycs_values(29) process[Recruitment].ycs_values(30) process[Recruitment].ycs_values(31) process[Recruitment].ycs_values(32) process[Recruitment].ycs_values(33) process[Recruitment].ycs_values(34) process[Recruitment].ycs_values(35) process[Recruitment].ycs_values(36) process[Recruitment].ycs_values(37) process[Recruitment].ycs_values(38) process[Recruitment].r0 
6.5e+006 0.0388342 9.17344 5.85299 10.1053 10.4645 3.48067 6.85719 6.25512 3.02601 7.57148 1.97707 1.99525 2.00026 1.99331 1.96183 1.91466 1.86573 1.76132 1.6689 1.60167 0.977094 0.751321 0.790893 0.648136 0.776851 0.824243 1.05002 1.3223 1.17919 1.02563 0.89051 0.742015 0.524639 0.449369 0.412965 0.424653 0.399222 0.581451 1.21171 0.849915 0.668535 0.31353 0.436621 0.364032 0.305609 0.316623 0.307608 0.308694 6.5e+006 
6.27273e+006 0.0404499 9.20781 5.84691 10.1464 10.5014 3.49534 6.86656 6.28623 3.05133 7.59588 1.96388 1.98196 1.98736 1.98117 1.95084 1.9051 1.85769 1.75497 1.66394 1.59758 0.978725 0.753359 0.793903 0.651232 0.78104 0.829104 1.05656 1.3304 1.18623 1.03162 0.895555 0.745997 0.527299 0.451545 0.414957 0.426657 0.400932 0.583629 1.21542 0.852398 0.670763 0.314505 0.438288 0.365336 0.306544 0.31739 0.307674 0.308773 6.27273e+006 
6.04545e+006 0.0422094 9.24483 5.84044 10.1922 10.5416 3.51141 6.87722 6.31903 3.0778 7.62367 1.94964 1.96762 1.97341 1.96805 1.939 1.89482 1.84905 1.74815 1.6586 1.59317 0.980508 0.755594 0.797188 0.654592 0.785601 0.834389 1.06366 1.33919 1.19386 1.0381 0.901002 0.750296 0.530167 0.453899 0.417099 0.428811 0.402762 0.585948 1.21935 0.855011 0.673101 0.315529 0.440044 0.366712 0.307532 0.318166 0.307779 0.308884 6.04545e+006 
5.81818e+006 0.0441311 9.28503 5.83369 10.2435 10.5853 3.52885 6.89007 6.35377 3.10559 7.65551 1.93409 1.95198 1.95822 1.95377 1.92611 1.88362 1.83965 1.74074 1.65284 1.58845 0.982502 0.758066 0.800796 0.658256 0.790591 0.840171 1.07141 1.34879 1.20219 1.04514 0.906935 0.754973 0.533286 0.456461 0.419429 0.431147 0.404733 0.588441 1.22357 0.857806 0.675605 0.316624 0.441928 0.368187 0.308595 0.31899 0.307911 0.309016 5.81818e+006 
5.59091e+006 0.0462416 9.32882 5.82666 10.3012 10.6331 3.54796 6.90542 6.39058 3.13475 7.69217 1.91724 1.93501 1.94175 1.93828 1.91213 1.87149 1.82948 1.73273 1.64661 1.58332 0.9847 0.760781 0.804748 0.662265 0.796056 0.846504 1.07988 1.35927 1.21127 1.0528 0.913387 0.760062 0.536669 0.459242 0.421957 0.43367 0.406851 0.591107 1.22807 0.860751 0.678249 0.317779 0.443913 0.369727 0.309702 0.319797 0.308065 0.309166 5.59091e+006 
5.36364e+006 0.0485697 9.3767 5.81934 10.3666 10.6855 3.56894 6.92406 6.42966 3.16541 7.73467 1.89884 1.91649 1.92375 1.92137 1.89688 1.85827 1.81839 1.72401 1.63983 1.57775 0.987149 0.763783 0.80911 0.666673 0.802073 0.853482 1.08918 1.37079 1.22124 1.06117 0.920444 0.765629 0.540361 0.462279 0.424716 0.436409 0.409132 0.593978 1.23288 0.863882 0.681065 0.319002 0.446016 0.371351 0.310862 0.320593 0.30824 0.309335 5.36364e+006 
5.13636e+006 0.0511512 9.42927 5.81172 10.4415 10.7432 3.59205 6.94696 6.47123 3.19769 7.78433 1.87866 1.89617 1.90403 1.90284 1.88017 1.84379 1.80626 1.71449 1.63244 1.57168 0.989894 0.767124 0.813948 0.671544 0.808729 0.861203 1.09946 1.38351 1.23223 1.07037 0.928202 0.77175 0.54441 0.465614 0.427741 0.4394 0.411606 0.597057 1.23804 0.867214 0.684056 0.320297 0.448248 0.37306 0.312063 0.321356 0.308436 0.309521 5.13636e+006 
4.90909e+006 0.0540307 9.48723 5.80382 10.5282 10.8069 3.61761 6.97547 6.51553 3.2317 7.84289 1.85644 1.8738 1.8823 1.88244 1.8618 1.82788 1.79294 1.70404 1.62435 1.56504 0.99299 0.770865 0.819341 0.676956 0.816145 0.869795 1.11087 1.39762 1.24441 1.08054 0.936773 0.77851 0.548871 0.469293 0.431072 0.442677 0.4143 0.600383 1.24356 0.870742 0.687225 0.321667 0.450608 0.374843 0.313299 0.322055 0.308658 0.309728 4.90909e+006 
4.68182e+006 0.057264 9.55141 5.79565 10.6299 10.8776 3.64603 7.01145 6.56278 3.26757 7.9127 1.83184 1.84903 1.85826 1.85988 1.84149 1.8103 1.77825 1.69253 1.61544 1.55774 0.996534 0.775099 0.825394 0.683008 0.824454 0.879401 1.1236 1.41339 1.25799 1.09183 0.946299 0.786016 0.553812 0.473371 0.434757 0.44628 0.417229 0.603973 1.24949 0.87448 0.690552 0.323108 0.453114 0.376707 0.314541 0.322643 0.308906 0.309957 4.68182e+006 
4.45455e+006 0.0609216 9.62284 5.78719 10.7513 10.9565 3.67776 7.05757 6.6133 3.30531 7.99672 1.80452 1.82151 1.83156 1.83482 1.81894 1.79081 1.76199 1.67981 1.60562 1.5497 1.00056 0.779894 0.83222 0.689823 0.833832 0.890242 1.13793 1.43108 1.2732 1.10443 0.956942 0.794394 0.55931 0.477918 0.438854 0.450257 0.420442 0.607875 1.25581 0.878402 0.694057 0.324615 0.455699 0.378598 0.315817 0.32305 0.309189 0.310212 4.45455e+006 
