*mcmc_sample[mcmc]
process[Recruitment].b0 selectivity[chatTANSel].mu selectivity[chatTANSel].sigma_l selectivity[chatTANSel].sigma_r selectivity[eastFSel].mu selectivity[eastFSel].sigma_l selectivity[eastFSel].sigma_r selectivity[westFSel].mu selectivity[westFSel].sigma_l selectivity[westFSel].sigma_r process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011}
52715.2 9.60572 5.44333 11.6139 10.9038 3.51659 7.05311 6.57345 3.05878 8.04328 1.02704 1.05107 1.0695 1.08057 1.08292 1.07388 1.05136 1.02565 1.01001 0.423036 0.474271 0.515759 0.379102 0.521181 0.439839 0.66603 0.988851 0.749307 0.643662 0.583723 0.48119 0.31672 0.299188 0.218314 0.328051 0.216723 0.324072 0.910974 0.518689 0.429989 0.185345 0.304371 0.257212 0.229268 0.259215 3 3
52191.3 9.80473 6.38781 13.6137 12.4724 4.40901 6.63909 6.30325 2.86794 9.36918 1.08017 1.20415 1.05486 1.15507 1.34166 1.544 1.39708 1.4844 1.58103 0.301022 1.0214 0.550742 0.610142 0.74124 0.578463 0.716496 1.32328 1.00058 0.793562 0.884194 0.633026 0.560263 0.369651 0.40876 0.371377 0.352362 0.376709 1.18305 0.918613 0.580623 0.266916 0.388094 0.242422 0.812604 0.295244 2.97447 2.9489
64078.9 9.70604 5.83449 13.245 10.0113 2.99509 9.20687 6.58382 3.2073 7.29877 0.942703 1.01915 1.2203 1.21343 1.14516 1.25298 1.22841 1.21977 1.1864 0.274926 0.48849 0.752418 0.389754 0.726306 0.295379 0.921818 1.04751 0.900098 0.696299 0.681577 0.651817 0.459321 0.426518 0.238604 0.513265 0.288539 0.33798 1.18505 0.564627 0.692848 0.128013 0.644033 0.268747 0.626204 0.208758 2.95288 2.94026
43273.2 9.06506 5.17817 14.7257 12.048 4.28518 6.78138 9.04471 5.78398 10.0655 0.950097 1.02281 1.06392 1.00038 1.19591 1.2154 1.18875 1.0669 1.09215 0.511146 0.404459 0.753566 0.560696 0.493381 0.583813 1.09253 1.04299 0.857549 0.576336 0.716104 0.768841 0.370867 0.417879 0.160559 0.593499 0.210251 0.383215 1.20586 0.766992 0.408438 0.275255 0.328737 0.58412 0.695385 0.244575 2.92715 2.94014
56185.2 10.7525 6.07005 10.2491 11.5883 3.65957 6.24748 7.27957 3.62303 9.12433 1.04511 1.12916 1.23558 1.23049 1.31036 1.38603 1.34103 1.34452 1.3563 0.741619 0.687298 0.745198 0.803423 0.578175 0.68528 1.02874 1.30692 1.08878 1.21695 0.913381 0.535697 0.512566 0.485964 0.195334 0.522747 0.361961 0.443686 1.89066 0.955734 0.701419 0.437923 0.514883 1.30059 0.79955 0.608345 2.96245 2.94985
49090 10.2286 6.0106 9.09021 11.5961 4.07422 7.58015 7.1175 3.39711 7.43521 1.06227 1.22283 1.24629 1.35809 1.33352 1.33605 1.33789 1.22813 1.18213 0.638762 0.973008 0.470139 0.40335 0.98845 0.182017 0.97021 1.30536 0.830589 0.628895 1.02327 0.6965 0.290708 0.442904 0.340812 0.338869 0.37744 0.248789 1.72546 0.49059 0.579042 0.471697 0.345094 0.461416 0.829881 0.170766 2.81394 2.98845
73443.9 9.05096 5.32666 11.982 11.6402 4.42812 9.43999 5.77576 2.99304 13.8884 1.02551 1.1902 1.34464 1.38306 1.16365 1.34526 1.36238 1.35364 1.4052 0.653133 0.621192 0.732847 0.550274 0.912135 0.304329 0.749772 1.4348 0.850484 1.52369 0.824728 0.601641 0.679768 0.54293 0.312477 0.299296 0.694546 0.370146 1.08102 0.618488 0.820149 0.40531 0.676361 0.356842 0.325166 0.454595 2.74804 2.94999
52715.2 9.60572 5.44333 11.6139 10.9038 3.51659 7.05311 6.57345 3.05878 8.04328 1.02704 1.05107 1.0695 1.08057 1.08292 1.07388 1.05136 1.02565 1.01001 0.423036 0.474271 0.515759 0.379102 0.521181 0.439839 0.66603 0.988851 0.749307 0.643662 0.583723 0.48119 0.31672 0.299188 0.218314 0.328051 0.216723 0.324072 0.910974 0.518689 0.429989 0.185345 0.304371 0.257212 0.229268 0.259215 3 3
44659.5 9.7191 6.39456 16.0479 11.7863 4.08824 7.48356 8.68914 4.97437 7.20393 1.07711 1.07612 1.1873 1.33183 1.2817 1.19332 1.37209 1.32215 1.29306 1.1703 0.280488 1.01707 0.543345 0.786308 0.658238 1.41552 1.40492 1.38249 1.10311 1.03496 0.785445 0.667009 0.438197 0.375133 0.333756 0.497298 0.613017 1.09591 1.00886 0.858116 0.398933 0.423511 0.520346 0.450213 0.0622672 3 2.99999
44914.1 8.44671 4.63486 20.9744 11.0032 3.29469 6.73647 6.82227 3.32776 11.1775 1.07626 1.16908 1.17676 1.19499 1.13213 1.09643 1.01257 0.871273 0.82199 0.780315 0.455993 0.523619 0.868993 0.387802 0.673687 0.452719 1.40533 0.697459 0.781534 0.649899 0.766664 0.348245 0.28918 0.421087 0.29575 0.327887 0.337416 1.24343 0.465872 0.6769 0.126029 0.398444 0.369367 0.216186 0.503276 3 2.99999
48880.4 10.8749 6.7037 13.6441 10.814 3.35893 13.3254 6.22549 2.43159 9.90566 1.09623 1.02158 1.1291 1.23629 1.41321 1.38267 1.41706 1.4313 1.46125 1.06708 0.505398 0.664603 0.878415 0.918036 0.913868 0.908958 1.34866 0.980771 0.658718 0.842668 0.681347 0.398781 0.403886 0.368929 0.309874 0.551965 0.379413 1.88317 1.01002 0.56745 0.629037 0.270573 0.466827 0.515541 0.286427 3 3
47258.7 8.80936 4.67044 23.7286 11.7563 4.30982 5.18251 7.55451 4.24005 8.4947 1.14259 1.26673 1.26286 1.28325 1.19973 1.27941 1.11801 1.2376 1.31436 1.0761 1.1934 0.308342 0.373937 1.27787 0.550326 0.796807 1.5117 0.928542 0.872444 1.03546 0.509926 0.377629 0.556181 0.206036 0.572758 0.444794 0.494707 1.10667 0.603746 0.596569 0.277334 0.0961499 0.517083 0.439875 0.138952 3 3
52321 9.60979 5.44403 22.7127 12.4462 4.29304 7.0179 6.91924 3.28667 8.75268 1.04951 1.05337 1.08047 1.13687 1.11052 1.07981 1.23037 1.2252 1.28251 0.485311 1.1895 0.161908 0.530595 0.850235 0.675551 1.00944 1.52146 0.871601 1.11922 1.01904 0.682195 0.488423 0.512521 0.305946 0.564456 0.196797 0.522997 1.72898 0.578749 0.887306 0.346581 0.827782 0.430731 0.789768 0.418988 3 2.99999
46964.9 8.71622 4.33111 17.4259 11.261 3.62642 9.89263 7.53181 4.04737 8.29575 1.01561 1.10749 1.13144 1.22832 1.16039 1.1501 1.07337 1.05018 1.01581 0.181859 0.84449 0.638572 0.169252 0.380556 0.6838 0.791462 0.686909 1.14413 0.843175 0.630613 0.524505 0.412892 0.190338 0.379915 0.322823 0.119753 0.586296 0.979119 0.722128 0.447754 0.249763 0.482129 0.18175 0.393295 0.243705 3 2.99999
50906.1 10.079 5.35615 18.3295 11.7853 3.83522 5.76723 5.28322 2.01807 13.2629 1.08121 1.07711 1.01179 0.99044 0.992528 0.939152 0.901516 1.03417 1.03678 0.776529 0.38267 0.582264 0.619429 0.544329 0.31471 0.869666 0.95916 0.8805 0.997576 0.51606 0.687774 0.537241 0.235639 0.268764 0.651375 0.133207 0.721791 1.11671 0.561914 0.709665 0.134776 0.32785 0.406584 0.403767 0.943208 3 2.99999
34910.5 9.70678 4.87291 25.1017 12.3029 4.36916 11.7186 4.34958 1.2438 16.8006 1.01144 1.0218 1.03463 1.01467 1.05845 1.1659 0.954168 0.953147 0.945684 0.562752 0.479999 0.728034 0.601344 0.580522 0.630225 0.884416 1.60376 0.787942 0.747189 0.585984 0.629647 0.371488 0.447404 0.369876 0.519796 0.191713 0.270543 1.2685 0.715759 0.683547 0.204362 0.494278 0.415452 0.483773 0.558641 3 2.99998
33535 11.5669 6.25159 21.169 14.7412 5.17825 6.25983 10.8754 7.42147 7.90945 1.08123 1.13708 1.25054 1.17346 1.13608 1.20524 1.14459 1.20102 1.1034 0.629308 0.852903 0.43758 0.83537 0.669672 0.439968 1.33199 1.27728 1.14989 0.968407 0.733167 0.501438 0.590329 0.426706 0.22547 0.573025 0.285864 0.192366 1.46364 0.895427 0.413676 0.499288 0.621657 0.458819 0.646878 0.117407 3 2.99998
44435 9.36837 4.84869 31.3693 10.5281 2.84232 10.1489 10.261 9.78704 6.09085 1.03458 1.17236 1.25062 1.16014 1.1938 1.19432 1.2227 1.12713 1.24379 0.721336 0.32412 1.50231 0.279701 0.546259 0.929822 0.681126 1.42221 0.817814 0.812045 0.962306 0.69659 0.381052 0.342356 0.54756 0.317136 0.351293 0.637804 1.39188 0.771064 0.764618 0.207656 0.545584 0.549958 0.279032 0.794493 2.99999 2.99999
88060.3 8.93702 4.84284 14.4452 10.9 3.56959 8.37471 6.26686 3.00062 9.02594 1.06517 1.15114 1.22294 1.15432 1.1762 1.13271 1.10467 1.01972 0.846402 0.812946 0.594716 0.624128 0.432951 0.565994 0.577347 0.915371 1.27828 0.724095 0.841593 0.733739 0.741349 0.322599 0.457922 0.135276 0.639883 0.360409 0.378562 1.30054 1.16973 0.843348 0.388282 0.636092 0.168069 0.184369 0.103693 2.99999 3
62303.2 8.83719 4.68375 11.6667 11.484 4.32105 7.70616 5.93916 2.63424 7.14984 1.12731 1.03051 1.26832 1.37051 1.25746 1.24253 1.21802 1.28062 1.3476 0.362628 0.543439 0.786002 0.425291 0.847627 0.385239 0.876169 0.904766 0.862355 0.824231 1.02594 0.471652 0.513683 0.401438 0.262938 0.363267 0.241468 0.332874 1.26472 0.588215 0.618653 0.267816 0.615848 0.246911 0.980433 0.467364 2.99999 3
48721.7 8.98267 5.6518 26.7533 10.4797 3.40439 16.289 5.75079 2.07808 8.96811 1.18386 1.16435 1.20176 1.13568 1.12025 1.26498 1.28749 1.26731 1.33877 0.323888 0.827816 0.985656 0.730921 0.972105 0.642123 1.47579 1.44558 1.73437 0.559405 1.284 0.566445 0.332297 0.469174 0.219422 0.581727 0.329298 0.429681 1.46791 0.553051 0.828997 0.44295 0.228418 0.304308 0.151908 0.209123 2.99999 2.99999
47756.6 9.42753 5.3174 38.9597 11.4723 3.47416 12.1675 7.40011 4.56143 10.6556 1.07535 1.14635 1.14296 1.19603 1.20819 1.11968 1.11635 1.15261 1.14731 0.536348 0.415409 0.525989 0.623344 0.186331 0.477791 0.927583 1.13518 0.861688 0.837715 0.719789 0.530264 0.335657 0.492517 0.320506 0.367665 0.256091 0.499018 1.17826 0.746899 0.52359 0.0878114 0.525406 0.349762 0.653568 0.455952 2.99999 2.99998
32812.9 10.4232 5.52931 58.1627 15.1163 6.44455 11.208 7.30859 3.238 9.07878 1.04049 1.04474 1.11903 1.21862 1.32125 1.48145 1.35467 1.27269 1.29354 0.960867 0.878983 0.81384 0.719504 0.845686 0.99292 1.00688 1.6923 0.991406 1.407 0.985948 0.734271 0.587035 0.667219 0.560221 0.65959 0.314166 0.427939 1.34004 0.619219 0.811641 0.350773 0.555663 0.450472 0.425982 0.179823 2.99999 2.99998
50124.9 8.30914 4.55799 53.6677 10.7003 3.40306 11.5677 5.8668 2.26705 11.0706 1.09605 1.03827 1.11003 1.20651 1.23699 1.15793 1.12864 1.13256 1.09893 1.01275 0.521791 0.930376 0.384144 0.622129 0.516654 0.944764 1.2106 0.706612 0.996754 0.781004 0.657132 0.52794 0.40216 0.405857 0.339688 0.351743 0.514769 1.11776 0.523547 0.571296 0.409948 0.311528 0.354072 0.802287 0.860337 2.99999 2.99997
40866.6 8.60418 4.06024 43.6927 13.0041 4.48187 7.8816 8.91646 4.57891 7.32133 1.15066 1.16092 1.18648 1.27144 1.22468 1.26638 1.25045 1.12538 1.11818 1.21692 0.642556 0.508197 0.172896 0.919135 0.51819 1.07652 1.41927 0.894546 0.924266 0.593678 0.523478 0.481553 0.345371 0.405727 0.604095 0.353311 0.359839 1.77649 0.500712 0.870898 0.139487 0.847295 0.547908 0.289817 1.02658 2.99999 2.99997
44717 8.86603 4.79631 39.5907 11.9306 3.94155 8.71132 6.31454 2.6468 9.58667 1.04978 1.15405 1.26523 1.37474 1.51358 1.44369 1.41834 1.29339 1.38969 0.606954 0.782939 0.755207 0.470767 0.538734 1.01015 0.739371 1.79 0.943914 1.24968 1.0327 0.783717 0.545731 0.368739 0.190383 0.567678 0.32386 0.280525 1.49657 0.790956 0.804744 0.319205 0.597458 0.319017 0.163089 0.341228 2.99999 2.99997
42156.8 10.4187 6.22179 50.7361 11.4681 3.76252 9.37076 7.08433 3.45577 15.5684 1.10992 1.10758 1.18532 1.19811 1.20817 1.22219 1.15481 1.08733 1.01785 0.923952 0.265825 0.563291 0.53795 0.858739 0.447456 0.826946 1.42049 0.773423 1.14829 0.490892 0.56066 0.6821 0.452996 0.339811 0.517156 0.227164 0.609373 1.21135 0.738478 0.630663 0.288234 0.341315 0.158484 0.32077 1.2381 2.99999 2.99998
32397.7 10.4649 5.7588 61.2817 10.7595 3.18606 20.0436 8.80272 5.25558 10.4869 1.13565 1.13049 1.13473 1.09808 1.07012 1.08856 1.09503 1.1058 0.944293 0.24828 0.587151 0.770749 0.625831 0.695234 0.57818 0.745284 1.98289 0.750937 1.01714 0.928327 0.719192 0.391149 0.299499 0.407419 0.3736 0.481095 0.447093 1.68383 0.711457 0.454759 0.18885 0.318186 0.299322 0.339794 0.680438 3 2.99999
35502.5 9.98526 4.90594 72.8345 11.2858 3.44301 11.8758 9.71586 5.39968 14.934 0.949844 0.960061 0.998749 1.12767 1.26126 1.30511 1.24579 1.12606 1.23585 0.306018 0.685758 0.757022 0.429699 0.634002 0.739185 0.845921 1.23793 1.30853 1.0821 0.827158 0.821525 0.591818 0.46321 0.333834 0.360717 0.401185 0.623768 1.56874 0.890973 0.440626 0.282144 0.594358 0.64698 0.517293 0.38678 3 2.99997
