process[Recruitment].b0 selectivity[chatTANSel].mu selectivity[chatTANSel].sigma_l selectivity[chatTANSel].sigma_r selectivity[eastFSel].mu selectivity[eastFSel].sigma_l selectivity[eastFSel].sigma_r selectivity[westFSel].mu selectivity[westFSel].sigma_l selectivity[westFSel].sigma_r process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011}
60816.1 7.370132 5.444383 56.01645 6.333816 2.862535 25.1445 21.77955 2.969013 38.93539 0.9048755 0.2947765 1.052386 4.016618 0.7623503 0.6287443 0.5841896 0.3859419 0.2706021 1.442529 0.4941852 0.771759 2.717687 0.8785379 2.069024 0.6285587 0.7426621 3.252929 0.156419 0.5200848 0.6543202 1.274772 0.5015008 0.3605134 0.6890016 0.4987662 1.950988 0.7366538 0.5992434 0.3541416 1.641864 0.8551807 0.7853773 1.225243 0.5801145 2.288772 1.489409
111076.9 8.164455 5.860357 38.42152 9.372097 1.142831 72.73602 3.563373 3.617642 82.19689 2.518587 1.315834 0.1427235 0.6434997 0.8565735 0.8676709 1.165588 2.15557 0.4565182 0.1955476 0.5633223 0.9745971 1.911557 0.665546 0.6404744 0.2472505 2.284424 2.100826 0.3194383 0.36732 1.040619 0.8666448 2.174899 1.729647 0.529 0.3563146 2.399502 0.4432432 0.8530212 0.4224565 0.591715 0.7330363 1.345486 0.4829525 2.512995 1.506407 0.8550278
74819.67 7.846131 3.344834 82.39714 10.80149 6.394757 37.86737 8.739674 6.588429 3.998278 0.2924917 0.8686462 1.229175 0.9344768 0.1318244 0.2806403 0.7543492 2.771128 0.5572738 0.4743146 0.6706033 0.6442627 0.176381 0.12513 0.1514425 1.380912 3.283604 0.3172509 0.04683242 1.113637 0.4510767 0.5389167 0.8992136 0.1826016 0.5252506 4.260605 0.4682794 0.103942 1.10129 3.182394 0.3781599 0.9956519 0.2116904 1.68133 0.5554847 2.392568 0.1742793
91746.81 9.599037 7.535042 48.70034 24.56125 5.148472 85.07334 15.12083 2.327471 63.98337 0.6568784 0.1960705 0.5590847 2.102933 2.474813 0.8545277 0.336057 1.518716 0.8861815 5 1.661654 0.6111504 0.9066996 0.2285097 0.3688839 0.4576257 1.412379 2.437784 0.3608702 0.4878958 0.9451743 0.2067301 0.6123324 4.281447 1.90767 0.3762739 5 0.1458692 0.5018374 0.6582967 1.393692 0.4772619 0.5508946 4.209926 1.131783 0.9096215 0.3276321
88959.37 6.351341 1.223813 52.61779 7.332829 7.410057 37.21004 7.077278 8.388513 76.58201 0.1015479 0.9241973 1.992324 0.6041911 0.693272 1.283087 0.3330385 1.031669 0.3267201 0.3268718 0.7883464 0.9777527 1.16017 0.3396409 0.6099287 0.9026259 4.700902 1.087371 1.895923 0.3425539 3.181057 0.1297459 0.5140991 0.7546101 0.2026354 0.6430552 0.4359395 0.6229652 0.4645561 2.395235 0.1775553 0.3339173 0.2360579 0.5906928 0.4299272 1.052546 0.6733554
69002.46 6.19471 4.041691 69.15934 14.79856 4.886481 22.41383 18.09882 6.141727 38.53147 1.537061 3.159369 0.8380937 1.995713 2.262914 1.053771 1.53732 0.4767713 1.06866 2.639084 0.6636872 0.6248481 0.7771945 2.412017 0.5312478 4.524507 0.5380209 0.8823376 0.1565186 0.5495068 0.553762 1.102966 0.8319127 0.4004208 0.06450106 0.4688904 1.486861 0.6663021 0.6301947 0.6761105 0.1069941 0.7367727 0.2680769 0.8283034 0.326562 0.1972165 0.4316639
40100.71 8.647221 8.511518 18.32809 12.99929 8.764289 85.07146 8.624396 2.861468 26.26319 0.9108724 0.1603411 1.287289 1.139041 0.7968727 0.160056 0.4251862 4.28474 1.302176 0.4135655 0.9979149 0.9192025 2.421527 0.6645875 1.34174 2.026214 0.2501822 0.4418764 0.783455 0.3950367 1.176147 0.5275423 0.3709731 0.8690704 2.466323 0.2022513 0.2556226 0.7177247 1.146959 0.6438479 0.366273 0.5667889 1.181188 0.6036577 0.3342619 1.338705 1.2966
30242.22 7.711809 1.041801 24.33753 9.609519 3.272766 53.74808 7.980948 8.6428 34.5262 1.417444 3.084633 0.2880536 0.5267418 0.7583319 0.6261542 0.2174253 0.7823448 0.1600532 1.388637 0.4389632 1.022216 1.310218 0.3141884 1.084253 1.289273 0.3340033 0.3925401 0.4297287 0.3709023 0.4189667 0.5956883 1.68005 0.4654407 0.7006024 0.1597689 0.674363 1.05555 0.3640823 0.2245278 0.6853896 0.4764515 1.272488 0.9493577 0.143584 0.3824924 0.9979501
15057.85 6.535818 7.006394 55.97465 9.431919 8.644193 44.12359 2.128656 7.279194 97.6557 0.7372266 0.7103538 0.7795937 0.336066 0.4920025 0.5282184 0.5029408 0.5158359 0.3714261 0.499504 1.562428 0.6231883 0.7371542 4.241143 0.7317713 0.8594768 0.2243855 0.5435365 0.692335 0.9840248 0.3199551 0.2973338 0.2757644 0.1995268 0.8456798 0.7548006 0.4974638 0.2999702 0.704956 0.6319192 0.2742268 0.6997896 0.391108 0.2778293 1.180471 0.3448322 0.5717933
10497.1 6.865405 2.679964 39.13994 22.77434 5.430338 82.71224 9.702144 5.907567 97.6759 0.7064936 1.041375 0.980461 0.4963272 2.44597 0.3137029 0.4397922 0.4360002 0.234605 0.04594477 0.9817382 0.3016327 0.6543378 0.2778246 3.066359 0.8746679 0.1349246 0.3338749 0.9415983 2.160877 0.3333729 0.3141652 0.3628402 0.3341012 0.8399924 1.756904 1.337577 0.7762102 1.24978 0.6246794 1.391696 0.9708943 0.2771727 0.7771453 0.5985078 3 0.9010638
