* MPD
estimate_values:
process[Recruitment].b0 age_length[asMm0].linf age_length[asMm0].cv_last selectivity[potSurveySel_male].a50 selectivity[potSurveySel_male].ato95 selectivity[potSurveySel_female].a50 selectivity[potSurveySel_female].ato95 process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
14210.7 47.3135 0.0614246 3.04011 0.191764 3.31509 1.02647 0.23512 0.232089 0.233169 0.241993 0.264699 0.314952 0.416347 0.601994 0.902567 1.37987 1.55856 1.0285 0.847821 0.847085 1.06575 1.54805 1.05345 0.802905 0.816575 0.628937 0.802339 0.745993 0.466754 1.09063 0.917106 0.382561 0.901903 0.720454 0.834793 0.426065 1.28707 0.6911 0.736776 0.561904 0.439777 
covariance_matrix:
144840 -231.573 3.08385 27.8483 140.277 -3.03117 -3.72995 2.14298 1.94864 1.87076 1.90063 2.12578 2.15002 4.2821 13.0984 -10.5061 15.1385 -49.6154 -6.76765 5.30177 2.74416 22.9347 -72.3744 -6.79795 3.30922 -13.8435 -4.13793 -7.79744 -9.73464 -4.33955 -25.5412 -22.095 -3.84176 -1.15566 -5.89732 -4.13648 0.745216 4.92798 7.63881 18.5023 19.3895 15.0095 
-231.573 0.760489 -0.0065248 -0.0244528 -0.12738 0.00560089 0.0155629 -0.00176609 -0.00197298 -0.00260402 -0.00374856 -0.00569037 -0.00664158 -0.0162127 -0.0425903 0.00242719 -0.0668817 0.12122 0.024583 -0.005171 -0.007078 -0.0651675 0.156007 0.0205962 -0.0203572 0.0180728 -0.00457367 -0.00621963 0.0082426 0.0024403 0.0543006 0.0667204 0.0113313 -0.00281715 0.0112113 0.0145985 0.00453013 0.0168855 0.00430842 -0.0120533 -0.02205 -0.0167341 
3.08385 -0.0065248 0.000306535 0.00119541 0.00589084 -0.000142401 -0.00044771 -1.76824e-05 -1.85713e-05 -1.34145e-05 -3.63493e-06 1.28599e-05 -6.22007e-06 0.00017115 0.000535235 -0.000588469 0.000973568 -0.00159684 -0.000233428 0.000168865 -3.31449e-05 0.00109611 -0.00288223 -1.80433e-05 0.000578446 -0.00022459 7.54449e-05 1.41692e-05 -0.000449319 -0.000124925 -0.000634564 -0.000640974 -0.000128812 -3.52259e-05 -0.000182082 -0.000192758 -6.32383e-05 -0.000206878 -6.68674e-05 9.80939e-05 0.000149924 0.00012139 
27.8483 -0.0244528 0.00119541 2.29318 10.9192 -0.00084543 -0.000844089 -0.00319974 -0.0031476 -0.00306166 -0.00297592 -0.00295228 -0.00561523 0.0234319 0.0145497 -0.171798 -0.0301713 -0.00820222 0.0631286 0.00567345 -0.0181372 -0.0899361 -0.147666 -0.0765406 0.188608 -0.0777938 -0.0259482 -0.0381775 -0.0134897 -0.0120351 -0.0350862 -0.0275542 -0.00880574 -0.023464 -0.0194969 -0.0211782 -0.00950277 -0.031991 -0.0158276 -0.0140235 -0.009318 -0.00650675 
140.277 -0.12738 0.00589084 10.9192 52.0074 -0.00863072 -0.00972317 -0.0152785 -0.0150163 -0.0145852 -0.014153 -0.0140193 -0.0269441 0.113471 0.069972 -0.822954 -0.144098 -0.0438823 0.302684 0.0302864 -0.0873059 -0.430275 -0.721699 -0.357552 0.903356 -0.374912 -0.124852 -0.183712 -0.064374 -0.0579817 -0.168625 -0.132523 -0.0419166 -0.111673 -0.0981574 -0.100945 -0.0452002 -0.15269 -0.078087 -0.0660533 -0.043453 -0.0304276 
-3.03117 0.00560089 -0.000142401 -0.00084543 -0.00863072 0.037343 0.0492117 -1.96259e-05 -4.7906e-05 -8.57822e-05 -0.00012322 -0.000133864 -7.52699e-05 -0.00124711 -0.00151634 -0.000182707 -0.000363315 -0.0035426 0.00151803 0.0058951 -0.00299754 -0.00646562 -0.0044778 0.0172492 -0.00447396 -0.000212409 -0.000103421 0.000388711 -0.00118025 0.000267257 -0.00211348 -0.000845458 -0.00166094 0.00219303 0.00275157 -0.00293082 -0.00101203 0.0024011 0.000944097 -0.00130111 -1.57762e-05 0.00233505 
-3.72995 0.0155629 -0.00044771 -0.000844089 -0.00972317 0.0492117 0.202166 -0.000771196 -0.000731139 -0.000711241 -0.000705602 -0.000619414 0.000220471 -0.00526635 0.000612025 -0.00399119 0.00785991 -0.0262648 0.00712326 0.0284509 -0.00652377 -0.0121183 -0.0656727 0.0702309 -0.0119977 -0.00609291 0.00200304 0.00216256 -0.00414422 0.000230314 -0.00169441 -0.00351578 -0.00132854 0.0107611 -0.00754005 -0.00518426 -0.00184223 0.00798081 -0.00465625 -0.00326775 -0.00121158 0.00785473 
2.14298 -0.00176609 -1.76824e-05 -0.00319974 -0.0152785 -1.96259e-05 -0.000771196 0.0078825 -0.000115892 -0.000110998 -6.51536e-05 4.72249e-05 0.000307514 5.69911e-05 0.000284334 -0.00034526 0.00180873 0.00322932 0.000744294 0.000961756 0.00122228 0.000657979 0.00456669 0.000386386 0.00113762 0.000972475 0.000551554 0.000861862 0.000851099 0.000917056 0.00109254 0.00110184 0.000535736 0.00121091 0.00108945 0.00115528 0.000559252 0.00169799 0.000995076 0.0011723 0.00086808 0.000506927 
