*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 age_length[asMm0].linf age_length[asMm0].cv_last selectivity[potSurveySel_male].a50 selectivity[potSurveySel_male].ato95 selectivity[potSurveySel_female].a50 selectivity[potSurveySel_female].ato95 process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} process[Recruitment].recruitment_multipliers{2015} process[Recruitment].recruitment_multipliers{2016} process[Recruitment].recruitment_multipliers{2017} 
14561.2 46.7784 0.1 3.03766 0.191249 3.30703 1.03761 0.234624 0.232319 0.234411 0.244364 0.268566 0.320837 0.424753 0.612818 0.915665 1.4181 1.51893 1.01275 0.845766 0.858467 1.0938 1.4923 1.02713 0.794752 0.817792 0.634578 0.813379 0.747801 0.45632 1.03192 0.876495 0.377965 0.909877 0.69749 0.827699 0.425379 1.29262 0.695816 0.755307 0.581353 0.452441 
covariance_matrix:
139278 -195.899 -0 4.72901 31.1164 0.982779 10.7825 1.85939 1.69563 1.57305 1.53838 1.68399 1.61009 10.9699 11.3236 11.1581 -48.5503 15.8772 -8.01291 1.63846 6.63102 2.66307 -28.1071 -13.1857 -7.62156 -10.2962 -6.73524 -0.961504 -2.51909 -4.88317 -20.9386 -18.2273 -2.92481 2.94794 -2.59021 -1.04434 1.82313 10.4098 8.33632 20.0187 21.8724 16.5998 
-195.899 0.689156 -0 -0.00693735 -0.0440243 -0.00339914 -0.0134246 -0.00198154 -0.002358 -0.002853 -0.00363484 -0.00502885 -0.00590911 -0.0199006 -0.0324791 -0.03321 0.0464954 -0.00577667 0.0293955 0.00330824 -0.0198501 -0.0206796 0.0589129 0.0319186 -0.00505536 0.0103389 -0.00512655 -0.021945 -0.00630868 0.00500792 0.0454855 0.0572259 0.00910827 -0.00946432 0.00570132 0.00933812 0.00400627 0.0121784 0.00582439 -0.0112609 -0.0213777 -0.0121491 
0 0 0.000436589 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4.72901 -0.00693735 0 1.1732 5.90808 0.0496135 0.199532 -0.000321205 -0.000294079 -0.000251024 -0.000156168 0.000138725 0.00152718 -0.00149861 0.0134218 0.0762041 -0.283335 0.217152 0.00958492 -0.00100183 -0.170153 0.0605501 0.372307 -0.376989 0.0597816 0.00298162 0.00798402 0.00828155 0.000172711 -0.00069755 -0.0038402 -0.00353528 -0.00090708 0.00998957 -0.00399572 -0.00347377 -0.00099689 0.00959755 -0.00207774 -0.00130228 0.00013617 0.00878627 
31.1164 -0.0440243 -0 5.90808 29.773 0.248042 1.01073 -0.00159022 -0.00144602 -0.00121763 -0.000721768 0.000799689 0.00780346 -0.00635557 0.0684557 0.385249 -1.43133 1.09339 0.0492868 -0.00411021 -0.862682 0.309353 1.87996 -1.91142 0.303539 0.0151725 0.0409437 0.0412131 0.000230698 -0.00377652 -0.0195349 -0.0182324 -0.00423649 0.0519244 -0.025081 -0.0174309 -0.00472903 0.0501111 -0.0127925 -0.00520963 0.00213172 0.0454067 
0.982779 -0.00339914 0 0.0496135 0.248042 0.0407376 0.0651958 -0.000154177 -0.000178168 -0.000203943 -0.000229668 -0.000280391 -0.00049468 -0.00122645 -0.000244813 0.00152945 -0.00231624 0.000446527 0.000463138 -0.00313422 -0.00375473 0.0070862 0.00591539 -0.00616686 -8.17195e-05 0.00120476 0.00187224 -0.00276314 0.00106621 -0.000172553 -0.00253909 -0.00202008 -0.000892913 0.00319642 0.00237159 -0.00192559 -0.000550024 0.00301924 0.000856638 0.000135269 0.000255077 0.00366143 
10.7825 -0.0134246 0 0.199532 1.01073 0.0651958 0.273408 -0.00121397 -0.00119848 -0.00119346 -0.00120668 -0.00126616 -0.00172101 0.00135892 0.00507324 0.00432858 -0.0291854 0.0142868 0.000744298 -0.00700965 -0.0141698 0.0187367 0.0191874 -0.0320172 -0.00103165 0.0030659 0.00468786 -0.0106438 0.0067102 -0.00124618 -0.00678937 -0.00618951 -0.00118383 0.0130773 -0.00873809 -0.00481456 -0.00116799 0.0120941 -0.00494082 -0.000554373 0.00180512 0.0122973 
1.85939 -0.00198154 0 -0.000321205 -0.00159022 -0.000154177 -0.00121397 0.00778098 -0.000199639 -0.000190072 -0.000147442 -5.15177e-05 0.000127788 0.000448113 0.000439324 -0.00103754 0.000942493 0.00386699 0.000238502 0.00160684 0.000862299 -0.000215129 0.00341619 0.000375616 0.00161147 0.000803665 0.000409213 0.000574319 0.00067718 0.000779404 0.000943878 0.000762648 0.000321457 0.000983024 0.000950478 0.000891133 0.000441897 0.00123652 0.00068161 0.000753035 0.000546017 0.0003122 
