*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 age_length[asMm0].linf age_length[asMm0].cv_last selectivity[potSurveySel_male].a50 selectivity[potSurveySel_male].ato95 selectivity[potSurveySel_female].a50 selectivity[potSurveySel_female].ato95 process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
14199.6 47.3306 0.0597765 3.03932 0.190615 3.3145 1.03325 0.235225 0.232175 0.233214 0.241989 0.264643 0.314841 0.416172 0.601743 0.902116 1.37833 1.56001 1.02891 0.847878 0.846852 1.06536 1.54897 1.05327 0.803063 0.816688 0.628378 0.802061 0.745814 0.467129 1.09423 0.921275 0.384129 0.905891 0.709813 0.835568 0.426294 1.28746 0.690332 0.736378 0.561555 0.439783 
covariance_matrix:
155669 -257.022 3.64069 -33.11 -154.582 -1.63371 8.83153 2.72767 2.54647 2.51413 2.62703 3.01202 4.27778 2.12356 7.65421 2.2782 30.9936 -55.4135 -6.24036 2.86102 6.01904 -1.61021 -16.5152 -14.3924 -15.7429 -7.18724 -2.676 -8.81925 -1.96141 -4.50344 -26.0869 -22.3733 -3.77205 2.75765 -4.42917 -2.44639 1.87995 8.61791 9.33247 20.6352 21.1768 17.243 
-257.022 0.844058 -0.00755754 0.0573563 0.26904 0.0028905 -0.0136379 -0.00372419 -0.0039668 -0.00472316 -0.00611759 -0.00863125 -0.0133298 -0.00685374 -0.0287744 -0.0300997 -0.11516 0.159516 0.0202861 -0.00262641 -0.023226 -0.0183126 0.0270348 0.0428987 0.0322686 0.00146972 -0.0087002 -0.00378949 -0.0118537 0.00355965 0.0546424 0.0701822 0.0122233 -0.0129216 0.00970147 0.0108803 0.00196294 0.00870262 0.00135053 -0.0150567 -0.0265894 -0.0208982 
3.64069 -0.00755754 0.000346765 -0.00122498 -0.00582304 -0.000172701 -5.4418e-05 1.79397e-05 1.66418e-05 2.50898e-05 4.34094e-05 7.92868e-05 0.000169621 -0.000139518 0.00016312 -7.14575e-06 0.00207775 -0.00208591 -0.000355566 0.000119898 0.000278031 -0.000142969 -3.99458e-05 -0.000392286 -0.000613988 0.00014676 0.000156962 -6.61213e-05 3.61098e-05 -0.000166805 -0.000693212 -0.000702692 -0.000138787 0.000103066 -0.000173835 -0.000119989 -4.69131e-06 3.73752e-05 1.92256e-05 0.000247116 0.000295939 0.000241922 
-33.11 0.0573563 -0.00122498 2.14503 10.3537 -0.0216633 -0.103469 -0.000543871 -0.00056386 -0.000753019 -0.00122836 -0.0024196 -0.00572462 -8.09022e-06 -0.00850594 0.0323992 0.122881 -0.155672 -0.0353578 0.0774741 0.107106 -0.0656612 -0.312071 0.403087 -0.116372 0.0282062 -0.0105408 0.00383443 -0.0105162 0.00523247 0.0127999 0.0103461 0.00246857 -0.00525962 0.00837337 0.00512148 0.00165852 -0.00615564 0.00239409 -0.00212068 -0.00329909 -0.00716016 
-154.582 0.26904 -0.00582304 10.3537 49.9908 -0.108048 -0.501873 -0.00250578 -0.00259105 -0.00349505 -0.00579021 -0.0115586 -0.0275605 0.000439225 -0.0412132 0.159826 0.600452 -0.760862 -0.173636 0.377896 0.519961 -0.319539 -1.51514 1.9607 -0.569097 0.137906 -0.0514775 0.018465 -0.0512642 0.0255746 0.0623298 0.0506061 0.0123307 -0.0241737 0.0362734 0.0256826 0.00851991 -0.0283159 0.0096841 -0.00888617 -0.0145843 -0.0336765 
-1.63371 0.0028905 -0.000172701 -0.0216633 -0.108048 0.0403087 0.0636669 -0.000111178 -0.00014247 -0.000167867 -0.000173055 -0.000174197 -0.000347604 -0.000801095 -0.000905901 -0.00326931 0.000191963 0.00127855 -0.00175909 -0.000490078 -0.00292814 0.0050718 0.00330154 -0.00645859 0.00194708 -0.000453478 0.00042103 -0.0010931 -7.27923e-05 -3.92922e-05 -0.0019387 -0.00237279 -0.00118035 0.00329743 0.00180612 -0.00283299 -0.000673855 0.00318856 0.000967083 -0.000946385 -0.000799459 0.00325444 
8.83153 -0.0136379 -5.4418e-05 -0.103469 -0.501873 0.0636669 0.258122 -0.000828619 -0.000817776 -0.000796618 -0.000769564 -0.00077009 -0.00115752 -0.00249061 0.00325307 -0.00900676 0.00712293 -0.00655943 -0.0117728 0.00185152 -0.00929495 0.0076466 0.0214755 -0.0305139 0.00263405 -0.00356377 0.0050997 -0.00430147 0.00304876 -0.00112345 -0.00798981 -0.00774771 -0.00239582 0.013366 -0.0089109 -0.00602417 -0.000345208 0.0116866 -0.00454219 -0.00101288 -0.000400294 0.0115209 
2.72767 -0.00372419 1.79397e-05 -0.000543871 -0.00250578 -0.000111178 -0.000828619 0.00791611 -0.00010756 -0.0001007 -5.33282e-05 5.50525e-05 0.000239204 0.000393163 0.000196141 0.000674142 0.000812454 0.00435541 0.000765168 0.000884821 0.00100397 0.000640899 0.00494638 0.000306152 0.000893621 0.00112958 0.000841344 0.00114275 0.00109426 0.000881189 0.00109168 0.00101969 0.000499818 0.00144174 0.00110392 0.00115314 0.00058306 0.00179516 0.00109287 0.00116073 0.000939499 0.000613506 
2.54647 -0.0039668 1.66418e-05 -0.00056386 -0.00259105 -0.00014247 -0.000817776 -0.00010756 0.00770339 -0.000119048 -7.20623e-05 3.57993e-05 0.000220725 0.000363982 0.000121073 0.000598765 0.00076444 0.00438532 0.000772217 0.000875738 0.00101052 0.000689047 0.0048403 0.000263184 0.000851211 0.00112686 0.000856496 0.0011431 0.00108182 0.000848239 0.00108006 0.000991175 0.000487145 0.00144483 0.00107403 0.00114307 0.000573873 0.00179531 0.00108797 0.00116378 0.00095434 0.000631189 
2.51413 -0.00472316 2.50898e-05 -0.000753019 -0.00349505 -0.000167867 -0.000796618 -0.0001007 -0.000119048 0.00777593 -6.69259e-05 4.14315e-05 0.00023435 0.000352798 3.66525e-05 0.00044975 0.000802998 0.0045065 0.000728205 0.000851539 0.001013 0.000740634 0.00488945 0.000239464 0.000815268 0.00118648 0.000906288 0.00118676 0.00113144 0.000834377 0.00105058 0.000970854 0.000494813 0.00148765 0.00106507 0.00115205 0.000588191 0.00183197 0.00110243 0.00120152 0.000992101 0.000659458 
2.62703 -0.00611759 4.34094e-05 -0.00122836 -0.00579021 -0.000173055 -0.000769564 -5.33282e-05 -7.20623e-05 -6.69259e-05 0.00838046 8.92577e-05 0.000300719 0.000388168 -7.99523e-05 0.00016743 0.000827909 0.00496305 0.000626482 0.000812768 0.00100669 0.000783547 0.00522175 0.00022731 0.000801624 0.00134624 0.00102815 0.00132318 0.00130204 0.000863213 0.00103516 0.000975411 0.000541154 0.00160001 0.00110418 0.00120115 0.000646734 0.00192761 0.00115754 0.00129513 0.00106334 0.00070651 
3.01202 -0.00863125 7.92868e-05 -0.0024196 -0.0115586 -0.000174197 -0.00077009 5.50525e-05 3.57993e-05 4.14315e-05 8.92577e-05 0.00992752 0.000465041 0.000537681 -0.000313027 -0.000339051 0.000530179 0.00615039 0.000502209 0.000824931 0.00105086 0.000765404 0.00612166 1.92139e-05 0.000694256 0.00160694 0.00134886 0.00165722 0.00171662 0.00093929 0.00105843 0.000997495 0.000642196 0.00183516 0.00120181 0.00131502 0.000777176 0.00211457 0.00128808 0.00147279 0.00119235 0.00082236 
4.27778 -0.0133298 0.000169621 -0.00572462 -0.0275605 -0.000347604 -0.00115752 0.000239204 0.000220725 0.00023435 0.000300719 0.000465041 0.0134883 0.000801029 -0.00123906 -0.00120409 -0.00113676 0.00909142 0.000921514 0.000941116 0.000989112 0.000367967 0.00820026 -0.00159754 -0.00031608 0.00225746 0.00220084 0.00228103 0.00278323 0.00090176 0.00101651 0.000917266 0.000834609 0.00217224 0.00124561 0.00151748 0.000892192 0.0023665 0.00153041 0.00175919 0.00151198 0.00105088 
2.12356 -0.00685374 -0.000139518 -8.09022e-06 0.000439225 -0.000801095 -0.00249061 0.000393163 0.000363982 0.000352798 0.000388168 0.000537681 0.000801029 0.0271252 -0.00439589 -0.0102768 -0.00575445 0.0123117 0.00129739 0.00853069 0.0040716 -0.00812185 0.0120788 0.00634509 -0.00144172 -0.000487407 0.000718481 0.000555017 0.00439727 0.00175863 0.00318163 0.00240305 0.00105665 0.00254898 0.00172707 0.00205667 0.00112138 0.00324988 0.00207282 0.00226524 0.0015325 0.00104389 
7.65421 -0.0287744 0.00016312 -0.00850594 -0.0412132 -0.000905901 0.00325307 0.000196141 0.000121073 3.66525e-05 -7.99523e-05 -0.000313027 -0.00123906 -0.00439589 0.0849588 -0.025569 -0.0519189 0.0266603 0.0125025 0.00288261 0.00321764 0.0116398 -0.000243829 0.00492284 0.0039944 0.00467368 0.00401766 0.00395073 -0.00108341 0.00317293 0.00544102 0.00258726 0.00113796 0.00490651 0.00227715 0.00369017 0.00145967 0.00648422 0.00305273 0.00379558 0.00326058 0.00262442 
2.2782 -0.0300997 -7.14575e-06 0.0323992 0.159826 -0.00326931 -0.00900676 0.000674142 0.000598765 0.00044975 0.00016743 -0.000339051 -0.00120409 -0.0102768 -0.025569 0.259793 -0.225622 0.0542152 0.00410079 0.00345897 0.0100835 0.00332099 0.0405038 -0.00461348 0.00583135 0.00421246 0.00314405 0.00360463 0.00875649 0.00413868 0.00720271 0.00564785 0.00161317 0.00863847 0.00623758 0.00551956 0.00402395 0.0107796 0.00447163 0.00562641 0.00490834 0.00402893 
30.9936 -0.11516 0.00207775 0.122881 0.600452 0.000191963 0.00712293 0.000812454 0.00076444 0.000802998 0.000827909 0.000530179 -0.00113676 -0.00575445 -0.0519189 -0.225622 1.12942 -0.949451 0.0905414 0.0375556 0.0476488 0.0742325 -0.0181042 -0.0261518 0.0268761 -0.00910226 -0.00649537 0.0363225 0.0052054 0.000704194 0.0027479 -0.00346456 0.00320658 0.00952412 0.00227251 0.00748694 0.00157737 0.010252 0.006089 0.00898929 0.00943162 0.00450561 
-55.4135 0.159516 -0.00208591 -0.155672 -0.760862 0.00127855 -0.00655943 0.00435541 0.00438532 0.0045065 0.00496305 0.00615039 0.00909142 0.0123117 0.0266603 0.0542152 -0.949451 1.54284 -0.39234 -0.0958183 -0.0630553 -0.0694796 0.189838 0.0403712 -0.0208386 0.031396 0.0284082 -0.0170938 0.0164767 0.0119844 0.0450715 0.0336367 0.0110483 0.0167331 0.0169385 0.0220835 0.00855611 0.0262135 0.0136253 0.00999964 0.00462323 0.00248806 
-6.24036 0.0202861 -0.000355566 -0.0353578 -0.173636 -0.00175909 -0.0117728 0.000765168 0.000772217 0.000728205 0.000626482 0.000502209 0.000921514 0.00129739 0.0125025 0.00410079 0.0905414 -0.39234 0.429652 -0.0475117 -0.029031 -0.0224706 -0.00190715 0.00852588 0.00297238 0.010091 -0.00490565 0.0144569 0.00262366 0.00122774 0.00472529 0.00668383 0.000563378 0.00486356 0.00502645 0.00151908 0.00304592 0.006351 0.00285867 0.00221903 -0.000754751 0.00287896 
2.86102 -0.00262641 0.000119898 0.0774741 0.377896 -0.000490078 0.00185152 0.000884821 0.000875738 0.000851539 0.000812768 0.000824931 0.000941116 0.00853069 0.00288261 0.00345897 0.0375556 -0.0958183 -0.0475117 0.220286 -0.0289673 -0.0322212 -0.0411067 0.00366592 0.0235114 0.0100573 0.00296469 0.00201334 0.00111262 0.00141066 0.00398631 0.00443528 0.000804057 0.00375158 0.00396121 0.0038996 0.00128355 0.00714594 0.00331728 0.0033955 0.00286689 0.00177966 
6.01904 -0.023226 0.000278031 0.107106 0.519961 -0.00292814 -0.00929495 0.00100397 0.00101052 0.001013 0.00100669 0.00105086 0.000989112 0.0040716 0.00321764 0.0100835 0.0476488 -0.0630553 -0.029031 -0.0289673 0.226804 -0.0351998 -0.125999 0.0263332 0.0213965 0.0075126 0.0026571 0.00824891 0.00543612 0.000944175 0.00171525 0.00316304 0.000925686 0.00359207 0.00456521 0.00461155 0.0016237 0.00617485 0.00369001 0.00400395 0.00380302 0.0012392 
-1.61021 -0.0183126 -0.000142969 -0.0656612 -0.319539 0.0050718 0.0076466 0.000640899 0.000689047 0.000740634 0.000783547 0.000765404 0.000367967 -0.00812185 0.0116398 0.00332099 0.0742325 -0.0694796 -0.0224706 -0.0322212 -0.0351998 0.459905 -0.396832 0.0357769 0.015018 0.0175432 0.0136583 -0.00103003 0.0164507 0.000600961 0.000391028 0.00110238 0.00146935 0.00512812 0.00334311 0.00319989 0.00209799 0.0034014 0.00253124 0.00192589 0.000713707 0.00112815 
-16.5152 0.0270348 -3.99458e-05 -0.312071 -1.51514 0.00330154 0.0214755 0.00494638 0.0048403 0.00488945 0.00522175 0.00612166 0.00820026 0.0120788 -0.000243829 0.0405038 -0.0181042 0.189838 -0.00190715 -0.0411067 -0.125999 -0.396832 1.22661 -0.394624 -0.0898596 -0.029979 0.00549881 0.0452244 0.0192723 0.0117318 0.0397322 0.0304723 0.011395 0.0248213 0.0193856 0.0257033 0.00948636 0.0380049 0.0180074 0.0188347 0.0149268 0.00991486 
-14.3924 0.0428987 -0.000392286 0.403087 1.9607 -0.00645859 -0.0305139 0.000306152 0.000263184 0.000239464 0.00022731 1.92139e-05 -0.00159754 0.00634509 0.00492284 -0.00461348 -0.0261518 0.0403712 0.00852588 0.00366592 0.0263332 0.0357769 -0.394624 0.457291 -0.0452756 -0.0374264 -0.00951083 -0.00802442 -0.001919 0.00247054 0.0065634 0.00499171 0.00119141 0.00285235 0.00219533 0.00264952 0.00254556 0.00344189 0.00203992 0.0013015 -0.00123083 0.000298607 
-15.7429 0.0322686 -0.000613988 -0.116372 -0.569097 0.00194708 0.00263405 0.000893621 0.000851211 0.000815268 0.000801624 0.000694256 -0.00031608 -0.00144172 0.0039944 0.00583135 0.0268761 -0.0208386 0.00297238 0.0235114 0.0213965 0.015018 -0.0898596 -0.0452756 0.187453 -0.02206 -0.014259 -0.00964494 -0.000957007 0.00291673 0.00785592 0.00615945 0.00192374 0.00404604 0.00430279 0.00527174 0.00238186 0.00606836 0.00255254 0.00130219 0.00114662 0.000964576 
-7.18724 0.00146972 0.00014676 0.0282062 0.137906 -0.000453478 -0.00356377 0.00112958 0.00112686 0.00118648 0.00134624 0.00160694 0.00225746 -0.000487407 0.00467368 0.00421246 -0.00910226 0.031396 0.010091 0.0100573 0.0075126 0.0175432 -0.029979 -0.0374264 -0.02206 0.149344 -0.0183 -0.0160388 -0.000947673 0.000802367 0.00501536 0.00476837 0.00188431 0.0053989 0.00423706 0.00524453 0.00218266 0.00799231 0.00348761 0.00295151 0.00234507 0.00249522 
-2.676 -0.0087002 0.000156962 -0.0105408 -0.0514775 0.00042103 0.0050997 0.000841344 0.000856496 0.000906288 0.00102815 0.00134886 0.00220084 0.000718481 0.00401766 0.00314405 -0.00649537 0.0284082 -0.00490565 0.00296469 0.0026571 0.0136583 0.00549881 -0.00951083 -0.014259 -0.0183 0.0819548 -0.00997582 -0.00734337 0.000670119 0.00207834 0.00326224 0.00124018 0.00352693 0.00327493 0.00358086 0.00104998 0.00605652 0.00278928 0.0030873 0.00288141 0.00115722 
-8.81925 -0.00378949 -6.61213e-05 0.00383443 0.018465 -0.0010931 -0.00430147 0.00114275 0.0011431 0.00118676 0.00132318 0.00165722 0.00228103 0.000555017 0.00395073 0.00360463 0.0363225 -0.0170938 0.0144569 0.00201334 0.00824891 -0.00103003 0.0452244 -0.00802442 -0.00964494 -0.0160388 -0.00997582 0.0862574 -0.00969514 -0.000666865 0.00239987 0.00494695 0.00223483 0.0058952 0.00493646 0.00570704 0.00222319 0.00893982 0.00427721 0.0041802 0.00330241 0.00177585 
