*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 age_length[asMm0].linf age_length[asMm0].cv_last selectivity[potSurveySel_male].a50 selectivity[potSurveySel_male].ato95 selectivity[potSurveySel_female].a50 selectivity[potSurveySel_female].ato95 process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
14210.7 47.3135 0.0614246 3.04011 0.191764 3.31509 1.02647 0.23512 0.232089 0.233169 0.241993 0.264699 0.314952 0.416347 0.601994 0.902567 1.37987 1.55856 1.0285 0.847821 0.847085 1.06575 1.54805 1.05345 0.802905 0.816575 0.628937 0.802339 0.745993 0.466754 1.09063 0.917106 0.382561 0.901903 0.720454 0.834793 0.426065 1.28707 0.6911 0.736776 0.561904 0.439777 
covariance_matrix:
144840 -231.573 3.08385 27.8478 140.275 -3.03119 -3.73004 2.14298 1.94864 1.87076 1.90063 2.12578 2.15002 4.28211 13.0984 -10.506 15.1385 -49.6153 -6.76767 5.3018 2.74412 22.9348 -72.3745 -6.79783 3.30916 -13.8435 -4.13792 -7.79744 -9.73462 -4.33955 -25.5412 -22.095 -3.84176 -1.15566 -5.89732 -4.13647 0.745219 4.92798 7.63881 18.5023 19.3895 15.0095 
-231.573 0.760489 -0.0065248 -0.0244518 -0.127375 0.00560095 0.0155631 -0.00176609 -0.00197298 -0.00260402 -0.00374856 -0.00569036 -0.00664157 -0.0162127 -0.0425902 0.00242704 -0.0668816 0.12122 0.0245831 -0.00517106 -0.0070779 -0.0651677 0.156007 0.0205959 -0.0203571 0.0180728 -0.00457368 -0.00621964 0.00824255 0.00244031 0.0543006 0.0667204 0.0113313 -0.00281715 0.0112113 0.0145985 0.00453012 0.0168855 0.00430841 -0.0120534 -0.02205 -0.0167341 
3.08385 -0.0065248 0.000306535 0.00119538 0.00589072 -0.000142402 -0.000447715 -1.76824e-05 -1.85713e-05 -1.34145e-05 -3.63493e-06 1.28599e-05 -6.22048e-06 0.000171151 0.000535235 -0.000588465 0.000973567 -0.00159684 -0.00023343 0.000168866 -3.31472e-05 0.00109611 -0.00288224 -1.80366e-05 0.000578443 -0.00022459 7.54453e-05 1.41694e-05 -0.000449318 -0.000124926 -0.000634564 -0.000640974 -0.000128812 -3.52258e-05 -0.000182082 -0.000192757 -6.32382e-05 -0.000206878 -6.68672e-05 9.80944e-05 0.000149924 0.00012139 
27.8478 -0.0244518 0.00119538 2.29317 10.9192 -0.000845454 -0.000844269 -0.00319972 -0.00314758 -0.00306164 -0.0029759 -0.00295225 -0.00561513 0.0234315 0.0145497 -0.171797 -0.0301715 -0.00820191 0.0631284 0.0056735 -0.018137 -0.0899362 -0.147665 -0.07654 0.188607 -0.0777933 -0.0259481 -0.0381773 -0.0134898 -0.012035 -0.0350859 -0.027554 -0.00880569 -0.0234639 -0.0194967 -0.0211781 -0.00950272 -0.0319908 -0.0158275 -0.0140234 -0.009318 -0.00650675 
140.275 -0.127375 0.00589072 10.9192 52.0072 -0.00863085 -0.00972407 -0.0152784 -0.0150162 -0.0145851 -0.0141529 -0.0140192 -0.0269436 0.11347 0.0699721 -0.82295 -0.144098 -0.0438808 0.302683 0.0302866 -0.0873048 -0.430276 -0.721694 -0.357549 0.903351 -0.37491 -0.124851 -0.183711 -0.0643743 -0.0579812 -0.168624 -0.132522 -0.0419163 -0.111673 -0.0981568 -0.100944 -0.0451999 -0.152689 -0.0780866 -0.0660532 -0.0434529 -0.0304276 
-3.03119 0.00560095 -0.000142402 -0.000845454 -0.00863085 0.037343 0.0492118 -1.96251e-05 -4.79052e-05 -8.57815e-05 -0.00012322 -0.000133863 -7.52646e-05 -0.00124712 -0.00151634 -0.000182692 -0.00036332 -0.00354259 0.00151803 0.00589509 -0.00299752 -0.00646564 -0.00447773 0.0172492 -0.00447398 -0.000212395 -0.000103418 0.000388719 -0.00118026 0.000267261 -0.00211347 -0.00084545 -0.00166094 0.00219303 0.00275157 -0.00293081 -0.00101203 0.0024011 0.000944099 -0.00130111 -1.57774e-05 0.00233505 
-3.73004 0.0155631 -0.000447715 -0.000844269 -0.00972407 0.0492118 0.202166 -0.000771192 -0.000731136 -0.000711238 -0.000705599 -0.000619411 0.00022049 -0.00526641 0.000612044 -0.00399112 0.00785988 -0.0262648 0.00712326 0.0284508 -0.00652372 -0.0121184 -0.0656725 0.0702308 -0.0119978 -0.00609285 0.00200305 0.00216259 -0.00414425 0.000230331 -0.00169436 -0.00351574 -0.00132853 0.0107612 -0.00754003 -0.00518425 -0.00184223 0.00798082 -0.00465624 -0.00326776 -0.00121158 0.00785472 
2.14298 -0.00176609 -1.76824e-05 -0.00319972 -0.0152784 -1.96251e-05 -0.000771192 0.0078825 -0.000115892 -0.000110999 -6.51536e-05 4.72249e-05 0.000307514 5.69912e-05 0.000284335 -0.000345263 0.00180873 0.00322932 0.000744295 0.000961755 0.00122228 0.000657976 0.00456669 0.000386381 0.00113763 0.000972474 0.000551554 0.000861861 0.000851099 0.000917056 0.00109254 0.00110184 0.000535736 0.00121091 0.00108945 0.00115528 0.000559251 0.00169799 0.000995076 0.0011723 0.00086808 0.000506927 
