*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 age_length[asMm0].linf age_length[asMm0].cv_last selectivity[potSurveySel_male].a50 selectivity[potSurveySel_male].ato95 selectivity[potSurveySel_female].a50 selectivity[potSurveySel_female].ato95 process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
14199.6 47.3306 0.0597766 3.03935 0.190776 3.31449 1.03324 0.235225 0.232175 0.233214 0.241989 0.264644 0.314841 0.416173 0.601742 0.902122 1.37833 1.56002 1.0289 0.847878 0.846857 1.06536 1.54897 1.05329 0.803052 0.816686 0.628379 0.802062 0.745814 0.467129 1.09423 0.921275 0.384129 0.905891 0.709813 0.835569 0.426295 1.28746 0.690333 0.736379 0.561556 0.439783 
covariance_matrix:
151382 -249.003 3.44975 -25.3207 -119.58 0.154799 11.575 2.44048 2.27199 2.2281 2.29259 2.55431 3.54012 0.556099 9.94852 -6.49503 45.4506 -76.8827 -2.71178 6.75356 9.12203 3.26722 -42.5663 -15.8052 -6.34717 -5.05619 -4.64917 -10.2249 -3.32144 -4.74088 -27.171 -23.0074 -4.02496 1.02788 -4.80352 -3.57552 1.41082 5.69304 8.21875 18.8134 19.7019 16.1681 
-249.003 0.829077 -0.00719995 0.0424199 0.201554 -0.000427587 -0.0186977 -0.00318854 -0.00345455 -0.0041888 -0.00549188 -0.00777305 -0.0119405 -0.0039702 -0.0330024 -0.0138863 -0.142398 0.199906 0.0138711 -0.0101099 -0.0290962 -0.0274033 0.0759397 0.0449298 0.0150502 -0.00262176 -0.00500447 -0.00119356 -0.00925673 0.00398269 0.0566234 0.071342 0.0126896 -0.00970441 0.0103864 0.0129708 0.00283216 0.0141412 0.00341833 -0.0116686 -0.0238448 -0.0188942 
3.44975 -0.00719995 0.00033815 -0.00107324 -0.00522703 -7.27204e-05 0.000143334 5.09915e-06 4.4039e-06 1.23906e-05 2.86583e-05 5.93261e-05 0.000138235 -0.000218177 0.000272548 -0.000416845 0.0027217 -0.00304103 -0.000179445 0.000282255 0.000369159 9.93266e-05 -0.00106665 -0.000642344 -0.000144009 0.000242882 7.31347e-05 -0.000133295 -1.77604e-05 -0.000179311 -0.000746025 -0.00073401 -0.000150664 2.80165e-05 -0.000193064 -0.000172984 -2.64238e-05 -9.23673e-05 -3.24619e-05 0.000163884 0.000229074 0.000196296 
-25.3207 0.0424199 -0.00107324 1.86373 8.99003 0.00391815 0.000629551 4.1464e-05 3.09799e-05 -8.48011e-05 -0.000359479 -0.00100759 -0.00264464 -0.00788275 -0.00571137 0.0327853 0.108382 -0.128002 -0.0246336 0.066334 0.0348063 -0.0412704 -0.0707909 0.162559 -0.0792471 0.0323384 -0.000795776 0.00152254 -0.000547716 0.0040504 0.0109789 0.00869049 0.00250545 0.002205 0.00627363 0.00462019 0.00184493 0.00220214 0.00236479 -0.000621117 -0.00143533 -0.00135 
-119.58 0.201554 -0.00522703 8.99003 43.3806 0.0182437 0.00914105 0.000146407 0.000112494 -0.000447447 -0.00180761 -0.00503634 -0.0131853 -0.0385338 -0.02659 0.157145 0.542748 -0.644825 -0.120501 0.328337 0.169094 -0.195562 -0.356863 0.788451 -0.383895 0.161193 -0.00541973 0.00644564 -0.00441583 0.0198643 0.0530934 0.0422501 0.0123716 0.0112115 0.0258249 0.0225654 0.0091411 0.0106884 0.00883469 -0.0027271 -0.00642253 -0.00598334 
0.154799 -0.000427587 -7.27204e-05 0.00391815 0.0182437 0.0366383 0.0515126 1.87788e-05 -2.12978e-05 -4.68165e-05 -4.18007e-05 -1.99414e-05 -0.000182462 0.000846906 -0.00262541 0.00245215 -0.00709137 0.0118035 -0.00521001 -0.00141944 0.00244214 -0.00119911 -0.00394591 0.0193226 -0.00820577 -0.00219356 0.000741001 3.97019e-05 -6.33361e-05 0.000238163 -0.00101156 -0.00173807 -0.00100145 0.00368473 0.0023017 -0.00202412 -0.000373205 0.00424596 0.00170025 6.69254e-05 -5.40041e-05 0.00335659 
11.575 -0.0186977 0.000143334 0.000629551 0.00914105 0.0515126 0.214978 -0.000600174 -0.000611161 -0.000601851 -0.000582217 -0.000612556 -0.00122704 0.00229447 -0.00119095 0.00477505 -0.00651564 0.0127796 -0.0218041 0.00235546 0.0137983 -0.0116227 -0.0296826 0.0659685 -0.0275099 -0.00795488 0.00449869 -0.00128872 0.00179118 -0.000264708 -0.00541708 -0.0058898 -0.00194005 0.0132743 -0.00735994 -0.00398019 0.000371112 0.0130357 -0.0027827 0.00115141 0.00106611 0.0109317 
2.44048 -0.00318854 5.09915e-06 4.1464e-05 0.000146407 1.87788e-05 -0.000600174 0.00789851 -0.000124331 -0.000118207 -7.39268e-05 2.66243e-05 0.000193316 0.000276857 0.00034502 0.000132336 0.00178746 0.00294278 0.000980189 0.00117631 0.0011801 0.000898998 0.00341527 0.000187925 0.00146289 0.0012758 0.000722883 0.0010524 0.00102313 0.000866773 0.0010277 0.00098505 0.000485816 0.00133781 0.00108361 0.00108465 0.00055515 0.00161506 0.00102362 0.00104516 0.000845288 0.000547354 
2.27199 -0.00345455 4.4039e-06 3.09799e-05 0.000112494 -2.12978e-05 -0.000611161 -0.000124331 0.00768743 -0.000135719 -9.16794e-05 8.71502e-06 0.000177005 0.00025278 0.000263311 8.20451e-05 0.00169114 0.0030429 0.000977546 0.00115283 0.00118529 0.000927553 0.0033649 0.000172037 0.00139088 0.0012636 0.000743277 0.00105705 0.00101494 0.00083437 0.00101906 0.000958419 0.000473861 0.00134523 0.00105501 0.00107798 0.000547338 0.00162305 0.0010221 0.00105358 0.00086441 0.000567627 
2.2281 -0.0041888 1.23906e-05 -8.48011e-05 -0.000447447 -4.68165e-05 -0.000601851 -0.000118207 -0.000135719 0.00775854 -8.73925e-05 1.31754e-05 0.000188738 0.00023768 0.000185092 -9.01492e-05 0.00176078 0.00311696 0.000943266 0.00113611 0.00120694 0.000981858 0.00331891 0.000178994 0.00137506 0.00132434 0.000787333 0.00109729 0.00106195 0.000819704 0.000986653 0.000936707 0.000480915 0.00138262 0.00104549 0.00108428 0.000560507 0.00165116 0.00103388 0.00108663 0.00089824 0.000592312 
2.29259 -0.00549188 2.86583e-05 -0.000359479 -0.00180761 -4.18007e-05 -0.000582217 -7.39268e-05 -9.16794e-05 -8.73925e-05 0.0083564 5.60266e-05 0.000247026 0.000255983 9.3696e-05 -0.000467152 0.00193468 0.00335212 0.000879459 0.00113795 0.0012572 0.00105565 0.00331248 0.000225932 0.00145153 0.00149975 0.000886529 0.00121902 0.00121964 0.000845761 0.00095972 0.000935276 0.000524707 0.00147448 0.00108162 0.00112181 0.000614192 0.0017133 0.00107741 0.00116053 0.000953214 0.000626096 
2.55431 -0.00777305 5.93261e-05 -0.00100759 -0.00503634 -1.99414e-05 -0.000612556 2.66243e-05 8.71502e-06 1.31754e-05 5.60266e-05 0.00988161 0.000390601 0.000363241 -7.6481e-05 -0.00121063 0.0020167 0.00397576 0.000848124 0.00125614 0.00145217 0.00111081 0.0033332 0.00019764 0.00156399 0.00180032 0.00114918 0.00151648 0.00160062 0.000915115 0.000954586 0.000942777 0.000619422 0.00165739 0.00117216 0.00120684 0.000732474 0.00181523 0.00117893 0.00128848 0.00104109 0.000707937 
3.54012 -0.0119405 0.000138235 -0.00264464 -0.0131853 -0.000182462 -0.00122704 0.000193316 0.000177005 0.000188738 0.000247026 0.000390601 0.013367 0.000536011 -0.000862659 -0.00260166 0.00115909 0.00570953 0.00147162 0.00159807 0.00182408 0.000797367 0.00319875 -0.000702524 0.000995044 0.00250986 0.00186521 0.00206166 0.00259587 0.000862041 0.000850258 0.000833055 0.000798255 0.00187018 0.00120411 0.0013475 0.000821095 0.00186986 0.0013585 0.0014645 0.00126822 0.000853852 
0.556099 -0.0039702 -0.000218177 -0.00788275 -0.0385338 0.000846906 0.00229447 0.000276857 0.00025278 0.00023768 0.000255983 0.000363241 0.000536011 0.0263763 -0.0033999 -0.0140746 0.000515941 0.00302506 0.00300783 0.0100153 0.00301558 -0.00428709 0.00762188 -0.00216056 0.00387406 0.000890625 8.3547e-05 -0.000109612 0.00383087 0.00164955 0.00266697 0.0020437 0.000933603 0.00201229 0.00146573 0.00152075 0.000906725 0.0022201 0.00156512 0.00150792 0.000948632 0.000762195 
9.94852 -0.0330024 0.000272548 -0.00571137 -0.02659 -0.00262541 -0.00119095 0.00034502 0.000263311 0.000185092 9.3696e-05 -7.6481e-05 -0.000862659 -0.0033999 0.0837159 -0.0209689 -0.0606179 0.0392543 0.0106457 0.000335983 0.00329429 0.00805678 0.00871463 0.0110027 -0.00160962 0.00296613 0.00491966 0.00475261 -0.00039076 0.00328408 0.00599842 0.002937 0.00126781 0.00566083 0.00251868 0.00431129 0.00170891 0.00787737 0.00366825 0.00477149 0.00403571 0.00307164 
-6.49503 -0.0138863 -0.000416845 0.0327853 0.157145 0.00245215 0.00477505 0.000132336 8.20451e-05 -9.01492e-05 -0.000467152 -0.00121063 -0.00260166 -0.0140746 -0.0209689 0.243114 -0.193446 0.00797916 0.0107084 0.0132969 0.0115594 0.0142675 0.0036837 -0.0207125 0.0250565 0.0100875 -0.000239493 0.000703293 0.00643961 0.0037332 0.00524068 0.00449828 0.00117256 0.00577257 0.00547615 0.0033248 0.00314451 0.00555663 0.00226229 0.00203824 0.002026 0.00226625 
45.4506 -0.142398 0.0027217 0.108382 0.542748 -0.00709137 -0.00651564 0.00178746 0.00169114 0.00176078 0.00193468 0.0020167 0.00115909 0.000515941 -0.0606179 -0.193446 1.08275 -0.879833 0.0760146 0.0268273 0.0401973 0.0568681 0.060446 -0.00653875 -0.0104243 -0.0152214 -0.000168774 0.041579 0.00878094 0.0018044 0.00703817 -0.000967072 0.00413822 0.0153764 0.00377349 0.0115915 0.00325839 0.0203182 0.0100605 0.0153839 0.014573 0.00805786 
-76.8827 0.199906 -0.00304103 -0.128002 -0.644825 0.0118035 0.0127796 0.00294278 0.0030429 0.00311696 0.00335212 0.00397576 0.00570953 0.00302506 0.0392543 0.00797916 -0.879833 1.43973 -0.371816 -0.0788181 -0.0514809 -0.0456753 0.0742273 0.0156761 0.0318189 0.0406256 0.019189 -0.0246846 0.0113606 0.0104453 0.0390229 0.0301809 0.00974425 0.00825377 0.0148789 0.0162143 0.00615745 0.0116015 0.00789786 0.000700043 -0.00287914 -0.00271503 
-2.71178 0.0138711 -0.000179445 -0.0246336 -0.120501 -0.00521001 -0.0218041 0.000980189 0.000977546 0.000943266 0.000879459 0.000848124 0.00147162 0.00300783 0.0106457 0.0107084 0.0760146 -0.371816 0.427079 -0.0522104 -0.0270286 -0.0286087 0.00587639 0.0229551 -0.0056763 0.00679765 -0.00373703 0.0156925 0.00359395 0.00135979 0.00548348 0.00717509 0.000738296 0.00577631 0.00540467 0.00244095 0.00340401 0.00821587 0.00378743 0.00367469 0.00038989 0.0034022 
6.75356 -0.0101099 0.000282255 0.066334 0.328337 -0.00141944 0.00235546 0.00117631 0.00115283 0.00113611 0.00113795 0.00125614 0.00159807 0.0100153 0.000335983 0.0132969 0.0268273 -0.0788181 -0.0522104 0.218898 -0.0334197 -0.0365122 -0.0115149 0.00341467 0.0125754 0.00946072 0.00501042 0.0035014 0.00220947 0.0018006 0.00539356 0.00525381 0.0011138 0.00573594 0.004408 0.00512226 0.00180099 0.010348 0.00446408 0.0052423 0.00435998 0.00298719 
9.12203 -0.0290962 0.000369159 0.0348063 0.169094 0.00244214 0.0137983 0.0011801 0.00118529 0.00120694 0.0012572 0.00145217 0.00182408 0.00301558 0.00329429 0.0115594 0.0401973 -0.0514809 -0.0270286 -0.0334197 0.20943 -0.0285774 -0.06675 -0.0301536 0.0290523 0.00799921 0.00516307 0.00800479 0.00754876 0.000712148 0.00139015 0.00274286 0.000927716 0.00555847 0.00403657 0.00462454 0.00170689 0.00859808 0.00385692 0.00471501 0.00455392 0.00278611 
3.26722 -0.0274033 9.93266e-05 -0.0412704 -0.195562 -0.00119911 -0.0116227 0.000898998 0.000927553 0.000981858 0.00105565 0.00111081 0.000797367 -0.00428709 0.00805678 0.0142675 0.0568681 -0.0456753 -0.0286087 -0.0365122 -0.0285774 0.452768 -0.401657 0.0722155 -0.00170731 0.0144117 0.0145274 0.00117983 0.0159821 0.00110905 0.00195906 0.00197683 0.00172033 0.00612937 0.00399593 0.00461208 0.00260866 0.00582743 0.00390831 0.00404965 0.00236902 0.00164346 
-42.5663 0.0759397 -0.00106665 -0.0707909 -0.356863 -0.00394591 -0.0296826 0.00341527 0.0033649 0.00331891 0.00331248 0.0033332 0.00319875 0.00762188 0.00871463 0.0036837 0.060446 0.0742273 0.00587639 -0.0115149 -0.06675 -0.401657 0.970943 -0.244012 -0.0769026 -0.0232064 -0.00843815 0.0404024 0.0097157 0.0114388 0.0367423 0.0296139 0.0105737 0.0131189 0.019696 0.0215957 0.00760483 0.0204396 0.0134125 0.00991101 0.00715777 0.00161346 
-15.8052 0.0449298 -0.000642344 0.162559 0.788451 0.0193226 0.0659685 0.000187925 0.000172037 0.000178994 0.000225932 0.00019764 -0.000702524 -0.00216056 0.0110027 -0.0207125 -0.00653875 0.0156761 0.0229551 0.00341467 -0.0301536 0.0722155 -0.244012 0.248382 0.00402928 -0.0271956 -0.00556647 -0.0125402 0.00191397 0.00127364 0.00314841 0.00223116 0.00066388 0.00580602 -0.00049131 -9.76891e-05 0.00171111 0.00485772 -0.000256638 -0.000993994 -0.00248215 0.0032148 
-6.34717 0.0150502 -0.000144009 -0.0792471 -0.383895 -0.00820577 -0.0275099 0.00146289 0.00139088 0.00137506 0.00145153 0.00156399 0.000995044 0.00387406 -0.00160962 0.0250565 -0.0104243 0.0318189 -0.0056763 0.0125754 0.0290523 -0.00170731 -0.0769026 0.00402928 0.160686 -0.0301241 -0.0114535 -0.00598751 0.000817103 0.00347336 0.0102832 0.00768533 0.00243094 0.00643153 0.00546063 0.00790393 0.00338968 0.0111036 0.0051555 0.00532814 0.00429318 0.00227672 
-5.05619 -0.00262176 0.000242882 0.0323384 0.161193 -0.00219356 -0.00795488 0.0012758 0.0012636 0.00132434 0.00149975 0.00180032 0.00250986 0.000890625 0.00296613 0.0100875 -0.0152214 0.0406256 0.00679765 0.00946072 0.00799921 0.0144117 -0.0232064 -0.0271956 -0.0301241 0.14882 -0.0175317 -0.0150283 -0.00086399 0.00109364 0.00592443 0.00529731 0.00205593 0.00624603 0.00457051 0.00598399 0.00247441 0.00954228 0.00417199 0.00400608 0.00317553 0.00296839 
-4.64917 -0.00500447 7.31347e-05 -0.000795776 -0.00541973 0.000741001 0.00449869 0.000722883 0.000743277 0.000787333 0.000886529 0.00114918 0.00186521 8.3547e-05 0.00491966 -0.000239493 -0.000168774 0.019189 -0.00373703 0.00501042 0.00516307 0.0145274 -0.00843815 -0.00556647 -0.0114535 -0.0175317 0.0810526 -0.0105021 -0.00789683 0.000595817 0.00171446 0.00309031 0.00115722 0.00274327 0.00319943 0.00317212 0.000877522 0.00477923 0.00236346 0.00233849 0.00225591 0.000632766 
