*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 age_length[asMm0].linf age_length[asMm0].cv_last selectivity[potSurveySel_male].a50 selectivity[potSurveySel_male].ato95 selectivity[potSurveySel_female].a50 selectivity[potSurveySel_female].ato95 process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
14199.6 47.3306 0.0597765 3.03932 0.190614 3.3145 1.03325 0.235225 0.232175 0.233214 0.241989 0.264643 0.314841 0.416172 0.601743 0.902116 1.37833 1.56001 1.02891 0.847878 0.846852 1.06536 1.54897 1.05327 0.803063 0.816688 0.628378 0.802061 0.745814 0.467129 1.09423 0.921275 0.384129 0.905891 0.709813 0.835568 0.426294 1.28746 0.690332 0.736378 0.561555 0.439783 
covariance_matrix:
156852 -259.257 3.69054 -41.2062 -193.012 -1.95682 8.46811 2.75377 2.57037 2.5405 2.66224 3.06876 4.37816 2.75699 7.29594 3.0096 27.2584 -50.8193 -6.37242 0.96467 5.11594 -0.136836 -13.5095 -16.8105 -15.6348 -7.6689 -2.51798 -8.58535 -2.13628 -4.50865 -26.1274 -22.4822 -3.80057 2.92395 -4.50446 -2.40094 1.88717 8.94138 9.43321 20.8871 21.4093 17.4102 
-259.257 0.848279 -0.00765174 0.0725358 0.341085 0.00350087 -0.0129581 -0.00377497 -0.00401339 -0.00477445 -0.00618571 -0.00874046 -0.0135226 -0.0080428 -0.0280913 -0.0315245 -0.108099 0.150803 0.0205546 0.000935057 -0.0215112 -0.0210235 0.0212109 0.04743 0.0321289 0.00238126 -0.00901041 -0.00423425 -0.0115398 0.00356787 0.0547101 0.0703806 0.0122746 -0.0132448 0.00983927 0.0107876 0.00194609 0.00807805 0.00115496 -0.0155391 -0.0270332 -0.0212181 
3.69054 -0.00765174 0.000348864 -0.00157042 -0.00746304 -0.000186315 -6.99865e-05 1.89835e-05 1.75941e-05 2.61451e-05 4.48317e-05 8.16015e-05 0.000173732 -0.000112547 0.000148263 2.2036e-05 0.00192053 -0.00189359 -0.000360409 3.92066e-05 0.000240308 -7.81637e-05 8.11855e-05 -0.000495549 -0.000606988 0.000126519 0.000163177 -5.63726e-05 2.81252e-05 -0.000167087 -0.000695245 -0.000707558 -0.000140088 0.000109728 -0.000177175 -0.000118334 -4.50915e-06 5.04927e-05 2.32704e-05 0.000257487 0.000305563 0.00024881 
-41.2062 0.0725358 -0.00157042 2.18428 10.5389 -0.0194581 -0.101965 -0.000933559 -0.000934337 -0.00114457 -0.00170091 -0.00309649 -0.00686219 -0.00326359 -0.00516482 0.0212409 0.149102 -0.191932 -0.0317526 0.0874879 0.114552 -0.0654213 -0.353549 0.414512 -0.107914 0.0317341 -0.0132988 0.00182474 -0.0116713 0.00503675 0.0118451 0.010045 0.00228872 -0.00770247 0.00825619 0.00383308 0.0011492 -0.0103013 0.000951459 -0.00476854 -0.00553964 -0.00889233 
-193.012 0.341085 -0.00746304 10.5389 50.8647 -0.0975799 -0.494795 -0.00436924 -0.00436305 -0.00536735 -0.00804828 -0.0147903 -0.0329894 -0.0149441 -0.0252957 0.106459 0.724957 -0.933289 -0.156346 0.425235 0.555384 -0.317729 -1.71338 2.01459 -0.52835 0.154667 -0.0646779 0.00889866 -0.0568998 0.0246304 0.0577174 0.0491085 0.0114526 -0.035854 0.035676 0.0195033 0.00607238 -0.0481198 0.00278728 -0.021515 -0.0252618 -0.0419368 
-1.95682 0.00350087 -0.000186315 -0.0194581 -0.0975799 0.0403969 0.0637657 -0.000118336 -0.000149027 -0.000175099 -0.000182703 -0.000189733 -0.000375077 -0.000973951 -0.000807908 -0.00347004 0.00121207 2.3281e-05 -0.00172255 2.72552e-05 -0.00268115 0.00467083 0.00247724 -0.00579871 0.00191896 -0.000321982 0.000377625 -0.00115706 -2.5347e-05 -3.79153e-05 -0.00192786 -0.00234322 -0.00117262 0.00325179 0.00182658 -0.00284555 -0.000675894 0.00309991 0.000939458 -0.00101533 -0.000863055 0.00320869 
8.46811 -0.0129581 -6.99865e-05 -0.101965 -0.494795 0.0637657 0.258174 -0.00084917 -0.000837403 -0.00081725 -0.000794127 -0.000804645 -0.00121507 -0.00262126 0.00341607 -0.0095973 0.00830914 -0.00825649 -0.0115713 0.00225734 -0.00894222 0.00780709 0.0193106 -0.0300764 0.00314769 -0.00340227 0.00495164 -0.00439775 0.00296298 -0.00113565 -0.00805062 -0.00777645 -0.00240934 0.0132374 -0.00892538 -0.00609621 -0.000374751 0.0114724 -0.00461791 -0.00114517 -0.000510311 0.0114346 
2.75377 -0.00377497 1.89835e-05 -0.000933559 -0.00436924 -0.000118336 -0.00084917 0.00791396 -0.000109707 -0.000102845 -5.55432e-05 5.25774e-05 0.000235602 0.000421048 0.000199755 0.000610708 0.000738549 0.00439453 0.000797225 0.000804643 0.00100029 0.000806823 0.0047429 0.000186116 0.00101499 0.00112194 0.000823179 0.00114261 0.00106005 0.000878078 0.00107486 0.00100376 0.000494341 0.00142855 0.00109408 0.0011415 0.000577274 0.00177733 0.00108535 0.00115435 0.000936232 0.000609597 
