* MPD
estimate_values:
process[Recruitment].b0 age_length[asMm0].linf age_length[asMm0].cv_last selectivity[potSurveySel_male].a50 selectivity[potSurveySel_male].ato95 selectivity[potSurveySel_female].a50 selectivity[potSurveySel_female].ato95 process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
14210.7 47.3135 0.0614247 3.04015 0.19197 3.3151 1.02651 0.23512 0.232089 0.233169 0.241993 0.264699 0.314953 0.416347 0.601999 0.90255 1.37986 1.55858 1.02851 0.8478 0.847081 1.06575 1.5481 1.05337 0.802935 0.816576 0.628936 0.802337 0.745992 0.466754 1.09063 0.917104 0.38256 0.901903 0.720451 0.834791 0.426064 1.28707 0.691099 0.736775 0.561903 0.439778 
covariance_matrix:
154139 -253.944 3.71946 4.23117e+07 2.02304e+08 -2.17913 11.8994 1.93566 1.68035 1.64309 1.83015 2.38353 3.45733 4.8224 5.48195 4.54783 8.29075 -42.8972 -8.89785 -2.88394 4.75462 16.8547 -37.0679 -18.3993 -9.94513 -10.7155 -6.12369 -7.47045 -5.14621 -4.64244 -28.099 -25.6257 -4.82364 0.683333 -6.41352 -4.60176 0.152687 9.07615 8.96635 20.351 21.9125 16.947 
-253.944 0.83825 -0.00837378 -55320.2 -264500 0.00153663 -0.0196799 -0.000104459 -0.000351419 -0.00112476 -0.00246732 -0.00505108 -0.00985461 -0.0175409 -0.0280671 -0.0386121 -0.0769404 0.123229 0.0386163 0.0125557 -0.0156854 -0.0583133 0.0638116 0.0513476 0.0184168 0.00506615 -0.00357348 -0.0119891 -0.0122315 0.002743 0.0667148 0.0729985 0.0130354 -0.00996874 0.0110123 0.0147069 0.00518312 0.00646417 -0.000549907 -0.0181055 -0.0277234 -0.0182747 
3.71946 -0.00837378 0.000363181 669.211 3199.68 -4.90265e-05 0.000140899 -2.68967e-06 2.64651e-06 1.52819e-05 3.29268e-05 5.93577e-05 0.000100676 0.000161082 0.000240753 0.000327102 0.000698697 -0.0010247 -0.000299753 -7.2941e-05 0.000172896 0.00050592 -0.000810782 -0.00046594 -0.000166293 -1.87239e-05 7.2586e-05 0.000159404 7.63338e-05 -9.46049e-05 -0.000848248 -0.000728515 -0.000118106 6.93912e-05 -0.000131513 -0.000148717 -4.17605e-05 -2.23203e-06 4.90781e-05 0.00023018 0.000284708 0.000186076 
4.23117e+07 -55320.1 669.211 -8.08595e+11 -3.86611e+12 -20532 -6723.97 1138.34 1161.91 1222.89 1325.82 1512.21 1815.23 2185.93 2381.27 1746.09 988.925 -14908.5 -3215.55 -1092.76 1054.41 3976.87 -11005.4 -5482.61 -3451.34 -4361.88 -3038.74 -4107.77 -2303 -693.136 -2144.33 -609.917 1349.87 6540.26 -28976.9 2597.9 2044.77 7585.2 -13522.8 8193.43 8839.73 6631.75 
2.02304e+08 -264500 3199.68 -3.86611e+12 -1.84849e+13 -98169.1 -32149.1 5442.69 5555.41 5846.95 6339.11 7230.28 8679.1 10451.5 11385.5 8348.54 4728.32 -71281.4 -15374.4 -5224.77 5041.39 19014.5 -52619.8 -26213.8 -16501.8 -20855.3 -14529 -19640.3 -11011.2 -3314.07 -10252.6 -2916.18 6454.09 31270.8 -138546 12421.3 9776.61 36266.9 -64656 39175 42265.1 31708.2 
-2.17913 0.00153663 -4.90265e-05 -20532 -98169.1 0.0434175 0.0816123 -0.000393181 -0.000392845 -0.000396225 -0.000405983 -0.000425903 -0.000458779 -0.000499826 -0.000507188 -0.000313815 0.000392409 0.00146184 2.55467e-05 -5.66484e-05 -0.000139527 -0.000255571 0.00103546 0.000429516 0.000446305 0.00081287 0.000645354 0.00087095 0.000356378 -0.000151521 -0.00152479 -0.00186045 -0.000646911 0.00415596 0.00128704 -0.00182287 -0.000723492 0.00408202 0.000533556 -0.00130881 -0.00076707 0.00344272 
11.8994 -0.0196799 0.000140899 -6723.97 -32149.1 0.0816123 0.326944 -0.000751304 -0.000739727 -0.000723438 -0.000708958 -0.000690007 -0.000660987 -0.000628836 -0.000568667 -0.000238529 0.00166846 -0.00199246 -0.00135582 -0.000673259 1.68545e-05 0.000943257 -0.00162845 -0.00107339 -0.000115524 0.000646447 0.000700635 0.0009353 9.22414e-05 -0.000804539 -0.00585307 -0.00619142 -0.00134587 0.0160422 -0.00883339 -0.00464767 -0.00129129 0.0162578 -0.00435022 -0.000527457 0.00168182 0.0138463 
1.93566 -0.000104459 -2.68967e-06 1138.34 5442.69 -0.000393181 -0.000751304 0.00851468 -4.33552e-05 -4.50247e-05 -4.9464e-05 -5.97235e-05 -8.51027e-05 -0.000141289 -0.000211369 -1.2406e-05 0.00183908 0.00461953 0.000713386 0.000674057 0.000754018 0.00101693 0.00459042 0.000985179 0.000737209 0.000896764 0.000553717 0.000894259 0.000857634 0.000501621 0.00166371 0.00145632 0.000562319 0.00134125 0.000924579 0.00109604 0.000567478 0.00191158 0.00101304 0.00111649 0.000819001 0.000539739 
1.68035 -0.000351419 2.64651e-06 1161.91 5555.41 -0.000392845 -0.000739727 -4.33552e-05 0.00823994 -4.5843e-05 -5.05469e-05 -6.23713e-05 -9.35429e-05 -0.00016701 -0.000267863 -0.000100271 0.00177292 0.00474679 0.000708758 0.000668512 0.000754594 0.00102658 0.00458795 0.000980204 0.000738936 0.000905089 0.000562071 0.000909126 0.000869749 0.000504137 0.00165177 0.00144094 0.000560672 0.00134987 0.000926407 0.00109731 0.000567756 0.00191354 0.0010136 0.00112039 0.000824866 0.000543346 
1.64309 -0.00112476 1.52819e-05 1222.89 5846.95 -0.000396225 -0.000723438 -4.50247e-05 -4.5843e-05 0.00833236 -5.47201e-05 -6.9888e-05 -0.000110531 -0.000210566 -0.000366189 -0.000254591 0.00169535 0.00500336 0.000695911 0.000662917 0.000772151 0.00108116 0.00462652 0.000964712 0.000744797 0.000930295 0.000586035 0.000952819 0.000908236 0.000514643 0.00162781 0.00140544 0.00056066 0.00138879 0.000939518 0.00111041 0.000574995 0.00194491 0.00103175 0.00115355 0.00086073 0.000567107 
1.83015 -0.00246732 3.29268e-05 1325.82 6339.11 -0.000405983 -0.000708958 -4.9464e-05 -5.05469e-05 -5.47201e-05 0.00913322 -8.85438e-05 -0.000149061 -0.00029971 -0.000563001 -0.000583404 0.00148451 0.00562636 0.000691812 0.000663705 0.000813072 0.00119007 0.00478235 0.000958576 0.000769686 0.000991637 0.000638531 0.00104655 0.000993089 0.000543773 0.0016209 0.00137127 0.000570999 0.00148234 0.000981275 0.00115465 0.000598329 0.00203505 0.00108222 0.00123147 0.000938356 0.000618785 
2.38353 -0.00505108 5.93577e-05 1512.21 7230.28 -0.000425903 -0.000690007 -5.97235e-05 -6.23713e-05 -6.9888e-05 -8.85438e-05 0.0114038 -0.000234463 -0.000493765 -0.000981013 -0.00131977 0.000755743 0.0070737 0.000731787 0.000683154 0.000901591 0.00140716 0.00514378 0.000966987 0.000831911 0.00112602 0.000749274 0.00124292 0.00117321 0.000610159 0.0016391 0.00132768 0.000599015 0.00168397 0.001078 0.00125758 0.000651658 0.00223535 0.00119312 0.0013955 0.00109857 0.0007256 
3.45733 -0.00985461 0.000100676 1815.23 8679.1 -0.000458779 -0.000660987 -8.51027e-05 -9.35429e-05 -0.000110531 -0.000149061 -0.000234463 0.0175552 -0.000988194 -0.00207105 -0.00325115 -0.00182269 0.0104715 0.00101336 0.000805588 0.00110451 0.00182327 0.00593646 0.00104246 0.000992769 0.00143263 0.000992245 0.00166629 0.00156072 0.000761144 0.00175041 0.00130232 0.0006713 0.00211285 0.00130203 0.00149627 0.000771103 0.0026681 0.00142721 0.00172414 0.00141196 0.000934616 
4.8224 -0.0175409 0.000161082 2185.93 10451.5 -0.000499826 -0.000628836 -0.000141289 -0.00016701 -0.000210566 -0.00029971 -0.000493765 -0.000988194 0.0353699 -0.00524132 -0.00952565 -0.011748 0.0186125 0.00223512 0.0014065 0.00164564 0.00258361 0.00758529 0.00137741 0.00141852 0.00213944 0.00152445 0.00256638 0.00237377 0.00109975 0.00220053 0.00146709 0.000862478 0.00299644 0.00182184 0.00205399 0.0010382 0.00358868 0.00190742 0.00234088 0.001971 0.00130807 
5.48195 -0.0280671 0.000240753 2381.27 11385.5 -0.000507188 -0.000568667 -0.000211369 -0.000267863 -0.000366189 -0.000563001 -0.000981013 -0.00207105 -0.00524132 0.0927599 -0.0302247 -0.0576997 0.0376379 0.00637842 0.00371525 0.00343397 0.00430323 0.0103951 0.00228857 0.00242139 0.00367144 0.00263152 0.00437961 0.00398061 0.00180632 0.00348891 0.00219905 0.0013103 0.00469825 0.00294169 0.00326608 0.00159688 0.00543106 0.00283559 0.00342161 0.00288817 0.00192804 
4.54783 -0.0386121 0.000327102 1746.09 8348.53 -0.000313815 -0.000238529 -1.2406e-05 -0.000100271 -0.000254591 -0.000583404 -0.00131977 -0.00325115 -0.00952565 -0.0302247 0.30295 -0.256634 0.0221728 0.0234662 0.0124175 0.0103119 0.011193 0.0134849 0.00286617 0.00395983 0.00629095 0.00454606 0.00742792 0.00660419 0.00299482 0.00607164 0.00388907 0.00210992 0.00736427 0.00489107 0.00540758 0.00255674 0.00851205 0.00435918 0.00505922 0.0041903 0.00285543 
8.29075 -0.0769404 0.000698697 988.93 4728.34 0.000392409 0.00166846 0.00183908 0.00177292 0.00169535 0.00148451 0.000755743 -0.00182269 -0.011748 -0.0576997 -0.256634 1.31967 -1.08085 0.0785462 0.0603743 0.0465294 0.0588716 0.0408775 -0.00983677 0.0029878 0.0112095 0.0095844 0.0160253 0.013979 0.00618478 0.012225 0.00758093 0.00412329 0.0147857 0.0101382 0.0112966 0.00526732 0.0175739 0.00902957 0.0105091 0.00875945 0.00623018 
-42.8972 0.123229 -0.0010247 -14908.5 -71281.4 0.00146184 -0.00199246 0.00461954 0.00474679 0.00500336 0.00562636 0.0070737 0.0104715 0.0186125 0.0376379 0.0221728 -1.08085 1.7947 -0.456002 -0.138056 -0.0599411 -0.0443193 0.149555 0.0326551 0.0137439 0.01459 0.0104325 0.0178626 0.016214 0.00963903 0.0363265 0.0314845 0.00966153 0.0188344 0.0180632 0.0210096 0.00939024 0.0285519 0.0137809 0.0113357 0.00593716 0.00483342 
-8.89785 0.0386163 -0.000299753 -3215.55 -15374.4 2.55468e-05 -0.00135582 0.000713386 0.000708758 0.000695911 0.000691812 0.000731787 0.00101336 0.00223512 0.00637842 0.0234662 0.0785462 -0.456002 0.53156 -0.0581975 -0.0406929 -0.0403832 -0.00482026 0.0223879 0.0100997 0.00685789 0.00274726 0.00350926 0.00309983 0.00209585 0.00903671 0.00822394 0.00243345 0.00422866 0.0041996 0.00492696 0.00222872 0.00672406 0.00323228 0.00250098 0.00110697 0.000888611 
-2.88394 0.0125557 -7.2941e-05 -1092.76 -5224.77 -5.66484e-05 -0.000673259 0.000674057 0.000668512 0.000662917 0.000663705 0.000683154 0.000805588 0.0014065 0.00371525 0.0124175 0.0603743 -0.138056 -0.0581975 0.268546 -0.0397387 -0.0470665 -0.0366501 0.0199155 0.010677 0.00806747 0.0031433 0.00356976 0.00295668 0.00171937 0.00613509 0.00531061 0.00178967 0.00392398 0.00335263 0.00390922 0.00181545 0.00573338 0.00286283 0.00269747 0.00172312 0.00128199 
