* MPD
estimate_values:
process[Recruitment].b0 age_length[asMm0].linf age_length[asMm0].cv_last selectivity[potSurveySel_male].a50 selectivity[potSurveySel_male].ato95 selectivity[potSurveySel_female].a50 selectivity[potSurveySel_female].ato95 process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
14199.6 47.3306 0.0597765 3.03959 0.19191 3.3145 1.03325 0.235225 0.232175 0.233214 0.24199 0.264644 0.314841 0.416172 0.601743 0.902116 1.37833 1.56001 1.02891 0.847878 0.846852 1.06536 1.54897 1.05327 0.803063 0.816688 0.628379 0.802062 0.745814 0.467129 1.09423 0.921275 0.384129 0.905891 0.709813 0.835569 0.426295 1.28746 0.690332 0.736378 0.561556 0.439783 
covariance_matrix:
155271 -259 3.95302 3.63921e+07 1.76426e+08 -2.28764 12.1828 1.93063 1.67446 1.6436 1.84307 2.41531 3.51801 4.92584 5.6487 4.8049 8.9828 -43.8385 -9.10725 -2.94638 4.88191 17.2409 -37.6713 -18.6053 -9.93499 -10.7686 -6.10574 -7.2842 -4.87257 -4.65861 -28.653 -26.2529 -4.91104 0.837346 -6.55688 -4.7218 0.10205 9.00234 8.87317 20.4103 22.0335 17.0439 
-259 0.860322 -0.0087504 -48481.6 -235035 0.00162075 -0.0207412 -0.000100826 -0.000343441 -0.0011352 -0.00251899 -0.00517738 -0.0101128 -0.0180046 -0.0288279 -0.039729 -0.0793296 0.127155 0.0396726 0.0129022 -0.0162059 -0.0600723 0.0664759 0.052594 0.0185554 0.00524211 -0.00360153 -0.0125699 -0.0131617 0.00276417 0.0687807 0.0756089 0.0134621 -0.0105506 0.0114377 0.0151605 0.00537226 0.00671879 -0.000422739 -0.0184969 -0.0284127 -0.0187738 
3.95302 -0.0087504 0.000402061 617.869 2995.39 -5.55144e-05 0.000152264 -2.01184e-06 3.54317e-06 1.70728e-05 3.59945e-05 6.38791e-05 0.000106761 0.000168819 0.000250599 0.000341091 0.000736767 -0.00108072 -0.000309794 -7.46463e-05 0.00018041 0.000521212 -0.000846995 -0.000473058 -0.000169107 -2.72893e-05 6.93639e-05 0.000161012 7.61259e-05 -0.000105197 -0.000902492 -0.000765326 -0.000121795 7.56751e-05 -0.000147352 -0.000156974 -4.36794e-05 2.39538e-06 5.37259e-05 0.000245446 0.000299504 0.00019629 
3.63921e+07 -48481.6 617.869 -6.14088e+11 -2.97706e+12 -17562.1 -5476.68 969.5 989.708 1043.32 1133.98 1297.58 1563.63 1891.55 2075.96 1560.12 1044.29 -12893.8 -2790.71 -943.457 936.11 3498.58 -9476.56 -4723.42 -2936.6 -3712.14 -2572.03 -3454.48 -1913.54 -603.975 -1973.67 -652.759 1140.43 5602.77 -24576.2 2190.08 1736.08 6476.62 -11540.2 7017.25 7580.78 5695.2 
1.76426e+08 -235035 2995.39 -2.97706e+12 -1.44326e+13 -85139.9 -26550.6 4700.07 4798.04 5057.97 5497.45 6290.56 7580.35 9170.1 10064.1 7563.35 5062.66 -62508.3 -13529.2 -4573.81 4538.2 16960.9 -45941.7 -22898.8 -14236.4 -17996.2 -12469 -16747.1 -9276.73 -2928.03 -9568.24 -3164.53 5528.72 27161.8 -119144 10617.4 8416.38 31398.2 -55946.2 34019.1 36751.1 27609.9 
-2.28764 0.00162075 -5.55144e-05 -17562.1 -85139.9 0.0433483 0.0809001 -0.000394809 -0.000394544 -0.000398082 -0.000408031 -0.000428175 -0.000461201 -0.000502045 -0.00050825 -0.000312415 0.000387753 0.00148866 3.03481e-05 -5.46327e-05 -0.000140761 -0.000260415 0.00105683 0.000436046 0.000451388 0.000822248 0.00065106 0.000881525 0.000366033 -0.000145613 -0.00151643 -0.00186606 -0.000649597 0.00412887 0.00136056 -0.00182368 -0.000722416 0.00402223 0.00057189 -0.00132543 -0.000779911 0.00339343 
12.1828 -0.0207412 0.000152264 -5476.68 -26550.6 0.0809001 0.328927 -0.000752979 -0.000741274 -0.00072397 -0.000707559 -0.000685081 -0.000649625 -0.000607122 -0.000531749 -0.000183285 0.00178099 -0.00215032 -0.00140523 -0.000687982 4.17147e-05 0.00102662 -0.00171989 -0.00113467 -0.000127174 0.000646598 0.000707348 0.000964992 0.000129305 -0.00080543 -0.00596887 -0.00633107 -0.00135267 0.0161438 -0.00885312 -0.00467509 -0.00127903 0.0162566 -0.00438717 -0.00049534 0.00176242 0.0138708 
1.93063 -0.000100826 -2.01184e-06 969.5 4700.07 -0.000394809 -0.000752979 0.00852392 -4.37348e-05 -4.53804e-05 -4.98042e-05 -6.00763e-05 -8.54765e-05 -0.000141658 -0.000211511 -1.15072e-05 0.00182746 0.00463698 0.000711241 0.000673751 0.000753917 0.00101545 0.00459898 0.000983251 0.000737472 0.000897442 0.000553349 0.000894839 0.000858772 0.000502816 0.00167226 0.0014656 0.000565527 0.00134882 0.00090658 0.0010976 0.000568127 0.00191358 0.00101131 0.00111663 0.000819013 0.000540203 
