*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} process[Recruitment].ycs_values{2015} process[Recruitment].ycs_values{2016} 
53970.3 2.53492e-05 0.037706 6.99587 2.70807 3.03399 0.100889 0.186489 0.220567 0.255351 0.333196 0.530902 0.988932 0.453221 2.39182 0.269152 0.257465 0.395947 0.281015 0.188704 0.170497 0.221802 0.212899 0.265137 0.377186 0.429691 0.423326 0.338876 0.346319 0.400796 0.350628 0.340396 0.371186 0.300463 0.200989 0.210677 0.185465 0.235226 0.300351 0.331528 0.331276 0.276095 0.24592 0.237911 0.204778 0.190379 0.22452 0.176275 0.281903 0.30431 0.30424 
covariance_matrix:
3.32305e+07 -0.021234 -27.5721 -353.151 -296.532 -4.85502 -1.29903 2.26237 37.3403 32.0898 56.1419 115.046 106.008 -55.434 101.434 -57.6408 -30.4699 12.7406 -40.1119 -14.3077 -8.55681 -38.859 -33.0374 -27.3208 -29.2001 -161.913 -35.426 -89.03 -45.1779 -64.6098 -47.3984 -37.9036 -38.1318 -23.566 -15.1636 -4.13139 -4.78922 1.58032 4.46855 14.2723 19.8058 20.8081 23.2835 24.0069 13.9066 35.3709 51.0234 38.8273 91.9242 3.60835 -16.8141 
-0.021234 1.5395e-11 1.85506e-08 4.04256e-07 3.31174e-07 4.39689e-09 7.91386e-10 9.44936e-09 -6.05115e-09 5.71334e-09 1.35664e-09 -7.33674e-08 -1.91395e-09 3.71032e-08 -8.48915e-08 3.74786e-08 2.77727e-08 -2.92399e-08 2.37783e-08 3.89935e-10 9.55845e-10 1.75309e-08 1.1399e-08 1.55247e-08 8.02758e-09 9.80529e-08 1.92822e-08 5.08299e-08 1.60182e-08 4.08032e-08 1.86971e-08 2.00125e-08 1.84027e-08 1.09578e-08 6.97803e-09 -3.31761e-10 1.56485e-09 -3.00771e-09 -2.87348e-09 -5.65292e-09 -7.97661e-09 -7.72858e-09 -5.04103e-09 -5.19629e-09 2.29817e-09 -3.80135e-09 -7.51997e-09 -1.05027e-09 -6.85163e-08 9.23351e-09 3.23586e-08 
-27.5721 1.85506e-08 2.88853e-05 0.000314344 0.000246215 5.72934e-06 1.29966e-06 3.35677e-06 4.9267e-06 5.35857e-06 -4.2243e-06 -8.79623e-05 0.000101045 5.85766e-05 -2.50482e-05 4.12717e-05 2.47807e-05 3.43132e-06 3.00197e-05 8.12647e-06 7.69875e-06 3.12742e-05 1.32663e-05 3.20178e-05 1.88803e-05 0.0001448 4.0655e-05 6.80166e-05 3.61444e-05 5.32103e-05 2.66049e-05 2.59004e-05 3.1013e-05 1.56906e-05 1.0731e-05 5.89748e-06 -1.24992e-06 -1.07607e-06 -5.32539e-06 -1.03803e-05 -9.99816e-06 -1.38372e-05 -1.39511e-05 -1.55088e-05 3.8328e-06 -1.60489e-05 -3.32601e-06 1.10395e-06 -8.01274e-05 7.17697e-06 3.31274e-05 
-353.151 4.04256e-07 0.000314344 0.0639733 0.0558025 0.000181896 3.06019e-06 0.000989702 -0.000335276 -0.00107981 -7.85314e-05 -0.00215344 0.00197895 0.00146157 -0.00887989 0.000904632 0.00107273 -0.00269243 0.00217934 5.68156e-05 -0.000271997 7.78995e-05 -0.000352823 0.000550539 -0.000113462 0.00394047 0.000779387 0.00140937 -4.61168e-05 0.00179212 -0.000592518 0.000507467 -5.09517e-05 3.52837e-05 -0.000142915 0.00022007 0.000265564 0.000637822 0.00115661 0.00144147 0.00150012 0.00150544 0.00254037 0.00193276 0.0013083 0.00242848 -0.000763098 -0.000484381 -0.00170438 0.000691258 0.00130657 
-296.532 3.31174e-07 0.000246215 0.0558025 0.074622 0.000102132 3.45335e-06 0.000548432 0.00115974 -0.000742109 -0.000231157 -0.00455587 0.00556542 0.00715388 -0.0118577 0.00137369 0.00191479 -0.000592039 0.00218832 0.00112835 -0.00029885 0.000147713 0.000903994 -0.0004602 0.00042042 0.00418855 0.00134806 0.00172231 0.00147961 0.000555943 -0.00066955 0.00090285 2.37635e-05 0.000465023 0.000424245 0.000459409 0.000401001 0.000978249 0.00113316 0.00150494 0.00069862 0.00100526 0.00207337 0.00159735 -0.000148597 3.38038e-05 -0.00301235 -0.00117083 -0.00164078 8.97845e-05 0.000188335 
-4.85502 4.39689e-09 5.72934e-06 0.000181896 0.000102132 6.35298e-05 1.01816e-06 2.08543e-05 -5.36552e-05 -3.65176e-05 4.52102e-05 -0.000148123 -5.09048e-05 -0.000152411 -0.000256103 0.000108546 -3.03983e-05 -9.05721e-05 -3.61013e-05 -5.29622e-05 -1.7292e-05 -1.73909e-05 -2.70925e-05 -2.80263e-05 -8.90824e-05 0.000213085 -0.000211605 4.7562e-05 -9.25546e-05 -3.24178e-05 -6.46575e-05 -4.6885e-05 -2.22882e-05 -1.74269e-05 -7.49791e-06 -1.97364e-05 -2.09257e-05 -1.09546e-05 -1.2789e-05 -8.42551e-07 1.60598e-05 -2.44296e-05 -3.08323e-05 2.53041e-05 6.40676e-05 -3.25977e-05 8.3295e-05 -8.1691e-06 6.5685e-05 -5.50542e-05 -6.32711e-05 
-1.29903 7.91386e-10 1.29966e-06 3.06019e-06 3.45335e-06 1.01816e-06 3.13183e-06 -7.16301e-07 2.10531e-05 1.16446e-06 9.14013e-06 -0.000162154 0.000402262 -0.000215301 0.000165706 1.26011e-05 -1.07664e-05 5.69998e-05 -1.1785e-05 1.80324e-05 9.46045e-06 1.0407e-06 2.35378e-05 7.34942e-06 1.7982e-05 3.79855e-05 7.8958e-06 4.10391e-05 8.92276e-07 3.57624e-05 1.30385e-05 2.04165e-05 1.96701e-05 1.6164e-05 1.03364e-05 1.0543e-05 9.14911e-06 1.14405e-05 1.44504e-05 1.56766e-05 1.52894e-05 1.27413e-05 1.0543e-05 1.04973e-05 7.45928e-06 5.6307e-06 5.30634e-06 9.13786e-06 0.000286451 -0.000141966 -0.00011526 
2.26237 9.44936e-09 3.35677e-06 0.000989702 0.000548432 2.08543e-05 -7.16301e-07 0.00104744 -5.26714e-05 0.000293351 0.000248938 0.000250702 0.000538354 -0.000388509 0.00204605 0.000196999 -4.71461e-05 0.00029938 -0.000144867 -6.4432e-05 -2.19081e-05 -0.000132949 -6.35543e-05 -6.88997e-05 -0.000280858 -0.000268972 -0.000117543 -0.000132563 -4.39154e-05 -1.44723e-05 -1.42159e-05 7.98515e-05 4.00427e-05 6.30699e-05 2.77778e-05 8.06329e-07 2.38164e-05 2.66783e-05 9.6337e-05 0.000209232 0.000250854 0.000282688 0.000221262 0.000237157 0.00020008 0.000142528 0.00011956 -7.68631e-05 -6.48041e-05 -0.000203718 -0.000130391 
