*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].recruitment_multipliers{1975} process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} process[Recruitment].recruitment_multipliers{2015} process[Recruitment].recruitment_multipliers{2016} process[Recruitment].recruitment_multipliers{2017} 
53980.5 2.53422e-05 0.0376952 6.99529 2.70696 3.03383 0.100386 0.186511 0.220181 0.255122 0.334612 0.529513 0.991527 0.453542 2.39208 0.26942 0.25735 0.395541 0.28171 0.188677 0.170412 0.221906 0.213002 0.265206 0.376831 0.430706 0.422676 0.33926 0.346387 0.400982 0.350661 0.340523 0.371319 0.300576 0.201057 0.210759 0.185537 0.235299 0.300467 0.331639 0.331391 0.276225 0.245995 0.238002 0.204881 0.190506 0.224532 0.176486 0.281034 0.333098 0.277375 
covariance_matrix:
3.04676e+07 -0.0194154 -25.6562 -357.659 -291.893 -4.13244 -1.17918 7.20455 -2.04491 62.7629 18.7519 72.5407 -119.913 120.278 -34.3288 -21.5339 61.0999 -116.137 -26.4614 -15.2584 -8.02773 -45.0509 -44.1155 -6.61873 -84.1897 -103.994 -33.6777 -164.741 20.7951 -114.458 -29.6492 -40.6336 -44.6742 -19.3759 -12.9151 -8.90623 -3.43292 -2.20132 1.95334 11.6566 15.0522 15.2094 20.4846 15.5407 9.9027 25.8451 44.6649 25.914 45.4355 0.184218 10.2465 
-0.0194154 1.43344e-11 1.71432e-08 4.07509e-07 3.13641e-07 3.56356e-09 7.38043e-10 6.44961e-09 2.03896e-08 -8.29234e-09 1.46952e-08 -1.5885e-08 1.35684e-07 -1.48749e-07 -2.40139e-08 1.12489e-08 -3.1293e-08 3.63466e-08 4.03981e-09 -5.32351e-10 -6.08369e-10 1.5901e-08 1.32335e-08 -2.75904e-09 3.71852e-08 5.31502e-08 2.19329e-10 9.75278e-08 -2.61626e-08 5.7037e-08 5.62623e-09 1.30659e-08 1.54929e-08 4.76327e-09 2.24057e-09 -8.6652e-11 -1.73195e-09 -3.9093e-09 -4.9877e-09 -7.28742e-09 -8.75807e-09 -7.45967e-09 -3.90499e-09 -2.54038e-09 3.76835e-09 -4.09618e-09 -4.75219e-09 6.05029e-09 -5.3415e-08 1.48331e-08 8.2639e-09 
-25.6562 1.71432e-08 2.78998e-05 0.000317484 0.000248101 5.52034e-06 1.09954e-06 1.18088e-06 2.63559e-05 -2.10763e-06 5.64595e-06 5.21641e-06 0.000189044 -0.000101129 5.03037e-05 1.72615e-05 -2.07647e-05 7.14708e-05 1.13402e-05 8.09033e-06 2.16925e-06 2.99297e-05 2.32569e-05 1.17974e-05 5.20691e-05 9.67998e-05 1.62527e-05 0.00014053 -3.31616e-05 9.24729e-05 1.43306e-05 2.9448e-05 2.54938e-05 9.08783e-06 5.18036e-06 1.42985e-06 -1.60628e-06 -4.39854e-06 -9.34906e-06 -1.33325e-05 -1.53978e-05 -1.64312e-05 -1.22035e-05 -1.23188e-05 -2.83515e-06 -1.63933e-05 -1.54647e-05 6.5216e-06 -5.37752e-05 1.42819e-05 -7.83274e-07 
-357.659 4.07509e-07 0.000317484 0.0602412 0.0512723 0.000131051 -2.64921e-07 0.0012218 -0.000115977 -0.000431382 -0.00106009 0.00300331 -0.00188174 -0.00478613 -0.0126625 0.00147189 0.00056133 -0.00430724 0.00121401 -0.000346337 0.000189276 -0.00108423 -0.000425408 -0.000555271 0.000280766 0.0016413 -0.000696587 0.00165817 -0.000463619 3.68211e-05 -0.000680618 -0.000713605 -0.00077434 -0.000199459 -0.000275746 -0.000229191 -5.55987e-05 -6.36803e-05 0.000432083 0.00092699 0.000951857 0.0013013 0.00200089 0.00144544 0.00156894 0.000560501 -8.61805e-05 -0.00107429 -0.00283002 0.00151814 0.000521351 
-291.893 3.13641e-07 0.000248101 0.0512723 0.0703666 4.94142e-05 -5.1923e-06 0.000563408 0.00110507 0.000215645 -0.00536654 0.00550993 0.000269866 -0.00171285 -0.00811293 0.00221868 0.00214361 0.000103001 0.00096775 0.00067371 0.000667048 -0.00011742 0.000801241 -0.000612711 0.00200174 0.00199332 0.0019592 0.00187084 0.00173268 -0.000597167 -1.02075e-05 0.000494628 4.65532e-05 0.000775188 0.000680219 0.000447087 0.000435854 0.000791797 0.00104347 0.0016308 0.000793041 0.00112817 0.00200233 0.00148343 0.000514244 -0.00127906 -0.00189493 -0.00123974 -0.00391326 0.0020589 -6.33375e-05 
-4.13244 3.56356e-09 5.52034e-06 0.000131051 4.94142e-05 6.21815e-05 4.91946e-07 1.57202e-05 -2.43429e-05 -4.26445e-05 -2.99054e-05 6.37817e-06 6.30455e-05 -7.74152e-05 3.85897e-05 3.05794e-05 4.93951e-05 -7.70462e-06 -3.7762e-05 -1.36161e-05 -2.94101e-05 3.19411e-05 -4.95271e-05 3.4263e-05 -6.04989e-05 0.000209944 -9.86639e-05 -7.33776e-06 2.39939e-06 -1.31452e-05 -3.07332e-05 -1.87359e-05 2.63841e-05 8.85139e-06 1.02189e-05 4.26798e-06 -8.39277e-06 1.57705e-05 1.778e-05 3.56667e-05 5.87727e-05 9.58486e-06 3.44313e-06 5.37762e-05 8.56981e-05 -7.41263e-06 0.000107773 -2.677e-05 5.60897e-05 -2.09819e-05 -7.50912e-06 
-1.17918 7.38043e-10 1.09954e-06 -2.64921e-07 -5.1923e-06 4.91946e-07 1.03907e-06 -2.59744e-07 8.57254e-06 -6.73109e-06 2.04401e-05 -0.000141717 0.000300259 -0.000140816 8.09518e-05 1.24292e-05 -1.37208e-06 1.74198e-05 8.58714e-07 1.17983e-05 -9.46155e-07 5.89585e-06 1.09625e-05 6.3838e-06 2.35043e-06 3.39751e-05 1.18753e-06 1.73407e-05 1.01618e-05 1.30329e-05 9.82328e-06 1.0602e-05 1.10374e-05 8.54084e-06 5.90127e-06 5.57198e-06 5.05952e-06 5.8037e-06 7.2614e-06 7.93744e-06 7.27835e-06 6.36047e-06 4.497e-06 4.93693e-06 3.75595e-06 5.50421e-06 -1.00511e-06 3.94848e-06 0.000162267 -5.75144e-05 -4.69471e-05 
7.20455 6.44961e-09 1.18088e-06 0.0012218 0.000563408 1.57202e-05 -2.59744e-07 0.00087381 -7.20558e-05 0.000440021 3.34044e-05 -7.06636e-05 0.00119844 -0.00100896 0.000612557 -1.33408e-05 4.60879e-05 -0.000289324 -6.30857e-05 -0.000115335 -8.3256e-05 -0.000202806 -0.000123588 -0.00018726 -0.000365638 -0.000299683 -0.000489153 -7.21009e-05 -0.000221894 -3.68152e-05 -0.000115829 -2.79153e-05 -4.5402e-05 -7.44356e-06 -2.4589e-05 -3.83234e-05 -9.47607e-06 1.79757e-05 5.01603e-05 0.000147008 0.000176326 0.000222873 0.000162006 0.000175398 0.000149007 9.34149e-05 0.000112088 -0.000116714 -0.000196385 -4.46116e-05 6.7188e-05 
