*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].recruitment_multipliers{1975} process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} process[Recruitment].recruitment_multipliers{2015} process[Recruitment].recruitment_multipliers{2016} process[Recruitment].recruitment_multipliers{2017} 
53971.6 2.5348e-05 0.0377049 6.99583 2.70805 3.03383 0.100387 0.186487 0.2206 0.255345 0.333122 0.531308 0.988168 0.453788 2.39155 0.26921 0.257488 0.396052 0.280984 0.188703 0.170511 0.221805 0.212914 0.265145 0.377217 0.429685 0.423358 0.338949 0.346261 0.400865 0.350615 0.340434 0.37119 0.300489 0.200993 0.210689 0.185474 0.235239 0.300363 0.331549 0.331285 0.276114 0.245929 0.237922 0.204787 0.190393 0.224515 0.17625 0.281854 0.304251 0.30437 
covariance_matrix:
3.21764e+07 -0.0205379 -27.0057 -381.068 -324.353 -3.12571 -1.15479 5.40745 27.5311 86.5588 70.8995 128.693 -3.73135 5.11013 11.3502 -20.4387 -2.14291 -43.4342 -24.387 -23.0805 -12.8677 -33.7931 -31.1378 -32.8864 -46.8194 -107.153 -77.0475 -70.3406 -56.7445 -61.7345 -41.3116 -32.6037 -39.4595 -12.4475 -9.60104 -5.1356 2.89928 0.8252 11.3135 17.6421 23.9345 22.3696 25.1616 22.8928 14.1991 27.4206 50.2243 37.4321 29.2671 24.5959 -0.393905 
-0.0205379 1.51069e-11 1.80539e-08 4.28789e-07 3.51136e-07 3.0093e-09 7.18184e-10 8.02586e-09 -2.07763e-09 -2.57141e-08 -1.69924e-08 -6.73014e-08 3.24857e-08 -3.63037e-08 -1.00295e-07 9.5502e-09 8.14695e-09 -1.22288e-08 1.28904e-09 -2.42161e-09 5.20625e-09 4.7466e-09 2.08014e-09 1.29454e-08 1.35339e-08 4.20195e-08 2.93048e-08 3.50969e-08 1.77528e-08 1.99254e-08 1.00764e-08 5.03467e-09 8.54573e-09 -3.33778e-09 -1.33224e-09 -4.9504e-09 -7.88133e-09 -7.56583e-09 -1.43514e-08 -1.35984e-08 -1.79865e-08 -1.40636e-08 -9.38345e-09 -9.62453e-09 -2.15981e-10 -6.66579e-09 -1.09087e-08 -4.28105e-10 -3.42285e-08 2.44529e-10 6.54684e-09 
-27.0057 1.80539e-08 2.89805e-05 0.00033851 0.000278019 4.78707e-06 1.09062e-06 2.95442e-06 2.90809e-06 -2.2377e-05 -3.06736e-05 -4.98545e-05 0.000103609 -5.6308e-06 2.32978e-06 1.54e-05 2.78176e-05 1.37219e-05 1.03369e-05 1.22136e-05 6.40029e-06 2.01168e-05 1.2814e-05 3.13509e-05 2.29869e-05 9.538e-05 4.98523e-05 6.72024e-05 2.50455e-05 5.1081e-05 2.20594e-05 2.23175e-05 2.06876e-05 2.34477e-06 2.24127e-06 -2.1539e-06 -7.33709e-06 -7.12675e-06 -1.76863e-05 -1.86953e-05 -2.33249e-05 -2.251e-05 -1.65442e-05 -1.86298e-05 -6.17722e-06 -1.79241e-05 -2.02243e-05 -2.00028e-06 -3.79535e-05 -3.74268e-06 3.61958e-06 
-381.068 4.28789e-07 0.00033851 0.0613055 0.0531339 0.000135738 2.95073e-06 0.00133169 -0.000577269 -0.00101775 -0.00053213 -0.00163413 -0.000582629 -0.00243651 -0.0167866 0.00115499 0.00105215 -0.00540629 0.0012557 -0.000881507 0.000404918 -0.00155867 -0.000687421 -0.000525079 -0.000127602 0.000426897 -0.000269056 0.000736706 -0.000367162 -0.000653725 -0.000977888 -0.00107128 -0.00112108 -0.000688166 -0.000416118 -0.000500829 -0.000345153 -0.000236603 -8.61931e-06 0.000652209 0.00051783 0.00108823 0.0017159 0.00116376 0.00151429 0.00043354 -0.000347378 -0.00109575 -0.00157074 0.000596226 0.00105509 
-324.353 3.51136e-07 0.000278019 0.0531339 0.0737333 8.14636e-05 -2.09848e-07 0.000803056 0.000684131 -0.000564801 -0.000778318 -0.00610896 0.00306798 0.00722595 -0.0204082 0.00231582 0.00218902 -0.00181704 0.00136982 -0.000419392 0.000752508 -0.000905776 0.000411035 -0.00111945 0.0014296 0.000165883 0.0013991 0.00172322 0.00042374 -0.00106255 -0.00090642 -0.000124606 -0.00075263 -7.79306e-05 0.000412459 -0.000115775 4.84676e-06 0.000374983 0.000278799 0.0010968 9.94207e-08 0.000846438 0.00141773 0.000953767 0.000393924 -0.0014854 -0.00246885 -0.00142678 -0.00132756 -0.000682474 0.00228563 
-3.12571 3.0093e-09 4.78707e-06 0.000135738 8.14636e-05 6.31655e-05 5.17366e-07 1.57741e-05 -1.51554e-05 -3.12399e-05 1.3885e-05 -2.77956e-05 8.21036e-05 -4.3642e-05 -7.94853e-05 2.84503e-05 4.42809e-06 3.27799e-05 -4.14856e-05 -4.02065e-05 -2.45959e-05 2.66108e-05 -4.96402e-05 1.29929e-05 -3.57591e-05 0.000166347 -0.000124591 5.05692e-05 -6.88155e-05 1.17427e-05 -4.86423e-05 -2.25191e-05 1.76079e-05 1.71702e-06 8.00258e-06 -1.50253e-06 -1.0459e-05 1.19336e-05 1.30153e-05 3.18844e-05 5.29754e-05 8.48669e-06 -1.69522e-06 5.08174e-05 8.4821e-05 -1.13428e-05 0.00010227 -1.73618e-05 7.59885e-05 -2.5351e-05 -6.00246e-06 
-1.15479 7.18184e-10 1.09062e-06 2.95073e-06 -2.09848e-07 5.17366e-07 1.08133e-06 -1.47233e-07 8.17746e-06 -7.87003e-06 8.75147e-06 -0.000148065 0.000339935 -0.000185098 0.000100787 6.18e-06 -1.8864e-06 2.06882e-05 -5.62008e-07 9.14113e-06 1.1489e-06 4.54872e-06 1.12501e-05 6.3615e-06 3.90591e-06 2.51966e-05 5.72023e-06 1.63548e-05 9.29049e-06 1.20239e-05 8.72161e-06 9.74284e-06 1.10596e-05 6.66434e-06 5.86544e-06 5.06751e-06 3.90587e-06 5.98585e-06 5.98638e-06 7.70701e-06 6.2318e-06 5.84487e-06 4.06938e-06 4.62639e-06 4.49608e-06 5.00125e-06 -1.06331e-06 6.07819e-06 0.000166019 -5.7083e-05 -4.45876e-05 
5.40745 8.02586e-09 2.95442e-06 0.00133169 0.000803056 1.57741e-05 -1.47233e-07 0.00088149 -0.000145851 0.000377889 -6.44696e-05 -0.000293855 0.000930869 -0.00068928 0.000162295 -6.16374e-05 9.65691e-05 -0.000368316 -8.45693e-05 -0.00019833 -3.60207e-05 -0.000264238 -0.000166507 -0.000171789 -0.000391866 -0.000487301 -0.000403506 -0.000199724 -0.000205418 -0.00013438 -0.000142474 -7.29295e-05 -8.86879e-05 -6.52492e-05 -4.40812e-05 -7.02695e-05 -4.59265e-05 -2.15952e-06 -2.88553e-06 0.000112753 0.000124565 0.000190164 0.000129124 0.000140871 0.000135528 7.29079e-05 8.02904e-05 -0.000103958 -6.98352e-05 4.50884e-05 -0.000131032 
