*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} process[Recruitment].ycs_values{2015} process[Recruitment].ycs_values{2016} 
53978.7 2.53418e-05 0.0377007 6.9954 2.70699 3.03453 0.102436 0.186485 0.220297 0.255099 0.332815 0.534031 0.984026 0.457586 2.39033 0.269305 0.257654 0.396214 0.281243 0.188517 0.170476 0.222 0.212853 0.265264 0.37749 0.429691 0.423202 0.339132 0.346415 0.400982 0.350607 0.340512 0.3714 0.300401 0.201247 0.210577 0.185649 0.23524 0.300469 0.331638 0.33138 0.276146 0.246016 0.237995 0.2048 0.190489 0.224501 0.176459 0.281866 0.304415 0.304014 
covariance_matrix:
3.22756e+07 -0.0200935 -27.3954 -259.452 -229.431 -2.67179 -2.54387 22.7495 34.6493 52.9171 125.263 -26.374 8.46912 70.9302 -402.394 -12.7482 -7.57873 -135.541 -37.6176 -18.2052 -41.9258 -52.0529 -36.1683 -59.1719 -92.7618 -143.536 -97.3115 -125.907 -57.6481 -104.331 -62.1674 -62.2549 -65.5728 -41.18 -23.7901 -20.4127 -7.66262 -11.8417 -3.66777 0.948982 6.24594 9.81749 20.3386 11.9405 11.6842 25.8024 36.0461 45.5789 51.4345 51.0978 49.9276 
-0.0200935 1.43222e-11 1.78987e-08 3.40978e-07 2.82756e-07 2.66553e-09 1.66311e-09 -2.92463e-09 -7.46813e-09 -3.80877e-09 -5.38525e-08 1.10994e-08 5.45027e-08 -4.75477e-08 1.97499e-07 1.07737e-08 1.172e-08 7.03026e-08 1.37e-08 -2.02581e-09 2.26628e-08 2.91371e-08 7.68748e-09 3.53154e-08 5.50167e-08 7.65177e-08 5.23567e-08 7.87735e-08 1.84972e-08 5.80153e-08 2.94705e-08 3.26592e-08 3.37704e-08 2.13499e-08 1.11056e-08 1.02517e-08 3.19502e-09 6.05941e-09 2.87641e-09 3.92706e-09 9.57532e-10 -1.27956e-09 -1.13525e-09 3.65824e-09 5.51193e-09 -4.08697e-10 2.95909e-09 -7.12079e-10 -3.44258e-08 -2.91222e-08 -2.79675e-08 
-27.3954 1.78987e-08 2.89084e-05 0.000225883 0.000178666 3.41205e-06 2.7437e-06 -1.21996e-05 -2.52167e-06 -2.5889e-05 -4.82353e-05 7.27825e-05 4.37874e-06 -5.96016e-05 0.000290544 2.76868e-06 -7.63103e-07 9.38913e-05 1.12611e-05 1.28201e-05 2.62273e-05 3.5736e-05 1.92931e-05 4.24379e-05 6.40711e-05 0.000109875 6.78438e-05 9.66612e-05 3.65331e-05 6.07385e-05 3.5577e-05 3.34234e-05 3.48689e-05 1.92599e-05 1.09434e-05 5.7519e-06 -1.82904e-06 -2.62749e-06 -1.1616e-05 -1.27749e-05 -1.72145e-05 -1.64547e-05 -1.90053e-05 -1.33818e-05 -4.26951e-06 -2.55678e-05 -1.35357e-05 -2.3428e-06 -3.70132e-05 -4.77282e-05 -3.90112e-05 
-259.452 3.40978e-07 0.000225883 0.0625816 0.0538376 0.000110294 -1.13719e-05 0.00107687 -0.000733926 -0.00237839 0.00113196 0.00144558 -0.00367872 0.000222006 -0.00730013 0.00219953 0.00109585 -0.00341226 0.00205101 1.98159e-05 -0.000278764 0.000944095 -0.000832145 0.000285495 0.00209986 0.00022561 0.00184662 0.00169286 0.000497405 0.00029971 0.00046651 0.00011035 -5.42882e-05 6.14804e-05 -1.32369e-05 0.000120027 0.000406679 0.000538706 0.00105761 0.0015225 0.00139002 0.0018906 0.00235887 0.00215193 0.00183718 0.00154826 -0.000401408 -0.00144294 -0.000995402 0.000581661 -0.000752192 
-229.431 2.82756e-07 0.000178666 0.0538376 0.0738761 1.48006e-05 -4.43423e-05 0.000584724 0.000168607 -0.00139978 -0.000413799 0.00671252 -0.00671252 0.00591512 -0.00302784 0.00122025 0.00250761 -0.00161582 0.00305422 0.000848333 7.60172e-06 0.00168786 -0.000339655 -9.30062e-05 0.00320858 0.00108613 0.00316853 0.0025794 0.00169989 -0.000429227 0.00111762 0.000922301 0.000287076 0.00111849 0.000264625 0.00110725 0.000268797 0.0013741 0.0012204 0.00190492 0.00100107 0.00146732 0.00222907 0.00196466 0.000440141 -0.000707271 -0.00249334 -0.00179612 -0.00328897 0.00102308 -0.00136135 
-2.67179 2.66553e-09 3.41205e-06 0.000110294 1.48006e-05 6.27227e-05 4.02447e-06 5.54805e-06 -1.05008e-05 -5.46031e-05 3.96258e-05 5.89906e-05 -9.34602e-05 -0.000152821 -0.000320435 4.51738e-05 -8.33333e-05 -2.36984e-05 -5.84126e-05 -1.91436e-05 -5.1631e-05 -1.44721e-06 -3.67407e-05 -2.98227e-05 -4.05113e-05 0.000125406 -0.00017559 2.50762e-05 -7.10702e-05 -2.26083e-05 -6.82383e-05 -5.88901e-05 -9.14305e-06 -1.94772e-05 -9.02915e-06 -1.76207e-05 -2.38019e-05 -1.10125e-05 -1.25694e-05 -5.76589e-07 2.59566e-05 -2.15765e-05 -1.96057e-05 3.15265e-05 5.00116e-05 -4.29705e-05 7.62442e-05 -1.33996e-05 0.000194209 -0.000151427 -8.74673e-05 
-2.54387 1.66311e-09 2.7437e-06 -1.13719e-05 -4.43423e-05 4.02447e-06 1.31861e-05 -3.55161e-06 1.7683e-05 -2.14384e-05 3.26648e-05 -7.4272e-05 0.000464562 -0.000313323 0.000302183 2.45962e-05 9.73474e-06 5.52968e-05 5.97998e-06 1.81348e-05 2.56148e-05 -1.3121e-05 5.87345e-05 1.01763e-05 1.37347e-05 6.57041e-05 3.06244e-05 4.16559e-05 1.42756e-05 6.03727e-05 1.39784e-05 3.79738e-05 3.22531e-05 2.39837e-05 2.1349e-05 1.14814e-05 1.99354e-05 1.48674e-05 2.33546e-05 2.48923e-05 1.89763e-05 2.14784e-05 1.14735e-05 1.52286e-05 1.94762e-05 1.41463e-05 1.26433e-05 2.01528e-05 0.000606775 -0.000511818 -0.000434373 
22.7495 -2.92463e-09 -1.21996e-05 0.00107687 0.000584724 5.54805e-06 -3.55161e-06 0.000983838 -1.61926e-06 0.000128253 0.00010391 -0.000558159 0.00133763 -0.00072594 0.000438017 3.08695e-05 -0.000160205 0.000270501 -0.000156206 -0.000107556 -0.000119011 -2.69435e-05 -0.000196103 -0.000121895 -0.000191313 -0.000412311 -0.000104777 -0.000274029 -0.000111542 -0.000126999 -7.3573e-05 -1.93815e-05 -1.11689e-05 1.78305e-05 -7.94938e-06 3.15857e-06 2.99473e-06 3.57421e-05 9.78498e-05 0.000186055 0.000222964 0.00022494 0.000202304 0.000161903 0.00022529 0.000111761 0.000133058 3.11739e-05 -5.31152e-05 -0.000249445 -0.000214449 
