*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].recruitment_multipliers{1975} process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} process[Recruitment].recruitment_multipliers{2015} process[Recruitment].recruitment_multipliers{2016} process[Recruitment].recruitment_multipliers{2017} 
53971.1 2.53574e-05 0.0377003 6.99702 2.70985 3.03406 0.101095 0.186572 0.221177 0.255339 0.333403 0.536954 0.976923 0.457782 2.3895 0.267907 0.257262 0.395507 0.280752 0.188779 0.170309 0.221365 0.213068 0.264512 0.376729 0.428497 0.423636 0.338534 0.345437 0.400886 0.350017 0.340078 0.370751 0.300194 0.200631 0.210579 0.18514 0.235051 0.300004 0.331236 0.330921 0.276007 0.245635 0.237728 0.204827 0.190247 0.22454 0.175883 0.282755 0.305814 0.302127 
covariance_matrix:
3.43986e+07 -0.0215682 -28.9647 -351.927 -280.343 -2.59711 -1.38789 19.156 -17.3189 94.1952 120.518 -94.7233 235.515 -104.336 -155.157 -56.954 46.4714 -128.156 -14.2935 -54.525 -14.7539 -30.384 -51.6342 -24.2404 -65.896 -172.884 -59.0769 -113.262 -62.2363 -99.0474 -54.4317 -49.5264 -60.423 -34.9338 -19.3095 -19.9379 -1.06319 -10.6577 -1.60966 11.5621 2.60663 15.4755 24.6685 23.8091 18.1216 24.2132 34.0986 48.1687 102.223 23.7577 36.3263 
-0.0215682 1.53535e-11 1.90331e-08 3.85122e-07 3.02898e-07 2.31871e-09 8.32195e-10 -2.88877e-09 2.49335e-08 -2.74711e-08 -4.13913e-08 6.79115e-08 -3.98194e-08 1.29561e-08 1.12428e-07 3.82294e-08 -2.55558e-08 6.45377e-08 -4.46585e-09 2.92741e-08 9.9901e-09 1.1011e-08 2.01531e-08 1.73997e-08 3.43463e-08 1.15223e-07 1.92793e-08 7.17698e-08 2.99916e-08 5.73724e-08 2.7128e-08 2.89877e-08 3.39653e-08 2.04205e-08 9.59948e-09 1.28868e-08 -5.99581e-10 7.55259e-09 3.673e-09 -1.27489e-09 6.48352e-09 -4.45186e-09 -1.31807e-09 -3.71227e-09 8.81815e-10 1.62275e-09 9.48928e-09 -1.2245e-09 -8.95163e-08 -2.48024e-08 -7.29161e-09 
-28.9647 1.90331e-08 3.07437e-05 0.000294423 0.000208454 4.08538e-06 1.50805e-06 -4.20422e-06 4.70864e-05 -4.65744e-05 -7.66917e-05 0.000219876 -0.000217956 2.29085e-05 0.000161796 4.03776e-05 -3.96063e-05 8.21456e-05 -1.14944e-05 4.80543e-05 -7.04995e-06 1.98845e-05 2.46114e-05 5.89711e-06 4.25462e-05 0.00013344 3.27189e-05 8.38793e-05 2.36837e-05 7.05376e-05 1.99807e-05 2.41127e-05 3.03983e-05 1.25822e-05 6.09281e-06 7.37853e-06 -9.97375e-06 -2.48432e-06 -1.33564e-05 -2.22957e-05 -9.7217e-06 -2.46594e-05 -2.24545e-05 -2.5345e-05 -8.95474e-06 -1.8335e-05 1.12378e-07 -1.28152e-05 -9.62346e-05 -2.05011e-05 -4.87263e-05 
-351.927 3.85122e-07 0.000294423 0.0565699 0.0479711 6.64967e-05 -9.75513e-06 0.000497531 -0.000202939 -0.000424277 0.00164773 -0.00533837 0.00808581 0.00104629 0.00358475 0.00208925 0.00104734 -0.000582439 0.000782625 0.000649289 0.00155869 -0.000692881 -1.84064e-05 0.00139555 0.00185547 0.0037589 0.00038313 0.00371697 0.000927936 0.00230655 0.001361 0.00114338 0.00116733 0.00109831 0.000502721 0.000887071 0.000753183 0.00113164 0.00181856 0.00244387 0.00270907 0.0023376 0.00310125 0.00245212 0.0022873 0.00149252 0.0012517 -0.000622317 -0.00352316 -0.0012495 0.00177072 
-280.343 3.02898e-07 0.000208454 0.0479711 0.0658415 -1.52826e-05 7.79546e-08 7.72092e-05 0.000880644 -0.000179922 0.000644408 -0.00413662 0.0139457 3.62289e-05 0.00493004 0.00287262 0.00165453 0.00110906 0.00135032 0.00182829 0.00122015 -0.00021613 0.00132818 0.000238622 0.00276429 0.00436484 0.000888672 0.00437596 0.00253638 0.00119432 0.00159115 0.00173286 0.00143587 0.00169787 0.00124097 0.00124036 0.001069 0.00164851 0.00205637 0.00280236 0.00219025 0.00204467 0.00292037 0.00234429 0.00109343 -0.00074647 -0.000976657 -0.000971047 -0.00291449 -0.00298528 0.00281804 
-2.59711 2.31871e-09 4.08538e-06 6.64967e-05 -1.52826e-05 6.20305e-05 3.55112e-07 -1.5156e-06 -1.79204e-05 -3.80476e-05 -1.47379e-05 0.000125598 -6.29692e-05 -0.000114101 -5.73114e-05 -1.2877e-05 2.2259e-05 -7.42562e-05 -1.68382e-05 -1.94964e-05 -2.80603e-05 2.04423e-05 -4.07552e-05 -6.59287e-06 -3.39117e-05 0.000188529 -0.000191015 8.39715e-05 -9.38559e-05 1.48647e-05 -5.80668e-05 -3.69125e-05 1.63567e-05 -6.85737e-06 5.92238e-06 -7.79648e-06 -1.12734e-05 2.68098e-06 5.32657e-06 1.54092e-05 4.24882e-05 -1.58243e-06 -1.79031e-05 3.64569e-05 8.48813e-05 -2.80685e-05 0.000120614 -2.84047e-05 -1.70687e-05 -3.0875e-05 -5.391e-05 
-1.38789 8.32195e-10 1.50805e-06 -9.75513e-06 7.79546e-08 3.55112e-07 3.62093e-06 -1.34252e-06 1.92083e-05 -1.24567e-06 -1.83842e-05 -0.000102038 0.000305514 -0.000213538 0.000212465 1.10331e-06 -1.73224e-05 5.56708e-05 -2.22847e-05 2.35471e-05 5.82093e-06 5.67411e-06 7.54949e-06 1.05934e-05 1.74366e-05 3.39263e-05 1.437e-06 2.89415e-05 1.49275e-05 1.37758e-05 2.08662e-05 1.17297e-05 1.63935e-05 1.4187e-05 5.79968e-06 1.2764e-05 3.42006e-06 1.06879e-05 1.0014e-05 1.10889e-05 1.52471e-05 7.18151e-06 8.89371e-06 6.90145e-06 2.24643e-06 1.29165e-06 6.4771e-06 8.6562e-06 0.000302575 -0.000211372 -0.000194646 
19.156 -2.88877e-09 -4.20422e-06 0.000497531 7.72092e-05 -1.5156e-06 -1.34252e-06 0.00108646 -0.00018115 0.000546421 0.000196854 -0.000964289 0.00220673 -0.000381897 0.000943333 6.47734e-05 -0.000143805 2.54267e-07 -9.27695e-05 6.66818e-05 -0.00023338 5.28356e-05 -0.000192879 -0.000135673 -0.000279007 -0.000253397 -0.000364772 -0.000227888 -7.81343e-05 -0.00017626 -3.9714e-05 -7.39778e-05 -7.77823e-06 -5.10941e-06 -1.14112e-05 -2.4938e-05 -2.1177e-05 -9.12568e-06 4.53761e-05 0.000139188 0.000199927 0.000215409 0.00014806 0.000172767 0.000245292 2.91265e-05 0.000247025 -2.25088e-05 1.2198e-05 -0.00029323 -3.2702e-05 
