*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].recruitment_multipliers{1975} process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} process[Recruitment].recruitment_multipliers{2015} process[Recruitment].recruitment_multipliers{2016} process[Recruitment].recruitment_multipliers{2017} 
53971.6 2.5348e-05 0.0377049 6.99583 2.70805 3.03406 0.101098 0.186487 0.2206 0.255345 0.333122 0.531308 0.988168 0.453788 2.39155 0.26921 0.257488 0.396052 0.280984 0.188703 0.170511 0.221805 0.212914 0.265145 0.377217 0.429685 0.423358 0.338949 0.346261 0.400865 0.350615 0.340434 0.37119 0.300489 0.200993 0.210689 0.185474 0.235239 0.300363 0.331549 0.331285 0.276114 0.245929 0.237922 0.204787 0.190393 0.224515 0.17625 0.281854 0.304251 0.30437 
covariance_matrix:
3.4629e+07 -0.0218305 -29.0366 -387.096 -324.057 -3.78121 -1.41921 19.3247 3.924 112.179 136.04 -136.966 247.998 -57.1843 -161.555 -58.2576 28.5504 -120.688 -31.3263 -30.8955 -29.4299 -29.6314 -52.695 -37.1369 -46.463 -173.695 -69.9688 -115.143 -63.8714 -90.409 -59.6413 -55.4538 -54.5985 -40.3997 -14.8236 -20.5318 -1.26555 -11.3845 -1.11607 7.9478 9.3114 8.21484 26.9537 22.2282 11.0521 17.3345 47.5312 40.6972 81.6116 8.06276 1.17716 
-0.0218305 1.5734e-11 1.91171e-08 4.25382e-07 3.41927e-07 3.21629e-09 9.04409e-10 -4.78658e-10 1.66267e-08 -4.70314e-08 -6.56808e-08 1.87584e-07 -1.74693e-07 1.87197e-09 1.0255e-07 2.42043e-08 -1.35124e-08 5.36169e-08 4.87719e-09 1.31015e-08 1.69107e-08 6.89912e-09 2.51111e-08 1.81355e-08 1.45983e-08 1.00275e-07 2.98974e-08 6.91653e-08 2.67722e-08 4.70187e-08 2.56483e-08 2.90184e-08 2.50845e-08 1.99715e-08 4.43732e-09 9.30653e-09 -2.28441e-09 4.39753e-09 -8.24946e-10 -2.15941e-09 -4.05489e-09 3.10538e-10 -7.63507e-09 -4.41026e-09 8.47476e-09 4.97437e-09 -1.23787e-09 2.075e-09 -5.48358e-08 -8.09595e-09 -6.90623e-09 
-29.0366 1.91171e-08 3.06796e-05 0.000319431 0.000243602 5.19072e-06 1.47359e-06 -6.25806e-06 1.98613e-05 -6.27712e-05 -8.12425e-05 0.000213725 -0.000163301 -3.01848e-05 0.000176634 4.91049e-05 -2.20726e-05 7.52625e-05 9.13194e-06 2.36466e-05 9.85208e-06 2.04077e-05 2.33831e-05 2.33136e-05 2.50247e-05 0.000145687 3.78161e-05 8.90931e-05 2.76408e-05 6.38515e-05 2.80537e-05 3.19993e-05 2.75017e-05 1.99412e-05 3.00863e-06 1.00512e-05 -8.51864e-06 3.01571e-07 -1.13242e-05 -1.6707e-05 -1.27829e-05 -1.7151e-05 -2.1603e-05 -2.2561e-05 -3.24584e-06 -1.03931e-05 -1.23183e-05 -2.58069e-06 -8.87613e-05 -4.32057e-06 4.07729e-06 
-387.096 4.25382e-07 0.000319431 0.0593972 0.0512557 0.000125015 8.98922e-06 0.000952935 -0.000137808 -0.00154175 -0.000871918 0.00598559 -0.00622637 0.000847957 0.00250789 0.000460844 0.00131425 -0.000834572 0.000852529 -0.000145676 0.00160394 -0.00102559 0.000472021 0.000979457 0.000303866 0.00198054 0.00155887 0.00313467 0.000442547 0.00157108 0.000918274 0.000878759 0.000311306 0.000919857 -4.69022e-05 0.000545804 0.000388144 0.000747208 0.00122213 0.0021221 0.00169503 0.00251688 0.00229296 0.00222595 0.00278414 0.00150869 0.000493307 -0.000740955 0.00028103 -0.00150698 -0.00146588 
-324.057 3.41927e-07 0.000243602 0.0512557 0.075862 8.57517e-05 1.76753e-05 0.000384013 -0.000236563 0.000367496 0.00149676 -0.000459546 0.00185677 0.00201525 0.0024026 0.00155266 0.00165395 0.00154244 0.00197173 -0.00010884 0.00218725 -0.000767235 0.00107291 0.00105402 4.81746e-05 0.00343581 0.00329076 0.0033502 0.000741508 0.00139393 0.000933157 0.00179159 0.000110246 0.00228715 -0.000373844 0.00189941 -0.000109395 0.00177354 0.0013033 0.00254578 0.00117973 0.00225703 0.00208226 0.00196267 0.00119405 -0.000526962 -0.00221466 -0.0015015 0.000254478 -0.00130093 -0.00266905 
-3.78121 3.21629e-09 5.19072e-06 0.000125015 8.57517e-05 6.41487e-05 7.04684e-07 7.98415e-07 -3.39489e-05 -4.28808e-05 -5.97339e-05 0.000121755 1.10155e-05 -0.000242959 -4.30629e-05 3.77509e-06 5.49661e-05 -5.99758e-05 -8.70034e-06 -5.06945e-05 -6.80881e-06 2.67366e-05 -4.19409e-05 1.82094e-05 -4.81867e-05 0.000173435 -0.000139343 7.8657e-05 -9.04961e-05 8.98107e-06 -4.82776e-05 -2.27074e-05 7.31315e-06 8.40252e-06 -3.35688e-06 -2.76851e-06 -1.29169e-05 5.98243e-06 4.74653e-06 2.20273e-05 3.1963e-05 9.01734e-06 -2.32755e-05 3.81328e-05 9.29657e-05 -1.88356e-05 9.84392e-05 -3.06364e-05 1.97056e-05 -4.32148e-05 -2.58544e-05 
-1.41921 9.04409e-10 1.47359e-06 8.98922e-06 1.76753e-05 7.04684e-07 3.46503e-06 -4.6946e-06 1.5127e-05 -3.95526e-06 -1.59345e-05 -0.000110401 0.000325614 -0.000220685 0.000205427 6.18575e-06 -2.73112e-06 4.76711e-05 -1.67663e-05 1.60439e-05 1.35441e-05 5.30092e-06 6.5265e-06 1.6489e-05 1.88145e-05 3.00325e-05 8.68045e-06 3.06175e-05 1.50312e-05 1.33641e-05 2.38082e-05 1.59016e-05 1.6099e-05 1.66391e-05 5.75574e-06 1.35479e-05 5.48265e-06 1.21351e-05 1.20738e-05 1.4077e-05 1.54986e-05 1.03297e-05 1.18303e-05 8.64256e-06 4.31531e-06 4.70129e-06 3.98386e-06 9.34162e-06 0.000292336 -0.000180655 -0.000156937 
19.3247 -4.78658e-10 -6.25806e-06 0.000952935 0.000384013 7.98415e-07 -4.6946e-06 0.00104907 -9.63999e-05 0.000455976 0.000196321 5.5916e-05 0.000563534 0.000148035 0.000518361 -8.47797e-05 5.07708e-05 -0.000250463 -6.84948e-05 1.46534e-05 -0.000184924 -2.17478e-05 -0.000158871 -0.000200076 -0.000285014 -0.000541325 -0.000264018 -0.000254289 -0.000170977 -0.00020604 -8.96009e-05 -8.3792e-05 -6.35445e-05 -4.87156e-05 -3.04133e-05 -6.72224e-05 -1.4357e-05 -3.57553e-05 2.50963e-05 0.000129697 0.000149528 0.000240653 0.000151174 0.000173047 0.00029281 4.76269e-05 0.000239909 -6.05883e-05 -1.07976e-05 0.000426905 0.000241329 
