* MPD
estimate_values:
process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} process[Recruitment].ycs_values{2015} process[Recruitment].ycs_values{2016} 
53971.6 2.5348e-05 0.0377049 6.99583 2.70805 3.06313 0.187373 0.186487 0.2206 0.255345 0.333122 0.531308 0.988168 0.453788 2.39155 0.26921 0.257488 0.396052 0.280984 0.188703 0.170511 0.221805 0.212914 0.265145 0.377217 0.429685 0.423358 0.338949 0.346261 0.400865 0.350615 0.340434 0.37119 0.300489 0.200993 0.210689 0.185474 0.235239 0.300363 0.331549 0.331285 0.276114 0.245929 0.237922 0.204787 0.190393 0.224515 0.17625 0.281854 0.304251 0.30437 
covariance_matrix:
3.68656e+07 -0.0235535 -30.8657 -425.492 -338.37 563344 1.67251e+06 12.7256 46.6277 47.1926 52.0407 70.2375 84.3812 9.36896 -31.4015 -8.04404 -8.165 -24.6518 -25.8933 -18.937 -14.8669 -31.1736 -24.8221 -34.6271 -60.199 -119.063 -93.9274 -65.0287 -61.6679 -60.3903 -43.4002 -31.8022 -33.0219 -20.1256 -9.5345 -3.78668 2.13586 6.78372 16.3523 24.607 30.9914 31.7684 33.4655 32.9304 29.2463 40.2542 60.2584 62.8681 4.95808 -0.0190164 -0.000301662 
-0.0235535 1.72155e-11 2.05879e-08 4.71357e-07 3.68918e-07 -0.000531204 -0.00157692 5.86169e-09 -3.36405e-09 -4.303e-09 -5.91275e-09 -7.84923e-09 -3.90486e-08 1.18316e-09 -6.8865e-08 -1.23578e-09 -3.1971e-09 -3.50625e-09 4.54769e-09 4.5838e-09 2.75987e-09 9.01206e-09 5.62506e-09 9.52492e-09 1.87625e-08 5.45682e-08 4.3086e-08 3.09578e-08 2.81043e-08 2.43466e-08 1.50726e-08 8.21441e-09 8.89905e-09 2.91771e-09 -5.49086e-10 -4.77338e-09 -7.10033e-09 -1.0117e-08 -1.59086e-08 -1.87583e-08 -1.99649e-08 -1.6353e-08 -1.70084e-08 -1.36117e-08 -5.39062e-09 -1.19176e-08 -5.87114e-09 -6.84599e-09 -4.51944e-09 -1.91618e-11 -2.04913e-12 
-30.8657 2.05879e-08 3.33365e-05 0.000365679 0.000269191 -0.741182 -2.20026 -2.55548e-06 -8.40261e-07 -1.10864e-06 -1.5422e-06 -2.04269e-06 -7.13257e-06 -2.42998e-06 -1.74351e-06 1.16342e-06 3.91546e-07 3.96599e-06 9.60164e-06 7.82556e-06 5.68687e-06 1.53946e-05 1.06042e-05 1.69583e-05 3.39478e-05 8.84585e-05 5.80652e-05 4.19425e-05 3.71958e-05 3.2935e-05 2.07432e-05 1.09356e-05 1.27225e-05 4.48986e-06 3.9299e-07 -5.33741e-06 -9.11733e-06 -1.41216e-05 -2.33785e-05 -2.94981e-05 -3.21336e-05 -2.99802e-05 -3.18458e-05 -2.86923e-05 -1.89868e-05 -2.75174e-05 -2.02299e-05 -1.455e-05 -6.45932e-06 2.79495e-08 1.00613e-09 
-425.492 4.71357e-07 0.000365679 0.0629277 0.0555464 -26.3378 -78.1649 0.00135775 -0.000391686 -0.000506066 -0.000700562 -0.000924397 -0.00515916 0.000434633 -0.0103328 -0.000283286 -0.000435581 -0.000408503 5.99312e-05 0.000117029 -7.3733e-05 -0.000165296 -0.00034305 -0.000455366 -0.000787773 0.000207001 0.00087396 0.000640704 0.000192877 -0.000439831 -0.000649897 -0.000632346 -0.00060265 -0.000541373 -0.000425851 -0.000491079 -0.000324511 -0.00012112 0.000123365 0.000617176 0.000857712 0.00139127 0.00127016 0.00164501 0.00186862 0.000935347 0.000834283 -0.00071513 -0.000487635 -6.55794e-06 -5.32547e-07 
-338.37 3.68918e-07 0.000269191 0.0555464 0.0911213 -14.6807 -43.5655 0.000713189 -0.000238948 -0.000309702 -0.000421841 -0.000513278 -0.00324236 0.000204872 -0.0056326 -7.59261e-05 -7.08823e-05 0.000558798 0.00049277 0.000367108 4.99127e-05 -1.44232e-05 1.25693e-05 -6.8316e-05 -3.5857e-05 0.00157364 0.00179182 0.00119092 4.95139e-05 -0.000324149 -0.000284727 -0.000153561 4.88908e-05 -4.87756e-05 9.87133e-06 -5.92528e-05 0.000122316 0.00027917 0.000680992 0.0009806 0.000770902 0.00106943 0.000816544 0.000944135 0.00038677 -0.000794486 -0.0017155 -0.00257763 -0.00148841 -1.59788e-05 -1.17494e-06 
563357 -0.000531181 -0.741162 -26.3358 -14.6838 -8.83581e+11 -2.62232e+12 -1.63543 1.19057 1.50764 2.0699 2.80242 14.5787 -1.40651 30.7587 1.08156 1.8859 4.58512 2.82276 2.24822 4.44747 -5.09011 8.38178 1.81235 1.12292 -31.1421 29.5871 -5.50396 5.516 4.41787 5.70533 7.22792 -3.89952 2.80978 -1.3518 1.61673 2.14456 -0.940624 -0.739773 -1.60392 -8.76774 1.15599 3.55546 -8.27455 -16.6623 5.11632 -22.1521 0.988577 -1.33606 0.00563834 0.000380618 
1.67196e+06 -0.00157647 -2.19966 -78.161 -43.5794 -2.62232e+12 -7.78258e+12 -4.85372 3.53345 4.47445 6.14318 8.3172 43.2675 -4.17432 91.2874 3.20991 5.59708 13.608 8.37755 6.67239 13.1995 -15.1067 24.8759 5.37881 3.33266 -92.4254 87.8104 -16.335 16.3707 13.1116 16.9326 21.4514 -11.5732 8.33903 -4.01194 4.79823 6.36474 -2.79164 -2.19554 -4.7602 -26.0214 3.43081 10.5521 -24.5577 -49.4514 15.1845 -65.7441 2.93396 -3.96522 0.0167338 0.00112962 
12.7256 5.86169e-09 -2.55548e-06 0.00135775 0.000713189 -1.63563 -4.85433 0.000985615 6.1295e-05 7.32234e-05 9.45829e-05 0.000119028 0.00052057 -1.38967e-05 0.000660377 8.74899e-06 2.88927e-05 4.94076e-05 -5.30221e-05 -5.59316e-05 -5.53178e-05 -0.000130168 -0.000141573 -0.000207672 -0.000379778 -0.00057486 -0.000392681 -0.00019287 -0.000127945 -9.70811e-05 -6.97373e-05 -5.91067e-05 -2.99522e-05 -2.75893e-05 -3.20878e-05 -4.58523e-05 -3.31734e-05 -6.98328e-06 5.41351e-05 0.000135708 0.000216175 0.000250696 0.000204355 0.000205208 0.000204068 0.000136111 0.000137631 2.57469e-05 8.00019e-06 8.75756e-07 5.18689e-08 
