* MPD
estimate_values:
process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} process[Recruitment].ycs_values{2015} process[Recruitment].ycs_values{2016} 
53971.5 2.5348e-05 0.037705 6.99584 2.70805 3.06313 0.187373 0.186487 0.2206 0.255345 0.333122 0.531308 0.988168 0.453789 2.39155 0.26921 0.257488 0.396052 0.280984 0.188703 0.170511 0.221805 0.212914 0.265145 0.377217 0.429685 0.423358 0.338949 0.346261 0.400865 0.350615 0.340434 0.371189 0.300489 0.200993 0.210689 0.185474 0.235239 0.300363 0.331549 0.331285 0.276114 0.245929 0.237922 0.204787 0.190393 0.224515 0.17625 0.281854 0.304251 0.30437 
covariance_matrix:
3.66964e+07 -0.023394 -30.6432 -417.587 -333.962 2.29296e+08 6.80512e+08 13.2164 46.2703 46.7401 51.4195 69.3963 80.0063 9.79072 -40.6311 -8.36873 -8.73081 -26.0278 -26.7403 -19.6116 -16.2016 -29.6459 -27.3375 -35.1708 -60.5357 -109.717 -102.806 -63.3767 -63.3232 -61.7159 -45.1123 -33.9713 -31.8514 -20.9687 -9.12877 -4.27177 1.49225 7.06605 16.5744 25.0884 33.6226 31.4216 32.3984 35.4137 34.2469 38.7187 66.9065 62.5713 5.35904 -0.0207086 -0.000415886 
-0.023394 1.70652e-11 2.03781e-08 4.63904e-07 3.64763e-07 -0.216201 -0.641647 5.39893e-09 -3.02717e-09 -3.87645e-09 -5.32707e-09 -7.05613e-09 -3.49236e-08 7.85505e-10 -6.01625e-08 -9.29633e-10 -2.66359e-09 -2.20879e-09 5.34637e-09 5.21991e-09 4.01832e-09 7.57164e-09 7.99687e-09 1.00376e-08 1.908e-08 4.57558e-08 5.1458e-08 2.94002e-08 2.96652e-08 2.55966e-08 1.6687e-08 1.02596e-08 7.79545e-09 3.71272e-09 -9.31642e-10 -4.31599e-09 -6.49349e-09 -1.03832e-08 -1.61181e-08 -1.92122e-08 -2.2446e-08 -1.6026e-08 -1.60024e-08 -1.59533e-08 -1.01057e-08 -1.04698e-08 -1.21396e-08 -6.56625e-09 -4.89751e-09 -1.75662e-11 -1.94144e-12 
-30.6432 2.03781e-08 3.30438e-05 0.00035528 0.000263393 -301.668 -895.298 -3.20118e-06 -3.70216e-07 -5.1346e-07 -7.24999e-07 -9.36051e-07 -1.37703e-06 -2.98483e-06 1.03992e-05 1.5906e-06 1.13595e-06 5.77635e-06 1.0716e-05 8.71313e-06 7.4428e-06 1.33847e-05 1.39136e-05 1.76737e-05 3.43909e-05 7.61625e-05 6.97468e-05 3.97692e-05 3.93736e-05 3.46791e-05 2.29958e-05 1.37893e-05 1.11827e-05 5.59915e-06 -1.40793e-07 -4.69921e-06 -8.27059e-06 -1.44931e-05 -2.36707e-05 -3.01315e-05 -3.55955e-05 -2.95239e-05 -3.0442e-05 -3.19595e-05 -2.55658e-05 -2.54973e-05 -2.89764e-05 -1.41596e-05 -6.98684e-06 3.01758e-08 1.15641e-09 
-417.587 4.63904e-07 0.00035528 0.0625582 0.0553404 -10719.3 -31812.9 0.0013348 -0.000374984 -0.000484918 -0.000671524 -0.000885075 -0.00495464 0.000414917 -0.00990133 -0.000268106 -0.000409129 -0.000344173 9.95309e-05 0.000148568 -1.13381e-05 -0.000236712 -0.000225454 -0.000429946 -0.000772025 -0.000229917 0.00128905 0.00056348 0.000270265 -0.000377855 -0.000569856 -0.000530942 -0.000657366 -0.000501956 -0.000444818 -0.000468402 -0.000294423 -0.00013432 0.000112981 0.000594669 0.0007347 0.00140748 0.00132004 0.00152892 0.00163485 0.00100713 0.00052349 -0.000701261 -0.00050638 -6.47884e-06 -5.27208e-07 
-333.962 3.64763e-07 0.000263393 0.0553404 0.0910064 -5976.68 -17737.7 0.000700396 -0.000229635 -0.000297911 -0.000405651 -0.000491354 -0.00312833 0.000193879 -0.00539202 -6.74626e-05 -5.61336e-05 0.000594666 0.00051485 0.000384693 8.47017e-05 -5.42419e-05 7.81364e-05 -5.41427e-05 -2.70769e-05 0.00133004 0.00202326 0.00114786 9.26624e-05 -0.000289594 -0.000240099 -9.70219e-05 1.83831e-05 -2.67982e-05 -7.04103e-07 -4.66088e-05 0.000139091 0.00027181 0.000675202 0.000968051 0.000702315 0.00107847 0.000844356 0.000879405 0.000256426 -0.000754464 -0.00188878 -0.0025699 -0.00149887 -1.59347e-05 -1.17197e-06 
2.29296e+08 -0.216201 -301.667 -10719.3 -5976.67 -3.10975e+11 -9.22919e+11 -665.666 484.527 613.52 842.395 1140.75 5933.08 -571.978 12517.4 440.362 767.38 1866.24 1148.81 914.971 1810.13 -2071.82 3411.55 737.471 456.857 -12675.4 12042.2 -2240.36 2245.11 1798 2322.09 2941.8 -1587.36 1143.52 -550.255 657.883 872.853 -382.949 -301.278 -652.948 -3568.69 470.283 1447.06 -3368.04 -6781.99 2082.37 -9016.37 402.341 -543.798 2.29493 0.154905 
6.80511e+08 -0.641647 -895.297 -31812.9 -17737.7 -9.22919e+11 -2.73906e+12 -1975.58 1437.99 1820.82 2500.08 3385.55 17608.3 -1697.53 37149.3 1306.92 2277.45 5538.68 3409.47 2715.47 5372.15 -6148.81 10124.9 2188.69 1355.87 -37618.4 35739.1 -6648.99 6663.11 5336.14 6891.57 8730.75 -4711 3393.78 -1633.06 1952.48 2590.48 -1136.52 -894.142 -1937.84 -10591.3 1395.72 4294.62 -9995.76 -20127.8 6180.13 -26759 1194.08 -1613.9 6.81096 0.459731 
13.2164 5.39893e-09 -3.20118e-06 0.0013348 0.000700396 -665.666 -1975.58 0.00098419 6.23322e-05 7.45367e-05 9.63862e-05 0.00012147 0.00053327 -1.51211e-05 0.000687173 9.69167e-06 3.05354e-05 5.34026e-05 -5.05629e-05 -5.39729e-05 -5.14431e-05 -0.000134602 -0.000134271 -0.000206093 -0.0003788 -0.000601993 -0.000366903 -0.000197666 -0.000123139 -9.32323e-05 -6.47667e-05 -5.28096e-05 -3.33501e-05 -2.51416e-05 -3.32658e-05 -4.44442e-05 -3.13051e-05 -7.80311e-06 5.34901e-05 0.00013431 0.000208536 0.000251702 0.000207452 0.000197999 0.00018955 0.000140568 0.000118331 2.66081e-05 6.83614e-06 8.80669e-07 5.22005e-08 
