year Ensp1 Ensp2 Wnsp1 Wnsp2 Esp Wsp
1972 1500 2500 0 0 0 5000
1973 1500 2500 0 0 0 5000
1974 2200 3800 0 0 0 5000
1975 13100 22900 0 0 0 10000
1976 13500 23500 0 0 0 30000
1977 13900 24100 0 0 0 60000
1978 1100 1900 0 0 0 5000
1979 2200 3800 0 0 0 18000
1980 2900 5100 0 0 0 20000
1981 2900 5100 0 0 0 25000
1982 2600 4400 0 0 0 25000
1983 1500 8500 3200 3500 0 23300
1984 3200 6800 6700 5400 0 27900
1985 6200 3800 3000 6100 0 24900
1986 3700 13300 7200 3300 0 71500
1987 8800 8200 5900 5400 0 146700
1988 9000 6000 5400 7600 600 227000
1989 2300 2700 700 4900 7000 185900
1990 3300 9700 900 9100 14000 173000
1991 17400 14900 4400 12700 29700 135900
1992 33400 17500 14000 17400 25600 107200
1993 27400 19700 14700 10900 22200 100100
1994 16000 10600 5800 5500 35900 117200
1995 29600 16500 5900 7500 34400 80100
1996 37900 23900 5700 6800 59700 75900
1997 42400 28200 6900 15100 56500 96900
1998 55600 34200 10900 14600 46700 107100
1999 59200 23600 8800 14900 40500 97500
2000 43100 20500 14300 19500 39000 105600
2001 36200 19700 13200 16900 34800 109000
2002 24600 18100 16800 13400 24600 98000
2003 24200 18700 12400 7800 41700 79800
2004 17900 19000 6300 5300 41000 46300
2005 19000 13800 4200 2100 27000 38100
2006 23100 14400 2300 4700 20100 39700
2007 22400 18400 4200 3500 18800 33700
2008 22100 19400 6500 2200 17900 21200
2009 29300 13100 6000 3800 15900 20800
2010 28500 13500 6700 5600 16400 36600
2011 30500 12800 7500 5200 13300 49500
2012 28400 14700 9100 6600 15400 55800
2013 29900 11800 6500 7600 18600 57200
2014 27200 11700 10600 9300 17300 70200
2015 32300 12500 9100 7300 19800 80600
2016 28900 11600 3400 3300 19600 69900
2017 31500 12600 5300 7900 17100 67200
2018 29300 11700 7200 10800 21000 70000
