*mpd[__mpd__]
estimate_values:
catchability[CSacous].q catchability[WCacous].q catchability[CRsum].q catchability[SAsum].q catchability[SAaut].q observation[CRsumbio].process_error observation[SAsumbio].process_error parameter_transformation[log_sum_b0].log_total_parameter parameter_transformation[log_sum_b0].total_proportion_parameter process[Instant_mortality].m{west.sa} time_varying[shifted_mu].a process[recruit_E].recruitment_multipliers{1977} process[recruit_E].recruitment_multipliers{1978} process[recruit_E].recruitment_multipliers{1979} process[recruit_E].recruitment_multipliers{1980} process[recruit_E].recruitment_multipliers{1981} process[recruit_E].recruitment_multipliers{1982} process[recruit_E].recruitment_multipliers{1983} process[recruit_E].recruitment_multipliers{1984} process[recruit_E].recruitment_multipliers{1985} process[recruit_E].recruitment_multipliers{1986} process[recruit_E].recruitment_multipliers{1987} process[recruit_E].recruitment_multipliers{1988} process[recruit_E].recruitment_multipliers{1989} process[recruit_E].recruitment_multipliers{1990} process[recruit_E].recruitment_multipliers{1991} process[recruit_E].recruitment_multipliers{1992} process[recruit_E].recruitment_multipliers{1993} process[recruit_E].recruitment_multipliers{1994} process[recruit_E].recruitment_multipliers{1995} process[recruit_E].recruitment_multipliers{1996} process[recruit_E].recruitment_multipliers{1997} process[recruit_E].recruitment_multipliers{1998} process[recruit_E].recruitment_multipliers{1999} process[recruit_E].recruitment_multipliers{2000} process[recruit_E].recruitment_multipliers{2001} process[recruit_E].recruitment_multipliers{2002} process[recruit_E].recruitment_multipliers{2003} process[recruit_E].recruitment_multipliers{2004} process[recruit_E].recruitment_multipliers{2005} process[recruit_E].recruitment_multipliers{2006} process[recruit_E].recruitment_multipliers{2007} process[recruit_E].recruitment_multipliers{2008} process[recruit_E].recruitment_multipliers{2009} process[recruit_E].recruitment_multipliers{2010} process[recruit_E].recruitment_multipliers{2011} process[recruit_E].recruitment_multipliers{2012} process[recruit_E].recruitment_multipliers{2013} process[recruit_E].recruitment_multipliers{2014} process[recruit_E].recruitment_multipliers{2015} process[recruit_E].recruitment_multipliers{2016} process[recruit_E].recruitment_multipliers{2017} process[recruit_E].recruitment_multipliers{2018} process[recruit_W].recruitment_multipliers{1977} process[recruit_W].recruitment_multipliers{1978} process[recruit_W].recruitment_multipliers{1979} process[recruit_W].recruitment_multipliers{1980} process[recruit_W].recruitment_multipliers{1981} process[recruit_W].recruitment_multipliers{1982} process[recruit_W].recruitment_multipliers{1983} process[recruit_W].recruitment_multipliers{1984} process[recruit_W].recruitment_multipliers{1985} process[recruit_W].recruitment_multipliers{1986} process[recruit_W].recruitment_multipliers{1987} process[recruit_W].recruitment_multipliers{1988} process[recruit_W].recruitment_multipliers{1989} process[recruit_W].recruitment_multipliers{1990} process[recruit_W].recruitment_multipliers{1991} process[recruit_W].recruitment_multipliers{1992} process[recruit_W].recruitment_multipliers{1993} process[recruit_W].recruitment_multipliers{1994} process[recruit_W].recruitment_multipliers{1995} process[recruit_W].recruitment_multipliers{1996} process[recruit_W].recruitment_multipliers{1997} process[recruit_W].recruitment_multipliers{1998} process[recruit_W].recruitment_multipliers{1999} process[recruit_W].recruitment_multipliers{2000} process[recruit_W].recruitment_multipliers{2001} process[recruit_W].recruitment_multipliers{2002} process[recruit_W].recruitment_multipliers{2003} process[recruit_W].recruitment_multipliers{2004} process[recruit_W].recruitment_multipliers{2005} process[recruit_W].recruitment_multipliers{2006} process[recruit_W].recruitment_multipliers{2007} process[recruit_W].recruitment_multipliers{2008} process[recruit_W].recruitment_multipliers{2009} process[recruit_W].recruitment_multipliers{2010} process[recruit_W].recruitment_multipliers{2011} process[recruit_W].recruitment_multipliers{2012} process[recruit_W].recruitment_multipliers{2013} process[recruit_W].recruitment_multipliers{2014} process[recruit_W].recruitment_multipliers{2015} process[recruit_W].recruitment_multipliers{2016} process[recruit_W].recruitment_multipliers{2017} process[recruit_W].recruitment_multipliers{2018} selectivity[sel_Whome].v{1} selectivity[sel_Whome].v{2} selectivity[sel_Whome].v{3} selectivity[sel_Whome].v{4} selectivity[sel_Whome].v{5} selectivity[sel_Whome].v{6} selectivity[sel_Whome].v{7} selectivity[sel_Espmg].v{1} selectivity[sel_Espmg].v{2} selectivity[sel_Espmg].v{3} selectivity[sel_Espmg].v{4} selectivity[sel_Espmg].v{5} selectivity[sel_Espmg].v{6} selectivity[sel_Espmg].v{7} selectivity[sel_Espmg].v{8} selectivity[sel_Wspmg].v{1} selectivity[sel_Wspmg].v{2} selectivity[sel_Wspmg].v{3} selectivity[sel_Wspmg].v{4} selectivity[sel_Wspmg].v{5} selectivity[sel_Wspmg].v{6} selectivity[sel_Wspmg].v{7} selectivity[sel_Wspmg].v{8} selectivity[Enspsl].mu selectivity[Enspsl].sigma_l selectivity[Enspsl].sigma_r selectivity[Wnspsl].mu selectivity[Wnspsl].sigma_l selectivity[Wnspsl].sigma_r selectivity[Espsl].mu selectivity[Espsl].sigma_l selectivity[Espsl].sigma_r selectivity[CRsl].mu selectivity[CRsl].sigma_l selectivity[CRsl].sigma_r selectivity[SAsl].mu selectivity[SAsl].sigma_l selectivity[SAsl].sigma_r 
0.427862 0.312444 0.068115 0.0670555 0.0756346 0.140894 0.423811 14.3046 0.335711 0.312931 -0.229594 0.445894 0.730523 0.793324 1.38827 1.00372 0.334618 0.455347 0.269893 0.441002 0.494225 0.40014 0.219825 1.04095 0.96315 0.431125 0.137979 0.373346 0.38757 0.379885 0.557259 0.261782 0.282484 0.447591 0.252489 0.06 0.459872 0.160874 0.265598 0.499431 0.520306 0.507536 0.599857 0.520799 0.370466 0.527857 0.1569 0.660291 0.155585 0.185177 0.728085 0.752308 1.18939 0.458719 0.81433 0.684939 0.669054 0.472755 0.52052 0.583282 0.4744 0.873752 0.837377 0.319752 0.164843 1.48066 0.7753 0.0814734 0.081795 0.89189 1.26783 0.376479 0.955567 0.220147 0.196261 0.236776 0.200608 0.06 0.371326 0.0950954 0.795759 0.465882 0.517843 0.513138 0.754867 0.636759 0.616139 0.572919 0.146258 0.966688 0.15897 0.243892 2.18474 2.14969 1.18962 0.321362 0.283861 0.457751 0.135024 0.431693 0.718908 0.759611 0.00563527 0.159006 0.320564 0.425133 0.379266 0.458474 0.590445 0.610637 0.105526 0.291391 0.270658 0.455197 0.484337 0.523977 0.655911 0.601007 3.57227 1.22206 50 5.32952 2.77846 49.9994 11.2547 10.8594 4.02912 1 46.5222 10.0878 14.8648 8.69281 1 
covariance_matrix:
0.00983316 0.00261402 0.000727434 0.0003092 0.000332626 -0.00021945 -0.000409133 -0.00885418 -0.0026488 -0.000843556 0.000590945 -0.00204139 -0.00698243 -0.00628666 -0.0124821 -0.00808627 -0.001422 -0.00226215 -0.00103448 -0.00146473 -0.00100649 -0.000691322 -6.10512e-05 -0.000143064 0.000945211 0.000401204 0.000512074 0.000900727 0.000922623 0.00119373 0.00163709 0.000769367 0.00069261 0.000935852 0.000564525 1.13671e-10 0.000689935 0.000175814 -0.000102811 0.000240655 -1.73217e-05 7.30571e-05 0.000104559 0.000198127 0.000113527 0.000203674 0.000284586 0.000456815 -4.61513e-05 6.42073e-05 0.0016781 -0.00318981 0.00129115 -0.00118013 -0.000607379 -0.00185751 -0.00077343 -0.000740804 -0.000529311 0.000291417 -6.40464e-05 0.000358105 0.000965273 -2.38795e-05 -2.60076e-05 -3.32067e-05 0.00062334 -1.81462e-05 1.69841e-05 -0.000541702 -0.000114536 3.64301e-05 0.000101924 -0.000154401 1.80353e-05 0.000164679 -8.2968e-05 -3.30264e-12 0.000105792 2.69107e-05 0.000499642 0.000353724 0.000913931 0.000630212 0.000627121 4.27835e-05 0.000148481 -7.10474e-06 -2.73195e-05 -0.000123293 -0.000195968 -1.91917e-05 -7.2634e-05 0.00487319 0.00128027 0.000303114 0.00134154 -0.000476239 0.000963978 0.000537822 -0.000889271 -0.0150252 -6.26198e-05 -0.0016452 -0.0032572 -0.00390371 -0.00318819 -0.00358284 -0.00445172 -0.00318072 -0.000388535 -0.00114826 -0.000222428 -0.000563521 -0.000334457 -1.63746e-05 0.000354872 -0.00118874 -0.000178772 -0.000278878 -3.05808e-07 -0.00369901 -0.00183795 -1.70182e-05 0.00420982 0.0515053 -0.00253505 -9.71923e-12 0.0543246 0.0179748 -0.00965766 -0.000412271 3.84463e-07 
0.00261402 0.00557532 0.000591565 0.000936301 0.00102229 -0.000127627 -0.000837665 -0.00773568 0.00106247 -0.000473524 0.000426333 -0.00177975 -0.00290322 -0.00349629 -0.00576842 -0.00421632 -0.000316749 -0.00112319 -0.000279481 -0.000634399 -0.000425496 -0.000234786 0.000123588 0.000301537 0.000898674 0.000138256 0.000231528 0.000846156 0.000759095 0.000514947 0.00145106 0.000381051 0.000370336 0.000836569 0.000563847 6.68494e-11 0.000640835 7.70202e-05 0.00035136 0.000240221 0.000304419 4.15263e-05 0.000483894 2.88561e-05 0.000344289 0.000230415 2.65845e-05 0.000463463 -8.61513e-05 -2.24606e-05 0.000687584 0.00383749 0.00164865 -0.00124622 -0.00105056 -0.0017994 -0.00108553 -0.000208487 -0.000646993 -7.18215e-06 -0.000315352 -0.000300132 -0.000430483 -0.000190737 -9.79952e-05 -0.00122436 -0.000447822 -2.98671e-05 8.02281e-05 -0.000557555 0.000597734 0.000152201 -9.16042e-05 6.94957e-05 0.000123287 -0.000496673 -0.000434256 -1.69853e-12 -0.0007148 -4.91531e-05 -0.000474315 -0.000252604 -8.25495e-05 0.000248175 -0.000132371 4.8419e-05 2.34449e-05 -6.02696e-05 0.000195449 0.000484043 0.000136166 0.000106681 0.00398086 0.00201415 0.00165239 0.000232941 -0.000123929 -0.00111009 1.30588e-05 -0.00300813 0.00218632 0.00738072 7.77192e-06 0.000101425 3.01485e-05 -5.00028e-05 -0.000143341 -0.000224222 -0.000434051 -0.000412771 -0.000224606 -0.000591689 -0.000140233 -0.000407014 -0.000241729 -0.000541692 -0.00119215 -0.000280861 -0.00355184 -0.00106276 1.07246e-07 0.0023753 -0.00103159 8.85283e-06 0.00988925 -0.0080834 -0.0060217 -8.04959e-12 0.0169486 -0.0537314 0.00183128 -0.00795717 -8.61259e-08 
0.000727434 0.000591565 0.000182308 0.000124392 0.00013437 -3.55517e-05 -8.44067e-05 -0.00111779 1.34372e-05 -0.000212227 0.000153531 -0.000464709 -0.0009989 -0.000913052 -0.00175408 -0.0010434 -0.000181818 -0.000299136 -0.000112276 -0.000191711 -0.000128195 -5.66336e-05 9.85178e-06 0.000122037 0.000277207 5.78515e-05 4.89075e-05 0.000217421 0.000268764 0.000173828 0.000396258 0.000123133 0.000119245 0.000215352 0.000128403 3.7205e-12 0.00017093 2.25481e-05 8.04538e-05 4.89581e-05 5.6614e-05 3.92383e-05 8.44422e-05 1.34563e-05 9.83191e-05 1.96113e-05 4.36778e-05 8.93296e-05 -6.10953e-07 1.67579e-05 0.000190663 0.000363607 2.00576e-05 -0.000244617 -0.000278631 -0.000316031 -0.000243406 -3.98766e-07 -5.56257e-05 -3.08177e-06 4.75814e-06 7.18151e-05 1.88081e-05 -2.64847e-05 -7.4021e-07 -0.000122198 -0.000102845 -5.88628e-06 4.51249e-06 -6.54694e-05 -2.50527e-06 2.66873e-05 5.23678e-05 1.30019e-05 1.75168e-05 -6.9155e-05 -5.37438e-05 -5.10081e-14 -8.77337e-05 -2.06465e-06 -2.67526e-05 3.0761e-07 2.78192e-05 5.81695e-05 7.48272e-05 9.7733e-05 3.31129e-05 6.42636e-05 -3.17665e-06 0.000125169 3.03887e-05 2.87272e-05 0.000494468 5.05395e-05 1.93515e-05 0.000167204 0.000383304 0.000136856 8.29824e-05 0.000395671 0.00121575 0.00256129 3.01103e-06 6.11506e-05 8.28143e-05 9.06647e-05 6.61784e-05 5.095e-05 5.09348e-05 3.39155e-05 2.37135e-05 -6.9534e-05 1.44769e-05 -4.41646e-06 2.39341e-06 -1.63294e-05 -7.50993e-05 2.62759e-05 -0.000646024 -0.000255856 2.82643e-08 -0.000254925 -0.000136686 2.36531e-06 0.000185066 0.000558293 -0.00112352 -5.43294e-13 0.00206553 -0.01112 -0.000917976 -0.000476787 -5.83575e-08 
0.0003092 0.000936301 0.000124392 0.00032948 0.000312456 -3.98513e-05 -4.42194e-05 -0.00162971 0.000361417 -4.32264e-05 7.28485e-05 -0.000429739 -0.000382361 -0.00051896 -0.000755561 -0.000512488 -1.84881e-05 -5.97432e-05 -4.29756e-06 -3.90852e-05 1.17853e-05 7.61321e-05 6.381e-05 0.000235033 0.00035846 8.98446e-05 -1.88304e-05 0.000225703 0.000228039 9.89461e-05 0.000359985 8.16187e-05 7.95988e-05 0.00021824 0.000143238 -1.82107e-11 0.000184928 1.55537e-05 0.000151875 7.20264e-05 0.000147108 5.45987e-05 0.000110436 -7.06867e-05 0.000109546 3.83334e-05 1.66951e-06 0.000121443 1.99684e-06 3.03882e-05 0.000206912 0.00104173 0.000158509 -8.24007e-05 6.0133e-05 -6.2191e-05 0.000313371 0.000243911 9.02382e-05 3.1836e-05 2.82702e-05 0.000173053 -7.95053e-05 -4.21496e-05 3.23655e-05 1.93062e-05 -0.000201009 1.01213e-05 1.89817e-05 0.000115653 0.000314161 9.16959e-05 0.000159344 6.83804e-05 5.27157e-05 -0.000136625 -8.83664e-05 5.22386e-13 -0.000187028 -1.12561e-05 -0.000162905 -6.40281e-05 -0.000120923 1.39491e-05 4.13316e-05 0.000216864 6.80868e-05 5.434e-05 3.0246e-05 0.000132658 8.24785e-05 8.52477e-05 0.000962807 -0.000219629 0.000155837 0.000101505 3.8762e-06 -0.000115343 -0.000307884 -0.000588151 0.00102074 0.00158782 4.4814e-06 9.52031e-05 0.00015984 0.000141909 0.000102599 7.88522e-05 0.000109261 2.51737e-05 -2.13273e-05 -5.88546e-05 -1.71556e-06 2.55759e-05 3.74813e-05 -9.97809e-05 -0.000108 0.000105047 -0.00088934 -0.000288349 6.98363e-08 0.00216788 0.000410087 1.60699e-06 0.00371149 -0.00646101 -0.00186449 2.26691e-12 0.0021883 -0.0117062 0.0030173 -0.0042757 -7.04495e-08 
0.000332626 0.00102229 0.00013437 0.000312456 0.000422482 -3.98126e-05 -8.11207e-05 -0.00169479 0.000372786 -6.00076e-05 0.000155545 -0.00055235 -0.000564629 -0.00065799 -0.000933092 -0.000783715 -1.76817e-05 -0.000119085 -1.38928e-05 -8.25818e-05 -4.50216e-06 6.14797e-05 6.0145e-05 0.000236079 0.000355672 7.84891e-05 -1.83767e-05 0.000227787 0.000236301 9.08806e-05 0.000366971 7.3727e-05 7.10782e-05 0.000204312 0.000126846 -1.57942e-11 0.000154382 2.04276e-06 0.000129538 4.2184e-05 0.000108066 2.6494e-05 6.92894e-05 -7.01723e-05 6.53826e-05 9.34089e-06 -4.44393e-07 4.23027e-05 -8.37336e-06 2.11098e-05 0.000166661 0.000683977 0.000161038 -0.000199409 -0.000122548 -0.000212523 8.67838e-05 0.000196202 -3.9722e-05 -0.00013188 -4.50603e-05 -1.61447e-05 -0.000300587 -0.000105746 -8.87518e-06 -0.000299451 -0.000352802 1.02119e-06 4.62181e-06 4.96839e-05 0.000264206 9.02065e-05 0.000193549 8.05269e-05 6.85138e-05 -0.000113613 -6.25366e-05 4.3636e-13 -0.000136311 4.52476e-06 -2.92424e-05 9.53648e-06 -2.76672e-05 7.94576e-05 0.000178352 0.000299438 0.000193509 0.000156337 4.29682e-05 0.000382136 9.76027e-05 0.000129828 0.00140662 0.00026282 0.00015964 0.000149905 0.000113159 -0.000148013 -0.000370731 -0.000592256 0.00118316 0.00175174 5.43592e-06 0.000116575 0.000193923 0.00019355 0.000137124 0.000115304 0.000128254 5.03421e-05 -3.14837e-05 -0.000136673 -1.26576e-05 1.18351e-05 3.93265e-05 -9.74882e-05 -0.000110443 0.000132471 -0.000939769 -0.000328172 7.26685e-08 0.00261094 0.00043439 2.0333e-06 0.0042257 -0.00646853 -0.00222399 1.75909e-12 0.00274316 -0.011644 0.00330984 -0.00573109 -6.37754e-08 
-0.00021945 -0.000127627 -3.55517e-05 -3.98513e-05 -3.98126e-05 0.000873635 2.31012e-05 0.000357394 4.9584e-06 3.10027e-05 0.000157361 6.45693e-05 0.000370313 0.000287808 0.000209933 0.00043791 -3.7479e-05 -2.24656e-05 3.32499e-05 5.95923e-06 3.49868e-05 -6.63501e-05 -3.56604e-05 -0.000106828 -0.000163373 -8.42729e-05 2.78842e-05 -0.000111804 -6.35138e-05 -4.67634e-05 -0.000113331 -3.69053e-05 -2.49805e-05 -4.59507e-05 -3.46917e-06 8.83466e-12 1.51986e-05 1.74444e-05 4.0977e-05 0.000101926 0.000121387 0.000161427 0.000119681 0.000138872 2.44962e-05 9.41498e-05 1.87314e-05 0.000102562 9.71536e-06 1.03175e-05 3.3637e-05 0.000425556 -1.4647e-05 2.18414e-05 -0.000352075 0.000191751 -0.000191296 -6.97223e-05 0.00010362 7.94428e-05 -5.81358e-05 -5.01104e-05 -0.000104947 2.44096e-05 1.6088e-05 -0.000180009 3.76959e-05 -1.4105e-05 -1.35107e-05 -0.000171028 1.05523e-05 1.6215e-05 -0.000127377 -3.03223e-05 5.39395e-06 -1.74393e-05 -2.44242e-05 -2.10063e-13 1.12585e-05 1.02544e-05 9.12498e-05 2.67049e-05 0.000140549 0.000169252 0.000169039 1.22124e-05 0.000185917 0.000102289 3.65915e-05 5.04278e-05 -5.26644e-05 -0.000104233 -0.000712468 -0.000285239 -1.44825e-05 -2.25389e-05 -0.000345342 0.000230136 -2.85584e-05 -0.000387968 -0.000538541 0.00183376 -3.28956e-07 -2.05316e-05 -3.79894e-05 -3.13477e-05 -2.62759e-05 7.09745e-06 -2.88975e-05 -4.74672e-05 -2.47481e-06 9.65297e-05 4.8531e-06 -7.20473e-06 2.83226e-05 7.36257e-05 -8.7198e-05 -1.87271e-05 6.18779e-05 3.57035e-05 1.81714e-08 0.000545748 0.000857956 1.96131e-06 -0.00056488 0.000438401 0.00039631 -1.55283e-12 -0.00378249 -0.00159874 -6.63776e-05 0.000484711 -1.07813e-08 
-0.000409133 -0.000837665 -8.44067e-05 -4.42194e-05 -8.11207e-05 2.31012e-05 0.00711601 0.00153806 -0.000161072 -8.19247e-05 0.000391109 -4.44009e-05 0.0010759 0.000794166 0.00127889 0.00147547 -8.53437e-05 0.00036586 5.65091e-05 0.000179915 0.000232305 0.00017547 8.7804e-05 0.000168136 0.000264335 0.000120937 -5.65195e-05 -5.57095e-05 -6.65441e-05 3.66801e-05 -0.000199698 1.61692e-05 8.31881e-06 -5.66637e-05 -0.000101284 -4.6203e-11 -9.05098e-06 2.43453e-05 -3.88247e-05 8.7426e-05 3.85559e-05 0.000180407 -0.000183995 9.20775e-05 -0.000175903 1.53531e-05 9.68705e-05 -0.000272259 9.22161e-05 1.6201e-06 -0.000178122 0.00091865 0.00029263 -0.00100985 -0.00153795 -0.0010443 -0.00145221 -0.000107048 -0.000386819 -0.0014417 -0.00109369 -0.00123783 -0.00201948 -0.000513504 -0.000211564 -0.00139044 -0.0011031 -5.67969e-05 -8.2729e-05 0.000343913 0.000675515 0.000359432 0.00101899 0.000229585 0.000194705 0.000461921 0.000436199 1.41405e-12 0.000579717 8.3419e-05 0.00047131 0.000182275 0.000133738 1.90367e-05 0.000675792 0.000533271 0.000831669 0.000773344 9.04759e-05 0.00191021 0.000197776 0.000205021 0.00247309 0.000975652 0.000284227 9.17868e-05 0.000414932 4.272e-05 -6.56707e-05 9.78369e-05 -0.0012684 -0.00108711 2.01797e-06 0.000113717 0.000256243 0.000245993 0.000243089 0.000222846 0.000502563 7.37857e-05 -5.10591e-05 -6.16381e-05 -4.29084e-05 -2.89017e-05 1.18615e-05 5.39625e-05 0.000236447 -1.68539e-05 0.000318799 -3.67812e-05 1.80031e-07 0.000582098 0.000260508 5.72066e-07 -0.00336997 0.00468093 -0.000255962 6.98824e-12 0.00129186 0.0113178 0.000383432 0.00150109 -8.71558e-08 
-0.00885418 -0.00773568 -0.00111779 -0.00162971 -0.00169479 0.000357394 0.00153806 0.0175957 2.79665e-05 0.000810218 -0.000783938 0.00482639 0.00918509 0.00876357 0.0147698 0.00990951 0.00124404 0.00263591 0.000715751 0.00154238 0.000798737 0.000359077 -0.000234686 -0.000670518 -0.00230045 -0.000603138 -0.000389136 -0.00163874 -0.00167833 -0.00134819 -0.00294823 -0.000973659 -0.000943109 -0.00181984 -0.00118851 -4.01839e-11 -0.0014545 -0.000198736 -0.000630048 -0.000561746 -0.000753134 -0.000269138 -0.0007039 -2.14154e-05 -0.000555202 -0.000648247 -0.000230763 -0.00113485 -3.23204e-05 -0.00029712 -0.00301651 -0.00271346 -0.00236828 0.00375221 0.00311756 0.00262828 -0.000334877 -0.000624278 -3.963e-05 -0.00101424 -0.000548002 -0.00193628 -0.00110944 -7.78327e-05 -6.76008e-05 -0.000779739 7.22109e-06 -4.55219e-05 -0.000159807 -0.000360984 -0.00180022 -0.000569483 -0.00106158 -0.000228484 -0.000309494 0.000449165 0.000570416 1.27339e-12 0.000885456 2.88621e-05 0.000445997 8.19311e-05 -6.88971e-05 -0.000558105 -0.0003125 -0.000580538 -0.000121324 0.000400671 -0.000146493 0.000664086 -1.39093e-05 9.59153e-05 -0.00406454 -0.00356346 -0.00235685 -0.000271176 -0.000239612 0.0018146 0.000785547 0.00361547 -0.00276546 0.00541359 3.75177e-05 0.00113027 0.00239231 0.00314559 0.00277706 0.00338151 0.00426437 0.00358146 0.000541545 0.00146897 0.000522774 0.000791298 0.000672889 0.00134653 0.00155114 0.00171028 0.00497693 0.0016031 3.90211e-08 -0.00498259 0.000185014 6.69372e-06 -0.0218002 -0.00491064 0.00991351 1.32448e-12 -0.0661776 0.0552177 -0.00449039 0.0102121 -9.34241e-09 
