*mpd[__mpd__]
estimate_values:
catchability[CSacous].q catchability[WCacous].q catchability[CRsum].q catchability[SAsum].q catchability[SAaut].q observation[CRsumbio].process_error observation[SAsumbio].process_error parameter_transformation[log_sum_b0].log_total_parameter parameter_transformation[log_sum_b0].total_proportion_parameter process[Instant_mortality].m{west.sa} time_varying[shifted_mu].a process[recruit_E].recruitment_multipliers{1977} process[recruit_E].recruitment_multipliers{1978} process[recruit_E].recruitment_multipliers{1979} process[recruit_E].recruitment_multipliers{1980} process[recruit_E].recruitment_multipliers{1981} process[recruit_E].recruitment_multipliers{1982} process[recruit_E].recruitment_multipliers{1983} process[recruit_E].recruitment_multipliers{1984} process[recruit_E].recruitment_multipliers{1985} process[recruit_E].recruitment_multipliers{1986} process[recruit_E].recruitment_multipliers{1987} process[recruit_E].recruitment_multipliers{1988} process[recruit_E].recruitment_multipliers{1989} process[recruit_E].recruitment_multipliers{1990} process[recruit_E].recruitment_multipliers{1991} process[recruit_E].recruitment_multipliers{1992} process[recruit_E].recruitment_multipliers{1993} process[recruit_E].recruitment_multipliers{1994} process[recruit_E].recruitment_multipliers{1995} process[recruit_E].recruitment_multipliers{1996} process[recruit_E].recruitment_multipliers{1997} process[recruit_E].recruitment_multipliers{1998} process[recruit_E].recruitment_multipliers{1999} process[recruit_E].recruitment_multipliers{2000} process[recruit_E].recruitment_multipliers{2001} process[recruit_E].recruitment_multipliers{2002} process[recruit_E].recruitment_multipliers{2003} process[recruit_E].recruitment_multipliers{2004} process[recruit_E].recruitment_multipliers{2005} process[recruit_E].recruitment_multipliers{2006} process[recruit_E].recruitment_multipliers{2007} process[recruit_E].recruitment_multipliers{2008} process[recruit_E].recruitment_multipliers{2009} process[recruit_E].recruitment_multipliers{2010} process[recruit_E].recruitment_multipliers{2011} process[recruit_E].recruitment_multipliers{2012} process[recruit_E].recruitment_multipliers{2013} process[recruit_E].recruitment_multipliers{2014} process[recruit_E].recruitment_multipliers{2015} process[recruit_E].recruitment_multipliers{2016} process[recruit_E].recruitment_multipliers{2017} process[recruit_E].recruitment_multipliers{2018} process[recruit_W].recruitment_multipliers{1977} process[recruit_W].recruitment_multipliers{1978} process[recruit_W].recruitment_multipliers{1979} process[recruit_W].recruitment_multipliers{1980} process[recruit_W].recruitment_multipliers{1981} process[recruit_W].recruitment_multipliers{1982} process[recruit_W].recruitment_multipliers{1983} process[recruit_W].recruitment_multipliers{1984} process[recruit_W].recruitment_multipliers{1985} process[recruit_W].recruitment_multipliers{1986} process[recruit_W].recruitment_multipliers{1987} process[recruit_W].recruitment_multipliers{1988} process[recruit_W].recruitment_multipliers{1989} process[recruit_W].recruitment_multipliers{1990} process[recruit_W].recruitment_multipliers{1991} process[recruit_W].recruitment_multipliers{1992} process[recruit_W].recruitment_multipliers{1993} process[recruit_W].recruitment_multipliers{1994} process[recruit_W].recruitment_multipliers{1995} process[recruit_W].recruitment_multipliers{1996} process[recruit_W].recruitment_multipliers{1997} process[recruit_W].recruitment_multipliers{1998} process[recruit_W].recruitment_multipliers{1999} process[recruit_W].recruitment_multipliers{2000} process[recruit_W].recruitment_multipliers{2001} process[recruit_W].recruitment_multipliers{2002} process[recruit_W].recruitment_multipliers{2003} process[recruit_W].recruitment_multipliers{2004} process[recruit_W].recruitment_multipliers{2005} process[recruit_W].recruitment_multipliers{2006} process[recruit_W].recruitment_multipliers{2007} process[recruit_W].recruitment_multipliers{2008} process[recruit_W].recruitment_multipliers{2009} process[recruit_W].recruitment_multipliers{2010} process[recruit_W].recruitment_multipliers{2011} process[recruit_W].recruitment_multipliers{2012} process[recruit_W].recruitment_multipliers{2013} process[recruit_W].recruitment_multipliers{2014} process[recruit_W].recruitment_multipliers{2015} process[recruit_W].recruitment_multipliers{2016} process[recruit_W].recruitment_multipliers{2017} process[recruit_W].recruitment_multipliers{2018} selectivity[sel_Whome].v{1} selectivity[sel_Whome].v{2} selectivity[sel_Whome].v{3} selectivity[sel_Whome].v{4} selectivity[sel_Whome].v{5} selectivity[sel_Whome].v{6} selectivity[sel_Whome].v{7} selectivity[sel_Espmg].v{1} selectivity[sel_Espmg].v{2} selectivity[sel_Espmg].v{3} selectivity[sel_Espmg].v{4} selectivity[sel_Espmg].v{5} selectivity[sel_Espmg].v{6} selectivity[sel_Espmg].v{7} selectivity[sel_Espmg].v{8} selectivity[sel_Wspmg].v{1} selectivity[sel_Wspmg].v{2} selectivity[sel_Wspmg].v{3} selectivity[sel_Wspmg].v{4} selectivity[sel_Wspmg].v{5} selectivity[sel_Wspmg].v{6} selectivity[sel_Wspmg].v{7} selectivity[sel_Wspmg].v{8} selectivity[Enspsl].mu selectivity[Enspsl].sigma_l selectivity[Enspsl].sigma_r selectivity[Wnspsl].mu selectivity[Wnspsl].sigma_l selectivity[Wnspsl].sigma_r selectivity[Espsl].mu selectivity[Espsl].sigma_l selectivity[Espsl].sigma_r selectivity[CRsl].mu selectivity[CRsl].sigma_l selectivity[CRsl].sigma_r selectivity[SAsl].mu selectivity[SAsl].sigma_l selectivity[SAsl].sigma_r 
0.427241 0.312844 0.0683184 0.0671708 0.0757773 0.140944 0.42364 14.3047 0.336219 0.312711 -0.229213 0.445375 0.729389 0.792312 1.38644 1.00265 0.334373 0.455019 0.269744 0.441058 0.494116 0.400103 0.219776 1.04131 0.963455 0.430953 0.137966 0.373852 0.388578 0.379947 0.557943 0.261778 0.282508 0.44781 0.252644 0.06 0.460133 0.160863 0.266106 0.499586 0.520528 0.507644 0.600133 0.520874 0.371148 0.527895 0.156951 0.660474 0.155538 0.18518 0.728445 0.755865 1.18886 0.458692 0.81422 0.685148 0.669371 0.473073 0.520641 0.583439 0.474625 0.873088 0.83633 0.319422 0.164933 1.48007 0.774536 0.0814756 0.0818255 0.891972 1.26757 0.376521 0.95579 0.220265 0.196316 0.236428 0.200409 0.06 0.370891 0.09506 0.795529 0.465701 0.517612 0.513053 0.754752 0.636922 0.615643 0.573054 0.146177 0.967083 0.15909 0.244019 2.18651 2.14758 1.18909 0.321931 0.284915 0.459725 0.135489 0.437825 0.708211 0.999909 0.0056398 0.159122 0.320815 0.425467 0.379528 0.458763 0.59081 0.611004 0.105561 0.291362 0.270681 0.455272 0.484211 0.524957 0.652978 0.601533 3.57318 1.22245 50 5.3284 2.77815 50 11.2567 10.8674 4.02625 1 46.5221 10.0928 14.8685 8.69468 1 
covariance_matrix:
0.0104937 0.00313988 0.00082957 0.000502891 0.000633876 -0.000271665 -0.000602941 -0.0101933 -0.00239811 -0.000851153 0.000945214 -0.00415541 -0.00675141 -0.00610847 -0.0110774 -0.00684838 -0.00149997 -0.0019989 -0.000799622 -0.000813116 -0.000672581 -0.000511593 -5.06185e-05 -0.000823368 0.00234328 0.000601381 -6.44458e-05 0.00146327 0.00120164 0.0013615 0.00201168 0.00106073 0.000772354 0.00138964 0.000679698 -8.41246e-12 0.00102526 0.000206425 0.000236596 0.00053732 0.000352439 0.000417685 0.000162743 -0.000105752 2.94665e-05 0.000381874 0.000360992 0.000559309 0.000272519 0.000171075 0.000935657 -0.0037392 0.0014463 5.02226e-05 -0.00284893 -0.00256292 -0.00298153 0.00102107 -0.00105452 -0.00106573 -0.000501816 -0.000568962 -6.85255e-05 -0.00039066 -0.00012693 -0.000225491 -0.00181364 -0.000114496 -0.000124669 -0.00121041 -0.0018672 0.000161576 -0.000444185 -0.000632336 9.34825e-05 -0.000510333 -0.000264152 2.06464e-10 -0.000581229 1.57123e-05 -0.000845273 -0.000208438 8.34155e-05 -0.000186267 0.000151476 0.000432752 6.96951e-05 -0.000681303 2.67048e-05 -0.00158019 -0.000271083 -0.00045589 0.000564178 0.00439988 0.00144841 -6.93021e-06 0.00194979 -0.00145717 0.00135754 -0.00138417 -0.000219776 6.23521e-06 -5.99694e-05 -0.0016143 -0.00316275 -0.00390835 -0.00304611 -0.0035014 -0.00435495 -0.00315167 -0.000242238 -0.00116342 -0.000187251 -0.000365274 -0.000219289 -0.000492549 0.000680098 -0.00106006 0.000287111 6.24178e-05 -1.20408e-07 -0.000579087 -0.000107443 -1.08474e-06 0.0106315 0.0511864 -0.00908617 -5.78284e-12 0.0567376 0.00760963 0.000292529 0.0054627 -5.32664e-08 
0.00313988 0.00573274 0.000626747 0.001049 0.0011775 -0.000162995 -0.000966585 -0.00854396 0.00108765 -0.00044719 0.000689967 -0.00303774 -0.0038305 -0.0033254 -0.00603155 -0.00371186 -0.000536911 -0.000996123 -0.000356526 -0.000166029 -0.000332563 -0.000312262 -2.2159e-05 -0.000329289 0.00131285 0.000124234 -8.81762e-05 0.000905762 0.000683841 0.000511915 0.00134514 0.000438868 0.000328903 0.000899109 0.000614659 -5.16155e-12 0.000694892 4.27849e-05 0.000364895 0.00019049 0.000323231 5.75441e-05 0.000343404 -0.000303589 0.000209654 0.00021126 4.58299e-05 0.000445248 5.23608e-05 5.9018e-05 0.000578935 0.00656997 0.00146135 -0.000863979 -0.00215246 -0.00177727 -0.00149462 -1.35216e-05 -0.000544777 -0.00106797 -0.000502378 -0.000962654 -0.000775475 -0.000401423 -0.000148047 -0.0015481 -0.00185359 -7.82777e-05 -4.46548e-05 -0.00074741 -0.000396735 4.47299e-05 -0.000376609 -0.00018912 0.000106988 -0.000741181 -0.000633961 1.23012e-10 -0.00106414 -3.13014e-05 -0.00116375 -0.000519022 -0.000444724 -9.01921e-05 -0.000310464 0.000238533 -5.51231e-05 -0.000526894 0.000158 -0.000692745 -5.59515e-05 -0.000163643 0.00326823 -0.00140971 0.00147313 0.000123826 3.13733e-05 -0.00182774 -0.000227197 -0.00364953 0.000821865 4.50329e-06 7.93283e-06 0.00010794 1.54441e-06 -0.000138267 -0.000141422 -0.00028582 -0.000607291 -0.000566394 -9.00961e-05 -0.000559403 -8.79624e-05 -0.000183137 -0.000192627 -0.000747575 -0.00065941 -0.00037384 -0.00353183 -0.000954088 -7.00121e-08 0.00455099 -5.81272e-06 -1.73928e-06 0.0134716 -0.0098305 -0.00931454 -3.44651e-12 0.0188987 -0.0575375 0.00727331 -0.0071258 -3.09929e-08 
0.00082957 0.000626747 0.000182728 0.000131318 0.000155221 -3.95431e-05 -0.00014539 -0.00122617 2.22331e-06 -0.000203208 0.000185551 -0.000665328 -0.00113108 -0.00100537 -0.00175756 -0.00103051 -0.000217479 -0.00032156 -0.000127924 -0.000132032 -0.000107144 -9.59742e-05 -1.52648e-05 -4.88108e-05 0.000321146 4.79311e-05 -1.0659e-05 0.000229019 0.000219089 0.000170982 0.000353994 0.000133944 0.000106287 0.000211208 0.000115911 -9.41462e-13 0.000148413 1.28116e-05 6.45486e-05 3.21304e-05 2.4177e-05 1.64004e-05 2.75079e-05 -5.81127e-05 4.60793e-05 1.98284e-06 3.74249e-05 3.55735e-05 2.54639e-05 8.6692e-06 7.69259e-05 0.000450942 0.000132364 -0.000200203 -0.000308799 -0.000398712 -0.000486202 2.7263e-05 -0.000137596 -0.000157102 -5.10721e-05 -8.19847e-05 1.55465e-05 -7.53293e-05 -2.23701e-05 -0.000197301 -0.000322161 -1.93063e-05 -2.01383e-05 -0.000165623 -0.000221349 1.05874e-05 -4.40948e-05 -5.29934e-05 1.21655e-05 -0.000123807 -8.41281e-05 2.39076e-11 -0.000152318 -1.82123e-06 -0.000145495 -5.2909e-05 -2.06897e-05 -9.63579e-06 3.11477e-05 0.00011181 2.10117e-05 -2.24318e-05 1.18258e-05 -3.85413e-05 -6.60451e-06 -2.11501e-05 0.000520172 0.000148139 0.000133271 0.00012775 0.000399499 -4.91898e-05 0.000184578 -3.74892e-05 0.00101325 1.13059e-06 3.26942e-06 6.66212e-05 8.43541e-05 7.99833e-05 6.84921e-05 3.97335e-05 2.57406e-05 1.71457e-05 4.38546e-05 -5.62379e-05 2.49566e-05 1.5122e-05 1.83752e-05 -6.78316e-05 6.01502e-05 5.88154e-06 -0.00056762 -0.000206034 -4.76161e-08 0.000236075 0.000129657 -1.80491e-07 0.00122925 0.000147605 -0.00210376 -6.50503e-13 0.00240724 -0.0121432 -0.000343365 -0.000211201 -6.63538e-09 
0.000502891 0.001049 0.000131318 0.00032366 0.000322677 -3.53382e-05 -0.000128194 -0.0017942 0.000307967 -5.10814e-05 8.6216e-05 -0.000671286 -0.000602128 -0.000722149 -0.00127991 -0.000728446 -9.44556e-05 -0.000160222 -6.35905e-05 -1.10449e-05 -2.30295e-05 -2.53524e-05 4.82375e-06 6.68472e-05 0.000322164 6.05444e-05 -3.11072e-05 0.000239843 0.00017011 0.00010929 0.000328096 8.961e-05 7.00199e-05 0.000210259 0.000148039 -9.19079e-13 0.000165324 7.71858e-06 0.000108248 4.53399e-05 7.82139e-05 8.63558e-06 7.22228e-05 -8.78073e-05 6.86447e-05 2.97025e-05 9.29595e-06 7.58776e-05 1.0363e-05 -5.52147e-06 9.42712e-05 0.00191489 0.000250356 -0.000289831 -6.10938e-05 -0.000182963 -0.00019133 3.92125e-05 9.65695e-06 -0.000147927 -5.21131e-05 -8.96846e-05 -0.000100029 -8.86899e-05 -3.17059e-05 -0.000295508 -0.00034296 -1.15783e-05 -8.11076e-06 -0.000144622 -2.31137e-05 2.36055e-05 -0.000100261 -3.19159e-05 1.45646e-05 -0.000200559 -0.000165063 2.16159e-11 -0.000281131 -2.20625e-05 -0.000279886 -0.000143177 -0.000114423 -2.74585e-05 -4.05972e-05 9.48429e-05 5.90862e-06 -7.23057e-05 3.62606e-05 -7.11645e-05 1.11551e-05 1.91369e-05 0.000939801 -0.000682617 0.000248033 0.000113433 -5.04299e-06 -0.00023305 -0.000265616 -0.000885524 0.000484026 8.54774e-07 4.38997e-06 9.30091e-05 0.000116259 9.91119e-05 5.53431e-05 1.55892e-05 -3.52768e-05 -3.69193e-05 -9.05498e-06 -6.28863e-05 1.41704e-05 2.13557e-05 4.97425e-05 -0.000114745 -1.97654e-05 3.95851e-05 -0.000814276 -0.000248061 -3.9582e-08 0.00213283 0.000204223 -3.5956e-07 0.00411925 -0.00770317 -0.00222429 -6.03709e-13 0.00317889 -0.0110013 0.00273522 -0.0048775 -5.0417e-09 
0.000633876 0.0011775 0.000155221 0.000322677 0.000459681 -4.8233e-05 -0.000219822 -0.00201569 0.000324414 -7.40231e-05 0.000208195 -0.000839941 -0.000770514 -0.000925027 -0.00151114 -0.000934395 -0.000116613 -0.000222658 -7.29295e-05 -4.67696e-05 -2.99625e-05 -4.58326e-05 1.35724e-05 1.8017e-05 0.000454587 5.94546e-05 -4.70445e-05 0.000287002 0.000211505 0.000131389 0.000371199 0.000110632 7.44504e-05 0.000243783 0.000154392 -1.51933e-12 0.000170914 1.31676e-06 0.000103942 3.48824e-05 6.38356e-05 4.46115e-06 4.3235e-05 -0.000110327 4.15739e-05 2.41315e-05 1.82549e-05 3.20855e-05 8.52823e-06 -1.9874e-06 -5.06925e-05 0.00200869 0.000266355 -0.000219827 -0.000460668 -0.000413504 -0.000573503 -3.08539e-06 -0.000234357 -0.00037303 -0.000198723 -0.000411852 -0.000361299 -0.000186332 -8.51583e-05 -0.0007096 -0.000689065 -3.54242e-05 -3.54137e-05 -0.000313731 -0.000229333 -1.04011e-05 -0.000114346 -6.25735e-05 2.97509e-05 -0.000232156 -0.000166989 3.66275e-11 -0.000284482 -1.45793e-05 -0.00024538 -0.000112868 -7.00139e-05 -7.7723e-06 5.77995e-05 0.000191547 9.28958e-05 -5.77983e-05 4.98071e-05 -5.39933e-06 -6.18002e-07 1.87726e-05 0.00144719 -0.000350945 0.000266187 0.000151956 0.000158389 -0.000350354 -0.000268653 -0.00100422 0.000477888 1.21711e-06 5.72542e-06 0.000116088 0.000154436 0.000133021 8.60057e-05 3.30395e-05 -3.49008e-05 -2.53227e-05 -2.73658e-06 -0.000140352 6.93774e-06 2.02028e-05 4.82178e-05 -0.000129713 -1.96152e-05 5.66647e-05 -0.000901708 -0.000299909 -2.15183e-08 0.00279766 0.000377217 -4.8342e-07 0.00488555 -0.00856528 -0.0027974 -1.01424e-12 0.00417777 -0.0115022 0.00331314 -0.00655023 -9.12908e-09 
-0.000271665 -0.000162995 -3.95431e-05 -3.53382e-05 -4.8233e-05 0.000878972 5.60081e-05 0.000401294 6.63694e-06 3.23216e-05 0.000145465 0.000268951 0.000338914 0.000224661 0.000542458 0.000390559 4.50979e-05 3.83448e-05 6.04011e-05 1.90858e-05 0.000107253 -3.28913e-06 4.12968e-06 4.73598e-05 -0.000104257 -3.3748e-05 2.55895e-05 -0.000103259 -2.0239e-05 -2.51397e-05 -7.10885e-05 -2.75781e-05 -1.72012e-07 -3.04192e-05 2.16264e-05 3.65046e-13 5.88881e-05 3.26805e-05 6.40745e-05 0.000138876 0.000171182 0.000215924 0.000145517 0.000192774 5.88835e-05 0.00011954 1.39308e-05 0.000171513 1.57277e-05 1.77148e-05 0.000161366 -0.000502011 -1.6446e-06 -8.14278e-05 8.098e-05 -1.28472e-05 0.000166732 0.000137179 0.000173698 9.49195e-05 -1.91402e-05 0.000148954 -7.33507e-05 5.80559e-05 5.28478e-05 -4.85839e-06 0.000150106 6.59428e-06 2.09325e-06 3.98046e-05 0.000167992 4.06511e-05 1.29151e-05 2.10872e-05 1.57617e-05 4.81463e-05 1.06829e-06 -9.89482e-12 7.34996e-05 1.65135e-05 0.000190249 8.43332e-05 0.000195622 0.000219798 0.0002959 7.32944e-05 0.00025938 0.000215537 6.75392e-05 0.000131273 -3.02155e-06 -3.06578e-05 -0.000642368 0.000215048 -1.94058e-06 -2.64421e-05 -0.000413779 0.000349466 -0.000330775 7.78079e-05 -0.000215439 -4.62973e-07 -3.39555e-07 -2.06971e-05 -3.62348e-05 -2.64949e-05 -1.39025e-05 3.82645e-06 1.59245e-05 -3.75328e-05 -7.40218e-06 0.000134957 -5.80389e-06 6.15281e-06 2.07458e-05 3.81e-05 -3.63346e-05 6.45872e-06 0.00018998 9.92547e-05 6.64507e-09 0.000696204 0.0011649 8.089e-08 -0.000497345 0.00126269 0.000325954 2.63645e-13 -0.00407566 -0.000684542 8.32509e-06 0.000705311 2.75972e-09 
-0.000602941 -0.000966585 -0.00014539 -0.000128194 -0.000219822 5.60081e-05 0.00726406 0.00213131 -0.000331051 -2.28826e-05 0.00019661 0.000374231 0.00141042 0.000738201 0.00135486 0.000908665 -4.64807e-05 0.000227511 8.34999e-05 0.000102535 0.000234622 4.77674e-05 5.99271e-06 0.000530484 -0.0003861 3.41663e-07 0.000151618 -0.00028015 -0.000176121 -0.000100197 -0.000361465 -0.00011164 -4.63924e-05 -0.000311709 -0.000218719 2.76852e-12 -0.000203371 -1.5806e-05 -0.000194067 -4.22949e-05 -0.000123539 -2.2859e-05 -0.000135607 0.000158527 -0.000149024 -0.000111503 7.45522e-06 -0.00029375 4.80835e-06 7.32842e-05 -5.53207e-05 0.000153746 0.000273382 -0.000195478 -8.68623e-05 -0.00132759 -0.00141336 -0.000158731 -0.000722641 -0.000821959 -0.000849941 -0.000986407 -0.00145822 -0.000441954 -0.0001252 -0.00105273 9.06808e-05 -1.47383e-05 -3.988e-05 0.000601271 0.00119974 0.000409677 0.00123269 0.000362548 0.000154882 0.000733952 0.000530474 -6.36524e-11 0.000875697 0.000122729 0.00107187 0.000489523 0.000472157 0.000421382 0.000727569 0.000539223 0.000818132 0.00112117 0.000114184 0.00209856 0.000223613 0.000424499 0.00186954 0.000349426 0.000257007 7.08683e-05 0.000469926 0.000366601 -0.00118349 0.00171492 -0.00227457 -3.82002e-06 -6.04036e-06 -3.56414e-05 -2.01229e-05 6.61455e-05 7.17525e-05 0.000141295 0.000404669 0.000127619 -0.000147798 -0.000312997 -0.000134482 -7.82242e-05 -0.000108144 0.00026765 0.000111935 0.000109537 0.000755654 5.11037e-05 1.06108e-07 0.00244695 0.00163641 1.41488e-06 -0.00536968 0.0131225 0.00308814 1.70086e-12 0.0013765 0.018154 -0.00314625 0.000384494 2.13274e-08 
-0.0101933 -0.00854396 -0.00122617 -0.0017942 -0.00201569 0.000401294 0.00213131 0.0193911 1.87448e-05 0.000836265 -0.00121448 0.00714411 0.00993264 0.00896582 0.0153684 0.00933219 0.00160718 0.00254985 0.000818435 0.00078947 0.000603253 0.000640795 -7.41443e-05 0.000533313 -0.00346491 -0.00064152 9.41879e-05 -0.00211648 -0.00169104 -0.00159389 -0.00317413 -0.00127068 -0.000990312 -0.00222548 -0.00131928 1.10197e-11 -0.00171864 -0.000207552 -0.000749546 -0.00075405 -0.000859726 -0.000480441 -0.000621559 0.000241341 -0.00041099 -0.000846503 -0.000300835 -0.00118786 -0.000379647 -0.000264009 -0.00184035 -0.00710754 -0.00298769 0.0029549 0.00700275 0.00343506 0.00305766 -0.00104343 0.000482905 0.000892179 0.000139294 -4.9121e-05 -0.000256538 0.000430058 0.000240206 0.000907735 0.00274432 0.00010668 7.51325e-05 0.00122668 0.000969672 -0.000246874 0.000398604 0.000567544 -0.000207036 0.00129293 0.000996371 -2.64049e-10 0.00182646 8.1666e-05 0.0020221 0.000849194 0.000606088 0.000313603 0.00034048 -0.000456772 0.000262541 0.00147626 -0.000224757 0.00278472 0.000335741 0.00066686 -0.00485249 0.000277475 -0.00298948 2.45867e-06 -0.000725796 0.00324457 0.000129607 0.00658455 0.000691726 -8.79803e-06 3.74641e-05 0.0011493 0.00249265 0.00337118 0.00286007 0.00356211 0.00467684 0.00384791 0.000374187 0.00149602 0.000409448 0.000651224 0.000515832 0.00173978 0.000784931 0.00189394 0.00454009 0.0013094 1.21004e-07 -0.00820592 -0.00115355 3.35732e-06 -0.0304542 -0.00391268 0.0180834 7.39124e-12 -0.0716834 0.0613499 -0.0139417 0.00821214 6.66667e-08 
