*mpd[__mpd__]
estimate_values:
catchability[CSacous].q catchability[WCacous].q catchability[CRsum].q catchability[SAsum].q catchability[SAaut].q observation[CRsumbio].process_error observation[SAsumbio].process_error parameter_transformation[log_sum_b0].log_total_parameter parameter_transformation[log_sum_b0].total_proportion_parameter process[Instant_mortality].m{west.sa} time_varying[shifted_mu].a process[recruit_E].recruitment_multipliers{1977} process[recruit_E].recruitment_multipliers{1978} process[recruit_E].recruitment_multipliers{1979} process[recruit_E].recruitment_multipliers{1980} process[recruit_E].recruitment_multipliers{1981} process[recruit_E].recruitment_multipliers{1982} process[recruit_E].recruitment_multipliers{1983} process[recruit_E].recruitment_multipliers{1984} process[recruit_E].recruitment_multipliers{1985} process[recruit_E].recruitment_multipliers{1986} process[recruit_E].recruitment_multipliers{1987} process[recruit_E].recruitment_multipliers{1988} process[recruit_E].recruitment_multipliers{1989} process[recruit_E].recruitment_multipliers{1990} process[recruit_E].recruitment_multipliers{1991} process[recruit_E].recruitment_multipliers{1992} process[recruit_E].recruitment_multipliers{1993} process[recruit_E].recruitment_multipliers{1994} process[recruit_E].recruitment_multipliers{1995} process[recruit_E].recruitment_multipliers{1996} process[recruit_E].recruitment_multipliers{1997} process[recruit_E].recruitment_multipliers{1998} process[recruit_E].recruitment_multipliers{1999} process[recruit_E].recruitment_multipliers{2000} process[recruit_E].recruitment_multipliers{2001} process[recruit_E].recruitment_multipliers{2002} process[recruit_E].recruitment_multipliers{2003} process[recruit_E].recruitment_multipliers{2004} process[recruit_E].recruitment_multipliers{2005} process[recruit_E].recruitment_multipliers{2006} process[recruit_E].recruitment_multipliers{2007} process[recruit_E].recruitment_multipliers{2008} process[recruit_E].recruitment_multipliers{2009} process[recruit_E].recruitment_multipliers{2010} process[recruit_E].recruitment_multipliers{2011} process[recruit_E].recruitment_multipliers{2012} process[recruit_E].recruitment_multipliers{2013} process[recruit_E].recruitment_multipliers{2014} process[recruit_E].recruitment_multipliers{2015} process[recruit_E].recruitment_multipliers{2016} process[recruit_E].recruitment_multipliers{2017} process[recruit_E].recruitment_multipliers{2018} process[recruit_W].recruitment_multipliers{1977} process[recruit_W].recruitment_multipliers{1978} process[recruit_W].recruitment_multipliers{1979} process[recruit_W].recruitment_multipliers{1980} process[recruit_W].recruitment_multipliers{1981} process[recruit_W].recruitment_multipliers{1982} process[recruit_W].recruitment_multipliers{1983} process[recruit_W].recruitment_multipliers{1984} process[recruit_W].recruitment_multipliers{1985} process[recruit_W].recruitment_multipliers{1986} process[recruit_W].recruitment_multipliers{1987} process[recruit_W].recruitment_multipliers{1988} process[recruit_W].recruitment_multipliers{1989} process[recruit_W].recruitment_multipliers{1990} process[recruit_W].recruitment_multipliers{1991} process[recruit_W].recruitment_multipliers{1992} process[recruit_W].recruitment_multipliers{1993} process[recruit_W].recruitment_multipliers{1994} process[recruit_W].recruitment_multipliers{1995} process[recruit_W].recruitment_multipliers{1996} process[recruit_W].recruitment_multipliers{1997} process[recruit_W].recruitment_multipliers{1998} process[recruit_W].recruitment_multipliers{1999} process[recruit_W].recruitment_multipliers{2000} process[recruit_W].recruitment_multipliers{2001} process[recruit_W].recruitment_multipliers{2002} process[recruit_W].recruitment_multipliers{2003} process[recruit_W].recruitment_multipliers{2004} process[recruit_W].recruitment_multipliers{2005} process[recruit_W].recruitment_multipliers{2006} process[recruit_W].recruitment_multipliers{2007} process[recruit_W].recruitment_multipliers{2008} process[recruit_W].recruitment_multipliers{2009} process[recruit_W].recruitment_multipliers{2010} process[recruit_W].recruitment_multipliers{2011} process[recruit_W].recruitment_multipliers{2012} process[recruit_W].recruitment_multipliers{2013} process[recruit_W].recruitment_multipliers{2014} process[recruit_W].recruitment_multipliers{2015} process[recruit_W].recruitment_multipliers{2016} process[recruit_W].recruitment_multipliers{2017} process[recruit_W].recruitment_multipliers{2018} selectivity[sel_Whome].v{1} selectivity[sel_Whome].v{2} selectivity[sel_Whome].v{3} selectivity[sel_Whome].v{4} selectivity[sel_Whome].v{5} selectivity[sel_Whome].v{6} selectivity[sel_Whome].v{7} selectivity[sel_Espmg].v{1} selectivity[sel_Espmg].v{2} selectivity[sel_Espmg].v{3} selectivity[sel_Espmg].v{4} selectivity[sel_Espmg].v{5} selectivity[sel_Espmg].v{6} selectivity[sel_Espmg].v{7} selectivity[sel_Espmg].v{8} selectivity[sel_Wspmg].v{1} selectivity[sel_Wspmg].v{2} selectivity[sel_Wspmg].v{3} selectivity[sel_Wspmg].v{4} selectivity[sel_Wspmg].v{5} selectivity[sel_Wspmg].v{6} selectivity[sel_Wspmg].v{7} selectivity[sel_Wspmg].v{8} selectivity[Enspsl].mu selectivity[Enspsl].sigma_l selectivity[Enspsl].sigma_r selectivity[Wnspsl].mu selectivity[Wnspsl].sigma_l selectivity[Wnspsl].sigma_r selectivity[Espsl].mu selectivity[Espsl].sigma_l selectivity[Espsl].sigma_r selectivity[CRsl].mu selectivity[CRsl].sigma_l selectivity[CRsl].sigma_r selectivity[SAsl].mu selectivity[SAsl].sigma_l selectivity[SAsl].sigma_r 
0.427862 0.312444 0.0681149 0.0670555 0.0756346 0.140894 0.423811 14.3046 0.335711 0.312931 -0.229594 0.445894 0.730524 0.793324 1.38827 1.00372 0.334618 0.455347 0.269893 0.441002 0.494225 0.40014 0.219825 1.04095 0.96315 0.431125 0.137979 0.373346 0.38757 0.379885 0.557259 0.261782 0.282484 0.447591 0.252489 0.06 0.459872 0.160874 0.265598 0.499431 0.520306 0.507536 0.599857 0.520799 0.370466 0.527857 0.1569 0.660291 0.155585 0.185177 0.728085 0.752308 1.18939 0.458719 0.81433 0.684939 0.669054 0.472756 0.52052 0.583282 0.4744 0.873752 0.837377 0.319752 0.164843 1.48066 0.7753 0.0814734 0.081795 0.89189 1.26783 0.376479 0.955567 0.220147 0.196261 0.236776 0.200608 0.06 0.371326 0.0950955 0.795759 0.465882 0.517843 0.513138 0.754867 0.636759 0.616139 0.572918 0.146258 0.966688 0.15897 0.243892 2.18474 2.14969 1.18962 0.321362 0.283861 0.45775 0.135024 0.431692 0.718909 0.759606 0.00563527 0.159006 0.320564 0.425133 0.379266 0.458474 0.590445 0.610637 0.105526 0.291391 0.270658 0.455197 0.484337 0.523977 0.655911 0.601007 3.57227 1.22206 50 5.32952 2.77846 49.9994 11.2547 10.8594 4.02912 1 46.5222 10.0878 14.8648 8.69281 1 
covariance_matrix:
0.00951239 0.00237832 0.000717442 0.000365089 0.000388322 -0.000246592 -0.000297201 -0.00875973 -0.0024665 -0.000811479 0.000641908 -0.0023827 -0.00650827 -0.00522207 -0.0108476 -0.00695856 -0.00125354 -0.0018237 -0.000875168 -0.00117523 -0.000704225 -0.00032896 4.2749e-05 0.000134188 0.00126657 0.000602626 0.00030839 0.000943196 0.00102589 0.00120623 0.00171639 0.000798254 0.000734585 0.00103551 0.000591955 1.02303e-10 0.00083811 0.00019935 7.75091e-05 0.000370606 0.000279782 0.00029676 0.000150449 0.000121785 0.000172937 0.000319216 0.00023424 0.000661466 0.000129896 0.000219429 0.00185108 -0.00326826 0.00118326 -0.000944855 -0.00015118 -0.00154312 6.7082e-05 0.000428859 -0.000252978 2.03568e-05 0.000104034 0.00077201 0.000668187 -7.93473e-05 0.000123877 0.000840692 0.000181181 1.77755e-05 2.08998e-05 0.000165576 0.000273809 0.00023456 0.000605916 2.87477e-05 9.56108e-05 0.000209989 4.6816e-05 1.42821e-10 0.000149562 7.3179e-05 0.000353703 0.000374059 0.000598047 0.000479719 0.000785065 0.000464917 0.000260009 0.000151379 -9.55071e-05 -0.000102066 -4.70621e-05 4.38329e-05 8.73879e-05 0.00368403 0.00117331 0.000187566 0.00126094 -0.000291405 0.000466805 0.00133382 -1.873e-05 -0.0166327 -6.20776e-05 -0.00161348 -0.00313824 -0.00380269 -0.00303015 -0.00340327 -0.0040906 -0.00309545 -0.000360164 -0.00108712 -0.000258555 -0.000455829 -0.000389747 -0.000149139 0.000446172 -0.00106872 -0.000101188 -0.000176397 9.54194e-06 -0.00271667 -0.000788648 0.000612197 0.00471468 0.0565156 -0.00349479 2.59469e-10 0.0516197 0.0156188 -0.00616443 0.00227928 5.15384e-08 
0.00237832 0.00548016 0.000589162 0.000978221 0.00105378 -0.000144223 -0.000709222 -0.00765191 0.00118137 -0.000460746 0.000439148 -0.00198675 -0.00291543 -0.0032236 -0.00492425 -0.00381773 -0.000303372 -0.000927028 -0.000233588 -0.000543739 -0.000364519 -9.22001e-05 0.000153909 0.000373522 0.000919254 0.000209665 7.37255e-05 0.000809891 0.000785694 0.000442255 0.00142091 0.000351212 0.000351001 0.00082125 0.000547939 1.47761e-10 0.00064816 6.08546e-05 0.000413788 0.000222462 0.000363058 7.9073e-05 0.000380444 -8.25436e-05 0.000335328 0.000187174 1.90238e-06 0.00043896 -2.00228e-05 3.20329e-05 0.000828293 0.00275639 0.00160508 -0.000999244 -0.000730085 -0.00136498 -0.000181091 0.00034104 -0.000342815 -0.000109726 -6.54019e-05 0.000100509 -0.000532192 -0.000170295 1.80424e-05 -0.000609456 -0.000512893 1.83016e-05 9.41046e-05 1.12375e-05 0.00107156 0.000307165 0.000401136 0.00021699 0.000200021 -0.000426357 -0.000350618 3.77667e-11 -0.000632581 -1.7258e-05 -0.000430707 -0.000174425 -0.000155033 0.00021914 0.000118028 0.000358195 0.000210471 0.000114008 0.00019461 0.00067885 0.000243599 0.000194197 0.0040903 0.0017 0.00160874 0.000178139 -0.000199552 -0.000830536 -0.000658121 -0.00242568 0.00304175 0.00591594 8.85957e-06 0.000144421 0.000160063 7.2563e-05 -1.12192e-05 -8.64156e-05 -0.000204083 -0.00035239 -0.000193413 -0.00047952 -0.00015681 -0.000282646 -0.000232037 -0.000636034 -0.00110713 -0.00019852 -0.00371509 -0.0011087 5.99291e-07 0.00331212 -2.39323e-06 3.56358e-05 0.00984314 -0.00709596 -0.00617549 1.38177e-11 0.0150998 -0.0555021 0.00341295 -0.00651064 -3.93467e-08 
0.000717442 0.000589162 0.000182989 0.000125865 0.000135628 -3.64134e-05 -8.44985e-05 -0.00111406 1.81932e-05 -0.000212854 0.000151997 -0.000464879 -0.000989491 -0.000915883 -0.00172062 -0.00102243 -0.000188703 -0.000287485 -0.000111814 -0.00019162 -0.000120824 -4.91729e-05 1.40023e-05 0.000125431 0.00027926 6.34142e-05 3.99824e-05 0.000216098 0.000272682 0.000170183 0.000395588 0.000122314 0.000118688 0.000216218 0.000128174 5.05921e-11 0.000172318 2.20814e-05 8.41977e-05 5.05101e-05 5.65386e-05 4.29943e-05 7.71876e-05 6.09567e-06 9.80716e-05 1.7531e-05 4.25588e-05 8.56183e-05 1.80851e-06 1.98588e-05 0.000197095 0.000322884 2.48964e-05 -0.000230573 -0.000263744 -0.000295393 -0.000191248 4.9865e-06 -3.92639e-05 -5.75033e-06 1.56193e-05 8.86218e-05 1.03621e-05 -2.65927e-05 5.01269e-06 -9.28786e-05 -0.000109933 -4.05967e-06 3.72345e-06 -3.87228e-05 1.3352e-05 3.48829e-05 7.72802e-05 2.07316e-05 2.12384e-05 -6.77882e-05 -5.04097e-05 1.78448e-11 -8.65186e-05 -1.73635e-06 -2.89266e-05 -3.77498e-06 2.72845e-05 4.73628e-05 8.60491e-05 0.00010994 4.32854e-05 6.72641e-05 -3.43703e-06 0.000132895 3.4134e-05 3.21749e-05 0.000494243 6.20749e-05 2.41446e-05 0.000166199 0.000377738 0.00016336 3.49866e-05 0.000430862 0.00123172 0.00256018 3.03514e-06 6.31675e-05 9.02016e-05 9.71798e-05 7.1232e-05 5.53757e-05 6.29805e-05 3.49993e-05 2.44737e-05 -5.93121e-05 1.36984e-05 3.90838e-06 3.48445e-06 -2.05109e-05 -6.96824e-05 3.0114e-05 -0.000665843 -0.0002639 5.58397e-07 -0.000185306 -3.74995e-05 3.59491e-05 0.000143966 0.000540133 -0.00111018 1.44681e-11 0.0019229 -0.0112973 -0.000860933 -0.000370107 -1.36636e-08 
0.000365089 0.000978221 0.000125865 0.00032194 0.000303991 -3.49129e-05 -4.72749e-05 -0.00164878 0.000332227 -4.77274e-05 6.24122e-05 -0.000390046 -0.000514499 -0.000694299 -0.00104027 -0.000732938 -4.1534e-05 -0.000144383 -3.01943e-05 -9.03845e-05 -5.00869e-05 1.54572e-05 4.05553e-05 0.000176799 0.000289071 4.7953e-05 1.44849e-05 0.000212266 0.00020255 9.01786e-05 0.000339018 7.18756e-05 6.82568e-05 0.000194644 0.000135419 -1.09377e-11 0.000153131 8.45798e-06 0.000119449 3.612e-05 9.92818e-05 1.56152e-06 8.82087e-05 -5.87195e-05 9.56807e-05 1.635e-05 -5.50217e-06 8.70617e-05 -1.47389e-05 6.73049e-06 0.000183734 0.000973783 0.000162034 -0.000109776 -1.79961e-05 -9.06539e-05 0.000189238 7.33263e-05 5.56989e-05 7.76455e-05 1.66296e-05 0.000125142 -2.29809e-05 -2.64584e-05 1.00432e-05 -0.000111156 -0.000106299 7.82503e-06 2.20749e-05 1.64983e-05 0.0002859 6.73372e-05 9.10705e-05 4.25519e-05 4.32305e-05 -0.000140991 -0.000108975 -1.68179e-11 -0.00018939 -1.71588e-05 -0.000129213 -4.6655e-05 -7.99131e-05 6.92946e-05 4.22525e-05 0.000160043 5.17358e-05 5.52786e-05 3.94901e-05 0.000146412 6.5845e-05 8.11715e-05 0.000944856 -4.35783e-05 0.000158984 0.000119724 1.87702e-05 -0.0001447 -0.000243372 -0.0006903 0.000897686 0.00179859 4.4331e-06 8.97755e-05 0.000138935 0.000126253 7.84756e-05 5.14785e-05 4.49365e-05 1.33204e-05 -2.47135e-05 -7.2297e-05 2.82916e-06 1.0672e-05 4.66996e-05 -8.04509e-05 -0.000125077 8.649e-05 -0.000900443 -0.000305968 -1.34971e-06 0.00201217 0.000218787 -8.9337e-05 0.00366665 -0.00726268 -0.00171131 -3.73372e-11 0.0026458 -0.0112297 0.00245758 -0.00476204 -1.09711e-08 
0.000388322 0.00105378 0.000135628 0.000303991 0.000414934 -3.54938e-05 -9.84222e-05 -0.00171488 0.000344838 -6.39183e-05 0.000148033 -0.000508499 -0.000626021 -0.000772383 -0.00116856 -0.000934325 -3.10027e-05 -0.000181754 -3.11429e-05 -0.000118374 -3.85838e-05 1.81171e-05 4.63843e-05 0.000199559 0.000321188 5.07227e-05 1.55105e-05 0.000225745 0.000221449 9.52614e-05 0.000360847 7.27816e-05 6.813e-05 0.000195796 0.000125227 -4.7288e-12 0.000139149 6.49056e-07 0.000107803 2.73715e-05 8.00663e-05 -3.33141e-06 6.91658e-05 -5.14617e-05 6.00203e-05 5.6609e-06 -4.38193e-06 3.05906e-05 -2.07929e-05 5.14581e-06 0.000139793 0.000786116 0.000167675 -0.000239389 -0.000198108 -0.000276185 -7.66587e-05 4.99939e-05 -9.0692e-05 -9.83518e-05 -7.95335e-05 -8.48351e-05 -0.000263959 -0.000100941 -3.26918e-05 -0.000430763 -0.000302114 -5.61943e-06 4.32536e-06 -6.2092e-05 0.000195547 6.2284e-05 0.000104475 5.185e-05 5.53021e-05 -0.000124976 -8.21528e-05 -1.85732e-12 -0.00014836 -2.23941e-06 -2.11374e-05 7.92376e-06 -3.32518e-06 0.000109532 0.000152099 0.000237232 0.000162808 0.000138246 4.60642e-05 0.000365313 7.80165e-05 0.000117784 0.00138436 0.000382682 0.000166049 0.000165135 0.000128833 -0.000190771 -0.000266912 -0.000699702 0.00101152 0.00205335 5.2664e-06 0.000108495 0.000168176 0.000171285 0.000109537 8.52954e-05 7.06506e-05 3.71971e-05 -3.70614e-05 -0.000155813 -9.00798e-06 -8.97338e-06 4.19936e-05 -7.75818e-05 -0.000128688 0.000114244 -0.000927361 -0.000331971 -2.94985e-07 0.00243596 0.000238147 -2.11605e-05 0.00420591 -0.00694491 -0.00213357 -9.81656e-12 0.00315714 -0.0112338 0.00286896 -0.00611368 -3.52647e-09 
-0.000246592 -0.000144223 -3.64134e-05 -3.49129e-05 -3.54938e-05 0.000871461 3.66906e-05 0.000365553 1.97512e-05 3.35759e-05 0.000161584 3.48932e-05 0.00038928 0.000357826 0.000330751 0.000511289 -2.61727e-05 7.31328e-06 4.37029e-05 2.58564e-05 5.06683e-05 -4.26604e-05 -3.01716e-05 -8.9539e-05 -0.000146993 -7.16554e-05 1.10684e-05 -0.000111418 -5.78956e-05 -4.94355e-05 -0.000111001 -3.70471e-05 -2.37607e-05 -4.19141e-05 -2.82997e-06 -3.88142e-11 2.22126e-05 1.77611e-05 5.23254e-05 0.000106839 0.000139329 0.000173823 0.000118453 0.000130563 2.70443e-05 9.75158e-05 1.61432e-05 0.000111929 2.08033e-05 1.99788e-05 4.88493e-05 0.000366965 -2.40188e-05 4.32536e-05 -0.000314697 0.000226848 -0.000111687 2.05867e-05 0.000130596 6.0462e-05 -3.80315e-05 -1.07251e-05 -0.000122948 2.29279e-05 2.86681e-05 -0.000109276 1.44224e-05 -9.98586e-06 -1.222e-05 -0.000110257 5.34978e-05 3.24159e-05 -8.05707e-05 -1.48978e-05 1.27455e-05 -1.1046e-05 -1.39897e-05 8.856e-13 1.82545e-05 1.44149e-05 8.79706e-05 3.38008e-05 0.000121678 0.000163121 0.000187977 4.79152e-05 0.000199967 0.000119089 3.35849e-05 6.10624e-05 -4.01588e-05 -9.69674e-05 -0.000696995 -0.00036598 -2.37953e-05 -3.13039e-05 -0.000352056 0.000247097 -7.72326e-05 -0.000326433 -0.000441938 0.00166029 -2.39508e-07 -1.68906e-05 -2.64064e-05 -2.08813e-05 -1.19158e-05 2.31247e-05 -9.16016e-07 -3.98482e-05 7.44271e-07 0.000103081 2.37783e-06 2.93287e-06 2.59937e-05 6.261e-05 -7.92975e-05 -9.03184e-06 6.20741e-05 4.04479e-05 2.02892e-07 0.000628083 0.000938973 1.34849e-05 -0.00053039 0.000742124 0.000336291 3.57903e-12 -0.00395429 -0.0017475 0.000185138 0.000669036 1.97884e-08 
-0.000297201 -0.000709222 -8.44985e-05 -4.72749e-05 -9.84222e-05 3.66906e-05 0.00724568 0.00149528 -0.000216667 -8.5742e-05 0.000362697 -7.56173e-05 0.000300704 0.00024622 0.000487196 0.000625731 -0.000128493 5.69437e-05 -2.47088e-05 1.86314e-05 -6.92738e-05 -2.82338e-05 -3.00173e-05 -7.72539e-05 -7.98451e-05 -5.77053e-05 1.08557e-05 -0.000153076 -0.000198883 -5.81539e-05 -0.000332983 -5.92903e-05 -6.52628e-05 -0.000196734 -0.000155431 -3.49468e-10 -0.000172157 -2.56787e-05 -0.000161738 -0.000128758 -0.000129785 -8.07223e-05 -0.000356842 9.13183e-05 -0.00025327 -0.000119908 2.84465e-05 -0.000434342 7.46229e-05 -7.72105e-05 -0.000189677 -0.000266541 0.000215873 -0.000986645 -0.0017075 -0.000874768 -0.00151486 -0.000392975 -0.000355998 -0.00130437 -0.000962702 -0.00116984 -0.00178215 -0.000410712 -0.000242564 -0.00160362 -0.000639916 -2.93379e-05 -4.45712e-05 0.00025859 0.000933822 0.000346727 0.00101598 0.000201142 0.000202425 0.000503582 0.000396617 -1.64156e-10 0.000645186 8.59995e-05 0.000700356 0.00039422 0.000248875 0.00036609 0.000878015 0.000494087 0.00086687 0.000957793 0.000132816 0.00213163 0.000206372 0.000253849 0.00250839 0.00140438 0.000205619 0.000131259 0.000453704 -1.00712e-05 -9.31659e-05 -3.4694e-05 -0.00109521 -0.00156117 2.72808e-06 0.000115223 0.000229496 0.000245929 0.000223269 0.000197906 0.000329001 7.08108e-05 -4.02481e-05 -9.25014e-05 -3.37841e-05 -3.36882e-05 5.76851e-05 8.00789e-05 0.000196804 -5.06336e-05 0.000246769 -0.000111014 -9.08208e-06 0.000273777 -0.000362661 -0.000594382 -0.0032974 0.00195788 0.000226598 -2.47065e-10 0.00271952 0.0132612 -0.0011144 -0.000207458 1.72407e-08 
-0.00875973 -0.00765191 -0.00111406 -0.00164878 -0.00171488 0.000365553 0.00149528 0.0175735 -3.23641e-05 0.000797847 -0.000799466 0.00495878 0.00903293 0.00833833 0.014213 0.00951892 0.00116749 0.00248946 0.000651971 0.00143555 0.000684114 0.000220012 -0.000270158 -0.000764956 -0.0024226 -0.000670211 -0.000325763 -0.00165682 -0.00170997 -0.00135912 -0.00298003 -0.000986393 -0.000960138 -0.0018593 -0.00119962 -5.73185e-11 -0.00151231 -0.000208528 -0.00069784 -0.000606119 -0.000879229 -0.000342232 -0.000722272 -7.03613e-06 -0.000578579 -0.000707357 -0.000187411 -0.0012333 -0.000119872 -0.000361956 -0.00307546 -0.00279557 -0.00231152 0.0036733 0.00297663 0.00253759 -0.000568036 -0.00106779 -0.000122043 -0.000913765 -0.00059707 -0.0020743 -0.00100086 -5.69002e-05 -0.000117081 -0.00108021 0.000170756 -5.72679e-05 -0.000163192 -0.000597408 -0.00192938 -0.00064304 -0.0012167 -0.000290291 -0.000334296 0.000440138 0.000526517 -8.34823e-11 0.000877425 1.23862e-05 0.000512899 6.40932e-05 7.89913e-05 -0.000533337 -0.000374015 -0.000729498 -0.000137465 0.000325331 -0.000111346 0.000670783 -7.18802e-05 7.57443e-05 -0.00412217 -0.00306595 -0.00230013 -0.000229056 -0.000218425 0.00177263 0.000919232 0.00331139 -0.00298472 0.00586179 3.74671e-05 0.00112503 0.00236541 0.00312239 0.00272938 0.00332545 0.00415033 0.00355247 0.00053396 0.00146482 0.00053832 0.000760846 0.000700414 0.00139192 0.00152829 0.00166968 0.00491259 0.00155061 -5.11069e-06 -0.00527385 -0.000103399 -0.000322593 -0.0220715 -0.00704792 0.010321 -1.34252e-10 -0.065282 0.0559253 -0.00580102 0.00928109 -3.62749e-08 
