*mpd[__mpd__]
estimate_values:
catchability[CSacous].q catchability[WCacous].q catchability[CRsum].q catchability[SAsum].q catchability[SAaut].q observation[CRsumbio].process_error observation[SAsumbio].process_error parameter_transformation[log_sum_b0].log_total_parameter parameter_transformation[log_sum_b0].total_proportion_parameter process[Instant_mortality].m{west.sa} time_varying[shifted_mu].a process[recruit_E].recruitment_multipliers{1977} process[recruit_E].recruitment_multipliers{1978} process[recruit_E].recruitment_multipliers{1979} process[recruit_E].recruitment_multipliers{1980} process[recruit_E].recruitment_multipliers{1981} process[recruit_E].recruitment_multipliers{1982} process[recruit_E].recruitment_multipliers{1983} process[recruit_E].recruitment_multipliers{1984} process[recruit_E].recruitment_multipliers{1985} process[recruit_E].recruitment_multipliers{1986} process[recruit_E].recruitment_multipliers{1987} process[recruit_E].recruitment_multipliers{1988} process[recruit_E].recruitment_multipliers{1989} process[recruit_E].recruitment_multipliers{1990} process[recruit_E].recruitment_multipliers{1991} process[recruit_E].recruitment_multipliers{1992} process[recruit_E].recruitment_multipliers{1993} process[recruit_E].recruitment_multipliers{1994} process[recruit_E].recruitment_multipliers{1995} process[recruit_E].recruitment_multipliers{1996} process[recruit_E].recruitment_multipliers{1997} process[recruit_E].recruitment_multipliers{1998} process[recruit_E].recruitment_multipliers{1999} process[recruit_E].recruitment_multipliers{2000} process[recruit_E].recruitment_multipliers{2001} process[recruit_E].recruitment_multipliers{2002} process[recruit_E].recruitment_multipliers{2003} process[recruit_E].recruitment_multipliers{2004} process[recruit_E].recruitment_multipliers{2005} process[recruit_E].recruitment_multipliers{2006} process[recruit_E].recruitment_multipliers{2007} process[recruit_E].recruitment_multipliers{2008} process[recruit_E].recruitment_multipliers{2009} process[recruit_E].recruitment_multipliers{2010} process[recruit_E].recruitment_multipliers{2011} process[recruit_E].recruitment_multipliers{2012} process[recruit_E].recruitment_multipliers{2013} process[recruit_E].recruitment_multipliers{2014} process[recruit_E].recruitment_multipliers{2015} process[recruit_E].recruitment_multipliers{2016} process[recruit_E].recruitment_multipliers{2017} process[recruit_E].recruitment_multipliers{2018} process[recruit_W].recruitment_multipliers{1977} process[recruit_W].recruitment_multipliers{1978} process[recruit_W].recruitment_multipliers{1979} process[recruit_W].recruitment_multipliers{1980} process[recruit_W].recruitment_multipliers{1981} process[recruit_W].recruitment_multipliers{1982} process[recruit_W].recruitment_multipliers{1983} process[recruit_W].recruitment_multipliers{1984} process[recruit_W].recruitment_multipliers{1985} process[recruit_W].recruitment_multipliers{1986} process[recruit_W].recruitment_multipliers{1987} process[recruit_W].recruitment_multipliers{1988} process[recruit_W].recruitment_multipliers{1989} process[recruit_W].recruitment_multipliers{1990} process[recruit_W].recruitment_multipliers{1991} process[recruit_W].recruitment_multipliers{1992} process[recruit_W].recruitment_multipliers{1993} process[recruit_W].recruitment_multipliers{1994} process[recruit_W].recruitment_multipliers{1995} process[recruit_W].recruitment_multipliers{1996} process[recruit_W].recruitment_multipliers{1997} process[recruit_W].recruitment_multipliers{1998} process[recruit_W].recruitment_multipliers{1999} process[recruit_W].recruitment_multipliers{2000} process[recruit_W].recruitment_multipliers{2001} process[recruit_W].recruitment_multipliers{2002} process[recruit_W].recruitment_multipliers{2003} process[recruit_W].recruitment_multipliers{2004} process[recruit_W].recruitment_multipliers{2005} process[recruit_W].recruitment_multipliers{2006} process[recruit_W].recruitment_multipliers{2007} process[recruit_W].recruitment_multipliers{2008} process[recruit_W].recruitment_multipliers{2009} process[recruit_W].recruitment_multipliers{2010} process[recruit_W].recruitment_multipliers{2011} process[recruit_W].recruitment_multipliers{2012} process[recruit_W].recruitment_multipliers{2013} process[recruit_W].recruitment_multipliers{2014} process[recruit_W].recruitment_multipliers{2015} process[recruit_W].recruitment_multipliers{2016} process[recruit_W].recruitment_multipliers{2017} process[recruit_W].recruitment_multipliers{2018} selectivity[sel_Whome].v{1} selectivity[sel_Whome].v{2} selectivity[sel_Whome].v{3} selectivity[sel_Whome].v{4} selectivity[sel_Whome].v{5} selectivity[sel_Whome].v{6} selectivity[sel_Whome].v{7} selectivity[sel_Espmg].v{1} selectivity[sel_Espmg].v{2} selectivity[sel_Espmg].v{3} selectivity[sel_Espmg].v{4} selectivity[sel_Espmg].v{5} selectivity[sel_Espmg].v{6} selectivity[sel_Espmg].v{7} selectivity[sel_Espmg].v{8} selectivity[sel_Wspmg].v{1} selectivity[sel_Wspmg].v{2} selectivity[sel_Wspmg].v{3} selectivity[sel_Wspmg].v{4} selectivity[sel_Wspmg].v{5} selectivity[sel_Wspmg].v{6} selectivity[sel_Wspmg].v{7} selectivity[sel_Wspmg].v{8} selectivity[Enspsl].mu selectivity[Enspsl].sigma_l selectivity[Enspsl].sigma_r selectivity[Wnspsl].mu selectivity[Wnspsl].sigma_l selectivity[Wnspsl].sigma_r selectivity[Espsl].mu selectivity[Espsl].sigma_l selectivity[Espsl].sigma_r selectivity[CRsl].mu selectivity[CRsl].sigma_l selectivity[CRsl].sigma_r selectivity[SAsl].mu selectivity[SAsl].sigma_l selectivity[SAsl].sigma_r 
0.427241 0.312844 0.0683184 0.0671708 0.0757773 0.140944 0.42364 14.3047 0.336219 0.312711 -0.229213 0.445374 0.729388 0.792313 1.38644 1.00265 0.334373 0.455019 0.269745 0.441058 0.494116 0.400103 0.219776 1.04131 0.963455 0.430953 0.137966 0.373852 0.388578 0.379947 0.557943 0.261778 0.282508 0.44781 0.252644 0.06 0.460133 0.160863 0.266106 0.499586 0.520528 0.507644 0.600133 0.520874 0.371148 0.527895 0.156951 0.660474 0.155538 0.18518 0.728445 0.755867 1.18886 0.458692 0.81422 0.685147 0.669372 0.473073 0.520641 0.583439 0.474625 0.873088 0.83633 0.319422 0.164933 1.48007 0.774536 0.0814756 0.0818255 0.891972 1.26757 0.376521 0.95579 0.220265 0.196316 0.236428 0.200409 0.06 0.370891 0.09506 0.795529 0.465701 0.517612 0.513053 0.754752 0.636921 0.615644 0.573054 0.146177 0.967083 0.15909 0.244019 2.18651 2.14758 1.18909 0.321931 0.284915 0.459725 0.13549 0.437823 0.708214 0.999903 0.0056398 0.159122 0.320815 0.425467 0.379528 0.458763 0.59081 0.611004 0.10556 0.291362 0.270681 0.455272 0.484211 0.524957 0.652978 0.601533 3.57318 1.22245 50 5.3284 2.77815 49.9995 11.2567 10.8674 4.02625 1 46.5222 10.0928 14.8685 8.69468 1 
covariance_matrix:
0.00911253 0.00246378 0.000738344 0.000422914 0.000449619 -0.000259587 -6.3005e-05 -0.00869498 -0.00230319 -0.000862616 0.000496119 -0.00385348 -0.00251546 -0.00619502 -0.00905821 -0.00643804 -0.00104416 -0.00159244 -0.000776296 -0.000835832 -0.000581025 -7.3309e-05 0.000118315 0.00115935 0.00141918 0.00081991 0.000400444 0.00106389 0.00127437 0.00127767 0.00198699 0.000854946 0.000837947 0.00111509 0.000651523 1.84761e-10 0.000929545 0.0002249 0.000214299 0.000541098 0.000372968 0.000535703 0.000250384 0.000296849 0.000358676 0.000495027 0.000218127 0.000911366 0.000165956 0.000342347 0.00167969 -0.00373251 0.00105883 0.00335846 -0.00192593 -0.00280563 -0.00100517 0.000410311 -0.000543743 -2.51954e-05 -0.000479747 0.000176248 -0.000206945 -8.70801e-05 -5.2548e-05 -0.000297374 -0.000100873 1.71172e-05 2.21411e-05 -0.000311468 0.000189532 0.000116858 0.000439072 4.89452e-05 3.73252e-05 0.000217852 -1.16981e-05 -6.02242e-10 6.82095e-05 4.78752e-05 0.000154494 0.000208213 0.00047275 4.05852e-05 0.000581687 0.00047533 -3.49835e-05 0.000113995 -0.00011058 -0.000143664 7.26308e-05 7.66516e-05 0.000747877 0.00426964 0.00104453 0.000281682 0.00116512 -0.000344741 0.00145698 -0.000872741 -0.00282914 1.6484e-06 -5.38749e-05 -0.00144343 -0.002809 -0.00348662 -0.00286478 -0.00326633 -0.00409978 -0.0031656 -0.000335022 -0.000764245 -3.702e-05 -0.000537073 -0.00022669 -0.000201378 0.000206338 -0.00101317 -0.000708061 -0.00030449 1.30233e-09 -0.00226465 -0.000776356 -4.54824e-07 -0.00185997 0.033031 -0.00074049 -2.76878e-11 0.0507778 0.0103149 -0.00417264 0.00406402 9.57404e-09 
0.00246378 0.00548747 0.000589817 0.00100668 0.00105866 -0.000137899 -0.000459428 -0.00774271 0.0011047 -0.000497553 0.000561694 -0.00249462 -0.00146526 -0.00399329 -0.00502381 -0.00316245 -0.00043387 -0.000809647 -0.00032389 -0.000310886 -0.000366596 2.82136e-05 0.000112534 0.000875251 0.000778845 0.000245726 0.000245262 0.00070113 0.000813214 0.000453982 0.00142552 0.000344014 0.00038839 0.000812211 0.000607175 1.29433e-10 0.00068432 5.85197e-05 0.000396424 0.000190125 0.000388623 6.13303e-05 0.000426772 7.48564e-05 0.00027539 0.000299652 -8.50335e-05 0.000571903 -8.73379e-06 0.000143253 0.000884124 0.00757031 0.00125588 0.00178125 -0.0014968 -0.00164277 -0.00113411 -5.10399e-05 -0.000320074 -0.000314634 -0.000410579 -0.000541423 -0.00112065 -0.000209101 -0.000147312 -0.00157556 -0.000713913 -1.47898e-05 5.4231e-05 -0.000555006 0.000751132 0.000124533 0.00014605 0.000188002 8.7415e-05 -0.000408525 -0.000484242 -3.74055e-10 -0.000693489 -2.65686e-05 -0.000572768 -0.00018722 -0.000277457 0.000224824 -0.000118379 0.000156732 0.000100366 7.15659e-05 0.000139208 0.000436133 0.000150935 0.000198904 0.00349999 -0.00251405 0.00126038 0.000244995 -0.000537846 -0.000785822 -0.000381668 -0.00340961 0.000208146 5.32177e-07 1.15609e-05 0.000195122 0.000253617 0.000130976 -8.02391e-05 -0.000219278 -0.000623564 -0.000740823 -0.000116893 -0.000162803 2.29942e-05 -0.000270937 -0.00014083 -0.000678289 -0.000945408 -0.000454491 -0.00390324 -0.00105081 2.75995e-09 0.00386788 0.000689034 -9.75916e-07 0.00704274 -0.0239084 -0.00531247 -1.7049e-11 0.014912 -0.0591464 0.00441588 -0.00773989 5.40856e-09 
0.000738344 0.000589817 0.000192165 0.000138574 0.000149179 -4.49306e-05 -2.77279e-05 -0.00113033 3.34798e-06 -0.000229314 0.000136615 -0.000736576 -0.000153352 -0.0016872 -0.00146913 -0.0010948 -0.000186588 -0.000311043 -0.000107726 -0.000154619 -0.000110866 -4.49633e-05 1.63909e-05 0.000315818 0.000240058 0.000106735 8.02601e-05 0.000209324 0.000289576 0.000186278 0.0004244 0.000131415 0.000142269 0.000220929 0.000141178 7.07497e-11 0.000170078 2.16596e-05 8.09499e-05 5.22649e-05 4.54154e-05 4.68137e-05 5.02064e-05 -2.85742e-06 9.87596e-05 4.6208e-05 2.00931e-05 0.000106261 1.5154e-05 5.18457e-05 0.00020567 -7.69503e-05 3.11198e-05 0.000946141 -0.00042516 -0.000756996 -0.000425825 2.58367e-05 -0.000208498 -8.65559e-05 -7.74786e-05 -9.01896e-05 -0.000164417 -4.11512e-05 -3.60856e-05 -0.000324613 -0.000153726 -1.08307e-05 -2.97506e-06 -0.0001916 -7.71749e-05 -1.95565e-05 -2.63529e-05 1.80061e-05 -1.40799e-05 -6.1274e-05 -8.34611e-05 -2.23962e-10 -0.000114133 -5.8654e-06 -9.48384e-05 -2.89338e-05 -2.37411e-06 -6.07872e-06 5.96605e-05 0.000127456 -1.74542e-05 5.4599e-05 -1.56055e-05 0.000145181 4.13258e-05 4.63883e-05 0.000665181 0.000569212 2.96744e-05 0.000173103 0.000325126 0.000163246 0.000118509 0.00017875 0.000409209 5.65087e-07 7.34183e-06 0.000150721 0.000220768 0.000201747 0.000125684 6.63859e-05 8.00342e-06 -3.20847e-05 9.4882e-05 0.000120756 9.40321e-05 3.31178e-05 2.58492e-05 -3.80592e-05 7.36714e-06 -3.15784e-05 -0.000692284 -0.000260483 1.02171e-09 -9.54652e-05 8.97105e-05 -6.00437e-07 -0.00137308 -0.0112797 -0.000360121 -1.05935e-11 0.00170893 -0.012106 -0.000855339 -0.000184868 3.45245e-09 
0.000422914 0.00100668 0.000138574 0.000337676 0.000317974 -4.4658e-05 7.15106e-06 -0.00167482 0.000310878 -6.98822e-05 6.08353e-05 -0.000628377 0.000259622 -0.00143495 -0.000910365 -0.000674438 -5.81291e-05 -0.00012768 -1.93486e-05 4.95231e-06 1.93164e-05 -4.40942e-06 4.16425e-05 0.000425524 0.000236973 9.07552e-05 7.96052e-05 0.000187307 0.000247674 0.000110087 0.000395945 7.93031e-05 0.000103182 0.000207627 0.000172571 9.473e-11 0.000183074 9.56054e-06 0.00012643 5.44281e-05 8.52006e-05 2.94974e-05 8.0826e-05 -4.48949e-05 9.51997e-05 8.29603e-05 -2.60096e-05 0.000130709 2.11469e-07 6.34037e-05 0.000184689 0.00141929 0.000164435 0.00123228 -0.000266168 -0.000476901 -0.000168819 1.58006e-05 -9.57438e-05 -4.00201e-05 -9.74898e-05 -0.000125322 -0.00028785 -6.78108e-05 -4.18378e-05 -0.000387525 -0.000172995 -5.11733e-06 6.00749e-06 -0.000172686 7.18838e-05 -3.05554e-05 -9.14521e-05 3.76177e-05 -2.58003e-05 -0.000144849 -0.000184543 -2.72268e-10 -0.000261565 -2.18047e-05 -0.000258396 -0.000125434 -9.97021e-05 -3.72917e-05 -3.14644e-05 0.00012927 -2.67484e-05 -3.15165e-05 1.30019e-05 0.000100705 4.75901e-05 8.61838e-05 0.00103853 -0.000143431 0.000160944 0.000138341 -3.42448e-05 -1.21938e-05 -0.000420702 -0.00047956 0.00021507 3.82975e-07 8.45978e-06 0.000177626 0.000258796 0.000221427 9.82158e-05 1.25158e-05 -9.98825e-05 -0.00013557 6.117e-05 0.000136207 9.03909e-05 7.48358e-05 6.7907e-05 -0.000110065 -7.43187e-05 -2.23973e-05 -0.000860742 -0.000258333 2.23652e-09 0.00225987 0.000590387 -4.41002e-07 0.00207526 -0.0209394 -0.000843791 -1.36543e-11 0.00222441 -0.0123493 0.00201269 -0.0053476 3.90219e-09 
0.000449619 0.00105866 0.000149179 0.000317974 0.000423382 -4.57457e-05 -2.51614e-05 -0.00174373 0.000318015 -8.88104e-05 0.000161828 -0.000660808 0.000164616 -0.00137771 -0.00100864 -0.000779881 -7.36125e-05 -0.000124845 -2.19715e-05 -1.21745e-05 3.07619e-05 1.23002e-05 4.6123e-05 0.000475103 0.000285563 0.000107248 8.05918e-05 0.000212503 0.000276849 0.00012341 0.000428971 8.8003e-05 0.000108509 0.000225843 0.000169405 8.49445e-11 0.000185158 7.65278e-06 0.000119281 5.17151e-05 8.81901e-05 2.97979e-05 7.59995e-05 -1.80886e-05 8.16698e-05 6.82172e-05 -1.24384e-05 9.28014e-05 -7.31698e-06 6.1426e-05 0.000152772 0.00120302 0.00018047 0.00102935 -0.000458111 -0.000665887 -0.000403495 -0.000117398 -0.000195023 -0.000206608 -0.000200068 -0.000323443 -0.000534881 -0.000140159 -8.20109e-05 -0.000728716 -0.00037015 -1.9171e-05 -1.19623e-05 -0.000274778 -2.39055e-05 -3.91748e-05 -7.45747e-05 4.12114e-05 -8.88615e-06 -0.00013078 -0.000153011 -2.50553e-10 -0.000210925 -1.12498e-05 -0.000146114 -5.57017e-05 -3.99281e-05 2.40995e-05 7.9493e-05 0.000186697 7.52237e-05 6.31541e-05 1.77364e-05 0.000245461 5.88735e-05 0.00010999 0.0013528 0.000220544 0.000178455 0.000183619 9.60738e-05 -0.000108913 -0.000381264 -0.000641335 0.000274208 3.16503e-07 8.91891e-06 0.000187027 0.000277724 0.000252172 0.000123215 4.35102e-05 -7.47535e-05 -0.000121548 4.51471e-05 4.57908e-05 7.64758e-05 4.8732e-05 6.68967e-05 -0.000100065 -9.2325e-05 3.44393e-06 -0.000959054 -0.00032916 1.57072e-09 0.00280367 0.000710029 -7.94077e-07 0.00252431 -0.0197184 -0.00127844 -1.23311e-11 0.00274901 -0.0124056 0.00239795 -0.0065319 3.66907e-09 
-0.000259587 -0.000137899 -4.49306e-05 -4.4658e-05 -4.57457e-05 0.000874269 -1.14338e-05 0.000350266 1.67686e-05 4.46013e-05 0.000154426 0.000343743 -0.000300865 0.000819933 0.000316418 0.000403381 3.84713e-05 1.85241e-05 3.37028e-05 -1.87344e-05 7.64266e-05 -2.26192e-06 -2.35801e-05 -0.000194511 -6.46905e-05 -7.33873e-05 -3.05378e-05 -8.35728e-05 -6.56383e-05 -4.17452e-05 -0.000120838 -2.86808e-05 -3.11467e-05 -2.19887e-05 -7.97794e-06 -6.90458e-11 3.45981e-05 2.50945e-05 5.80197e-05 0.000122154 0.000163576 0.000189339 0.000126501 0.000172496 2.3424e-05 6.92843e-05 3.55078e-05 9.96692e-05 1.59482e-05 -2.68436e-05 0.000144702 0.000925768 5.37016e-05 -0.000837999 0.000198423 0.000378819 0.000203556 2.21964e-05 0.000208223 0.00012132 7.32107e-05 0.000174064 -1.85728e-05 5.63858e-05 3.49863e-05 0.000111784 9.52501e-05 9.83332e-07 -6.82283e-06 3.81324e-05 0.000175176 9.78001e-05 6.49981e-05 -2.34717e-06 5.43509e-05 -5.84035e-06 3.93072e-05 2.06097e-10 7.56503e-05 2.01743e-05 0.0002021 9.5438e-05 0.000178187 0.000237873 0.000291904 4.69745e-05 0.000313535 0.000212311 6.19288e-05 0.000126682 -1.41378e-05 -9.39177e-05 -0.000584182 -0.00113011 5.43572e-05 -5.51057e-05 -0.000328573 0.000161718 5.96803e-05 -0.000426834 8.59189e-05 -4.43083e-07 -3.92133e-06 -9.31581e-05 -0.000127945 -0.0001103 -4.62861e-05 1.64088e-05 6.2302e-05 1.01785e-05 -6.83969e-05 -4.60453e-05 -4.25248e-05 -5.65042e-05 5.20852e-06 5.40992e-05 2.24323e-06 4.47122e-05 0.000142485 9.16077e-05 -1.5794e-09 0.000537743 0.000865154 8.12368e-07 0.000874645 0.0113053 -0.00052091 1.06348e-11 -0.00364642 -0.00146059 0.000222399 0.000577171 -3.0333e-09 
-6.3005e-05 -0.000459428 -2.77279e-05 7.15106e-06 -2.51614e-05 -1.14338e-05 0.00691845 0.00115329 -0.000266029 -9.92491e-05 0.000290776 -0.00124654 0.00216921 0.00025073 -0.000323508 0.000142774 -3.56616e-05 3.34644e-05 -1.62324e-05 8.07428e-05 0.000337112 -9.3348e-05 3.42651e-05 0.000480666 0.000147031 0.000101801 0.000136247 -6.98131e-05 1.19235e-05 0.000110015 -4.68672e-05 3.06119e-05 5.63767e-05 -8.56831e-05 -3.14624e-05 1.52959e-10 -4.8894e-05 8.74554e-06 -0.000108617 3.85017e-05 -0.000135647 1.64646e-05 -0.000215303 -4.86505e-05 -5.49621e-05 -1.01466e-05 4.94052e-05 -0.000233779 4.0732e-05 4.83801e-05 -0.00040476 -0.000414281 0.00082398 0.000924969 -0.00124497 -0.00162237 -0.00133879 -0.000426866 -0.000984039 -0.00150349 -0.00100436 -0.00141648 -0.00112742 -0.000565109 -0.00020227 -0.00133868 -0.000522221 -7.74259e-05 -3.27102e-05 0.000535881 0.001166 0.000231707 0.00110516 0.000277783 0.000167402 0.000582943 0.000335407 -4.09983e-10 0.00064722 0.000109524 0.000841053 0.000360791 0.000535551 0.000335296 0.000951706 0.000777388 0.000801331 0.000860625 8.55954e-05 0.00185012 0.000203377 0.000487368 0.00307837 0.00205451 0.000809536 0.000191875 0.000763279 0.000339602 -0.000981664 0.00147416 -0.000787627 1.42611e-06 9.24786e-06 0.0002679 0.000393024 0.000310666 0.000241531 5.64874e-05 0.000271456 -2.56956e-05 0.000128001 5.35168e-05 8.68725e-07 1.14139e-05 -0.000117887 0.000146355 0.000221363 -5.54403e-05 0.000317377 -0.000152789 4.52694e-09 0.000856408 5.65767e-05 -8.64993e-06 -0.00642777 -0.0229668 0.00300113 -2.09842e-11 0.00391429 0.0121944 0.00055885 -0.000985227 5.42315e-09 
-0.00869498 -0.00774271 -0.00113033 -0.00167482 -0.00174373 0.000350266 0.00115329 0.0175484 2.77793e-05 0.000905839 -0.000726565 0.00628739 0.00557969 0.0097206 0.0129112 0.00864145 0.00131796 0.00219987 0.000688264 0.00100251 0.000549673 3.67741e-05 -0.0003083 -0.00183895 -0.00219426 -0.000907259 -0.000464531 -0.00166068 -0.00186051 -0.00142129 -0.00318483 -0.00102822 -0.00106564 -0.00193977 -0.0012581 -1.93669e-10 -0.00163389 -0.000227066 -0.000793394 -0.000744425 -0.000961608 -0.000600213 -0.000756707 -0.000470597 -0.000673913 -0.000976667 -0.000123315 -0.00155862 -0.000272182 -0.000477021 -0.00303403 -0.00811004 -0.00217324 -0.00250804 0.00483437 0.00403657 0.00115829 -0.000717674 0.000110773 -0.000747734 0.000110553 -0.000972979 0.000301824 2.98896e-05 0.00016019 0.000632545 0.000449732 -3.20531e-05 -8.63018e-05 0.000441836 -0.00135887 -0.000444424 -0.000755115 -0.000243406 -0.00017603 0.000526784 0.000649567 6.12341e-10 0.00106351 3.72087e-05 0.000930146 0.000335509 0.000325723 5.0381e-06 1.25752e-05 -0.000234662 0.000217494 0.00039384 -0.000117234 0.000775068 -0.000108108 4.50392e-06 -0.00425336 0.000664509 -0.0021603 -0.000354342 0.000236588 0.001736 -0.000349089 0.00609907 0.0019459 -1.01113e-06 3.32549e-05 0.00104938 0.00218011 0.00297245 0.00281629 0.00346807 0.00466135 0.00406543 0.000489976 0.000939778 0.000187807 0.000828301 0.00045999 0.00143895 0.00139372 0.00190223 0.00552359 0.00153213 -2.10323e-09 -0.00675773 -0.00179085 -2.48968e-06 -0.0143035 0.0169928 0.0073799 2.67034e-11 -0.0647086 0.0622413 -0.00606363 0.010521 -9.50389e-09 
