*mpd[__mpd__]
estimate_values:
catchability[CSacous].q catchability[WCacous].q catchability[CRsum].q catchability[SAsum].q catchability[SAaut].q observation[CRsumbio].process_error observation[SAsumbio].process_error parameter_transformation[log_sum_b0].log_total_parameter parameter_transformation[log_sum_b0].total_proportion_parameter process[Instant_mortality].m{west.sa} time_varying[shifted_mu].a process[recruit_E].recruitment_multipliers{1977} process[recruit_E].recruitment_multipliers{1978} process[recruit_E].recruitment_multipliers{1979} process[recruit_E].recruitment_multipliers{1980} process[recruit_E].recruitment_multipliers{1981} process[recruit_E].recruitment_multipliers{1982} process[recruit_E].recruitment_multipliers{1983} process[recruit_E].recruitment_multipliers{1984} process[recruit_E].recruitment_multipliers{1985} process[recruit_E].recruitment_multipliers{1986} process[recruit_E].recruitment_multipliers{1987} process[recruit_E].recruitment_multipliers{1988} process[recruit_E].recruitment_multipliers{1989} process[recruit_E].recruitment_multipliers{1990} process[recruit_E].recruitment_multipliers{1991} process[recruit_E].recruitment_multipliers{1992} process[recruit_E].recruitment_multipliers{1993} process[recruit_E].recruitment_multipliers{1994} process[recruit_E].recruitment_multipliers{1995} process[recruit_E].recruitment_multipliers{1996} process[recruit_E].recruitment_multipliers{1997} process[recruit_E].recruitment_multipliers{1998} process[recruit_E].recruitment_multipliers{1999} process[recruit_E].recruitment_multipliers{2000} process[recruit_E].recruitment_multipliers{2001} process[recruit_E].recruitment_multipliers{2002} process[recruit_E].recruitment_multipliers{2003} process[recruit_E].recruitment_multipliers{2004} process[recruit_E].recruitment_multipliers{2005} process[recruit_E].recruitment_multipliers{2006} process[recruit_E].recruitment_multipliers{2007} process[recruit_E].recruitment_multipliers{2008} process[recruit_E].recruitment_multipliers{2009} process[recruit_E].recruitment_multipliers{2010} process[recruit_E].recruitment_multipliers{2011} process[recruit_E].recruitment_multipliers{2012} process[recruit_E].recruitment_multipliers{2013} process[recruit_E].recruitment_multipliers{2014} process[recruit_E].recruitment_multipliers{2015} process[recruit_E].recruitment_multipliers{2016} process[recruit_E].recruitment_multipliers{2017} process[recruit_E].recruitment_multipliers{2018} process[recruit_W].recruitment_multipliers{1977} process[recruit_W].recruitment_multipliers{1978} process[recruit_W].recruitment_multipliers{1979} process[recruit_W].recruitment_multipliers{1980} process[recruit_W].recruitment_multipliers{1981} process[recruit_W].recruitment_multipliers{1982} process[recruit_W].recruitment_multipliers{1983} process[recruit_W].recruitment_multipliers{1984} process[recruit_W].recruitment_multipliers{1985} process[recruit_W].recruitment_multipliers{1986} process[recruit_W].recruitment_multipliers{1987} process[recruit_W].recruitment_multipliers{1988} process[recruit_W].recruitment_multipliers{1989} process[recruit_W].recruitment_multipliers{1990} process[recruit_W].recruitment_multipliers{1991} process[recruit_W].recruitment_multipliers{1992} process[recruit_W].recruitment_multipliers{1993} process[recruit_W].recruitment_multipliers{1994} process[recruit_W].recruitment_multipliers{1995} process[recruit_W].recruitment_multipliers{1996} process[recruit_W].recruitment_multipliers{1997} process[recruit_W].recruitment_multipliers{1998} process[recruit_W].recruitment_multipliers{1999} process[recruit_W].recruitment_multipliers{2000} process[recruit_W].recruitment_multipliers{2001} process[recruit_W].recruitment_multipliers{2002} process[recruit_W].recruitment_multipliers{2003} process[recruit_W].recruitment_multipliers{2004} process[recruit_W].recruitment_multipliers{2005} process[recruit_W].recruitment_multipliers{2006} process[recruit_W].recruitment_multipliers{2007} process[recruit_W].recruitment_multipliers{2008} process[recruit_W].recruitment_multipliers{2009} process[recruit_W].recruitment_multipliers{2010} process[recruit_W].recruitment_multipliers{2011} process[recruit_W].recruitment_multipliers{2012} process[recruit_W].recruitment_multipliers{2013} process[recruit_W].recruitment_multipliers{2014} process[recruit_W].recruitment_multipliers{2015} process[recruit_W].recruitment_multipliers{2016} process[recruit_W].recruitment_multipliers{2017} process[recruit_W].recruitment_multipliers{2018} selectivity[sel_Whome].v{1} selectivity[sel_Whome].v{2} selectivity[sel_Whome].v{3} selectivity[sel_Whome].v{4} selectivity[sel_Whome].v{5} selectivity[sel_Whome].v{6} selectivity[sel_Whome].v{7} selectivity[sel_Espmg].v{1} selectivity[sel_Espmg].v{2} selectivity[sel_Espmg].v{3} selectivity[sel_Espmg].v{4} selectivity[sel_Espmg].v{5} selectivity[sel_Espmg].v{6} selectivity[sel_Espmg].v{7} selectivity[sel_Espmg].v{8} selectivity[sel_Wspmg].v{1} selectivity[sel_Wspmg].v{2} selectivity[sel_Wspmg].v{3} selectivity[sel_Wspmg].v{4} selectivity[sel_Wspmg].v{5} selectivity[sel_Wspmg].v{6} selectivity[sel_Wspmg].v{7} selectivity[sel_Wspmg].v{8} selectivity[Enspsl].mu selectivity[Enspsl].sigma_l selectivity[Enspsl].sigma_r selectivity[Wnspsl].mu selectivity[Wnspsl].sigma_l selectivity[Wnspsl].sigma_r selectivity[Espsl].mu selectivity[Espsl].sigma_l selectivity[Espsl].sigma_r selectivity[CRsl].mu selectivity[CRsl].sigma_l selectivity[CRsl].sigma_r selectivity[SAsl].mu selectivity[SAsl].sigma_l selectivity[SAsl].sigma_r 
0.427862 0.312443 0.0681148 0.0670557 0.0756347 0.140894 0.423811 14.3046 0.335711 0.312932 -0.229594 0.445893 0.73053 0.793323 1.38828 1.00372 0.334618 0.455348 0.269893 0.441002 0.494225 0.400139 0.219825 1.04095 0.963148 0.431125 0.137978 0.373346 0.387569 0.379884 0.557259 0.261781 0.282484 0.44759 0.252489 0.06 0.459871 0.160874 0.265598 0.49943 0.520306 0.507535 0.599856 0.5208 0.370466 0.527856 0.1569 0.660291 0.155584 0.185177 0.728084 0.752309 1.18939 0.458716 0.814332 0.684937 0.669055 0.472753 0.520521 0.583283 0.4744 0.873752 0.837378 0.319753 0.164843 1.48066 0.775302 0.0814735 0.081795 0.89189 1.26783 0.376479 0.955567 0.220148 0.196261 0.236777 0.200608 0.06 0.371327 0.0950953 0.79576 0.465884 0.517841 0.513141 0.754868 0.636757 0.616139 0.572919 0.146259 0.966688 0.15897 0.243892 2.18474 2.14969 1.18962 0.321362 0.283861 0.45775 0.135021 0.431687 0.71891 0.759583 0.00563527 0.159006 0.320564 0.425133 0.379266 0.458474 0.590445 0.610636 0.105526 0.291391 0.270658 0.455197 0.484337 0.523977 0.65591 0.601007 3.57227 1.22206 50 5.32952 2.77846 49.9998 11.2547 10.8594 4.02912 1 46.5221 10.0878 14.8648 8.69281 1 
covariance_matrix:
0.00936546 0.00217635 0.000645999 0.00030882 0.000351953 -0.000219344 -0.000151096 -0.00838701 -0.00253149 -0.000767249 0.000747228 -0.00221596 -0.00416582 -0.00546935 -0.00971849 -0.00602437 -0.00113558 -0.00153878 -0.000852831 -0.000899251 -0.000801185 -0.000205483 6.48494e-05 0.000556858 0.00118052 0.000603467 0.000279339 0.000893505 0.00106832 0.00112364 0.00158806 0.000772828 0.000700637 0.000934976 0.000449146 1.53383e-10 0.000740342 0.000182301 8.67756e-05 0.000374197 0.000293322 0.000362778 0.000156038 0.000365424 0.000114816 0.000336318 0.000237661 0.000560087 0.000170673 0.000168876 0.00164506 -0.00436024 0.000912057 0.000188887 -0.00117752 -0.00147796 -0.000792877 0.000580459 -0.000281385 0.000155765 -0.000335625 0.00030212 5.0028e-05 3.72724e-05 -1.76214e-05 0.000177833 -0.000162541 7.38203e-06 -3.37305e-05 -0.000261617 -1.32571e-05 0.00010026 0.000665572 -5.64922e-05 8.14544e-05 0.000269177 0.000177724 7.72331e-11 0.000238315 7.43024e-05 0.000348379 0.000396358 0.000411949 0.00015751 0.000454676 0.000225002 0.000171096 0.000247133 -3.15328e-05 -4.38654e-05 8.80289e-06 7.54524e-06 0.000127974 0.00562712 0.000897149 0.000104088 0.0012679 0.000116843 -0.00111039 0.00160471 -0.00116227 -0.02068 -6.76134e-05 -0.00181552 -0.00334524 -0.00407425 -0.00329037 -0.0036238 -0.00444778 -0.0033088 -0.000529073 -0.00124538 -0.000287519 -0.000585182 -0.000407648 -0.000147074 8.57996e-05 -0.00101148 0.000292508 1.57468e-05 -7.21855e-07 -0.00206256 -0.000601668 -7.28693e-06 0.00496952 0.0692884 -0.00490702 1.00654e-08 0.0534106 0.0169414 -0.00494588 0.00389614 4.90972e-11 
0.00217635 0.00543819 0.0005426 0.000980705 0.00105815 -8.81653e-05 -0.000700459 -0.00752115 0.00121197 -0.00040613 0.000516481 -0.00126729 -0.00264287 -0.00303095 -0.00402208 -0.00304075 -0.000309742 -0.000764607 -0.000256984 -0.000284068 -0.000387718 1.39366e-05 0.000114911 0.000553541 0.000611963 0.000169292 0.000131453 0.000687282 0.000669691 0.000378116 0.0013131 0.000280164 0.000306982 0.000744875 0.00050416 1.31868e-10 0.000568285 3.84432e-05 0.000369805 0.000173502 0.000337607 8.9813e-05 0.000330581 1.3157e-06 0.000214133 0.000184597 -0.000102748 0.000394603 -1.88179e-05 -1.75915e-05 0.000441702 0.00403819 0.00134924 -0.000704162 -0.00196264 0.000151868 -0.000283354 1.59784e-05 -0.000284112 0.000169723 -0.000288508 -0.000368486 -0.000294719 -6.31263e-05 -0.000106193 -0.000748111 -0.000579952 7.06936e-05 7.79185e-05 -6.36883e-05 0.00118032 0.000348349 0.000342831 0.000221459 0.00018554 -0.000371814 -0.000307125 8.20162e-11 -0.000559729 -7.74761e-06 -0.000276186 -7.57108e-05 -8.00794e-05 0.00024994 0.000226221 0.000381305 0.000304832 0.000258375 0.000262398 0.000732879 0.00026949 0.000233361 0.00381593 0.000800852 0.00135186 0.000193582 -0.000593035 -0.00064821 -0.00135142 -0.0029031 0.00235004 0.00163884 4.62177e-06 5.69965e-05 4.64129e-05 -9.89339e-07 -7.98619e-05 -0.000104068 -0.000238151 -0.000398649 -0.000315417 -0.000460236 -0.000157461 -0.000304689 -0.000207079 -0.00055342 -0.00111594 -0.000167363 -0.0036632 -0.00105369 -1.03982e-07 0.00340677 -0.000277455 1.55469e-06 0.0110948 0.00131878 -0.00746553 1.23132e-08 0.0141948 -0.0527632 0.00447824 -0.00731806 4.58613e-11 
0.000645999 0.0005426 0.000171442 0.000112788 0.000127843 -3.0506e-05 -9.46837e-05 -0.00101104 1.42082e-05 -0.000205054 0.000144529 -0.000473821 -0.000774018 -0.00100305 -0.00153779 -0.00100671 -0.000184932 -0.000286716 -0.000124895 -0.00017761 -0.000140324 -4.8459e-05 2.58987e-06 0.000111893 0.000195998 4.64385e-05 3.87109e-05 0.000186264 0.000238057 0.000144097 0.000349978 0.00010496 0.000101417 0.000185711 9.9059e-05 4.80322e-11 0.000132216 1.24997e-05 6.86248e-05 2.43586e-05 2.99266e-05 2.44661e-05 3.07327e-05 -8.23961e-06 6.91916e-05 -5.22763e-06 2.71913e-05 3.61175e-05 4.36272e-06 2.74574e-06 0.000169285 0.000190353 0.000117449 -0.000130081 -0.000398662 -0.000278374 -4.59761e-05 4.8584e-06 -3.99432e-05 4.12567e-05 9.8938e-06 8.30112e-05 1.03942e-05 -1.67734e-05 -5.13325e-06 -4.2579e-05 -8.90733e-05 5.28356e-06 4.98601e-06 -2.17603e-05 6.5914e-05 6.26789e-05 0.000101373 2.66451e-05 3.00333e-05 -5.31114e-05 -2.04277e-05 2.25742e-11 -5.5441e-05 4.64155e-06 1.40384e-05 2.86872e-05 3.68856e-05 4.82387e-05 0.000124144 0.000150083 6.28609e-05 0.000114123 8.92247e-06 0.000235516 5.19546e-05 4.77678e-05 0.000581655 0.000292715 0.000116042 0.0001568 0.000359213 0.00020384 -0.000155423 0.000388536 0.000803629 0.00067406 3.16398e-06 6.529e-05 0.000104975 0.000113264 8.72933e-05 8.01673e-05 8.42359e-05 4.50586e-05 1.3112e-05 -4.10741e-05 2.21779e-05 1.77638e-06 9.8984e-06 -7.78553e-06 -4.09104e-05 4.07382e-05 -0.000636622 -0.000251322 -2.12548e-08 -0.000116585 -3.666e-05 4.26331e-07 0.000249383 0.00115968 -0.00148088 3.62532e-09 0.0015893 -0.0106202 -0.000942237 -0.000289591 1.19665e-11 
0.00030882 0.000980705 0.000112788 0.000311142 0.000297876 -2.27842e-05 -6.37671e-05 -0.00157188 0.000333662 -3.86163e-05 6.47943e-05 -0.000266076 -0.000526043 -0.000621226 -0.000887764 -0.000566919 -4.65695e-05 -0.000121599 -3.41167e-05 -4.54185e-05 -4.56693e-05 2.1246e-05 2.65951e-05 0.000147216 0.000224348 2.52131e-05 1.84966e-05 0.000178528 0.000162638 7.40813e-05 0.000299285 5.27308e-05 5.66908e-05 0.00016633 0.000122023 6.8906e-11 0.000129688 2.81442e-07 0.000106302 2.46233e-05 7.7752e-05 3.67809e-07 5.63689e-05 -3.46707e-05 5.51113e-05 1.48431e-05 -2.09103e-05 4.83207e-05 -8.62523e-06 -2.66498e-05 7.44774e-05 0.00143215 0.000168946 -3.88775e-05 -0.000206998 0.000281755 6.63181e-05 3.50578e-05 -1.10047e-05 8.52618e-05 -2.32871e-05 -1.89007e-05 -3.96724e-05 -3.82809e-05 -1.83782e-05 -0.000202877 -0.000142166 9.85707e-06 1.44394e-05 -4.07076e-05 0.000219453 3.89289e-05 2.70198e-05 3.09666e-05 2.20663e-05 -0.000137343 -0.000114716 6.42708e-12 -0.000203199 -1.45366e-05 -0.000147231 -6.42626e-05 -8.35105e-05 2.75161e-05 2.57984e-05 9.63993e-05 4.30678e-05 2.72143e-05 4.65209e-05 0.000123957 6.05777e-05 6.71123e-05 0.000945844 -0.000385566 0.000165822 0.000119431 -6.23369e-05 -0.000125039 -0.00024598 -0.000865372 0.000649063 0.00105486 3.37796e-06 7.25979e-05 0.000117271 0.000120269 7.008e-05 5.2967e-05 4.68096e-05 2.98228e-06 -5.04345e-05 -7.47052e-05 4.82198e-06 -4.03604e-07 5.74854e-05 -6.90906e-05 -0.00010647 8.24685e-05 -0.000819967 -0.00024982 2.14975e-08 0.00207042 0.000246202 5.34235e-07 0.00385848 -0.00535823 -0.00199371 2.47252e-09 0.00227452 -0.0103582 0.00226163 -0.00503052 -1.85757e-12 
0.000351953 0.00105815 0.000127843 0.000297876 0.000409201 -2.82268e-05 -0.000139112 -0.00167166 0.000344591 -6.16406e-05 0.000162954 -0.000352369 -0.000596082 -0.000793852 -0.00109912 -0.00079386 -9.75254e-05 -0.000166409 -5.1816e-05 -8.25128e-05 -5.87816e-05 1.07692e-05 3.25059e-05 0.000191554 0.000216786 3.16639e-05 2.01684e-05 0.000187666 0.000183035 7.14652e-05 0.000316798 4.97901e-05 5.30264e-05 0.000168858 0.000112727 7.17896e-11 0.000113417 -1.04069e-05 8.79316e-05 -5.62186e-07 4.66466e-05 -2.32758e-05 2.45747e-05 -4.67637e-05 4.09087e-05 -9.52844e-06 -2.16007e-05 -7.74028e-06 -2.06578e-05 -3.22669e-05 1.28088e-05 0.00112867 0.000183386 -0.000138133 -0.000305385 5.96887e-05 -3.93271e-05 -9.07742e-05 -0.000144505 -5.4205e-05 -9.87793e-05 -0.00020422 -0.000229383 -9.26558e-05 -5.1982e-05 -0.000515674 -0.000309682 -2.92858e-06 -1.39755e-06 -0.000117047 0.00017422 4.31212e-05 7.58654e-05 4.68776e-05 4.01495e-05 -0.000121657 -8.87333e-05 1.18577e-11 -0.000152655 -5.95124e-07 -1.43691e-05 1.07538e-05 1.00247e-05 9.90178e-05 0.000165228 0.00019892 0.000154956 0.000130609 5.97395e-05 0.000343255 7.25602e-05 0.000112759 0.00142794 0.000101565 0.000181601 0.000174866 3.87478e-05 -0.00014555 -0.00027145 -0.000829692 0.000548828 0.00160154 4.33106e-06 9.46051e-05 0.00015256 0.000162641 9.92643e-05 8.03361e-05 6.49858e-05 9.97113e-06 -5.40033e-05 -0.000142713 -5.40185e-06 -1.36131e-05 4.78976e-05 -5.89427e-05 -0.000117117 0.000100384 -0.000952366 -0.000327959 2.02635e-08 0.00247836 0.000306142 7.61911e-07 0.00429211 -0.00546516 -0.00240397 3.35769e-09 0.00297252 -0.0107822 0.00249808 -0.00640218 1.73671e-12 
-0.000219344 -8.81653e-05 -3.0506e-05 -2.27842e-05 -2.82268e-05 0.000855802 4.35086e-05 0.000283013 2.89197e-05 2.90525e-05 0.000164467 8.01233e-05 0.000156998 0.000402205 0.000563373 0.000333296 3.51296e-05 1.8332e-05 5.66868e-05 2.98841e-06 7.57014e-05 -2.33912e-07 -1.06586e-05 -5.04944e-05 -7.96793e-05 -4.01744e-05 -3.71417e-06 -7.62731e-05 -3.2716e-05 -3.14017e-05 -7.31096e-05 -2.57719e-05 -9.32244e-06 -1.86938e-05 9.65706e-06 -1.07693e-13 4.81982e-05 2.48574e-05 5.97888e-05 0.000124357 0.00015733 0.000194966 0.000137304 0.00014865 2.33133e-05 8.55624e-05 1.97162e-05 0.000138691 9.14218e-06 3.43729e-05 5.37359e-05 -9.23292e-05 4.2276e-06 -4.65464e-05 -0.000208316 6.99028e-05 4.70356e-06 0.000121458 0.000110108 1.16233e-05 1.19024e-05 7.08344e-05 -0.000121039 1.83534e-05 2.52288e-05 -4.76674e-05 6.53366e-05 -1.53239e-06 -6.56388e-06 -5.95862e-05 8.38725e-05 5.09637e-05 -2.87551e-05 2.85321e-06 1.81077e-05 -1.44805e-06 2.53289e-06 -4.66184e-12 3.49889e-05 1.74111e-05 0.000123049 5.3588e-05 0.000150689 0.000187073 0.000223948 6.35864e-05 0.000238442 0.00018102 2.59799e-05 4.46969e-05 -1.74472e-05 -9.31757e-05 -0.000683283 -0.000282146 3.80422e-06 -5.77821e-05 -0.000358994 0.00023177 7.90232e-05 -0.000369487 -0.000304261 0.001846 -4.15841e-07 -2.22111e-05 -3.42484e-05 -3.26387e-05 -9.92249e-06 3.44515e-05 4.16979e-06 -3.99007e-05 3.55048e-06 0.000106205 6.3453e-06 -4.53551e-06 2.54277e-05 4.13402e-05 -4.00618e-05 -6.51086e-06 0.000140068 9.03986e-05 7.64016e-08 0.000839118 0.00121897 7.61471e-07 -0.000480868 0.00120543 0.000343019 -6.41387e-10 -0.00367243 -0.00208666 0.000289307 0.000706195 -4.05428e-12 
-0.000151096 -0.000700459 -9.46837e-05 -6.37671e-05 -0.000139112 4.35086e-05 0.00727631 0.00142508 -0.000273636 -5.48387e-05 0.000368818 6.2347e-05 0.000207703 0.000799462 0.00107073 0.000790543 -0.000119577 0.000133772 5.73278e-05 8.02097e-05 0.00016406 1.47406e-05 -1.17613e-06 4.3522e-05 0.000214789 -9.88853e-06 -1.07455e-05 -0.000105599 -9.41948e-05 -1.46118e-05 -0.000285134 -1.64748e-05 -2.22386e-05 -0.000179309 -0.000162456 -4.90206e-11 -0.000101873 -2.79149e-06 -0.000140003 -1.15586e-05 -7.67208e-05 6.3637e-05 -0.000207118 8.18958e-05 -0.000224894 -0.000104738 6.28458e-05 -0.000324421 2.4065e-05 -2.69427e-05 -0.00020452 -0.00192601 -8.17841e-05 -0.00119684 -0.00103953 -0.000942386 -0.00163951 -0.000756241 -0.000857317 -0.00112049 -0.00100424 -0.00150818 -0.00133292 -0.000500851 -0.00019659 -0.0014998 -0.000729949 -0.000119139 -3.12447e-05 0.000298661 0.000569328 0.000219044 0.000989951 0.000170568 0.000166254 0.000549587 0.000425998 -2.30794e-11 0.000650132 0.000100284 0.000661014 0.000310304 0.000296891 0.000169161 0.000721268 0.000584941 0.00080698 0.000839301 0.000125997 0.00149317 0.000152852 0.000241169 0.000885472 0.00200847 -8.8369e-05 7.96464e-05 0.000655559 -0.000221336 -6.65344e-05 8.50168e-05 -0.00104804 -0.000548006 -1.63189e-06 -1.13215e-05 3.54868e-05 3.33936e-05 0.000111647 6.38706e-05 0.000277609 6.89123e-05 -8.44968e-05 -0.000344342 -0.000141929 -7.50152e-05 -6.70574e-05 8.61296e-05 3.05368e-05 -1.15932e-05 0.000849633 0.000246416 2.37611e-07 0.00178003 0.000746678 3.44611e-07 -0.00353352 0.00942649 0.000595042 -2.41211e-09 0.00416764 0.0148213 0.00113142 0.00126558 -1.42101e-11 
-0.00838701 -0.00752115 -0.00101104 -0.00157188 -0.00167166 0.000283013 0.00142508 0.0170361 1.79754e-05 0.00073629 -0.000890837 0.00395978 0.00762844 0.00832258 0.0125941 0.00799439 0.0012395 0.00207323 0.000708837 0.000925334 0.000762883 5.93339e-05 -0.000239567 -0.00123478 -0.00193034 -0.000670716 -0.000347128 -0.00149257 -0.00161528 -0.00124534 -0.00282361 -0.000891546 -0.000905493 -0.00173129 -0.00105902 -3.57165e-10 -0.00142162 -0.000169321 -0.000697729 -0.000578571 -0.000868195 -0.000420313 -0.000593139 -0.000382279 -0.00045827 -0.000756736 -8.76152e-05 -0.00107807 -0.00015792 -0.000131712 -0.00254893 -0.00274725 -0.00213196 0.00197086 0.00512704 0.000668392 0.000346931 -0.000890865 -5.84571e-05 -0.00113204 -8.31216e-05 -0.00105515 -0.000593912 -9.89813e-05 0.000121364 -9.44157e-05 0.000381637 -8.62253e-05 -7.58082e-05 -5.78543e-05 -0.00168019 -0.00050242 -0.000996688 -0.000221739 -0.000252363 0.000424524 0.000451173 -6.49926e-11 0.000853268 -9.12809e-06 0.000546977 5.67485e-05 0.00023634 -0.000199257 -0.000156078 -0.000272818 -1.89949e-05 0.00030388 -0.000260259 0.000516126 -0.000134435 1.49792e-05 -0.00425552 -0.00433555 -0.0021203 -0.000219849 0.000230954 0.00122815 0.00229059 0.00341566 -0.00138469 0.0118229 4.5966e-05 0.00137501 0.00262177 0.0033625 0.00301716 0.00351656 0.00450235 0.00385957 0.000767229 0.00153295 0.000492825 0.000868631 0.000668819 0.00128385 0.00167838 0.00168857 0.00452533 0.0012505 7.08098e-07 -0.00621085 -0.000294816 3.22466e-06 -0.0240458 -0.0260656 0.0126717 -1.58119e-08 -0.0654733 0.0515455 -0.00574696 0.00974973 -2.03333e-11 
