*mpd[__mpd__]
estimate_values:
catchability[CSacous].q catchability[WCacous].q catchability[CRsum].q catchability[SAsum].q catchability[SAaut].q observation[CRsumbio].process_error observation[SAsumbio].process_error parameter_transformation[log_sum_b0].log_total_parameter parameter_transformation[log_sum_b0].total_proportion_parameter process[Instant_mortality].m{west.sa} time_varying[shifted_mu].a process[recruit_E].recruitment_multipliers{1977} process[recruit_E].recruitment_multipliers{1978} process[recruit_E].recruitment_multipliers{1979} process[recruit_E].recruitment_multipliers{1980} process[recruit_E].recruitment_multipliers{1981} process[recruit_E].recruitment_multipliers{1982} process[recruit_E].recruitment_multipliers{1983} process[recruit_E].recruitment_multipliers{1984} process[recruit_E].recruitment_multipliers{1985} process[recruit_E].recruitment_multipliers{1986} process[recruit_E].recruitment_multipliers{1987} process[recruit_E].recruitment_multipliers{1988} process[recruit_E].recruitment_multipliers{1989} process[recruit_E].recruitment_multipliers{1990} process[recruit_E].recruitment_multipliers{1991} process[recruit_E].recruitment_multipliers{1992} process[recruit_E].recruitment_multipliers{1993} process[recruit_E].recruitment_multipliers{1994} process[recruit_E].recruitment_multipliers{1995} process[recruit_E].recruitment_multipliers{1996} process[recruit_E].recruitment_multipliers{1997} process[recruit_E].recruitment_multipliers{1998} process[recruit_E].recruitment_multipliers{1999} process[recruit_E].recruitment_multipliers{2000} process[recruit_E].recruitment_multipliers{2001} process[recruit_E].recruitment_multipliers{2002} process[recruit_E].recruitment_multipliers{2003} process[recruit_E].recruitment_multipliers{2004} process[recruit_E].recruitment_multipliers{2005} process[recruit_E].recruitment_multipliers{2006} process[recruit_E].recruitment_multipliers{2007} process[recruit_E].recruitment_multipliers{2008} process[recruit_E].recruitment_multipliers{2009} process[recruit_E].recruitment_multipliers{2010} process[recruit_E].recruitment_multipliers{2011} process[recruit_E].recruitment_multipliers{2012} process[recruit_E].recruitment_multipliers{2013} process[recruit_E].recruitment_multipliers{2014} process[recruit_E].recruitment_multipliers{2015} process[recruit_E].recruitment_multipliers{2016} process[recruit_E].recruitment_multipliers{2017} process[recruit_E].recruitment_multipliers{2018} process[recruit_W].recruitment_multipliers{1977} process[recruit_W].recruitment_multipliers{1978} process[recruit_W].recruitment_multipliers{1979} process[recruit_W].recruitment_multipliers{1980} process[recruit_W].recruitment_multipliers{1981} process[recruit_W].recruitment_multipliers{1982} process[recruit_W].recruitment_multipliers{1983} process[recruit_W].recruitment_multipliers{1984} process[recruit_W].recruitment_multipliers{1985} process[recruit_W].recruitment_multipliers{1986} process[recruit_W].recruitment_multipliers{1987} process[recruit_W].recruitment_multipliers{1988} process[recruit_W].recruitment_multipliers{1989} process[recruit_W].recruitment_multipliers{1990} process[recruit_W].recruitment_multipliers{1991} process[recruit_W].recruitment_multipliers{1992} process[recruit_W].recruitment_multipliers{1993} process[recruit_W].recruitment_multipliers{1994} process[recruit_W].recruitment_multipliers{1995} process[recruit_W].recruitment_multipliers{1996} process[recruit_W].recruitment_multipliers{1997} process[recruit_W].recruitment_multipliers{1998} process[recruit_W].recruitment_multipliers{1999} process[recruit_W].recruitment_multipliers{2000} process[recruit_W].recruitment_multipliers{2001} process[recruit_W].recruitment_multipliers{2002} process[recruit_W].recruitment_multipliers{2003} process[recruit_W].recruitment_multipliers{2004} process[recruit_W].recruitment_multipliers{2005} process[recruit_W].recruitment_multipliers{2006} process[recruit_W].recruitment_multipliers{2007} process[recruit_W].recruitment_multipliers{2008} process[recruit_W].recruitment_multipliers{2009} process[recruit_W].recruitment_multipliers{2010} process[recruit_W].recruitment_multipliers{2011} process[recruit_W].recruitment_multipliers{2012} process[recruit_W].recruitment_multipliers{2013} process[recruit_W].recruitment_multipliers{2014} process[recruit_W].recruitment_multipliers{2015} process[recruit_W].recruitment_multipliers{2016} process[recruit_W].recruitment_multipliers{2017} process[recruit_W].recruitment_multipliers{2018} selectivity[sel_Whome].v{1} selectivity[sel_Whome].v{2} selectivity[sel_Whome].v{3} selectivity[sel_Whome].v{4} selectivity[sel_Whome].v{5} selectivity[sel_Whome].v{6} selectivity[sel_Whome].v{7} selectivity[sel_Espmg].v{1} selectivity[sel_Espmg].v{2} selectivity[sel_Espmg].v{3} selectivity[sel_Espmg].v{4} selectivity[sel_Espmg].v{5} selectivity[sel_Espmg].v{6} selectivity[sel_Espmg].v{7} selectivity[sel_Espmg].v{8} selectivity[sel_Wspmg].v{1} selectivity[sel_Wspmg].v{2} selectivity[sel_Wspmg].v{3} selectivity[sel_Wspmg].v{4} selectivity[sel_Wspmg].v{5} selectivity[sel_Wspmg].v{6} selectivity[sel_Wspmg].v{7} selectivity[sel_Wspmg].v{8} selectivity[Enspsl].mu selectivity[Enspsl].sigma_l selectivity[Enspsl].sigma_r selectivity[Wnspsl].mu selectivity[Wnspsl].sigma_l selectivity[Wnspsl].sigma_r selectivity[Espsl].mu selectivity[Espsl].sigma_l selectivity[Espsl].sigma_r selectivity[CRsl].mu selectivity[CRsl].sigma_l selectivity[CRsl].sigma_r selectivity[SAsl].mu selectivity[SAsl].sigma_l selectivity[SAsl].sigma_r 
0.431164 0.300245 0.0743067 0.0592469 0.0671666 0.140482 0.430609 14.3395 0.328709 0.295985 -0.217442 0.447817 0.726798 0.784538 1.36001 0.987756 0.329318 0.44723 0.265562 0.434181 0.488041 0.395695 0.217908 1.0364 0.958914 0.428992 0.138105 0.374999 0.391638 0.383103 0.562851 0.263985 0.284472 0.450032 0.253074 0.06 0.462197 0.161649 0.266888 0.500381 0.520026 0.508825 0.600554 0.522148 0.373005 0.526808 0.158637 0.660583 0.155995 0.185838 0.730624 0.739002 1.19515 0.457018 0.822176 0.670004 0.653899 0.465896 0.515118 0.578235 0.473277 0.871922 0.836461 0.320242 0.164968 1.47555 0.77276 0.081345 0.0815769 0.892802 1.26778 0.377216 0.959393 0.221128 0.19718 0.23795 0.202916 0.06 0.373044 0.0954844 0.795582 0.465168 0.516625 0.511259 0.75544 0.638911 0.616864 0.578407 0.145471 0.974778 0.160162 0.244438 2.19657 2.15204 1.19539 0.327833 0.307785 0.476202 0.14184 0.468361 0.750263 0.788412 0.00565851 0.160209 0.324114 0.431229 0.385459 0.46535 0.599017 0.607778 0.106144 0.287744 0.270759 0.455253 0.484657 0.527105 0.660622 0.596269 3.56716 1.22108 15.7137 5.34117 2.83934 13.3789 10.8788 11.6775 3.98165 1 46.0231 9.30042 14.2523 8.75558 1.31519 
covariance_matrix:
0.00972766 0.00229949 0.000674079 0.000318174 0.000340907 -0.000198099 -0.000174721 -0.00894379 -0.00247396 -0.00066093 0.000830768 -0.00253547 -0.00489598 -0.00553032 -0.0103896 -0.00623092 -0.00125813 -0.00168913 -0.000825451 -0.000780748 -0.000920597 -0.000276264 -3.9377e-05 0.000181238 0.000904342 0.000552399 0.000215774 0.000780457 0.000876867 0.00111499 0.00146533 0.000756782 0.000661694 0.000962267 0.000430008 1.05451e-09 0.000676306 0.000167681 1.38127e-05 0.000356494 0.000288011 0.000327215 0.000144853 0.000202744 7.91553e-05 0.000389582 0.00011561 0.00055592 0.000162096 0.000140731 0.00171578 -0.00403957 0.00116761 -8.88952e-05 -0.000751483 -0.000985591 -0.00064433 0.000464211 -0.000104299 0.000239183 -0.000135411 0.0003829 0.000220872 8.72704e-05 4.27416e-05 0.000196517 -1.92375e-05 1.77014e-05 -2.63251e-05 -0.000123018 0.000111092 4.51606e-05 0.000686045 -1.78469e-05 0.0001084 0.000157513 0.00020762 8.79587e-11 0.000205657 9.10065e-05 0.000380299 0.00040056 0.000399543 0.0001902 0.000439853 0.000256325 6.91172e-05 9.15483e-06 -2.49573e-05 -0.000330032 -7.73702e-05 -6.98098e-05 -0.000446961 0.00475654 0.00115942 1.38178e-05 0.000767194 -0.000644313 -0.00102138 0.000464263 -0.0032606 -0.0177673 -8.1532e-05 -0.0020554 -0.00378155 -0.00446574 -0.00347252 -0.00377874 -0.00459343 -0.00332297 -0.00068462 -0.00144053 -0.000370535 -0.000563564 -0.000390634 -0.000128033 0.000251396 -0.00109611 -0.000186921 -0.000108519 0.110534 -0.00270915 -0.0016605 -0.04545 0.0106055 0.113788 -0.00716847 8.80644e-08 0.0559969 0.011837 -0.0112462 -0.000459993 0.00833904 
0.00229949 0.00587671 0.00057209 0.00108834 0.00117977 -8.69666e-05 -0.000888578 -0.0087387 0.00151176 -0.000180146 0.00034953 -0.00175716 -0.00312436 -0.00313451 -0.00438687 -0.00289532 -0.00039841 -0.000746208 -0.000168787 -0.000188984 -0.000314172 3.90304e-05 0.000104832 0.000473269 0.000784268 0.000162826 3.59717e-05 0.000802279 0.000730458 0.000391935 0.00131815 0.000281902 0.000273263 0.000772062 0.000506709 2.30589e-10 0.000555357 1.1137e-05 0.000398857 8.23253e-05 0.000346956 -2.69068e-05 0.000218355 -0.000257529 0.000165613 8.59738e-05 -0.000207517 0.000265691 -7.53774e-05 -8.40955e-05 0.000546484 0.0050586 0.00133428 -0.000910001 -0.002471 0.000118027 -0.000257571 0.000319231 -0.000160772 5.04554e-05 -0.000247646 -0.000424436 -0.000519532 -0.000215383 -7.77323e-05 -0.000955551 -0.000896501 6.13352e-05 5.27202e-05 -0.000266588 0.000633195 0.000196868 0.000218154 0.000158631 0.000126387 -0.000617207 -0.000408332 -1.70179e-11 -0.000778703 -4.63462e-05 -0.000452796 -0.000114381 -0.000255093 0.000298146 0.000269034 0.000460755 0.000249274 0.000156763 0.000230237 0.000704036 0.000246265 0.000237531 0.00449953 0.000968706 0.00133762 0.000185431 -0.000800157 -0.0005275 -0.00144468 -0.00304424 0.00244485 0.0183918 1.2056e-05 0.000221298 0.000185861 6.24562e-05 -6.28391e-05 -0.000179827 -0.000442865 -0.000473953 -0.00017986 -0.000166331 -0.000116471 -0.0002178 -0.000219007 -0.000667781 -0.00118432 -0.000150239 -0.0031886 -0.000901447 0.0261066 0.00535192 0.000987755 0.175886 0.0182433 -0.0386487 -0.00905182 8.32765e-08 0.0204481 -0.0362731 0.00341915 -0.0204008 0.00144561 
0.000674079 0.00057209 0.000275137 7.18048e-05 8.54372e-05 -3.03305e-05 -5.95736e-05 -0.000871989 4.01579e-05 -0.000377224 0.000309063 -0.000467901 -0.0010853 -0.00109261 -0.00202395 -0.00119244 -0.000270447 -0.000396475 -0.000175613 -0.00023015 -0.000179834 -9.79373e-05 -3.04514e-05 7.98589e-05 0.00021943 2.29754e-05 1.80436e-05 0.000285918 0.000315843 0.000218126 0.00047696 0.000145094 0.00013505 0.000248747 0.000126287 1.23468e-10 0.000181051 2.32671e-05 0.000117095 3.57036e-05 6.04839e-05 2.96714e-05 3.99413e-05 -2.48632e-05 0.000120659 -1.33715e-05 1.62659e-05 3.78905e-05 -4.88211e-06 -3.00992e-06 0.000216363 0.00053449 9.48046e-05 -0.000194857 -0.000567329 -0.000403411 -0.000329365 -0.000112115 -6.15412e-05 -8.48956e-05 2.49846e-07 -4.81381e-06 -3.88576e-05 -4.40594e-05 -7.43834e-06 -0.000328227 -0.000242301 -7.25601e-06 -4.1711e-06 -0.00012176 -9.03499e-05 1.42294e-05 6.12601e-05 2.27386e-05 2.4336e-05 -9.65594e-05 -2.50702e-05 5.76921e-12 -0.000103255 -8.58823e-06 -4.27077e-05 4.90261e-06 -4.98341e-05 2.37985e-05 0.000130056 0.000160954 3.50681e-05 0.000131486 -7.15742e-06 0.000287981 5.08704e-05 5.11117e-05 0.000925175 9.81291e-05 9.36276e-05 0.000259319 0.000609129 0.000426283 0.000112746 0.000854861 0.00157018 0.00698447 4.19776e-06 0.00010139 0.000164781 0.00020696 0.000183594 0.000168882 0.000204746 -8.35207e-06 2.08877e-05 -5.76684e-05 2.22224e-05 2.02531e-06 1.09909e-05 1.86604e-05 -1.31534e-06 -3.90981e-06 -0.000626769 -0.000228305 -0.102714 -0.000175097 0.000395542 -0.0465654 -0.00120955 0.0102227 -0.00356349 1.3027e-08 -0.00191538 -0.016995 -0.00605644 0.000199773 0.00340513 
0.000318174 0.00108834 7.18048e-05 0.000376389 0.000372082 -1.617e-05 -0.000130981 -0.0020344 0.000430346 0.000120806 -5.44232e-05 -0.000446103 -0.000454711 -0.000579039 -0.00066842 -0.000399769 -3.48032e-05 -5.57904e-05 1.25017e-05 1.88436e-05 -3.78021e-06 5.01464e-05 5.07695e-05 0.000178866 0.000175374 4.60702e-05 3.12244e-06 0.000161664 0.000132456 3.5054e-05 0.000235214 2.50842e-05 2.56153e-05 0.000131796 0.000102278 7.61729e-11 8.74032e-05 -1.48647e-05 8.25655e-05 -1.35321e-05 5.59054e-05 -4.61112e-05 2.59566e-05 -0.00011426 2.07085e-05 -1.61799e-05 -6.86133e-05 1.37953e-05 -4.11607e-05 -3.84464e-05 5.33586e-05 0.00164401 0.000166203 -1.50489e-05 -0.000436958 0.000181188 0.000231761 7.70712e-05 4.99359e-05 0.000120722 -3.07265e-06 -6.56504e-06 -7.35909e-05 -4.53943e-05 -4.49625e-06 -0.00016173 -0.000194719 1.51174e-05 1.51869e-05 -0.000149641 0.000100182 5.41193e-06 -3.14785e-05 2.05108e-05 -7.36697e-07 -0.000186522 -0.000140748 -1.12999e-11 -0.000233667 -2.57951e-05 -0.000152498 -6.25281e-05 -7.94568e-05 6.53835e-05 4.91961e-06 0.000100493 2.06478e-05 -7.01926e-06 4.69181e-05 7.44939e-05 4.57173e-05 5.87006e-05 0.000956803 -0.000228768 0.000164027 4.89915e-05 -0.000271998 -0.000168118 -0.000427003 -0.0011247 7.75929e-05 0.00598793 5.23659e-06 0.000104938 0.00012827 8.53414e-05 2.683e-05 -1.76725e-05 -6.91056e-05 4.72227e-06 -1.09643e-05 3.84253e-05 8.30077e-06 1.66599e-05 4.77632e-05 -0.000124826 -0.000188135 0.000115601 -0.000588162 -0.000175995 0.0509256 0.00238144 0.000340219 0.0795502 0.00693955 -0.023328 -0.00152382 4.23383e-08 0.0061013 -0.00214689 0.0102051 -0.00577587 -0.00665799 
0.000340907 0.00117977 8.54372e-05 0.000372082 0.000477113 -2.2389e-05 -0.000207543 -0.00214084 0.000459384 0.000106441 3.97884e-05 -0.000512022 -0.000538097 -0.000714787 -0.000834048 -0.000569129 -6.73436e-05 -9.15291e-05 6.69537e-06 -1.19388e-05 -1.49646e-06 5.38374e-05 5.61867e-05 0.0002011 0.000211397 4.54484e-05 -3.0265e-06 0.00017925 0.000154471 3.63313e-05 0.000251912 2.46558e-05 2.23454e-05 0.000136231 9.82569e-05 3.82414e-11 7.57335e-05 -2.39058e-05 7.02604e-05 -3.46799e-05 3.50596e-05 -6.93944e-05 -2.40337e-06 -0.00012309 4.1345e-06 -4.1051e-05 -7.12274e-05 -4.47209e-05 -4.35938e-05 -4.84817e-05 5.00416e-06 0.00152852 0.000166167 -0.000104256 -0.000641002 -3.68728e-05 0.0001287 2.20009e-05 -6.24593e-05 -2.63116e-05 -7.78705e-05 -0.000174909 -0.000274946 -0.00010602 -3.95531e-05 -0.000486197 -0.000388369 3.5694e-06 -1.16311e-08 -0.000221145 2.59604e-05 -4.50893e-06 7.2114e-06 3.03753e-05 1.43163e-05 -0.000179857 -0.000123863 -1.58085e-11 -0.000199033 -1.6825e-05 -4.82604e-05 -1.58684e-06 -1.11973e-05 0.000128206 0.00012055 0.000176856 0.000108113 8.40536e-05 5.53697e-05 0.000260352 5.75278e-05 9.8556e-05 0.00141928 6.62285e-05 0.000164891 9.45364e-05 -0.000181997 -0.000177819 -0.000425898 -0.00102234 1.36493e-05 0.00746676 6.0568e-06 0.000126395 0.000158519 0.000127362 5.74026e-05 1.83728e-05 -4.11208e-05 2.19543e-05 -1.62963e-05 -2.73328e-05 -5.72275e-06 7.57923e-06 3.37158e-05 -0.000122998 -0.000192193 0.00013876 -0.000650047 -0.000223416 0.0486921 0.00278179 0.000449983 0.0864136 0.00754628 -0.0234356 -0.0019554 4.39013e-08 0.00689738 -0.00222265 0.0114859 -0.00673646 -0.00759503 
-0.000198099 -8.69666e-05 -3.03305e-05 -1.617e-05 -2.2389e-05 0.000853302 4.59721e-05 0.000248376 2.28915e-05 2.78965e-05 0.000176431 5.45939e-05 0.000150296 0.000392627 0.000521848 0.00027882 3.21379e-05 2.76081e-06 4.31032e-05 -3.78534e-06 6.80912e-05 -5.2467e-06 -4.10009e-06 -1.57388e-05 -0.000108433 -2.87622e-05 4.00123e-06 -6.79515e-05 -3.27669e-05 -2.67714e-05 -6.96282e-05 -2.3231e-05 -7.74328e-06 -2.2134e-05 1.27398e-05 -1.66987e-10 4.71862e-05 2.60972e-05 5.69518e-05 0.000127646 0.000151522 0.000187826 0.000144661 0.000143668 2.86891e-05 8.81555e-05 1.43096e-05 0.000152647 1.26433e-07 4.181e-05 3.77417e-05 -0.000144685 -1.31847e-06 -4.90347e-05 -0.000235119 3.88833e-05 -9.76593e-06 4.97242e-05 8.28274e-05 -3.25818e-06 -5.21492e-06 3.37134e-05 -0.00013135 1.52535e-05 1.54581e-05 -0.000112081 2.42639e-05 -5.07662e-06 -5.75599e-06 -0.000128511 3.1847e-05 3.54057e-05 -9.33213e-05 -1.11749e-05 7.71689e-06 -4.8075e-06 -8.53538e-06 -8.43986e-12 2.8002e-05 1.46364e-05 9.68685e-05 3.28368e-05 0.000142704 0.000174269 0.000181601 2.23804e-05 0.000213061 0.000159195 2.03462e-05 -4.00829e-06 -2.596e-05 -9.76915e-05 -0.000686038 -0.00022853 -1.93868e-06 -5.31881e-05 -0.000379059 0.000228151 5.71463e-05 -0.000359662 -0.000366025 0.00239899 -4.36047e-07 -2.21917e-05 -3.90616e-05 -3.91939e-05 -1.79304e-05 2.94413e-05 -8.80676e-07 -2.92652e-05 2.90905e-06 0.000109999 4.12504e-06 -1.33131e-05 2.27749e-05 4.38776e-05 -5.78869e-05 7.7273e-07 0.000107026 8.06539e-05 0.00310598 0.000361523 0.000796063 0.00102271 -0.000721335 0.00114915 0.000646974 -1.89959e-08 -0.00340687 -0.00116996 0.00113969 0.00120431 -0.000803091 
-0.000174721 -0.000888578 -5.95736e-05 -0.000130981 -0.000207543 4.59721e-05 0.00743486 0.00189321 -0.000355887 -0.000200457 0.000489597 0.000126911 0.000166387 0.000843523 0.00086577 0.000657228 -0.00012145 6.42078e-05 3.34682e-05 5.24135e-05 0.000105016 3.43937e-05 -6.74671e-06 2.3321e-05 0.000167602 2.34794e-06 1.36283e-05 -9.82889e-05 -9.72804e-05 2.31233e-05 -0.000214903 7.24622e-06 -2.33502e-06 -0.000128795 -0.00012137 -7.18336e-11 -6.65621e-05 1.10387e-05 -0.000134137 3.1946e-05 -9.43417e-05 6.29466e-05 -0.000146957 0.000130282 -0.000182298 -8.30156e-05 7.40308e-05 -0.000266223 4.75542e-05 5.48961e-06 -0.000264532 -0.00206921 4.32422e-05 -0.00105174 -0.000909005 -0.00115304 -0.00175545 -0.00101308 -0.0010173 -0.00113756 -0.00108535 -0.00159807 -0.00137501 -0.000456898 -0.000228204 -0.00167774 -0.000728378 -0.000117255 -1.67247e-05 0.000231849 0.000718965 0.000229154 0.000885467 0.000180127 0.000193421 0.000529044 0.000405058 -1.21945e-11 0.000675088 0.000119032 0.000654644 0.000274374 0.000357563 0.00019749 0.000606 0.000490423 0.000745668 0.000846867 9.75865e-05 0.00140393 0.000149798 0.000232961 0.000768045 0.00174358 3.71307e-05 0.000121625 0.000744067 -0.000163281 0.000117807 0.000332579 -0.00178755 0.000417611 -4.18895e-06 -5.57242e-05 -3.25887e-06 3.79432e-05 0.000152176 0.000152045 0.000384293 8.11693e-05 -0.000126221 -0.000431039 -0.00017005 -0.00011711 -7.68077e-05 0.000142593 5.02661e-05 -4.84008e-05 0.000760957 0.000267855 -0.0560626 -2.03324e-05 -0.000320323 -0.0780841 -0.00684237 0.0310159 0.00064542 -1.00156e-08 0.00108276 0.00500464 5.15801e-05 0.00604946 -0.00107989 
-0.00894379 -0.0087387 -0.000871989 -0.0020344 -0.00214084 0.000248376 0.00189321 0.0209531 -0.000718735 -0.000213397 -0.000200345 0.00540648 0.00801799 0.00863438 0.012595 0.00760154 0.00133198 0.00191929 0.000472508 0.000529176 0.000671365 -4.6568e-05 -0.0002738 -0.00110638 -0.00155662 -0.000771965 -0.000213434 -0.00138513 -0.00138296 -0.00108429 -0.00251041 -0.000779498 -0.000735284 -0.00166063 -0.00101193 -9.18434e-10 -0.00120988 -7.71384e-05 -0.000569385 -0.00036393 -0.000795012 -0.000136831 -0.000443806 0.000252261 -0.000236574 -0.000614811 0.000305527 -0.000880226 3.94447e-05 3.73072e-07 -0.00259116 -0.00475223 -0.0025466 0.00259191 0.00548574 0.000156679 -0.000555983 -0.00119684 -0.00050459 -0.00143828 -0.00036779 -0.00119271 -0.000503908 -3.9597e-06 2.24232e-07 -0.000388249 0.000589692 -0.000117895 -7.66279e-05 0.000290264 -0.0011883 -0.000255664 -0.000765676 -0.000161448 -0.000156984 0.000881358 0.00066609 1.07579e-11 0.00118509 5.3821e-05 0.000694483 0.000102055 0.00032215 -0.000405709 -3.88849e-05 -0.000352892 0.00012411 0.00068962 -0.000288475 0.000887484 -8.83161e-06 7.16819e-05 -0.00461127 -0.00467312 -0.00254582 0.000130304 0.00173155 0.00228558 0.00361695 0.0064443 0.00215977 -0.00624712 4.04165e-05 0.00125653 0.00272178 0.00371626 0.00333094 0.00401111 0.00530153 0.00392458 0.000639779 0.00099875 0.00047547 0.000677656 0.000639412 0.00160275 0.00201169 0.00161341 0.00440646 0.00125803 -0.395194 -0.00909112 0.000115717 -0.414283 -0.0475069 0.0551878 0.0130266 -1.71467e-07 -0.0891305 0.015276 -0.0148014 0.0400471 0.000522051 
