* MPD
estimate_values:
catchability[CSacous].q catchability[WCacous].q catchability[CRsum].q catchability[SAsum].q catchability[SAaut].q observation[CRsumbio].process_error observation[SAsumbio].process_error process[recruit_E].b0 process[recruit_W].b0 process[Instant_mortality].m{west.sa} time_varying[shifted_mu].a process[recruit_E].ycs_values{1975} process[recruit_E].ycs_values{1976} process[recruit_E].ycs_values{1977} process[recruit_E].ycs_values{1978} process[recruit_E].ycs_values{1979} process[recruit_E].ycs_values{1980} process[recruit_E].ycs_values{1981} process[recruit_E].ycs_values{1982} process[recruit_E].ycs_values{1983} process[recruit_E].ycs_values{1984} process[recruit_E].ycs_values{1985} process[recruit_E].ycs_values{1986} process[recruit_E].ycs_values{1987} process[recruit_E].ycs_values{1988} process[recruit_E].ycs_values{1989} process[recruit_E].ycs_values{1990} process[recruit_E].ycs_values{1991} process[recruit_E].ycs_values{1992} process[recruit_E].ycs_values{1993} process[recruit_E].ycs_values{1994} process[recruit_E].ycs_values{1995} process[recruit_E].ycs_values{1996} process[recruit_E].ycs_values{1997} process[recruit_E].ycs_values{1998} process[recruit_E].ycs_values{1999} process[recruit_E].ycs_values{2000} process[recruit_E].ycs_values{2001} process[recruit_E].ycs_values{2002} process[recruit_E].ycs_values{2003} process[recruit_E].ycs_values{2004} process[recruit_E].ycs_values{2005} process[recruit_E].ycs_values{2006} process[recruit_E].ycs_values{2007} process[recruit_E].ycs_values{2008} process[recruit_E].ycs_values{2009} process[recruit_E].ycs_values{2010} process[recruit_E].ycs_values{2011} process[recruit_E].ycs_values{2012} process[recruit_E].ycs_values{2013} process[recruit_E].ycs_values{2014} process[recruit_E].ycs_values{2015} process[recruit_E].ycs_values{2016} process[recruit_W].ycs_values{1975} process[recruit_W].ycs_values{1976} process[recruit_W].ycs_values{1977} process[recruit_W].ycs_values{1978} process[recruit_W].ycs_values{1979} process[recruit_W].ycs_values{1980} process[recruit_W].ycs_values{1981} process[recruit_W].ycs_values{1982} process[recruit_W].ycs_values{1983} process[recruit_W].ycs_values{1984} process[recruit_W].ycs_values{1985} process[recruit_W].ycs_values{1986} process[recruit_W].ycs_values{1987} process[recruit_W].ycs_values{1988} process[recruit_W].ycs_values{1989} process[recruit_W].ycs_values{1990} process[recruit_W].ycs_values{1991} process[recruit_W].ycs_values{1992} process[recruit_W].ycs_values{1993} process[recruit_W].ycs_values{1994} process[recruit_W].ycs_values{1995} process[recruit_W].ycs_values{1996} process[recruit_W].ycs_values{1997} process[recruit_W].ycs_values{1998} process[recruit_W].ycs_values{1999} process[recruit_W].ycs_values{2000} process[recruit_W].ycs_values{2001} process[recruit_W].ycs_values{2002} process[recruit_W].ycs_values{2003} process[recruit_W].ycs_values{2004} process[recruit_W].ycs_values{2005} process[recruit_W].ycs_values{2006} process[recruit_W].ycs_values{2007} process[recruit_W].ycs_values{2008} process[recruit_W].ycs_values{2009} process[recruit_W].ycs_values{2010} process[recruit_W].ycs_values{2011} process[recruit_W].ycs_values{2012} process[recruit_W].ycs_values{2013} process[recruit_W].ycs_values{2014} process[recruit_W].ycs_values{2015} process[recruit_W].ycs_values{2016} selectivity[sel_Whome].v{1} selectivity[sel_Whome].v{2} selectivity[sel_Whome].v{3} selectivity[sel_Whome].v{4} selectivity[sel_Whome].v{5} selectivity[sel_Whome].v{6} selectivity[sel_Whome].v{7} selectivity[sel_Espmg].v{1} selectivity[sel_Espmg].v{2} selectivity[sel_Espmg].v{3} selectivity[sel_Espmg].v{4} selectivity[sel_Espmg].v{5} selectivity[sel_Espmg].v{6} selectivity[sel_Espmg].v{7} selectivity[sel_Espmg].v{8} selectivity[sel_Wspmg].v{1} selectivity[sel_Wspmg].v{2} selectivity[sel_Wspmg].v{3} selectivity[sel_Wspmg].v{4} selectivity[sel_Wspmg].v{5} selectivity[sel_Wspmg].v{6} selectivity[sel_Wspmg].v{7} selectivity[sel_Wspmg].v{8} selectivity[Enspsl].mu selectivity[Enspsl].sigma_l selectivity[Enspsl].sigma_r selectivity[Wnspsl].mu selectivity[Wnspsl].sigma_l selectivity[Wnspsl].sigma_r selectivity[Espsl].mu selectivity[Espsl].sigma_l selectivity[Espsl].sigma_r selectivity[CRsl].mu selectivity[CRsl].sigma_l selectivity[CRsl].sigma_r selectivity[SAsl].mu selectivity[SAsl].sigma_l selectivity[SAsl].sigma_r 
0.427242 0.312845 0.0683185 0.0671709 0.0757775 0.140944 0.423639 548395 1.08267e+06 0.312711 -0.229214 0.445375 0.729387 0.792316 1.38645 1.00265 0.334373 0.45502 0.269745 0.441059 0.494118 0.400104 0.219776 1.04131 0.963457 0.430955 0.137966 0.373852 0.388579 0.379948 0.557944 0.261779 0.282509 0.447811 0.252645 0.06 0.460134 0.160863 0.266106 0.499588 0.520529 0.507645 0.600134 0.520873 0.371149 0.527896 0.156951 0.660474 0.155538 0.185181 0.728445 0.755864 1.18887 0.458685 0.814207 0.685144 0.669378 0.47307 0.520643 0.583438 0.474624 0.873087 0.836328 0.319421 0.164933 1.48007 0.774534 0.0814755 0.0818254 0.891973 1.26757 0.376521 0.955789 0.220265 0.196316 0.236428 0.200409 0.06 0.37089 0.0950598 0.795527 0.4657 0.517611 0.513052 0.754752 0.636922 0.615642 0.573052 0.146176 0.967082 0.15909 0.244019 2.18651 2.14759 1.18909 0.32193 0.284914 0.459726 0.135485 0.437832 0.708184 0.99991 0.0056398 0.159122 0.320815 0.425468 0.379529 0.458763 0.59081 0.611003 0.105561 0.291362 0.270681 0.455273 0.48421 0.524958 0.652978 0.601533 3.57318 1.22245 50 5.3284 2.77816 49.9999 11.2567 10.8674 4.02625 1 46.5221 10.0928 14.8685 8.69469 1 
covariance_matrix:
0.00886678 0.0020167 0.000593085 0.000306807 0.000309424 -0.00019227 -0.000181398 -0.00800787 -0.00235667 -0.00069792 0.000330417 -0.00219302 -0.00382199 -0.00369321 -0.00913023 -0.00494982 -0.00102935 -0.00124071 -0.000727742 -0.000746113 -0.000470897 -0.000174154 3.77118e-05 0.00037331 0.000991248 0.000586888 0.000216239 0.000827113 0.000891831 0.0010175 0.00148001 0.000679542 0.00063461 0.00090768 0.000443148 3.47385e-12 0.000747753 0.000172971 6.10561e-05 0.000366867 0.000226195 0.000333824 9.23814e-05 0.000229032 0.000153144 0.000231703 0.000179299 0.000404721 0.000109861 0.000174169 0.00118032 -0.00231673 0.00118335 -0.00134305 -0.000960845 -0.00142594 0.00113302 -0.000220062 0.000368276 0.000238198 0.000173654 0.000884372 0.000426759 0.00011635 0.000186827 0.000810621 0.000352171 2.50567e-05 3.89019e-05 6.12667e-05 0.000360983 0.000279116 0.000614426 5.90595e-05 0.000116266 0.000194634 0.000179741 1.48944e-10 0.000259176 5.2032e-05 0.000417974 0.000348503 0.000547517 0.000188899 0.000635263 0.000285299 0.000141894 0.000161552 -1.68144e-05 -2.86402e-05 1.21264e-05 -0.000109174 -0.00106365 0.00277178 0.00117121 0.000134268 0.000849579 -4.29131e-05 -0.000234407 0.000977604 -0.00160408 2.06368e-06 -7.10639e-05 -0.0017858 -0.0033313 -0.00394096 -0.00314013 -0.00350728 -0.00423421 -0.0033627 -0.000540679 -0.00111094 -0.000307032 -0.000480725 -0.000373394 -6.02205e-05 4.30987e-05 -0.00107834 8.69024e-05 6.01712e-07 1.28219e-07 -0.0057869 -0.00270279 -5.4406e-07 0.00533783 0.0651712 -0.00475448 4.92575e-13 0.0495072 0.0110351 -0.00449517 0.00404386 -1.41078e-09 
0.0020167 0.00538894 0.000524862 0.000974279 0.00104903 -0.000107579 -0.000643866 -0.00740438 0.0012426 -0.000405378 0.00037944 -0.00129114 -0.00296683 -0.00250115 -0.00426163 -0.00260409 -0.000232784 -0.000819119 -0.000100123 -0.000309285 -0.00031822 0.00013759 9.31449e-05 0.000590099 0.000739488 0.000239085 0.000109418 0.000698584 0.0006435 0.000374016 0.00130178 0.00027994 0.000329381 0.000755755 0.000529769 1.11031e-12 0.000650053 7.06587e-05 0.000362699 0.00020806 0.000402374 0.000117297 0.000454328 -6.77604e-05 0.00022853 0.000229565 -0.000109712 0.000435754 -7.57192e-05 -2.03706e-06 0.000878205 0.0043942 0.00153048 -0.00111216 -0.00170271 -0.00133941 7.59068e-05 -0.000309925 -3.56798e-05 -0.00031642 -7.49589e-05 -0.000375952 -0.000841042 -8.65896e-05 -5.75008e-05 -0.00121755 -0.000714897 -5.49751e-08 8.84446e-05 -0.000306709 0.00082989 0.000234863 1.07969e-05 0.000215681 0.000117826 -0.000377024 -0.000363829 1.28175e-10 -0.000617833 -6.54106e-05 -0.000546506 -0.000232974 -0.000313069 7.74751e-05 -0.000194503 0.000239897 8.98547e-05 -4.72109e-05 0.000250752 0.000380721 0.000209673 0.000100114 0.00365502 0.000870333 0.00153593 0.000178985 -0.000630745 -0.00109446 -0.00104332 -0.00362886 0.00241328 6.77569e-08 6.43851e-06 0.000111276 0.000132587 0.000113981 1.49926e-05 -5.86619e-05 -8.54904e-05 -0.000458881 -0.000240528 -0.000491201 -0.000128732 -0.000255616 -0.00017805 -0.00056315 -0.000979133 -0.000251815 -0.00400262 -0.00112361 -1.16968e-07 0.00198089 -0.00146381 -2.50801e-07 0.0109088 -0.00179676 -0.00800531 1.62938e-12 0.0123759 -0.0607857 0.00517648 -0.00621229 2.99477e-10 
0.000593085 0.000524862 0.000157554 0.000110638 0.000121882 -3.04241e-05 -0.000108156 -0.000951118 2.52299e-05 -0.000188279 0.000110725 -0.000496312 -0.00075866 -0.000786671 -0.00136254 -0.000798884 -0.000149737 -0.000232053 -8.07944e-05 -0.000150278 -7.41052e-05 -2.02616e-05 1.54444e-05 0.000142831 0.000229379 7.83679e-05 2.85953e-05 0.000189814 0.000211066 0.000153213 0.000334214 0.000108782 0.000107054 0.000191501 0.000106075 3.40861e-13 0.000149132 2.16785e-05 6.31508e-05 4.25018e-05 4.6029e-05 3.82483e-05 5.94026e-05 -1.75047e-05 6.98084e-05 1.81742e-05 1.69233e-05 5.8784e-05 2.0282e-06 2.11307e-05 0.000192067 0.000309944 0.000121028 -0.000281398 -0.000151411 -0.000443574 -8.59404e-06 -1.24271e-05 2.96188e-06 -2.04312e-05 2.47953e-05 8.92494e-05 2.22213e-06 -1.9567e-06 1.55382e-06 -8.78701e-05 -8.48049e-05 -1.33346e-06 5.22434e-06 -4.65001e-05 3.18379e-05 4.59036e-05 5.85e-05 2.11678e-05 1.94058e-05 -5.22565e-05 -2.93303e-05 2.48936e-11 -6.00263e-05 -7.89354e-06 -2.02262e-05 2.07346e-06 1.67953e-05 2.61971e-05 6.80452e-05 0.000126361 3.3479e-05 6.25931e-05 1.41093e-05 0.000161131 3.66061e-05 4.49846e-05 0.000511706 0.000160682 0.000119527 0.000130297 0.000277453 0.000131282 -4.9431e-05 0.000165063 0.000926021 6.975e-07 3.27283e-06 7.62482e-05 0.000116133 0.000131521 9.65422e-05 8.87603e-05 0.000105524 3.3043e-05 2.32665e-05 -1.69508e-05 2.32363e-05 9.10591e-06 1.64871e-05 -2.69917e-05 1.67011e-05 2.22137e-05 -0.000604968 -0.000227971 1.08477e-08 -0.00035855 -0.000151555 2.68729e-08 0.000497311 0.0001833 -0.00155698 1.63006e-13 0.00102564 -0.0117879 -0.000920046 -0.000296974 -8.87947e-11 
0.000306807 0.000974279 0.000110638 0.000315324 0.000300849 -2.64102e-05 -7.79523e-05 -0.00158448 0.00033296 -3.51016e-05 2.88051e-05 -0.000299817 -0.000520589 -0.000643606 -0.000827544 -0.000504739 -5.9823e-05 -0.000135733 -1.34566e-06 -4.47694e-05 -5.20719e-05 4.16623e-05 2.70631e-05 0.00017625 0.000189949 4.99096e-05 1.34625e-05 0.000172085 0.000149303 6.896e-05 0.000284968 5.18549e-05 5.55712e-05 0.000159938 0.00012318 -5.21099e-13 0.000137574 2.31827e-06 9.65246e-05 2.41286e-05 7.07681e-05 3.19016e-06 7.3434e-05 -7.80558e-05 5.51621e-05 1.63489e-05 -2.92686e-05 4.68042e-05 -2.01694e-05 -2.72514e-05 0.000114534 0.00123818 0.000169477 -0.0001724 -0.000135372 -4.57723e-05 0.000102349 -1.6687e-05 0.000102554 -1.88207e-05 -4.88048e-06 -1.86572e-05 -0.000108746 -2.42598e-05 -8.97563e-06 -0.000255206 -0.00018427 2.99008e-06 7.9357e-06 -8.62312e-05 0.000135539 4.05475e-05 -3.27076e-05 2.23279e-05 9.01232e-06 -0.000142584 -0.000132479 1.58154e-11 -0.000221603 -2.42974e-05 -0.000207462 -0.000106733 -0.000106337 -1.76516e-05 -4.42001e-05 9.78454e-05 1.37595e-05 -3.44641e-05 4.65274e-05 5.25689e-05 4.7678e-05 3.31851e-05 0.000886837 -8.38488e-05 0.000166963 0.000115589 -9.83558e-05 -0.000179417 -0.000307728 -0.00094057 0.000832575 -2.15502e-07 4.11615e-06 9.14328e-05 0.000135653 0.000137899 7.68628e-05 5.159e-05 4.95134e-05 -3.39508e-05 -2.50393e-05 -4.7933e-05 1.10098e-05 2.30416e-05 5.63098e-05 -8.13767e-05 -6.34981e-05 5.68519e-05 -0.000915291 -0.00029114 -4.44372e-08 0.00202793 0.000243171 1.50261e-07 0.00392098 -0.00689148 -0.00219502 5.32537e-13 0.00204941 -0.0120573 0.00262623 -0.00472863 3.93523e-10 
0.000309424 0.00104903 0.000121882 0.000300849 0.00041148 -2.54315e-05 -0.000117014 -0.00166338 0.000360925 -5.40084e-05 0.000121138 -0.000337794 -0.000658714 -0.000629313 -0.000946961 -0.000620597 -6.95499e-05 -0.000157514 1.053e-05 -5.656e-05 -4.81465e-05 5.97758e-05 2.40806e-05 0.000236597 0.000224251 6.1744e-05 9.44395e-06 0.000190275 0.000175716 7.01106e-05 0.000309884 5.25999e-05 5.46673e-05 0.000173356 0.000114771 -3.07009e-13 0.000131825 -4.18848e-06 8.67902e-05 1.01137e-05 6.27227e-05 -9.61108e-06 5.34945e-05 -6.91746e-05 2.40924e-05 -7.53447e-07 -2.58813e-05 -9.04065e-06 -3.11008e-05 -2.90482e-05 2.50979e-05 0.00146962 0.000205909 -0.000243749 -0.000471495 -0.000289817 -3.71288e-05 -0.000142335 -1.5764e-05 -0.000152599 -8.33747e-05 -0.000229753 -0.000335944 -8.27806e-05 -5.23233e-05 -0.000614931 -0.000373838 -9.82869e-06 -6.48989e-06 -0.00017342 7.32336e-05 3.51928e-05 5.14226e-06 3.5144e-05 2.94587e-05 -0.000135233 -0.000101614 2.98133e-11 -0.000174723 -1.39879e-05 -9.4921e-05 -3.86599e-05 -4.51546e-05 4.29619e-05 7.32572e-05 0.000172366 0.000131406 5.69886e-05 5.82899e-05 0.000258649 6.74956e-05 7.45375e-05 0.00140243 -0.000189432 0.00020482 0.000160982 4.12375e-06 -0.000205345 -0.000410953 -0.000839663 0.000748267 -4.11824e-07 5.03598e-06 0.000116464 0.000176413 0.000196867 0.000115343 8.91591e-05 9.27327e-05 -1.99461e-05 -3.10427e-05 -0.000123241 -2.86462e-06 1.47937e-05 4.90658e-05 -7.62967e-05 -9.81409e-05 7.76889e-05 -0.0010163 -0.000345827 -5.30783e-08 0.00262251 0.000398458 7.76727e-08 0.00430997 -0.00683389 -0.00251191 7.82953e-13 0.00243222 -0.0121485 0.00309955 -0.00583787 4.40513e-10 
-0.00019227 -0.000107579 -3.04241e-05 -2.64102e-05 -2.54315e-05 0.00084989 1.01785e-05 0.000290736 9.94848e-06 3.13616e-05 0.000174307 0.000218607 0.000154356 8.33586e-05 0.000394211 0.000212177 -1.07446e-05 -3.06827e-05 3.07232e-05 -1.74763e-05 5.44345e-05 -3.73626e-05 2.4385e-06 -8.48649e-05 -7.65127e-05 -5.06608e-05 -4.16395e-06 -7.54675e-05 -3.76836e-05 -2.97991e-05 -8.40231e-05 -2.52723e-05 -1.16103e-05 -2.27343e-05 6.4366e-06 1.39747e-13 4.41229e-05 1.92697e-05 5.85456e-05 0.000113383 0.000156803 0.000185671 0.000136777 0.00014783 2.98009e-05 9.76773e-05 2.02445e-05 0.000138606 1.16718e-05 3.90721e-05 8.90612e-05 -0.000408181 1.50622e-05 9.28244e-05 -0.000179239 0.000144798 -7.47299e-05 0.000159278 2.62058e-05 5.95236e-05 -6.93028e-05 2.37681e-05 -9.81025e-05 4.44598e-06 2.12721e-05 -7.75654e-05 3.5327e-05 5.91783e-07 -2.0731e-05 -7.97723e-05 7.10364e-05 3.51634e-05 -3.13838e-05 -8.30493e-06 1.65421e-05 7.87632e-07 -1.24666e-06 -1.37931e-11 2.8732e-05 3.09571e-05 0.000107561 5.44563e-05 0.000132362 0.000189814 0.000192717 6.14525e-05 0.000221304 0.000163566 3.50926e-05 0.000111035 -3.1284e-05 -5.66679e-05 -0.00040933 0.000376184 1.443e-05 -3.78589e-05 -0.000361583 0.000251544 7.01427e-06 -0.00026713 -0.000300827 -2.49161e-07 -1.98186e-07 -2.51206e-05 -3.01452e-05 -3.684e-05 -1.76448e-05 3.64245e-05 1.88567e-05 -1.14293e-05 -4.26882e-06 9.55017e-05 1.02609e-05 -1.15787e-05 2.09879e-05 3.21785e-05 -1.41727e-05 3.83937e-06 0.000181582 9.02412e-05 5.89663e-09 0.00086317 0.00113469 -3.50267e-08 -5.89923e-05 0.0013508 0.000143423 -2.94089e-13 -0.00337875 -0.000836317 0.000256015 0.000401686 -2.16548e-10 
-0.000181398 -0.000643866 -0.000108156 -7.79523e-05 -0.000117014 1.01785e-05 0.00691989 0.00143076 -0.000302228 -2.44706e-05 0.000351832 -9.15996e-05 0.000213185 0.00103563 0.00110638 0.00045185 -9.93394e-05 0.000249447 8.08615e-06 -3.13776e-05 1.80135e-05 2.14207e-05 7.94752e-05 0.000150684 4.68668e-06 0.000115311 -3.59832e-05 -2.64208e-05 -0.000130137 4.00411e-05 -0.000226334 -1.7242e-05 2.42559e-05 -0.000192049 -8.62323e-05 -6.52239e-13 -9.74498e-05 1.7742e-06 -0.00012823 2.0243e-05 -6.45437e-05 7.95381e-05 -0.000216166 0.000237307 -0.000259167 -4.48073e-05 4.68166e-05 -0.000300908 4.58679e-05 -5.83659e-06 -0.000210174 -0.00457758 0.000355439 0.000298462 -0.00117025 -0.0013917 -0.0017982 -0.000603367 -0.00106367 -0.00123913 -0.000903746 -0.00135429 -0.00137821 -0.000518095 -0.000252787 -0.00156825 -0.000713487 -5.51682e-05 -8.50634e-05 5.53413e-05 0.000631343 0.000133509 0.000795575 0.000204797 8.61312e-05 0.00064291 0.000301167 -2.14513e-10 0.000603986 9.3057e-05 0.00059868 0.000266831 0.000288719 0.000132741 0.000669138 0.000304925 0.000775567 0.000772949 0.000104286 0.00147154 0.000157792 0.000168586 0.00130877 0.00578906 0.000345689 0.000108192 0.000411932 -0.000221864 -0.000416748 0.000209482 -0.0015554 -1.7597e-06 -7.82181e-07 -9.94783e-06 8.34163e-05 7.45078e-05 0.000153764 0.000122014 0.000379414 0.00011424 -0.000104296 -0.000234756 -7.04143e-05 -7.29436e-05 -0.000123593 8.26813e-05 0.00029746 -5.27587e-05 0.000901205 0.000160925 -3.87337e-07 0.000839412 -0.000321718 1.80407e-06 -0.00107277 0.00750723 -0.000250865 -4.47571e-12 0.00391237 0.0206235 0.00120886 0.00181751 -3.04512e-09 
-0.00800787 -0.00740438 -0.000951118 -0.00158448 -0.00166338 0.000290736 0.00143076 0.0168134 -0.000127477 0.00067408 -0.000404767 0.00428337 0.00707489 0.00661694 0.0127773 0.00671629 0.00111557 0.00194158 0.000465847 0.000866395 0.000472246 -3.83391e-05 -0.000179661 -0.00105359 -0.00167577 -0.000732355 -0.000225664 -0.00142686 -0.00134482 -0.00111966 -0.00262457 -0.000801645 -0.00083375 -0.00166083 -0.0010253 -5.43517e-13 -0.00140964 -0.000184967 -0.000580873 -0.000583078 -0.0007219 -0.000394071 -0.000595926 4.39226e-05 -0.000425641 -0.000635844 5.22122e-05 -0.000880829 -3.57139e-05 -0.00024536 -0.0021767 -0.00641352 -0.00297205 0.00403354 0.00482204 0.00273881 -0.00142385 6.23389e-05 -0.000901266 -0.000700765 -0.000714672 -0.00157827 -0.00041233 -0.000197268 -7.57496e-05 -0.000243541 0.000125779 -6.67063e-05 -0.000135065 -0.000116381 -0.00167289 -0.000660535 -0.000727574 -0.000312088 -0.000256497 0.00049244 0.000459713 -4.29715e-10 0.000849064 8.54272e-05 0.000641122 0.00026623 0.000140588 -1.64165e-05 -1.38594e-05 -0.000475143 0.00014549 0.000599443 -0.000255623 0.000842979 -6.23269e-05 0.000306744 -0.00342353 -0.000975244 -0.00296315 -0.000130616 0.000592082 0.00178659 0.00210566 0.00465949 -0.000758848 -2.33205e-07 4.96047e-05 0.00129854 0.00260956 0.00321751 0.00282692 0.00343042 0.0042272 0.00401305 0.000702608 0.00146323 0.000524401 0.000710897 0.000600957 0.00128991 0.0015526 0.00182779 0.00521588 0.00147139 -3.35926e-08 -0.0020942 0.00202018 -1.21642e-07 -0.0241659 -0.0227896 0.0137589 -8.49428e-12 -0.0609246 0.065983 -0.00886346 0.00779402 -4.94522e-09 
