* MPD
estimate_values:
catchability[CSacous].q catchability[WCacous].q catchability[CRsum].q catchability[SAsum].q catchability[SAaut].q observation[CRsumbio].process_error observation[SAsumbio].process_error process[recruit_E].b0 process[recruit_W].b0 process[Instant_mortality].m{west.sa} time_varying[shifted_mu].a process[recruit_E].ycs_values{1975} process[recruit_E].ycs_values{1976} process[recruit_E].ycs_values{1977} process[recruit_E].ycs_values{1978} process[recruit_E].ycs_values{1979} process[recruit_E].ycs_values{1980} process[recruit_E].ycs_values{1981} process[recruit_E].ycs_values{1982} process[recruit_E].ycs_values{1983} process[recruit_E].ycs_values{1984} process[recruit_E].ycs_values{1985} process[recruit_E].ycs_values{1986} process[recruit_E].ycs_values{1987} process[recruit_E].ycs_values{1988} process[recruit_E].ycs_values{1989} process[recruit_E].ycs_values{1990} process[recruit_E].ycs_values{1991} process[recruit_E].ycs_values{1992} process[recruit_E].ycs_values{1993} process[recruit_E].ycs_values{1994} process[recruit_E].ycs_values{1995} process[recruit_E].ycs_values{1996} process[recruit_E].ycs_values{1997} process[recruit_E].ycs_values{1998} process[recruit_E].ycs_values{1999} process[recruit_E].ycs_values{2000} process[recruit_E].ycs_values{2001} process[recruit_E].ycs_values{2002} process[recruit_E].ycs_values{2003} process[recruit_E].ycs_values{2004} process[recruit_E].ycs_values{2005} process[recruit_E].ycs_values{2006} process[recruit_E].ycs_values{2007} process[recruit_E].ycs_values{2008} process[recruit_E].ycs_values{2009} process[recruit_E].ycs_values{2010} process[recruit_E].ycs_values{2011} process[recruit_E].ycs_values{2012} process[recruit_E].ycs_values{2013} process[recruit_E].ycs_values{2014} process[recruit_E].ycs_values{2015} process[recruit_E].ycs_values{2016} process[recruit_W].ycs_values{1975} process[recruit_W].ycs_values{1976} process[recruit_W].ycs_values{1977} process[recruit_W].ycs_values{1978} process[recruit_W].ycs_values{1979} process[recruit_W].ycs_values{1980} process[recruit_W].ycs_values{1981} process[recruit_W].ycs_values{1982} process[recruit_W].ycs_values{1983} process[recruit_W].ycs_values{1984} process[recruit_W].ycs_values{1985} process[recruit_W].ycs_values{1986} process[recruit_W].ycs_values{1987} process[recruit_W].ycs_values{1988} process[recruit_W].ycs_values{1989} process[recruit_W].ycs_values{1990} process[recruit_W].ycs_values{1991} process[recruit_W].ycs_values{1992} process[recruit_W].ycs_values{1993} process[recruit_W].ycs_values{1994} process[recruit_W].ycs_values{1995} process[recruit_W].ycs_values{1996} process[recruit_W].ycs_values{1997} process[recruit_W].ycs_values{1998} process[recruit_W].ycs_values{1999} process[recruit_W].ycs_values{2000} process[recruit_W].ycs_values{2001} process[recruit_W].ycs_values{2002} process[recruit_W].ycs_values{2003} process[recruit_W].ycs_values{2004} process[recruit_W].ycs_values{2005} process[recruit_W].ycs_values{2006} process[recruit_W].ycs_values{2007} process[recruit_W].ycs_values{2008} process[recruit_W].ycs_values{2009} process[recruit_W].ycs_values{2010} process[recruit_W].ycs_values{2011} process[recruit_W].ycs_values{2012} process[recruit_W].ycs_values{2013} process[recruit_W].ycs_values{2014} process[recruit_W].ycs_values{2015} process[recruit_W].ycs_values{2016} selectivity[sel_Whome].v{1} selectivity[sel_Whome].v{2} selectivity[sel_Whome].v{3} selectivity[sel_Whome].v{4} selectivity[sel_Whome].v{5} selectivity[sel_Whome].v{6} selectivity[sel_Whome].v{7} selectivity[sel_Espmg].v{1} selectivity[sel_Espmg].v{2} selectivity[sel_Espmg].v{3} selectivity[sel_Espmg].v{4} selectivity[sel_Espmg].v{5} selectivity[sel_Espmg].v{6} selectivity[sel_Espmg].v{7} selectivity[sel_Espmg].v{8} selectivity[sel_Wspmg].v{1} selectivity[sel_Wspmg].v{2} selectivity[sel_Wspmg].v{3} selectivity[sel_Wspmg].v{4} selectivity[sel_Wspmg].v{5} selectivity[sel_Wspmg].v{6} selectivity[sel_Wspmg].v{7} selectivity[sel_Wspmg].v{8} selectivity[Enspsl].mu selectivity[Enspsl].sigma_l selectivity[Enspsl].sigma_r selectivity[Wnspsl].mu selectivity[Wnspsl].sigma_l selectivity[Wnspsl].sigma_r selectivity[Espsl].mu selectivity[Espsl].sigma_l selectivity[Espsl].sigma_r selectivity[CRsl].mu selectivity[CRsl].sigma_l selectivity[CRsl].sigma_r selectivity[SAsl].mu selectivity[SAsl].sigma_l selectivity[SAsl].sigma_r 
0.427241 0.312844 0.0683184 0.0671708 0.0757773 0.140945 0.42364 548395 1.08267e+06 0.312711 -0.229213 0.445374 0.729389 0.792312 1.38644 1.00265 0.334373 0.455019 0.269744 0.441058 0.494116 0.400103 0.219776 1.04131 0.963455 0.430953 0.137966 0.373852 0.388578 0.379947 0.557943 0.261778 0.282508 0.44781 0.252644 0.06 0.460133 0.160863 0.266106 0.499586 0.520528 0.507644 0.600133 0.520874 0.371148 0.527895 0.156951 0.660474 0.155539 0.18518 0.728445 0.755865 1.18886 0.458692 0.814219 0.685147 0.669372 0.473072 0.520641 0.583439 0.474624 0.873087 0.83633 0.319422 0.164933 1.48007 0.774536 0.0814756 0.0818254 0.891972 1.26757 0.37652 0.955789 0.220265 0.196316 0.236428 0.200409 0.06 0.37089 0.09506 0.795529 0.465701 0.517612 0.513053 0.754752 0.636922 0.615643 0.573054 0.146177 0.967083 0.15909 0.244019 2.18651 2.14758 1.18909 0.321931 0.284915 0.459725 0.135489 0.437824 0.708208 0.999891 0.00563981 0.159122 0.320815 0.425467 0.379528 0.458763 0.59081 0.611004 0.105561 0.291362 0.270681 0.455272 0.484211 0.524957 0.652978 0.601533 3.57318 1.22245 50 5.3284 2.77815 49.9998 11.2567 10.8674 4.02625 1 46.5221 10.0928 14.8685 8.69468 1 
covariance_matrix:
0.00864182 0.00208857 0.000612847 0.000310675 0.000323923 -0.00014033 3.28074e-05 -0.00791628 -0.00225433 -0.000728173 0.000643988 -0.00260738 -0.00484924 -0.00380325 -0.00820355 -0.00558963 -0.00109296 -0.00119897 -0.000862687 -0.000701008 -0.000564927 -0.000112089 6.85153e-05 0.000512994 0.000831607 0.000598124 0.000207814 0.000760538 0.000905001 0.000946945 0.00152693 0.000685103 0.000634089 0.000971547 0.000385804 5.93279e-11 0.000714287 0.000146117 9.6274e-05 0.00039524 0.000206385 0.000304989 9.54655e-05 0.000171288 7.50064e-05 0.00018892 0.000182653 0.000347284 0.000176459 0.000112867 0.00151364 -0.00356602 0.000710428 -0.000119139 -0.000483294 -0.000719787 -0.00114995 0.000477837 0.00042818 -3.30183e-05 2.34745e-05 0.000725886 0.000145866 1.78021e-05 0.000126523 0.000775775 0.000113628 2.82063e-05 -9.7525e-07 8.36181e-05 0.000325195 0.000524495 0.000637929 5.76379e-05 0.000137002 6.1945e-05 0.00025128 5.63845e-14 0.000195726 9.57723e-05 0.000451128 0.000320337 0.000599952 0.000238047 0.000561566 0.000490646 0.000423742 0.000453302 9.82783e-05 0.000302619 3.6738e-05 0.000141352 0.000109378 0.00371555 0.000702123 0.000166037 0.000914799 0.000240214 -0.000769866 0.00214893 -0.00608222 -1.41362e-06 -6.24783e-05 -0.00159997 -0.00298641 -0.00362328 -0.00297612 -0.00334826 -0.00409549 -0.00331195 -0.000491231 -0.00101957 -0.000225894 -0.000522842 -0.000430164 -9.36179e-05 0.000291393 -0.00107837 0.000352573 8.76257e-05 -2.41331e-07 -0.00161757 -0.000332948 -2.76416e-06 0.00577736 0.0612925 -0.00370141 2.64242e-11 0.0489747 0.00200964 -0.00521826 0.00385159 -2.38423e-09 
0.00208857 0.00513034 0.000499328 0.000905594 0.000981443 -0.000111466 -0.000463812 -0.00712985 0.00112618 -0.000375413 0.000536795 -0.00198635 -0.00229184 -0.00279407 -0.00363087 -0.00311243 -0.000179242 -0.000729841 -0.000301747 -0.000306218 -0.000257942 -4.2279e-05 2.5844e-05 0.000203717 0.000678792 6.03023e-05 0.000130938 0.000513055 0.00057493 0.000300887 0.00110971 0.000235691 0.00026942 0.000621132 0.000481223 1.73046e-12 0.000529887 2.49633e-05 0.000290789 7.47382e-05 0.000272112 -1.28971e-05 0.00030262 -0.000188316 0.000127885 9.12251e-05 -6.34214e-05 0.00029043 -5.72434e-05 7.7586e-05 0.000907371 0.00393799 0.000414809 -0.000772483 -0.000201895 -0.000627319 -0.000703755 6.14899e-05 0.00025682 -0.000376548 -8.89506e-05 -2.95044e-05 -0.000584638 -8.04434e-05 -4.34914e-05 -0.000505755 -0.000668795 6.6295e-07 7.40394e-05 0.000236955 0.00122392 0.000351903 0.000494051 0.000253195 0.000180155 -0.000249115 -0.000324752 -8.22112e-14 -0.000460139 -2.06171e-06 -0.000229364 -3.81893e-05 -9.52833e-05 0.000316511 0.000130342 0.000514771 0.000376988 0.000162968 0.000198225 0.000547761 0.000139129 0.000134202 0.00302565 -0.000369432 0.000422321 0.000182306 -0.000376165 -0.000872689 -0.00126426 -0.00247874 -0.00110286 7.3484e-07 7.51576e-06 0.000111023 0.0001333 9.59991e-05 -2.82053e-05 -9.19203e-05 -0.000259657 -0.000497852 -0.000236659 -0.000520111 -0.000125712 -0.000292193 -0.0002612 -0.0006022 -0.000811573 -0.000322254 -0.00338958 -0.000905686 -8.49841e-08 0.00400062 -0.000159273 -8.07035e-07 0.00983735 -0.00512193 -0.00562046 8.84675e-13 0.0142276 -0.0506946 0.00343059 -0.00750961 9.93101e-10 
0.000612847 0.000499328 0.000156958 0.00010212 0.000115631 -2.72873e-05 -5.83565e-05 -0.00093499 7.26934e-06 -0.000190224 0.000125139 -0.000494323 -0.000859605 -0.000763265 -0.00135108 -0.000892708 -0.000152032 -0.000243606 -0.000112954 -0.000144613 -8.23632e-05 -3.06206e-05 2.00187e-06 8.77399e-05 0.000213892 4.72426e-05 3.38275e-05 0.000164222 0.000201405 0.000138362 0.000316201 0.000102923 9.8296e-05 0.000180692 9.01986e-05 3.03367e-12 0.000130847 1.26481e-05 5.60541e-05 2.74755e-05 2.41799e-05 2.07299e-05 3.34328e-05 -7.18865e-07 4.84637e-05 -1.27259e-06 2.39717e-05 2.99726e-05 1.49712e-05 1.5646e-05 0.000182891 0.00011972 -3.67705e-06 -0.000107641 -4.80649e-05 -0.000134026 -0.00032354 4.78837e-05 -8.32732e-06 -4.01182e-05 -9.18843e-06 7.55278e-05 4.20592e-06 -1.65567e-05 -2.99994e-06 -5.92844e-05 -9.34999e-05 -4.07608e-06 -2.94496e-06 -3.32105e-05 2.21182e-05 6.0157e-05 8.46305e-05 1.70406e-05 2.44141e-05 -6.13172e-05 -2.26325e-05 1.75517e-14 -5.59012e-05 2.9446e-06 7.89531e-07 9.17751e-06 3.07327e-05 3.58403e-05 7.56258e-05 0.000105986 6.37736e-05 9.45628e-05 1.28963e-05 0.000177249 2.94197e-05 3.76408e-05 0.000403424 0.000242379 -4.25738e-06 0.000153322 0.000302079 0.000151632 -8.64172e-05 0.000334714 0.000215701 4.84459e-07 3.5524e-06 7.48924e-05 0.000118638 0.000128542 8.54442e-05 6.76206e-05 6.78271e-05 9.19456e-06 1.57772e-05 -2.27463e-05 2.66392e-05 4.35161e-06 8.56541e-06 -2.3582e-05 4.79184e-05 1.58893e-06 -0.000606636 -0.00022515 -3.97513e-08 0.000163177 0.000118013 1.1121e-07 0.000190197 -0.000125477 -0.0010573 1.31961e-12 0.00143675 -0.0110768 -0.0016261 -0.000868854 3.76996e-12 
0.000310675 0.000905594 0.00010212 0.000296706 0.000284717 -2.22416e-05 -6.20266e-06 -0.00151766 0.000303819 -2.88157e-05 6.04582e-05 -0.000403836 -0.000407205 -0.000660182 -0.000757447 -0.000599545 -1.11516e-05 -0.000110521 -4.83086e-05 -3.89823e-05 -1.66123e-05 1.48951e-05 2.41989e-05 0.000154525 0.000201595 2.62591e-05 3.13406e-05 0.000147469 0.000141812 6.65499e-05 0.000268188 4.59146e-05 5.40086e-05 0.000151396 0.000115329 -9.24004e-14 0.000125844 2.44941e-06 8.45037e-05 1.57728e-05 5.94572e-05 -8.13037e-06 5.4225e-05 -4.70685e-05 5.79022e-05 1.59943e-05 -2.12604e-05 4.60537e-05 -9.49358e-06 -1.11989e-05 0.00016198 0.00119725 0.000109405 -2.33902e-05 0.000169475 8.76768e-05 -0.000144898 0.00012475 6.01285e-05 -2.01094e-05 -5.57956e-05 1.4722e-05 -0.000143873 -5.39494e-05 -1.26525e-05 -0.000254386 -0.000154088 -2.12115e-06 7.13785e-06 -2.85262e-05 0.000200908 3.99957e-05 1.86241e-05 4.15222e-05 1.62502e-05 -0.000122481 -0.000113401 -1.00716e-14 -0.000182675 -2.19001e-05 -0.000140266 -7.42398e-05 -7.30472e-05 2.16969e-05 2.45204e-06 8.08358e-05 3.42198e-05 5.11212e-06 4.72744e-05 8.66068e-05 3.37633e-05 5.47927e-05 0.000797062 -9.26427e-05 0.000106637 0.000114024 -6.37554e-05 -0.000141778 -0.000484453 -0.000617771 -4.37678e-05 -2.5811e-07 3.38017e-06 7.10066e-05 0.000110854 0.000114494 6.31455e-05 3.35157e-05 2.29617e-05 -1.33276e-05 -5.15777e-05 -8.38155e-05 3.66342e-06 9.73669e-06 5.15784e-05 -8.28521e-05 -2.59843e-05 6.49014e-05 -0.000813979 -0.000252502 1.96226e-09 0.00216293 0.00024715 1.18409e-07 0.00370785 -0.00506458 -0.00166162 -5.91828e-15 0.00254223 -0.00947137 0.00195369 -0.00512466 -4.36821e-11 
0.000323923 0.000981443 0.000115631 0.000284717 0.000399265 -2.60038e-05 -6.65835e-05 -0.00161059 0.000330099 -4.79744e-05 0.00016425 -0.000501065 -0.000471411 -0.00062962 -0.000870022 -0.000717624 -2.02339e-05 -0.000119707 -5.40206e-05 -5.50388e-05 -1.29979e-05 2.04318e-05 2.56111e-05 0.000200672 0.000255207 3.01213e-05 3.68981e-05 0.000167337 0.000172083 7.64871e-05 0.000295359 5.37758e-05 5.57841e-05 0.000169925 0.000110699 -2.2993e-12 0.000117428 -4.35654e-06 7.74166e-05 3.81004e-07 5.36401e-05 -1.96803e-05 3.31336e-05 -3.6163e-05 4.18632e-05 -1.69256e-06 -1.21227e-05 4.89579e-06 -2.03968e-05 -7.59812e-06 7.54297e-05 0.0011002 7.82069e-05 -3.8359e-05 -0.000105069 -1.2993e-05 -0.000320469 -7.31576e-06 -4.50033e-05 -0.000142095 -9.36074e-05 -0.000179281 -0.000318357 -0.000113846 -4.22612e-05 -0.000552944 -0.00032025 -1.40265e-05 -3.3092e-06 -9.37363e-05 0.0002113 3.95238e-05 0.000118629 5.44073e-05 4.8311e-05 -0.000108405 -7.81326e-05 -4.40996e-14 -0.000119617 -6.40131e-06 1.00168e-05 2.45422e-05 1.28215e-05 0.000116754 0.000160168 0.000188947 0.000161238 0.000119619 5.2254e-05 0.000307333 5.2764e-05 0.000102442 0.00127806 0.00012459 7.75515e-05 0.000160482 2.42919e-05 -0.000168628 -0.000473995 -0.000711898 -8.09089e-05 -1.20813e-07 5.03329e-06 0.000104229 0.000171933 0.000177131 0.000110188 7.65916e-05 5.48281e-05 -8.25255e-06 -4.82862e-05 -0.000120434 1.01474e-06 2.28696e-06 4.72301e-05 -7.60825e-05 -3.99505e-05 8.17567e-05 -0.000891787 -0.000302834 1.73751e-09 0.00289547 0.000572447 5.27918e-08 0.0041837 -0.00617152 -0.00202102 -9.57472e-13 0.00284521 -0.010178 0.00226289 -0.00655871 6.62102e-10 
-0.00014033 -0.000111466 -2.72873e-05 -2.22416e-05 -2.60038e-05 0.000869049 1.02189e-05 0.000239675 -9.44247e-06 2.7615e-05 0.000147322 0.000345404 0.000182069 6.61039e-05 0.000178146 0.000279119 1.46371e-05 -4.76966e-05 6.24384e-05 -6.86012e-06 5.75331e-05 -4.26376e-05 -2.15997e-05 -7.64671e-05 -0.000115574 -5.10826e-05 -1.50682e-05 -8.59256e-05 -3.73038e-05 -3.84693e-05 -0.000105115 -2.89816e-05 -2.2193e-05 -3.45817e-05 4.12264e-06 3.49014e-12 5.03671e-05 2.13689e-05 4.55799e-05 0.000103405 0.000132036 0.00018755 0.000107955 0.00012819 3.28069e-05 7.30509e-05 2.11749e-05 0.000111222 9.75724e-06 2.06386e-05 0.000119586 -0.000185037 6.92828e-05 -2.55067e-05 -6.68329e-05 -0.000271507 0.000226818 -3.8747e-05 5.0765e-05 0.000144404 -9.22953e-05 4.67889e-05 -0.000112206 1.8623e-05 2.41392e-05 -0.000100377 1.46362e-05 -1.80611e-05 -1.40275e-05 -8.72185e-05 -3.75678e-06 2.22736e-05 -5.04455e-05 -2.42764e-05 1.82943e-05 -4.59266e-06 -5.08048e-06 -3.12587e-15 3.20814e-05 1.86363e-05 0.000105535 4.10154e-05 0.000152781 0.000167533 0.000222816 7.17972e-05 0.000202616 0.00015944 2.50236e-05 1.55246e-05 -2.20229e-05 -7.95356e-05 -0.000572696 0.000309227 6.86837e-05 -2.81755e-05 -0.000357223 0.000238086 -0.000149165 -1.14926e-05 -0.000296913 -6.65913e-07 -1.38591e-06 -4.92167e-05 -8.42263e-05 -9.55599e-05 -3.94718e-05 -4.78511e-05 -4.10551e-05 -5.91328e-05 -1.31074e-05 9.01234e-05 -7.9524e-06 -8.7762e-06 2.66224e-05 4.45803e-05 -7.78089e-05 1.94395e-07 0.000120322 7.63462e-05 6.50231e-09 0.000239096 0.000750229 -3.56935e-07 -0.000124684 0.00233172 -4.38461e-06 1.45282e-12 -0.00302341 -0.000754153 0.000283815 0.000677038 -9.31506e-10 
3.28074e-05 -0.000463812 -5.83565e-05 -6.20266e-06 -6.65835e-05 1.02189e-05 0.00670985 0.00102295 -0.000242784 -8.16996e-05 0.000378409 -0.000124123 0.000857441 3.12062e-05 -0.000133248 0.000353295 -7.18243e-05 7.30452e-05 1.01378e-05 0.000108917 0.000137843 -0.000104006 6.46925e-05 0.000227744 0.00013543 3.98852e-05 5.93635e-08 -2.70669e-05 -9.288e-05 5.46829e-05 -0.000225736 1.61506e-05 6.38983e-06 -0.000133867 -0.00011313 2.37956e-11 -6.53791e-05 -1.05024e-05 -0.000121836 4.54455e-05 -0.000116614 8.51001e-05 -0.000140345 4.66197e-05 -0.000108383 4.65281e-05 1.77448e-05 -0.00018458 4.97906e-05 3.77191e-05 -0.000254522 -0.000812188 0.000818288 -0.00165047 -0.000417496 -0.00171629 -0.00122468 -0.000425181 -0.00133559 -0.00119975 -0.00115083 -0.00147243 -0.00171419 -0.000514187 -0.000190999 -0.00176569 -0.000876488 -8.34114e-05 -6.61559e-05 2.4895e-05 0.000303111 0.00014967 0.000779482 0.000110864 0.000106853 0.000467199 0.000332092 2.21004e-13 0.000498967 0.000140305 0.000493557 0.000173979 0.000336003 7.30458e-05 0.000565246 0.000525198 0.0005792 0.000599018 0.000100784 0.00128097 0.000113733 0.000237523 0.00241677 0.00179301 0.000806874 5.0206e-05 0.000369045 0.000133697 -0.000741744 0.000521971 0.000674401 -3.38977e-06 -2.07081e-06 1.19742e-05 2.19288e-05 5.64744e-06 9.91209e-05 9.6977e-07 0.000204338 2.12329e-05 -5.66361e-05 -0.000184797 -0.000133077 -5.6268e-05 -7.53197e-05 5.15796e-05 0.000144831 3.36928e-05 0.000670975 6.91452e-05 -1.71321e-07 0.0004406 6.28191e-05 -2.61533e-06 -0.00131894 0.0114221 -0.00150299 1.02482e-11 0.00420128 0.00985521 0.00102218 0.00124896 -6.01879e-09 
-0.00791628 -0.00712985 -0.00093499 -0.00151766 -0.00161059 0.000239675 0.00102295 0.0164886 -2.94059e-05 0.000652626 -0.000749538 0.00496413 0.0076408 0.00686168 0.0111674 0.00805095 0.000979998 0.00183306 0.00080626 0.00090969 0.000543222 7.30213e-05 -0.000211955 -0.000954414 -0.0016757 -0.000574094 -0.000330468 -0.0012069 -0.00134708 -0.00108013 -0.00255103 -0.000798396 -0.000828064 -0.00164281 -0.000970263 -4.16425e-11 -0.00129552 -0.000140578 -0.000564784 -0.000519054 -0.0006728 -0.00028027 -0.000468649 -4.12098e-05 -0.000356362 -0.000541053 -4.64842e-05 -0.00078932 -0.000185001 -0.000174618 -0.00276304 -0.00384546 -0.00155156 0.00234727 0.00373936 0.00103207 0.0010454 -0.000825124 -0.00118691 -0.0004948 -0.000387316 -0.00176241 -0.00017377 -0.000133385 -3.07678e-05 -0.000573088 0.000273375 -6.34201e-05 -9.76513e-05 -0.000604328 -0.00207351 -0.000837675 -0.00119314 -0.000354586 -0.000306945 0.000428045 0.000356765 9.44206e-14 0.00072196 9.08502e-07 0.000290272 6.55442e-05 -2.9036e-05 -0.000349259 -0.000308735 -0.000656529 -0.000324916 8.19756e-05 -0.000352187 0.00034741 -5.65669e-05 -8.88815e-06 -0.00397275 -0.00230611 -0.00154433 -0.000144307 0.000287159 0.00129722 0.00287164 0.00259897 0.00652344 1.55476e-06 3.94449e-05 0.00114877 0.00229676 0.00301734 0.00278335 0.00340275 0.00440511 0.00401238 0.000679541 0.0013459 0.00043379 0.000842021 0.000720191 0.00132486 0.00128439 0.00186823 0.00429827 0.00122988 2.46663e-07 -0.0073466 -0.000782206 4.77286e-06 -0.0228863 -0.0105631 0.00904482 -1.89485e-11 -0.0634242 0.0584985 -0.00665752 0.00893624 -1.58899e-11 
