* MPD
estimate_values:
catchability[CSacous].q catchability[WCacous].q catchability[CRsum].q catchability[SAsum].q catchability[SAaut].q observation[CRsumbio].process_error observation[SAsumbio].process_error process[recruit_E].b0 process[recruit_W].b0 process[Instant_mortality].m{west.sa} time_varying[shifted_mu].a process[recruit_E].ycs_values{1975} process[recruit_E].ycs_values{1976} process[recruit_E].ycs_values{1977} process[recruit_E].ycs_values{1978} process[recruit_E].ycs_values{1979} process[recruit_E].ycs_values{1980} process[recruit_E].ycs_values{1981} process[recruit_E].ycs_values{1982} process[recruit_E].ycs_values{1983} process[recruit_E].ycs_values{1984} process[recruit_E].ycs_values{1985} process[recruit_E].ycs_values{1986} process[recruit_E].ycs_values{1987} process[recruit_E].ycs_values{1988} process[recruit_E].ycs_values{1989} process[recruit_E].ycs_values{1990} process[recruit_E].ycs_values{1991} process[recruit_E].ycs_values{1992} process[recruit_E].ycs_values{1993} process[recruit_E].ycs_values{1994} process[recruit_E].ycs_values{1995} process[recruit_E].ycs_values{1996} process[recruit_E].ycs_values{1997} process[recruit_E].ycs_values{1998} process[recruit_E].ycs_values{1999} process[recruit_E].ycs_values{2000} process[recruit_E].ycs_values{2001} process[recruit_E].ycs_values{2002} process[recruit_E].ycs_values{2003} process[recruit_E].ycs_values{2004} process[recruit_E].ycs_values{2005} process[recruit_E].ycs_values{2006} process[recruit_E].ycs_values{2007} process[recruit_E].ycs_values{2008} process[recruit_E].ycs_values{2009} process[recruit_E].ycs_values{2010} process[recruit_E].ycs_values{2011} process[recruit_E].ycs_values{2012} process[recruit_E].ycs_values{2013} process[recruit_E].ycs_values{2014} process[recruit_E].ycs_values{2015} process[recruit_E].ycs_values{2016} process[recruit_W].ycs_values{1975} process[recruit_W].ycs_values{1976} process[recruit_W].ycs_values{1977} process[recruit_W].ycs_values{1978} process[recruit_W].ycs_values{1979} process[recruit_W].ycs_values{1980} process[recruit_W].ycs_values{1981} process[recruit_W].ycs_values{1982} process[recruit_W].ycs_values{1983} process[recruit_W].ycs_values{1984} process[recruit_W].ycs_values{1985} process[recruit_W].ycs_values{1986} process[recruit_W].ycs_values{1987} process[recruit_W].ycs_values{1988} process[recruit_W].ycs_values{1989} process[recruit_W].ycs_values{1990} process[recruit_W].ycs_values{1991} process[recruit_W].ycs_values{1992} process[recruit_W].ycs_values{1993} process[recruit_W].ycs_values{1994} process[recruit_W].ycs_values{1995} process[recruit_W].ycs_values{1996} process[recruit_W].ycs_values{1997} process[recruit_W].ycs_values{1998} process[recruit_W].ycs_values{1999} process[recruit_W].ycs_values{2000} process[recruit_W].ycs_values{2001} process[recruit_W].ycs_values{2002} process[recruit_W].ycs_values{2003} process[recruit_W].ycs_values{2004} process[recruit_W].ycs_values{2005} process[recruit_W].ycs_values{2006} process[recruit_W].ycs_values{2007} process[recruit_W].ycs_values{2008} process[recruit_W].ycs_values{2009} process[recruit_W].ycs_values{2010} process[recruit_W].ycs_values{2011} process[recruit_W].ycs_values{2012} process[recruit_W].ycs_values{2013} process[recruit_W].ycs_values{2014} process[recruit_W].ycs_values{2015} process[recruit_W].ycs_values{2016} selectivity[sel_Whome].v{1} selectivity[sel_Whome].v{2} selectivity[sel_Whome].v{3} selectivity[sel_Whome].v{4} selectivity[sel_Whome].v{5} selectivity[sel_Whome].v{6} selectivity[sel_Whome].v{7} selectivity[sel_Espmg].v{1} selectivity[sel_Espmg].v{2} selectivity[sel_Espmg].v{3} selectivity[sel_Espmg].v{4} selectivity[sel_Espmg].v{5} selectivity[sel_Espmg].v{6} selectivity[sel_Espmg].v{7} selectivity[sel_Espmg].v{8} selectivity[sel_Wspmg].v{1} selectivity[sel_Wspmg].v{2} selectivity[sel_Wspmg].v{3} selectivity[sel_Wspmg].v{4} selectivity[sel_Wspmg].v{5} selectivity[sel_Wspmg].v{6} selectivity[sel_Wspmg].v{7} selectivity[sel_Wspmg].v{8} selectivity[Enspsl].mu selectivity[Enspsl].sigma_l selectivity[Enspsl].sigma_r selectivity[Wnspsl].mu selectivity[Wnspsl].sigma_l selectivity[Wnspsl].sigma_r selectivity[Espsl].mu selectivity[Espsl].sigma_l selectivity[Espsl].sigma_r selectivity[CRsl].mu selectivity[CRsl].sigma_l selectivity[CRsl].sigma_r selectivity[SAsl].mu selectivity[SAsl].sigma_l selectivity[SAsl].sigma_r 
0.431164 0.300245 0.0743067 0.0592469 0.0671666 0.140482 0.430609 555125 1.13368e+06 0.295985 -0.217442 0.447817 0.726798 0.784538 1.36001 0.987756 0.329318 0.44723 0.265562 0.434181 0.488041 0.395695 0.217908 1.0364 0.958914 0.428992 0.138105 0.374999 0.391638 0.383103 0.562851 0.263985 0.284472 0.450032 0.253074 0.06 0.462197 0.161649 0.266888 0.500381 0.520026 0.508825 0.600554 0.522148 0.373005 0.526808 0.158637 0.660583 0.155995 0.185838 0.730624 0.739002 1.19515 0.457018 0.822176 0.670004 0.653899 0.465896 0.515118 0.578235 0.473277 0.871922 0.836461 0.320242 0.164968 1.47555 0.77276 0.081345 0.0815769 0.892802 1.26778 0.377216 0.959393 0.221128 0.19718 0.23795 0.202916 0.06 0.373044 0.0954844 0.795582 0.465168 0.516625 0.511259 0.75544 0.638911 0.616864 0.578407 0.145471 0.974778 0.160162 0.244438 2.19657 2.15204 1.19539 0.327833 0.307785 0.476202 0.14184 0.468361 0.750263 0.788412 0.00565851 0.160209 0.324114 0.431229 0.385459 0.46535 0.599017 0.607778 0.106144 0.287744 0.270759 0.455253 0.484657 0.527105 0.660622 0.596269 3.56716 1.22108 15.7137 5.34117 2.83934 13.3789 10.8788 11.6775 3.98165 1 46.0207 9.30042 14.2523 8.75558 1.31519 
covariance_matrix:
0.00993887 0.00197562 0.000648975 0.000247005 0.000237911 -0.000254 -0.000236276 -0.00849574 -0.00272964 -0.000683717 0.000845395 -0.00239314 -0.00576852 -0.00496181 -0.0103899 -0.00672471 -0.00122258 -0.00175411 -0.000920923 -0.000870672 -0.000653092 -0.000360282 -0.000101895 5.96057e-05 0.000910099 0.000606592 0.000204522 0.000713344 0.000875915 0.00107392 0.00138869 0.000760605 0.000749659 0.00100134 0.00044251 -6.11368e-10 0.000601915 0.000197289 -1.57205e-07 0.000379831 0.000331513 0.00035895 0.000240546 0.000357864 -2.15684e-05 0.000323399 0.000249069 0.000528754 0.000186616 0.000187015 0.00179186 -0.00343516 0.000733674 -0.00013974 -0.000755939 -0.00100934 0.000107386 -0.000277791 8.04082e-05 0.000324884 -0.000171224 0.000546484 0.000239353 0.0001847 2.55929e-05 0.000403654 -0.000110157 -5.12874e-05 -6.90496e-06 2.9137e-05 -0.000109379 7.81049e-05 0.000642787 -4.30915e-05 7.04364e-05 0.000412858 0.000270629 8.27018e-11 0.000255336 2.68741e-05 0.00032186 0.000450468 0.000396884 0.000241068 0.000362411 0.00032486 0.000229384 0.000244232 -3.26554e-05 -0.000489829 -0.000149332 -0.000251698 -0.00138871 0.00228543 0.000727103 -6.00737e-05 0.00103034 -0.00129021 5.66064e-05 -0.000232507 0.000210526 -0.0467799 -7.9722e-05 -0.00213825 -0.00382186 -0.00456233 -0.00356498 -0.00385278 -0.00458846 -0.00323688 -0.000702288 -0.00157612 -0.000376277 -0.000594018 -0.000288321 -0.000212451 0.000597832 -0.00106424 -0.000508552 -0.000383454 0.115625 -0.00258674 -0.000854779 -0.0611231 0.0113527 0.122914 -0.0078657 -7.10629e-09 0.0555973 0.0207469 -0.0129156 0.00179656 0.00725294 
0.00197562 0.00577005 0.000550417 0.00109653 0.00120118 -0.000141751 -0.000795539 -0.00852393 0.0016229 -0.00013879 0.000372958 -0.00197286 -0.00256795 -0.00277568 -0.00377636 -0.00278937 -0.000263668 -0.000733812 -0.000185465 -0.000228797 -0.000159018 -1.82855e-05 -1.58833e-05 0.000541153 0.000931812 0.000135403 6.74507e-05 0.000786269 0.000819495 0.000276359 0.00137261 0.000240041 0.000254987 0.00076719 0.00055585 -1.25833e-10 0.000574866 1.19167e-05 0.00040475 7.78586e-05 0.000302883 3.67183e-05 0.000427796 -0.000307752 0.000156528 2.37028e-05 -0.000107051 0.000292046 -0.000102595 1.21315e-05 0.000626946 0.00575876 0.0005863 -0.000984071 -0.000517693 -0.000666288 -0.000475485 0.000113047 0.000134268 -9.93145e-05 -0.00012988 -0.000189069 -0.000629802 -0.000140556 -9.89388e-05 -0.000668027 -0.000832365 -6.21192e-06 9.87845e-05 -0.000139435 0.000979687 0.000282902 0.000238145 0.000181631 0.000200134 -0.000513573 -0.000439352 2.93804e-11 -0.000691359 -5.05771e-05 -0.000351972 -0.000139213 -8.96684e-05 0.000185643 4.04873e-05 0.000708255 0.000357476 0.000159341 0.000197139 0.000538386 0.000221449 0.000157621 0.00406932 -0.000318058 0.000592305 0.000247122 -0.000494366 -0.000865836 -0.000945651 -0.00279744 0.00371039 -0.000287165 1.72831e-05 0.000266434 0.000368952 0.000279798 7.16188e-05 -3.73656e-05 -0.00020773 -0.000358249 -0.000132859 -0.00030658 -9.83303e-05 -0.000249985 -0.000235964 -0.000677971 -0.00114753 -0.000128742 -0.00321658 -0.000871132 0.0385353 0.00474155 -0.000297509 0.172781 0.0196288 -0.0451714 -0.00973789 -3.92847e-09 0.0197487 -0.0319348 0.00849586 -0.0172142 -0.00261228 
0.000648975 0.000550417 0.000280334 7.07755e-05 8.40675e-05 -4.05898e-05 -5.42572e-05 -0.000835979 4.9935e-05 -0.000392292 0.000324588 -0.000510849 -0.00102714 -0.00101837 -0.00193844 -0.0011468 -0.000267089 -0.000375566 -0.000160976 -0.000223976 -0.00016888 -8.30717e-05 -2.28388e-05 0.000167501 0.000212597 4.98841e-05 3.08814e-05 0.000279949 0.000351991 0.000201515 0.000517194 0.000144178 0.000150821 0.00026595 0.000142367 -8.02245e-11 0.000199852 2.67645e-05 0.000124875 4.90238e-05 5.96614e-05 5.10288e-05 7.04228e-05 2.94846e-06 0.000123926 -9.39275e-06 4.46608e-05 5.41103e-05 -1.23784e-05 1.4447e-05 0.000197019 0.000531509 6.38029e-05 -0.000152355 -0.000261844 -0.000410822 -0.000435793 -0.000104668 -5.21793e-05 -7.01601e-05 -2.42643e-05 1.94985e-05 -3.02109e-05 -2.511e-05 -8.81288e-06 -0.000239118 -0.000197765 -9.04269e-06 -2.47279e-07 -0.000103434 2.41242e-06 4.66704e-05 7.79434e-05 5.17217e-05 2.99889e-05 -7.92962e-05 -3.16162e-05 7.38646e-12 -8.86924e-05 -4.12002e-06 -1.97989e-05 1.10779e-05 -8.49856e-06 1.48606e-05 0.000113496 0.000209457 6.15884e-05 0.00014872 6.11865e-06 0.000284136 5.9942e-05 4.70388e-05 0.000787658 0.000143925 6.31724e-05 0.000270917 0.000626329 0.000417499 0.000218298 0.000752796 0.00240142 -0.00139805 4.47802e-06 9.49909e-05 0.000182645 0.000233622 0.000198509 0.000187742 0.000245281 1.58177e-05 1.29494e-05 -8.76154e-05 1.89764e-05 -9.23031e-06 1.60189e-05 -2.87477e-06 4.59867e-05 1.18995e-05 -0.000515446 -0.000170661 -0.104653 -0.000204391 0.000479073 -0.0438736 -0.00169207 0.012087 -0.00335722 -1.4667e-09 -0.00229405 -0.0168496 -0.0060401 0.000928711 0.00311234 
0.000247005 0.00109653 7.07755e-05 0.000385874 0.000389502 -2.59442e-05 -0.000118546 -0.00201877 0.000466589 0.000131243 -5.69938e-05 -0.000321994 -0.000437978 -0.000557541 -0.000505697 -0.000362542 -2.73682e-07 -5.30456e-05 1.21695e-05 3.28739e-05 4.62693e-05 4.54648e-05 2.49093e-05 0.000264413 0.000282057 5.44298e-05 6.59436e-06 0.00018365 0.000179063 2.87855e-05 0.000285929 2.29921e-05 3.35513e-05 0.000142347 0.000128102 -1.7663e-11 0.000107732 -1.01477e-05 9.86327e-05 -3.42583e-06 6.0074e-05 -1.36466e-05 6.78263e-05 -0.000114679 4.1414e-05 -2.02344e-05 -4.47135e-05 2.3227e-05 -3.01978e-05 -2.69527e-05 3.80092e-05 0.0016009 7.2666e-05 -5.1678e-05 -9.31002e-05 3.59855e-05 6.48695e-05 0.000105876 5.40406e-05 8.63195e-05 -2.84131e-05 -2.52722e-05 -0.000108215 -5.46544e-05 -2.43116e-05 -0.000257819 -0.000208526 -1.78405e-06 1.95472e-05 -0.000108553 0.000146806 -8.80351e-06 -7.29432e-05 2.44646e-05 6.82662e-06 -0.00016346 -0.000165136 1.02823e-11 -0.000236385 -3.23665e-05 -0.00015972 -8.27347e-05 -6.45663e-05 8.78835e-06 -1.70392e-05 0.000144048 3.61726e-05 -9.80521e-06 4.5251e-05 5.49453e-05 5.12897e-05 6.04604e-05 0.00103349 -2.68679e-05 7.06026e-05 8.36877e-05 -0.000232504 -0.000183909 -0.000421626 -0.000809857 0.000424981 0.00227259 6.94549e-06 0.000127647 0.000192776 0.000151204 6.77815e-05 1.71082e-05 -1.68302e-05 3.21374e-05 2.14059e-06 4.28766e-05 2.00616e-05 2.7438e-05 3.88553e-05 -0.000109518 -0.000182913 0.000127256 -0.000623268 -0.00018547 0.0517898 0.00239179 6.00021e-05 0.0786403 0.00768829 -0.0265663 -0.0020876 -1.00217e-09 0.00616118 -0.00144398 0.0111148 -0.00581103 -0.00746759 
0.000237911 0.00120118 8.40675e-05 0.000389502 0.000507684 -2.66629e-05 -0.000204397 -0.00215291 0.000521805 0.000123898 3.59347e-05 -0.000447473 -0.000515916 -0.000488976 -0.00054522 -0.000478657 1.87408e-05 -6.49046e-05 2.17587e-05 9.8214e-06 6.64169e-05 6.28397e-05 3.34429e-05 0.000317811 0.0003613 6.7239e-05 1.12656e-06 0.000229349 0.000218105 4.27107e-05 0.000338052 3.05619e-05 3.8134e-05 0.00016731 0.000130069 -4.3204e-11 0.000113398 -1.33306e-05 0.000100977 -4.87919e-07 5.54257e-05 -4.28424e-06 7.04922e-05 -0.000104073 2.12351e-05 -3.30319e-05 -3.99659e-05 -6.35871e-06 -3.9453e-05 -2.91526e-05 -7.83147e-05 0.00167892 9.30121e-05 -0.000128223 -0.0004122 2.73506e-06 -0.000107986 3.99545e-05 -4.91734e-05 -1.72842e-05 -0.000105944 -0.000189729 -0.000294913 -0.000112853 -5.82585e-05 -0.000503973 -0.000381648 -1.16436e-05 1.38862e-05 -0.000178896 0.000127997 -9.89215e-06 -2.63152e-05 3.98773e-05 3.46209e-05 -0.000163193 -0.000138223 1.66848e-11 -0.000191225 -1.90576e-05 -2.89264e-05 -1.76971e-05 3.53895e-05 6.78007e-05 0.00011005 0.000245594 0.000154179 9.63629e-05 5.80239e-05 0.000244635 7.75994e-05 0.000105311 0.00155131 0.00015468 9.24475e-05 0.000127885 -0.000149466 -0.000198406 -0.000438808 -0.000793993 0.000432584 0.00294491 8.63836e-06 0.000162085 0.000250735 0.000220621 0.000123268 7.68859e-05 4.64761e-05 7.00304e-05 -3.13843e-06 -2.60916e-06 9.47309e-06 1.76459e-05 3.39682e-05 -0.000104467 -0.000201001 0.000163915 -0.000700358 -0.000241421 0.0516954 0.00300981 0.000230562 0.0866962 0.008674 -0.0277505 -0.00274224 -9.98828e-10 0.00667603 -0.00135179 0.0126934 -0.00689741 -0.00856544 
-0.000254 -0.000141751 -4.05898e-05 -2.59442e-05 -2.66629e-05 0.000885616 1.73756e-05 0.000308728 1.34912e-05 4.31576e-05 0.000130067 0.000258927 0.00032941 0.000139395 0.000410142 0.000321191 3.51299e-05 -5.1337e-07 6.23595e-05 3.9525e-05 4.38053e-05 -1.36855e-06 -4.62608e-06 -6.00268e-05 -0.00014984 -4.94931e-05 -2.46724e-05 -8.92937e-05 -8.27764e-05 -4.47325e-05 -0.00012869 -4.32583e-05 -3.00395e-05 -3.08602e-05 1.2417e-06 -4.40253e-11 3.90607e-05 1.70345e-05 4.3548e-05 0.000109705 0.000116522 0.000174139 9.88673e-05 0.000116854 2.46906e-05 6.77051e-05 2.48159e-05 9.33327e-05 1.0985e-06 1.03516e-05 8.13463e-05 -0.000105985 9.40999e-05 -5.33903e-05 6.1918e-05 -0.00020895 0.000122626 2.88877e-05 0.000111386 0.000104321 -8.22827e-05 9.68348e-05 -8.49307e-05 2.26306e-05 3.19595e-05 -2.92743e-05 4.42476e-05 -1.18922e-05 -9.80815e-06 -4.36205e-05 5.62476e-05 4.70229e-05 -7.91689e-05 -5.42024e-06 1.91108e-05 -1.61169e-05 1.3366e-06 1.04323e-11 3.87127e-05 3.10338e-05 0.000132454 2.87218e-05 0.00018537 0.00019105 0.000211549 6.98687e-05 0.000220872 0.000163593 4.14212e-05 5.65346e-05 -2.00682e-05 -5.29883e-05 -0.000519656 0.000294892 9.26376e-05 -2.11685e-05 -0.000445099 0.000311147 -0.000248244 0.000127013 -0.000658257 0.00311761 -1.12011e-06 -2.46801e-05 -5.0175e-05 -5.43867e-05 -6.5823e-06 -1.40998e-05 -2.20512e-06 -4.6579e-05 -1.21138e-05 0.000123204 -1.91716e-06 -1.02128e-05 1.04075e-05 3.97847e-05 -3.51514e-05 -2.76603e-06 0.000154415 0.000106407 0.00580716 0.000208282 0.000576502 0.00264533 -9.04123e-05 0.00177638 0.000274764 1.26852e-09 -0.003398 -0.000704091 0.00127641 0.00127114 -0.000818596 
-0.000236276 -0.000795539 -5.42572e-05 -0.000118546 -0.000204397 1.73756e-05 0.00730404 0.00188137 -0.000369184 -0.000214137 0.000546773 0.000178479 0.000388613 0.000685688 0.000392404 0.00095238 -0.000151182 0.000225234 -2.54067e-05 9.0293e-05 0.000139337 -4.59945e-05 2.70496e-06 0.00035742 3.52371e-06 0.000118611 -2.205e-05 -0.000116829 -4.32674e-05 -8.0158e-06 -0.00025079 1.72521e-05 4.52955e-06 -0.000120359 -0.000144236 -7.60658e-11 -0.000136306 3.4418e-06 -0.000137489 7.10642e-06 -6.08743e-05 7.59324e-05 -0.000141005 0.000120528 -9.15931e-05 -6.27294e-05 4.55817e-05 -0.0002384 7.32472e-05 7.00389e-05 -5.46391e-05 -0.00116052 0.00025448 -0.000565126 -0.00115767 -0.0018733 -0.0014938 -0.000693421 -0.000917085 -0.00131389 -0.000807869 -0.00153261 -0.00178866 -0.000506698 -0.000192881 -0.00194638 -0.000579921 -5.93759e-05 -6.80876e-05 0.000117798 0.000842034 0.000213306 0.00111498 0.000174066 0.000208494 0.000566745 0.000462279 1.0857e-12 0.000714904 0.000134638 0.000673039 0.00037175 0.000228061 0.000117014 0.000581209 0.000549109 0.000665537 0.000879569 9.31239e-05 0.00156413 0.000179461 0.000327867 0.00215885 0.00138333 0.000244633 7.91006e-05 0.000486337 0.000121155 -0.00074737 0.000268747 -0.000551279 -0.00455963 -6.34564e-06 -5.81567e-05 5.2659e-05 9.05043e-05 0.00019411 0.000154222 0.000384211 2.05788e-05 -8.8067e-05 -0.000286248 -0.000113875 -3.67025e-05 -3.53955e-05 0.000171304 0.000261168 1.32176e-05 0.000711147 0.000206727 -0.0693829 0.000805769 0.000843197 -0.0781932 -0.00588915 0.0324847 9.73935e-05 -2.23019e-09 -0.00119554 0.00274393 -0.00456338 0.00228289 0.00222411 
-0.00849574 -0.00852393 -0.000835979 -0.00201877 -0.00215291 0.000308728 0.00188137 0.0204426 -0.000777663 -0.000259916 -0.000169149 0.00490675 0.00844606 0.00735596 0.0114626 0.00773749 0.00103138 0.00186771 0.000537883 0.000517167 0.000425697 4.80343e-05 -9.73673e-05 -0.00131624 -0.00214109 -0.000749246 -0.000186208 -0.0014994 -0.00144512 -0.00102656 -0.00262829 -0.000755483 -0.000783699 -0.0017373 -0.00113659 6.34191e-10 -0.00120718 -0.000108952 -0.000615536 -0.000442087 -0.000815877 -0.000281413 -0.000699014 0.000195731 -0.000244817 -0.000477832 2.00051e-05 -0.000864382 -4.43691e-05 -7.82035e-05 -0.00227786 -0.00718771 -0.0014843 0.00277627 0.0039326 0.00106242 -0.000709304 -0.000491158 -0.00107258 -0.00125019 -0.00048514 -0.00148046 -0.000494115 -0.000242716 8.31034e-05 -0.00052845 0.000544446 -1.68975e-05 -0.000181134 -0.000182393 -0.00179579 -0.000377489 -0.000744685 -0.000179887 -0.000265361 0.000587079 0.000660205 -1.46119e-10 0.00105111 8.05822e-05 0.000490142 5.55121e-05 6.02752e-05 -0.000398321 -4.21784e-05 -0.000921096 -0.000205642 0.000353582 -0.000324593 0.00102839 -4.73765e-05 0.000156247 -0.00452468 -0.000987699 -0.00148153 6.26679e-05 0.00135225 0.00294597 0.00233423 0.00608528 -0.00205075 0.0309573 3.30463e-05 0.00118808 0.00241975 0.00341819 0.00309107 0.003768 0.00487582 0.00368191 0.000598264 0.00113714 0.00043323 0.000777018 0.000640926 0.00165102 0.0016911 0.00153227 0.00470586 0.00139745 -0.389691 -0.00785938 0.002177 -0.388654 -0.0521094 0.0607041 0.0163774 2.19285e-09 -0.086949 0.00600915 -0.0217041 0.0337379 0.0072198 
