* MPD
estimate_values:
catchability[CSacous].q catchability[WCacous].q catchability[CRsum].q catchability[SAsum].q catchability[SAaut].q observation[CRsumbio].process_error observation[SAsumbio].process_error process[recruit_E].b0 process[recruit_W].b0 process[Instant_mortality].m{west.sa} time_varying[shifted_mu].a process[recruit_E].ycs_values{1975} process[recruit_E].ycs_values{1976} process[recruit_E].ycs_values{1977} process[recruit_E].ycs_values{1978} process[recruit_E].ycs_values{1979} process[recruit_E].ycs_values{1980} process[recruit_E].ycs_values{1981} process[recruit_E].ycs_values{1982} process[recruit_E].ycs_values{1983} process[recruit_E].ycs_values{1984} process[recruit_E].ycs_values{1985} process[recruit_E].ycs_values{1986} process[recruit_E].ycs_values{1987} process[recruit_E].ycs_values{1988} process[recruit_E].ycs_values{1989} process[recruit_E].ycs_values{1990} process[recruit_E].ycs_values{1991} process[recruit_E].ycs_values{1992} process[recruit_E].ycs_values{1993} process[recruit_E].ycs_values{1994} process[recruit_E].ycs_values{1995} process[recruit_E].ycs_values{1996} process[recruit_E].ycs_values{1997} process[recruit_E].ycs_values{1998} process[recruit_E].ycs_values{1999} process[recruit_E].ycs_values{2000} process[recruit_E].ycs_values{2001} process[recruit_E].ycs_values{2002} process[recruit_E].ycs_values{2003} process[recruit_E].ycs_values{2004} process[recruit_E].ycs_values{2005} process[recruit_E].ycs_values{2006} process[recruit_E].ycs_values{2007} process[recruit_E].ycs_values{2008} process[recruit_E].ycs_values{2009} process[recruit_E].ycs_values{2010} process[recruit_E].ycs_values{2011} process[recruit_E].ycs_values{2012} process[recruit_E].ycs_values{2013} process[recruit_E].ycs_values{2014} process[recruit_E].ycs_values{2015} process[recruit_E].ycs_values{2016} process[recruit_W].ycs_values{1975} process[recruit_W].ycs_values{1976} process[recruit_W].ycs_values{1977} process[recruit_W].ycs_values{1978} process[recruit_W].ycs_values{1979} process[recruit_W].ycs_values{1980} process[recruit_W].ycs_values{1981} process[recruit_W].ycs_values{1982} process[recruit_W].ycs_values{1983} process[recruit_W].ycs_values{1984} process[recruit_W].ycs_values{1985} process[recruit_W].ycs_values{1986} process[recruit_W].ycs_values{1987} process[recruit_W].ycs_values{1988} process[recruit_W].ycs_values{1989} process[recruit_W].ycs_values{1990} process[recruit_W].ycs_values{1991} process[recruit_W].ycs_values{1992} process[recruit_W].ycs_values{1993} process[recruit_W].ycs_values{1994} process[recruit_W].ycs_values{1995} process[recruit_W].ycs_values{1996} process[recruit_W].ycs_values{1997} process[recruit_W].ycs_values{1998} process[recruit_W].ycs_values{1999} process[recruit_W].ycs_values{2000} process[recruit_W].ycs_values{2001} process[recruit_W].ycs_values{2002} process[recruit_W].ycs_values{2003} process[recruit_W].ycs_values{2004} process[recruit_W].ycs_values{2005} process[recruit_W].ycs_values{2006} process[recruit_W].ycs_values{2007} process[recruit_W].ycs_values{2008} process[recruit_W].ycs_values{2009} process[recruit_W].ycs_values{2010} process[recruit_W].ycs_values{2011} process[recruit_W].ycs_values{2012} process[recruit_W].ycs_values{2013} process[recruit_W].ycs_values{2014} process[recruit_W].ycs_values{2015} process[recruit_W].ycs_values{2016} selectivity[sel_Whome].v{1} selectivity[sel_Whome].v{2} selectivity[sel_Whome].v{3} selectivity[sel_Whome].v{4} selectivity[sel_Whome].v{5} selectivity[sel_Whome].v{6} selectivity[sel_Whome].v{7} selectivity[sel_Espmg].v{1} selectivity[sel_Espmg].v{2} selectivity[sel_Espmg].v{3} selectivity[sel_Espmg].v{4} selectivity[sel_Espmg].v{5} selectivity[sel_Espmg].v{6} selectivity[sel_Espmg].v{7} selectivity[sel_Espmg].v{8} selectivity[sel_Wspmg].v{1} selectivity[sel_Wspmg].v{2} selectivity[sel_Wspmg].v{3} selectivity[sel_Wspmg].v{4} selectivity[sel_Wspmg].v{5} selectivity[sel_Wspmg].v{6} selectivity[sel_Wspmg].v{7} selectivity[sel_Wspmg].v{8} selectivity[Enspsl].mu selectivity[Enspsl].sigma_l selectivity[Enspsl].sigma_r selectivity[Wnspsl].mu selectivity[Wnspsl].sigma_l selectivity[Wnspsl].sigma_r selectivity[Espsl].mu selectivity[Espsl].sigma_l selectivity[Espsl].sigma_r selectivity[CRsl].mu selectivity[CRsl].sigma_l selectivity[CRsl].sigma_r selectivity[SAsl].mu selectivity[SAsl].sigma_l selectivity[SAsl].sigma_r 
0.431164 0.300245 0.0743067 0.0592469 0.0671666 0.140482 0.430609 555125 1.13368e+06 0.295985 -0.217442 0.447817 0.726798 0.784538 1.36001 0.987756 0.329318 0.44723 0.265562 0.434181 0.488041 0.395695 0.217908 1.0364 0.958914 0.428992 0.138105 0.374999 0.391638 0.383103 0.562851 0.263985 0.284472 0.450032 0.253074 0.06 0.462197 0.161649 0.266888 0.500381 0.520026 0.508825 0.600554 0.522148 0.373004 0.526808 0.158637 0.660583 0.155995 0.185838 0.730624 0.739002 1.19515 0.457018 0.822176 0.670004 0.653899 0.465896 0.515118 0.578235 0.473277 0.871922 0.836461 0.320242 0.164968 1.47555 0.77276 0.081345 0.0815769 0.892802 1.26778 0.377216 0.959393 0.221128 0.19718 0.23795 0.202916 0.06 0.373044 0.0954844 0.795582 0.465168 0.516625 0.511259 0.75544 0.638911 0.616864 0.578407 0.145471 0.974778 0.160162 0.244438 2.19657 2.15204 1.19539 0.327833 0.307785 0.476202 0.14184 0.468361 0.750263 0.788412 0.00565851 0.160209 0.324114 0.431229 0.385459 0.46535 0.599017 0.607778 0.106144 0.287744 0.270759 0.455253 0.484657 0.527105 0.660622 0.596269 3.56716 1.22108 15.7137 5.34117 2.83934 13.3789 10.8788 11.6775 3.98165 1 25.5 9.30042 14.2523 8.75558 1.31519 
covariance_matrix:
0.00897941 0.00244812 0.000682918 0.000399452 0.000437938 -0.000151115 -0.000419867 -0.00866934 -0.00221443 -0.000774329 0.000775343 -0.00279708 -0.00559455 -0.00553884 -0.0110168 -0.00583602 -0.0014285 -0.00206568 -0.000777138 -0.00124746 -0.000913016 -0.000235666 -6.1572e-05 0.000147035 0.00131337 0.000362871 0.000183206 0.000835299 0.000953249 0.000853225 0.00137339 0.000615707 0.000544518 0.000962711 0.000325121 1.12761e-11 0.000523816 9.76829e-05 -2.48076e-05 0.000133611 1.25358e-05 8.87968e-05 0.000197325 -7.73265e-05 0.000167205 1.77131e-05 0.000104416 0.000174885 0.000156818 6.56384e-05 0.00120563 -0.00384354 0.00164859 -0.000735168 -0.000779189 -3.17133e-05 -0.000205441 0.000377 -0.000403161 0.000266036 0.000882829 7.49706e-05 0.000162536 0.000283002 -8.75914e-05 7.09418e-05 -0.000545727 6.05195e-05 4.06048e-06 -0.000181054 -0.000101286 0.000436443 0.000558545 5.55527e-05 0.000215125 -8.37181e-05 0.000244874 3.27591e-11 4.71334e-05 5.77348e-05 9.40195e-05 0.000130522 0.000366087 7.8982e-05 -6.58041e-05 0.000225486 -0.0002731 0.000264824 5.77487e-06 0.000279472 -4.12878e-05 2.59242e-05 0.000533064 0.00591855 0.00163781 0.000132152 0.000922088 0.000186984 -0.00101927 0.0023276 -0.00287847 -3.60541e-06 -5.79466e-05 -0.00156032 -0.00295886 -0.00363118 -0.00294083 -0.00332547 -0.00421447 -0.0031792 -0.000189492 -0.000927527 -0.000311527 -0.000193049 -0.000387391 -0.000228557 -1.53242e-05 -0.00115669 0.00020354 0.000183828 9.98879e-11 -0.00214645 0.000318722 -1.91693e-07 0.00575034 0.051189 -0.00371261 1.15529e-12 0.0495426 0.0121767 -0.00542939 0.00396568 9.18795e-09 
0.00244812 0.00531364 0.000565663 0.00097877 0.00105444 -9.78654e-05 -0.00078535 -0.00771235 0.00116105 -0.000415524 0.000546742 -0.00136421 -0.00327448 -0.00214882 -0.00517571 -0.00298641 -0.000224415 -0.00104183 -0.000308057 -0.000362629 -0.000130901 0.000163782 6.89104e-05 0.000500088 0.00102968 0.00015182 8.96614e-05 0.000682933 0.000752443 0.000358429 0.00125835 0.000327437 0.000279347 0.000781277 0.000444307 1.07469e-11 0.00056757 3.96695e-05 0.000319542 0.00012142 0.000221405 7.70655e-05 0.000392956 -0.000108798 0.000349558 0.000126719 -5.24198e-05 0.000254118 1.21125e-05 3.5928e-06 0.000557251 0.00441723 0.0016866 -0.000438995 -0.000710231 0.000477109 0.000450846 -0.000251292 -0.000307821 9.1452e-05 0.00071797 -0.000386251 -0.00010667 -0.000106377 -6.01469e-05 -0.000777939 -0.000543552 2.01652e-05 8.34919e-05 0.000223506 0.00092882 0.000580144 0.000542755 0.00017212 0.000279043 -0.00045687 -0.000223852 3.05108e-11 -0.000538267 -7.07286e-05 -0.000368336 -0.000216251 -9.3029e-05 4.09267e-05 -0.000215033 0.000264401 3.81919e-05 0.000154747 0.000283624 0.00106973 8.30648e-05 0.000144442 0.00342532 -0.000578426 0.00169431 0.000129993 -0.000624524 -0.000668223 -0.00128346 -0.00156988 0.00188317 -3.50435e-06 1.20938e-05 0.000170105 0.00023688 4.78223e-05 -5.00552e-05 -0.000335501 -0.000430569 -0.000674038 -2.39432e-05 -0.000120848 -5.91415e-05 -0.000116168 -0.000317005 -0.000561611 -0.00101703 -0.000436275 -0.00324513 -0.000783096 5.9549e-11 0.00373793 0.000907421 -3.99147e-06 0.00941072 -0.022762 -0.00695203 1.09318e-12 0.0136693 -0.0551333 0.00411914 -0.0050387 7.6674e-10 
0.000682918 0.000565663 0.000166518 0.000120656 0.000132095 -2.25246e-05 -0.000111302 -0.00108985 1.84246e-05 -0.000192119 0.000169944 -0.000414385 -0.000945071 -0.000922832 -0.00170566 -0.00092579 -0.000197045 -0.000322104 -0.000116456 -0.000192502 -0.000120567 -2.35943e-05 6.46539e-06 9.33956e-05 0.000247713 3.59594e-05 2.16955e-05 0.000188464 0.000202869 0.000126309 0.000309205 9.46606e-05 8.56788e-05 0.000181836 8.06858e-05 1.9883e-12 0.000110131 7.01832e-06 4.478e-05 3.61235e-06 3.51891e-06 -2.01945e-06 5.61624e-05 -4.2591e-05 6.31282e-05 -2.68925e-05 3.14923e-06 -3.72544e-06 8.40008e-06 -8.0163e-06 0.00015659 0.000126704 0.00018474 -5.41211e-05 -0.000122524 -2.32182e-05 -5.20254e-05 -5.47016e-05 -0.000106514 3.84872e-05 0.000162378 4.11013e-05 3.67603e-05 5.98852e-06 -1.23536e-05 -9.10852e-05 -0.000116718 2.31776e-06 7.08704e-06 -5.34251e-05 5.21182e-05 8.29842e-05 9.40134e-05 2.5682e-05 3.85519e-05 -7.40794e-05 -9.96146e-06 5.77795e-12 -5.94684e-05 -2.31268e-06 -1.62059e-05 -8.05341e-06 2.07726e-05 1.77666e-05 -7.4544e-06 0.000100288 -3.2446e-06 7.83402e-05 1.97505e-05 0.000225191 1.5121e-05 3.04441e-05 0.000478054 0.000246902 0.000182736 0.000130085 0.000278245 0.000205337 -0.000278885 0.000507104 0.000817439 -5.23964e-07 4.02404e-06 7.75793e-05 0.000115235 0.000113435 7.66445e-05 2.96537e-05 1.96181e-05 -2.65205e-05 5.89209e-05 9.4565e-06 2.12387e-05 5.1054e-05 -5.61583e-06 -4.1145e-05 -1.67855e-05 -2.86799e-05 -0.000544463 -0.000175521 4.50644e-12 -0.000152864 1.3522e-06 -2.91527e-07 0.000514049 -0.00258429 -0.00150172 2.00481e-13 0.00151504 -0.0111274 -0.00114984 -0.000355733 1.105e-09 
0.000399452 0.00097877 0.000120656 0.00031958 0.000300663 -2.61046e-05 -7.05081e-05 -0.00167694 0.000328781 -4.32046e-05 7.54962e-05 -0.000275473 -0.000686496 -0.000486052 -0.00101692 -0.000562067 -6.39967e-05 -0.000189749 -5.25221e-05 -5.87471e-05 -1.75812e-05 2.33774e-05 1.73692e-05 0.00012747 0.00024478 1.82226e-05 3.87446e-06 0.000166764 0.000156521 5.74789e-05 0.000271041 5.21235e-05 4.55677e-05 0.00015603 0.000102574 1.98372e-12 0.000106563 -4.99954e-06 7.05322e-05 -1.32109e-05 2.2598e-05 -2.74696e-05 4.37167e-05 -6.20988e-05 7.52706e-05 -1.63292e-05 -3.01413e-05 2.38286e-05 -8.82391e-06 -3.17261e-05 7.2267e-05 0.00160957 0.000272674 -6.41559e-05 -4.77671e-05 0.000409095 0.000120614 4.29882e-05 2.67534e-05 6.84865e-05 0.000213201 1.42752e-05 1.81717e-05 -6.05495e-06 5.72758e-06 -0.000154485 -0.00012661 1.20599e-05 1.72183e-05 4.56375e-05 0.000222623 0.000107271 7.61826e-05 3.55598e-05 4.40107e-05 -0.000125158 -9.01484e-05 5.69346e-12 -0.000162914 -1.97975e-05 -0.000101083 -5.34156e-05 -2.56463e-05 3.80294e-05 3.57684e-06 9.44994e-05 2.13624e-05 6.49728e-05 6.31779e-05 0.000237762 4.25648e-05 5.49041e-05 0.000897639 -0.000534098 0.000271225 0.000100624 -0.000122168 -0.000143241 -0.000408959 -0.000495667 0.000338861 -3.46217e-07 4.89918e-06 9.20198e-05 0.000143729 0.000115185 6.06507e-05 5.36097e-06 -1.14234e-05 -5.59915e-05 6.09542e-06 7.88836e-06 2.23077e-05 4.64175e-05 3.61008e-05 -6.89663e-05 -7.6091e-05 2.41181e-05 -0.000774594 -0.00021244 -6.85687e-12 0.00172616 0.000188569 -8.37888e-07 0.00315316 -0.00994439 -0.00164451 2.01216e-13 0.0022063 -0.0119059 0.00173588 -0.00463581 9.13417e-10 
0.000437938 0.00105444 0.000132095 0.000300663 0.00040647 -2.7818e-05 -0.000119073 -0.0017424 0.000337673 -6.39836e-05 0.00018452 -0.000377931 -0.000677739 -0.000589102 -0.00111992 -0.00059009 -9.18072e-05 -0.000204882 -5.11677e-05 -5.96936e-05 -1.92565e-06 3.32919e-05 1.63917e-05 0.00020233 0.000323422 3.81599e-05 5.83694e-06 0.000209522 0.000202762 7.80727e-05 0.000325674 6.78339e-05 6.2469e-05 0.000182766 0.000110284 1.91729e-12 0.000115379 -4.55311e-07 7.06005e-05 -3.34873e-06 3.00117e-05 -2.074e-05 8.31483e-05 -5.88322e-05 6.68914e-05 -9.72019e-06 -2.60313e-05 1.34355e-05 -2.38828e-06 -2.08295e-05 3.38221e-05 0.00153737 0.000357231 -0.000109397 -0.000495608 0.000238034 6.94717e-06 -0.000104577 -9.56965e-05 -2.33138e-05 6.33227e-05 -0.000134498 -0.000203123 -5.87047e-05 -2.43034e-05 -0.000460832 -0.000298307 -2.37749e-07 1.21626e-05 -6.52607e-05 0.000146677 9.69991e-05 9.5554e-05 4.61318e-05 5.83928e-05 -0.000109649 -6.71464e-05 5.59311e-12 -0.000119678 -1.52537e-05 4.75916e-06 5.34416e-06 4.15843e-05 0.000101281 6.66461e-05 0.000183681 0.000109446 0.000143821 8.8853e-05 0.000409978 7.48452e-05 0.000113783 0.00152649 -0.000250059 0.000357549 0.00013743 -1.33488e-05 -0.00017618 -0.000448247 -0.000489343 0.000382009 -3.20728e-07 6.09219e-06 0.000118557 0.000182919 0.000159068 8.81857e-05 3.64511e-05 4.34794e-06 -4.18001e-05 2.39462e-06 -5.95745e-05 1.80281e-05 5.07233e-05 5.19714e-05 -7.45139e-05 -9.20837e-05 4.42694e-05 -0.00088236 -0.000287995 1.00636e-11 0.00236708 0.000482235 -1.43613e-06 0.00337461 -0.0106336 -0.00196997 1.97454e-13 0.00262846 -0.011726 0.0020151 -0.00583044 8.86942e-10 
-0.000151115 -9.78654e-05 -2.25246e-05 -2.61046e-05 -2.7818e-05 0.000860445 3.68313e-05 0.000281154 2.99568e-06 2.14847e-05 0.000103716 0.000109047 4.45648e-05 0.000312945 0.00020315 0.00032873 6.84011e-05 6.51686e-05 -2.91082e-05 3.71588e-05 -1.74056e-05 1.89487e-05 -2.28135e-05 -6.80517e-05 -7.96496e-05 5.69308e-06 -1.03929e-05 -3.28983e-05 -2.46936e-05 2.16831e-05 -4.51104e-05 -2.40893e-06 1.15821e-05 -1.98505e-07 6.98024e-06 3.65222e-13 3.65679e-05 2.92162e-05 4.99282e-05 0.000102045 0.000127259 0.000149735 0.000195416 7.25808e-05 3.5333e-05 9.73335e-05 -4.41735e-06 0.000117577 -4.68127e-06 -1.30506e-05 3.5627e-05 0.00010689 -8.21605e-05 0.000106751 4.38387e-06 -0.000190888 -0.000107173 3.25693e-05 5.11733e-05 -2.54112e-05 -1.08032e-05 -6.6839e-05 -4.04426e-05 6.52157e-05 2.14932e-05 2.68277e-05 1.66337e-05 8.42877e-06 2.44883e-06 -0.000107233 7.13996e-05 -3.15755e-05 -6.19022e-05 -1.43028e-05 8.2119e-06 1.57098e-05 2.20462e-05 1.09256e-12 6.07843e-05 1.56232e-05 0.000148532 9.06384e-05 0.000189204 0.000224637 0.000134763 0.000131216 0.000201194 0.00015639 2.88491e-05 4.03576e-05 3.32398e-05 1.3605e-05 -0.000557772 -0.000250258 -7.99564e-05 -4.12367e-05 -0.000294165 0.000260465 -6.22865e-05 -0.000251012 1.66723e-06 -3.81948e-07 4.04419e-07 -2.06846e-06 8.33085e-06 -4.29695e-06 9.53096e-06 6.44839e-05 1.90443e-05 7.50849e-06 3.80203e-05 0.000115258 3.62418e-05 1.03247e-05 1.88516e-05 -1.89297e-05 -4.62194e-05 2.03573e-05 0.000177329 0.000106448 -2.34985e-11 0.000490677 0.00082421 2.6378e-07 0.00045278 0.00066109 -0.00056961 5.23661e-14 -0.0037804 -0.000866476 0.000471444 0.000938558 -1.52537e-10 
-0.000419867 -0.00078535 -0.000111302 -7.05081e-05 -0.000119073 3.68313e-05 0.00725165 0.0016765 -0.000254943 -4.60339e-05 0.000314288 -3.5247e-05 0.00177296 -0.000322242 0.00209491 0.00106214 -8.98718e-05 0.000171393 0.000198322 0.000166279 6.45585e-05 8.95218e-05 -8.70892e-05 0.000325972 0.000324778 6.04169e-05 4.22053e-05 -8.93029e-05 -2.59933e-05 4.36392e-05 -0.000253425 5.35835e-05 2.82318e-05 -4.97585e-05 -5.52397e-05 2.40448e-13 -4.97259e-05 5.11512e-05 -0.000129433 6.91052e-05 -4.70433e-05 0.000113237 -0.000124059 4.38264e-05 -0.000104572 -0.000132069 5.09321e-05 -0.000299179 7.2475e-05 -5.67556e-05 -0.000623756 -0.00308853 0.000260358 -0.00214107 0.000297469 -0.000772939 -0.00255842 -0.000897777 -0.00151972 -0.00141938 -0.0009772 -0.00184335 -0.00203734 -0.000521794 -0.000240801 -0.00252611 -0.000807794 -3.5403e-05 -5.97458e-05 0.000159728 0.000210678 0.00014399 0.000803568 8.62313e-05 0.000179967 0.000475751 0.000343678 9.85391e-13 0.000566003 8.29135e-05 0.000485936 0.000206808 0.000288369 0.000134292 0.000568722 0.000488312 0.00061462 0.000859567 7.54508e-05 0.00134742 0.000142155 0.000215999 0.00229578 0.00245406 0.000254888 5.23481e-06 0.000521508 -0.000200425 -0.000436411 -0.000303892 -0.00240966 -3.73532e-06 2.10411e-06 8.82703e-05 0.000206551 0.0002342 0.000262414 0.000216788 0.000436679 0.000249359 4.67337e-06 -0.000258877 -6.6683e-05 -6.04402e-05 -9.72402e-06 0.000116343 9.3985e-05 -1.62704e-05 0.000602394 0.000122459 -3.80354e-11 0.00108026 1.01689e-05 6.86106e-06 -0.00456806 0.00504848 0.0024216 3.55321e-14 0.00231303 0.0182556 0.000814711 0.00141386 -2.6839e-09 
-0.00866934 -0.00771235 -0.00108985 -0.00167694 -0.0017424 0.000281154 0.0016765 0.0176622 -0.000122826 0.000782798 -0.00088378 0.00456064 0.00971521 0.00763711 0.0151444 0.0082226 0.00149909 0.00288881 0.000918948 0.00128348 0.000765446 8.42137e-05 -7.04007e-05 -0.000753263 -0.00231434 -0.000418198 -0.00020691 -0.00145546 -0.00152782 -0.00102388 -0.00256559 -0.000806286 -0.000737165 -0.00170475 -0.000863884 -1.96971e-11 -0.00113884 -9.05825e-05 -0.000407796 -0.000229063 -0.000383608 -0.000145319 -0.000626191 0.000143213 -0.000610982 -0.000294225 4.64173e-05 -0.000725298 -0.000144703 -0.000111173 -0.00222469 -0.00518366 -0.00336743 0.00239642 0.00418694 -0.000364176 -0.000793389 -0.000552865 2.09529e-05 -0.00107383 -0.0020333 -0.000771732 -0.00119548 -0.000438694 4.23631e-05 -0.00031074 0.000622296 -0.000125311 -0.000140156 -0.000418053 -0.00170936 -0.00103142 -0.00123483 -0.000290189 -0.000471755 0.00067032 0.000267256 -5.6843e-11 0.000820815 7.15328e-05 0.000570804 0.000259305 2.63556e-05 -0.000112314 0.000357735 -0.000310504 0.000432534 6.62382e-05 -0.00034676 -0.000242717 9.19126e-06 5.14888e-05 -0.00435264 -0.00185781 -0.00335424 -8.79594e-05 0.000814422 0.000963526 0.00286683 0.00116982 0.000574951 5.64277e-06 2.70409e-05 0.000993684 0.00208353 0.00296421 0.00266778 0.00342067 0.00447088 0.00396417 0.000162916 0.000666316 0.000386018 0.000327204 0.000684998 0.00130019 0.00172507 0.00203652 0.00402036 0.000840666 -1.73803e-10 -0.00545498 -0.00211482 6.06153e-06 -0.0219745 0.0156164 0.0107966 -2.01672e-12 -0.0607328 0.0573232 -0.00552991 0.00656991 -6.79652e-09 
