* MPD
estimate_values:
catchability[CSacous].q catchability[WCacous].q catchability[CRsum].q catchability[SAsum].q catchability[SAaut].q observation[CRsumbio].process_error observation[SAsumbio].process_error process[recruit_E].b0 process[recruit_W].b0 process[Instant_mortality].m{west.sa} time_varying[shifted_mu].a process[recruit_E].ycs_values{1975} process[recruit_E].ycs_values{1976} process[recruit_E].ycs_values{1977} process[recruit_E].ycs_values{1978} process[recruit_E].ycs_values{1979} process[recruit_E].ycs_values{1980} process[recruit_E].ycs_values{1981} process[recruit_E].ycs_values{1982} process[recruit_E].ycs_values{1983} process[recruit_E].ycs_values{1984} process[recruit_E].ycs_values{1985} process[recruit_E].ycs_values{1986} process[recruit_E].ycs_values{1987} process[recruit_E].ycs_values{1988} process[recruit_E].ycs_values{1989} process[recruit_E].ycs_values{1990} process[recruit_E].ycs_values{1991} process[recruit_E].ycs_values{1992} process[recruit_E].ycs_values{1993} process[recruit_E].ycs_values{1994} process[recruit_E].ycs_values{1995} process[recruit_E].ycs_values{1996} process[recruit_E].ycs_values{1997} process[recruit_E].ycs_values{1998} process[recruit_E].ycs_values{1999} process[recruit_E].ycs_values{2000} process[recruit_E].ycs_values{2001} process[recruit_E].ycs_values{2002} process[recruit_E].ycs_values{2003} process[recruit_E].ycs_values{2004} process[recruit_E].ycs_values{2005} process[recruit_E].ycs_values{2006} process[recruit_E].ycs_values{2007} process[recruit_E].ycs_values{2008} process[recruit_E].ycs_values{2009} process[recruit_E].ycs_values{2010} process[recruit_E].ycs_values{2011} process[recruit_E].ycs_values{2012} process[recruit_E].ycs_values{2013} process[recruit_E].ycs_values{2014} process[recruit_E].ycs_values{2015} process[recruit_E].ycs_values{2016} process[recruit_W].ycs_values{1975} process[recruit_W].ycs_values{1976} process[recruit_W].ycs_values{1977} process[recruit_W].ycs_values{1978} process[recruit_W].ycs_values{1979} process[recruit_W].ycs_values{1980} process[recruit_W].ycs_values{1981} process[recruit_W].ycs_values{1982} process[recruit_W].ycs_values{1983} process[recruit_W].ycs_values{1984} process[recruit_W].ycs_values{1985} process[recruit_W].ycs_values{1986} process[recruit_W].ycs_values{1987} process[recruit_W].ycs_values{1988} process[recruit_W].ycs_values{1989} process[recruit_W].ycs_values{1990} process[recruit_W].ycs_values{1991} process[recruit_W].ycs_values{1992} process[recruit_W].ycs_values{1993} process[recruit_W].ycs_values{1994} process[recruit_W].ycs_values{1995} process[recruit_W].ycs_values{1996} process[recruit_W].ycs_values{1997} process[recruit_W].ycs_values{1998} process[recruit_W].ycs_values{1999} process[recruit_W].ycs_values{2000} process[recruit_W].ycs_values{2001} process[recruit_W].ycs_values{2002} process[recruit_W].ycs_values{2003} process[recruit_W].ycs_values{2004} process[recruit_W].ycs_values{2005} process[recruit_W].ycs_values{2006} process[recruit_W].ycs_values{2007} process[recruit_W].ycs_values{2008} process[recruit_W].ycs_values{2009} process[recruit_W].ycs_values{2010} process[recruit_W].ycs_values{2011} process[recruit_W].ycs_values{2012} process[recruit_W].ycs_values{2013} process[recruit_W].ycs_values{2014} process[recruit_W].ycs_values{2015} process[recruit_W].ycs_values{2016} selectivity[sel_Whome].v{1} selectivity[sel_Whome].v{2} selectivity[sel_Whome].v{3} selectivity[sel_Whome].v{4} selectivity[sel_Whome].v{5} selectivity[sel_Whome].v{6} selectivity[sel_Whome].v{7} selectivity[sel_Espmg].v{1} selectivity[sel_Espmg].v{2} selectivity[sel_Espmg].v{3} selectivity[sel_Espmg].v{4} selectivity[sel_Espmg].v{5} selectivity[sel_Espmg].v{6} selectivity[sel_Espmg].v{7} selectivity[sel_Espmg].v{8} selectivity[sel_Wspmg].v{1} selectivity[sel_Wspmg].v{2} selectivity[sel_Wspmg].v{3} selectivity[sel_Wspmg].v{4} selectivity[sel_Wspmg].v{5} selectivity[sel_Wspmg].v{6} selectivity[sel_Wspmg].v{7} selectivity[sel_Wspmg].v{8} selectivity[Enspsl].mu selectivity[Enspsl].sigma_l selectivity[Enspsl].sigma_r selectivity[Wnspsl].mu selectivity[Wnspsl].sigma_l selectivity[Wnspsl].sigma_r selectivity[Espsl].mu selectivity[Espsl].sigma_l selectivity[Espsl].sigma_r selectivity[CRsl].mu selectivity[CRsl].sigma_l selectivity[CRsl].sigma_r selectivity[SAsl].mu selectivity[SAsl].sigma_l selectivity[SAsl].sigma_r 
0.431164 0.300245 0.0743067 0.0592469 0.0671666 0.140482 0.430609 555125 1.13368e+06 0.295985 -0.217442 0.447817 0.726798 0.784538 1.36001 0.987756 0.329318 0.44723 0.265562 0.434181 0.488041 0.395695 0.217908 1.0364 0.958914 0.428992 0.138105 0.374999 0.391638 0.383103 0.562851 0.263985 0.284472 0.450032 0.253074 0.06 0.462197 0.161649 0.266888 0.500381 0.520026 0.508825 0.600554 0.522148 0.373004 0.526808 0.158637 0.660583 0.155995 0.185838 0.730624 0.739002 1.19515 0.457018 0.822176 0.670004 0.653899 0.465896 0.515118 0.578235 0.473277 0.871922 0.836461 0.320242 0.164968 1.47555 0.77276 0.081345 0.0815769 0.892802 1.26778 0.377216 0.959393 0.221128 0.19718 0.23795 0.202916 0.06 0.373044 0.0954844 0.795582 0.465168 0.516625 0.511259 0.75544 0.638911 0.616864 0.578407 0.145471 0.974778 0.160162 0.244438 2.19657 2.15204 1.19539 0.327833 0.307785 0.476202 0.14184 0.468361 0.750263 0.788412 0.00565851 0.160209 0.324114 0.431229 0.385459 0.46535 0.599017 0.607778 0.106144 0.287744 0.270759 0.455253 0.484657 0.527105 0.660622 0.596269 3.56716 1.22108 15.7137 5.34117 2.83934 13.3789 10.8788 11.6775 3.98165 1 25.5 9.30042 14.2523 8.75558 1.31519 
covariance_matrix:
0.00891309 0.00238246 0.000683351 0.000356457 0.000362298 -0.000216897 -0.000202972 -0.0083412 -0.00229045 -0.000830714 0.000930809 -0.00284704 -0.00535376 -0.00522232 -0.0103857 -0.00563254 -0.00163102 -0.00149934 -0.000894279 -0.00119848 -0.000838116 -0.000576384 -7.887e-05 -0.000173919 0.000855128 0.000441713 0.0001484 0.000959896 0.000859305 0.0010715 0.00137655 0.000710726 0.000594896 0.00076909 0.000434908 -6.84811e-12 0.000554863 0.000163795 6.3509e-05 0.000202637 0.000278114 0.000137342 -1.96765e-05 0.000228347 0.000172329 0.000214556 0.000150684 0.000564587 -5.26921e-06 0.000231076 0.00160486 8.78215e-05 0.000902678 0.00050783 -0.00120463 -0.00126388 0.000318676 0.00031429 -4.00541e-05 5.05165e-05 -1.23422e-05 0.000683412 0.000189546 8.87833e-05 4.39178e-05 0.00055017 -2.87201e-05 7.21102e-06 -6.74154e-06 -0.000404005 -0.000353535 5.03214e-06 0.0006365 -9.68514e-05 0.000114104 0.000239355 0.000130776 -1.03503e-10 0.000132703 1.28158e-05 0.000222837 0.000442002 0.000158699 0.000363719 0.000665081 0.000153057 -0.000108732 0.000135815 -8.94133e-05 -0.000444893 -0.000134874 6.94506e-06 -0.000383885 -0.00031807 0.000903809 3.35423e-05 0.0010606 -0.000438904 0.000354578 0.00122158 -0.0022914 5.49527e-06 -7.18733e-05 -0.00183618 -0.00336662 -0.00392465 -0.00308658 -0.00324655 -0.00401957 -0.00281117 -0.000468878 -0.00132703 -0.000411273 -0.000522801 -0.000333971 -0.000178613 0.000224942 -0.0008739 -0.000642496 -0.000212136 4.0194e-07 -0.00332344 -0.000552149 1.437e-06 0.00620462 0.0893564 -0.00533671 -1.20176e-11 0.0493086 0.00394641 -0.00557981 0.00636574 -1.80421e-08 
0.00238246 0.00540767 0.000550147 0.000974917 0.00104677 -0.000115227 -0.000726784 -0.00757267 0.0011334 -0.000411408 0.00058712 -0.00125861 -0.00375007 -0.00261246 -0.00464599 -0.00299911 -0.000631682 -0.00081215 -0.000362625 -0.000351654 -0.000278883 -0.000127941 2.43832e-05 0.0003389 0.000669512 0.000210329 2.97536e-05 0.000764646 0.000597596 0.000468026 0.00116768 0.000337099 0.000304215 0.000641391 0.000496066 -3.3076e-12 0.00056702 5.10021e-05 0.000312199 0.000160864 0.000300013 5.23818e-05 0.000271003 -2.43365e-05 0.000257975 0.000241761 -8.99118e-05 0.000474543 -2.74861e-05 -1.71768e-05 0.000896998 0.00768957 0.00104368 -0.000227039 -0.00128759 -0.000297533 -0.000352821 3.29096e-05 -0.000150932 -0.000230845 0.000346837 -0.000420121 -0.000119871 -7.45096e-05 -6.25395e-05 -0.00067719 -0.000512938 4.73025e-05 5.17568e-05 -1.41463e-05 0.000722803 0.000251379 0.000483939 0.000119258 0.000155462 -0.000248073 -0.000346145 -3.24795e-11 -0.000555509 -5.0638e-05 -0.000377568 -0.00014376 -0.000170689 0.000153529 9.0284e-05 0.000149676 0.00011585 9.67604e-07 0.000282593 0.000397084 6.57217e-05 0.000163125 0.0030739 -0.00351099 0.00104719 0.000100516 -0.000493708 -0.00110454 -0.000939315 -0.00297986 0.00154105 3.96226e-06 -1.5039e-06 -3.07054e-06 -6.99202e-05 -0.000124063 -0.000128335 -0.000150196 -0.000215588 -0.000268613 -0.000262564 -0.000559684 -0.000159182 -0.000289972 -0.000238977 -0.000492181 -0.00081609 -0.000119936 -0.00374972 -0.00107034 -4.03486e-08 0.00426856 0.000992377 2.05837e-06 0.0106508 0.00751349 -0.00702575 -4.41156e-12 0.0137239 -0.0559586 0.00472181 -0.00560996 -1.47221e-08 
0.000683351 0.000550147 0.000165787 0.000114288 0.000125743 -2.98258e-05 -8.01567e-05 -0.00103491 1.13704e-06 -0.000198886 0.000181736 -0.000417172 -0.000970318 -0.000868831 -0.00168142 -0.000927733 -0.000222737 -0.000264219 -0.000137425 -0.000191317 -0.000141162 -7.44044e-05 1.60372e-06 5.59032e-05 0.000178055 5.24839e-05 1.17393e-05 0.000212849 0.000191337 0.000158615 0.000311471 0.000107596 9.59849e-05 0.000163485 9.81099e-05 -6.6476e-13 0.000122774 1.62427e-05 5.6458e-05 1.60973e-05 4.75086e-05 5.89096e-06 1.84103e-05 5.96532e-06 7.07132e-05 -1.50784e-06 1.25466e-05 6.36243e-05 -1.54981e-05 1.59496e-05 0.000205908 0.000505808 6.27611e-05 6.15648e-05 -0.000335347 -0.00021144 -0.000134196 -4.44736e-05 -5.58466e-05 -1.16183e-06 7.5167e-05 6.79419e-05 2.31367e-05 1.03774e-05 -7.11687e-06 -7.37101e-05 -8.67227e-05 8.5241e-07 2.46569e-06 -9.32856e-05 2.04241e-05 1.76854e-05 0.000104213 9.81883e-06 2.35261e-05 -3.00971e-05 -2.80767e-05 -1.26196e-11 -4.93763e-05 -6.3322e-06 4.18138e-06 4.12193e-05 -9.65814e-06 6.83383e-05 0.000118749 8.38097e-05 1.54059e-05 7.87947e-05 5.16566e-06 0.000131892 1.84474e-05 2.96753e-05 0.00044211 -0.000137331 6.17197e-05 0.000138373 0.000311682 0.000103973 -0.000124699 0.00032502 0.000818421 1.79858e-06 1.59404e-06 3.32646e-05 4.91941e-05 6.27149e-05 5.46494e-05 5.58553e-05 6.48672e-05 4.24428e-05 -1.82991e-07 -7.6644e-05 2.77912e-06 3.37423e-06 -2.21643e-07 -2.62315e-05 4.26928e-05 2.81904e-05 -0.000646823 -0.000231933 3.84792e-08 -0.000284727 -0.000176685 2.13698e-07 0.000896736 0.00425083 -0.00186441 -1.54338e-12 0.00158781 -0.0113074 -0.00109447 -0.000240504 -2.48966e-09 
0.000356457 0.000974917 0.000114288 0.000315762 0.000299534 -3.07331e-05 -6.92144e-05 -0.00161323 0.000325651 -3.7449e-05 7.12142e-05 -0.000280761 -0.000822384 -0.00051057 -0.000953216 -0.000551638 -0.000115745 -0.000120309 -6.6524e-05 -5.41368e-05 -3.26282e-05 2.29002e-06 5.48499e-06 6.5984e-05 0.000215537 3.59854e-05 -1.10939e-05 0.000190526 0.000138294 8.83874e-05 0.000269786 6.08087e-05 5.75679e-05 0.000142602 0.000115783 -9.04495e-13 0.0001218 1.48069e-06 8.53257e-05 2.25313e-05 6.31065e-05 -2.85788e-06 3.92404e-05 -3.55683e-05 7.20952e-05 2.27739e-05 -2.57346e-05 0.000107418 -2.6256e-05 -1.59465e-05 0.00019051 0.00195224 0.000145683 1.79189e-05 -0.000171031 0.00022345 2.76739e-05 5.54799e-05 2.20626e-05 1.60079e-05 8.8562e-05 1.42914e-05 1.19767e-05 -7.65057e-06 -1.19836e-05 -0.000127103 -0.00012284 4.71788e-06 3.41182e-06 -7.83032e-06 0.000163417 2.48853e-05 5.08243e-05 2.33571e-05 1.42473e-05 -9.73754e-05 -0.000112286 -5.94297e-12 -0.000180961 -1.59724e-05 -0.000129292 -6.02608e-05 -5.81456e-05 2.5209e-05 4.53309e-05 7.30796e-05 1.61322e-05 3.55798e-05 6.00408e-05 0.000104918 4.36487e-05 6.28651e-05 0.000840995 -0.000697538 0.000143182 9.61202e-05 -9.053e-05 -0.000184383 -0.000341734 -0.00075825 0.000311331 2.22965e-07 2.81532e-06 6.99719e-05 9.67701e-05 9.32082e-05 4.79959e-05 5.26829e-05 3.55032e-05 3.14756e-05 -4.5218e-05 -7.02004e-05 5.33305e-06 9.5222e-06 4.7306e-05 -6.39258e-05 -5.11801e-05 8.71731e-05 -0.000805219 -0.000239368 1.50683e-08 0.0021046 0.000365362 5.85682e-07 0.0036067 -0.00471119 -0.00175604 -9.13336e-13 0.00231665 -0.01134 0.00259824 -0.00452933 -5.52557e-09 
0.000362298 0.00104677 0.000125743 0.000299534 0.000410298 -2.96152e-05 -0.000128548 -0.00166631 0.000351776 -5.45364e-05 0.000178989 -0.000328196 -0.000881902 -0.000630685 -0.00101198 -0.0005795 -0.000102089 -0.000145683 -8.47357e-05 -5.2853e-05 -4.0552e-05 -4.68062e-06 1.37971e-05 0.000105423 0.000270553 3.71057e-05 -9.9898e-06 0.000217067 0.000176481 8.8304e-05 0.000307011 6.18422e-05 5.98183e-05 0.000155879 0.000114424 -1.24028e-12 0.000112268 -2.47212e-06 8.03759e-05 5.86773e-06 4.55799e-05 -1.3488e-05 3.72277e-05 -4.47656e-05 6.16321e-05 -6.6688e-06 -2.99893e-05 6.42374e-05 -2.62204e-05 -2.13569e-05 0.000131792 0.00193605 0.00017104 -2.09372e-05 -0.000439959 3.97647e-05 -0.00017724 -4.29551e-05 -7.99161e-05 -0.000133293 -2.30275e-05 -0.000145839 -0.0001728 -6.00071e-05 -4.39657e-05 -0.000430365 -0.000322878 -3.47535e-06 -4.29046e-08 -0.0001087 0.000123526 8.61325e-06 7.37564e-05 3.86307e-05 3.67084e-05 -9.01245e-05 -8.96188e-05 -7.05729e-12 -0.000136718 -6.01926e-06 -1.65065e-05 9.9755e-06 2.49604e-05 8.60473e-05 0.000158537 0.00016898 9.89694e-05 0.000134927 7.93748e-05 0.000287195 5.58043e-05 0.000127059 0.00134894 -0.00046331 0.000170714 0.000138937 1.64369e-05 -0.000194153 -0.000408465 -0.000750061 0.000611578 3.97711e-07 4.05211e-06 9.4789e-05 0.000142999 0.000154433 9.13436e-05 0.000100082 7.37737e-05 5.96573e-05 -5.11084e-05 -0.000142924 -3.46638e-06 1.04217e-05 6.26022e-05 -6.44992e-05 -5.18012e-05 0.000115082 -0.00082941 -0.000264104 2.02635e-08 0.00277145 0.000644939 6.46933e-07 0.00415637 -0.00450078 -0.00219439 -1.17268e-12 0.0025084 -0.0117862 0.00314031 -0.00569244 -6.08819e-09 
-0.000216897 -0.000115227 -2.98258e-05 -3.07331e-05 -2.96152e-05 0.00086931 6.7965e-06 0.0003472 1.56099e-05 3.32944e-05 7.27405e-05 0.000151175 0.000324278 0.000207376 0.000446697 0.000394956 8.72555e-05 8.8089e-05 -2.20813e-05 5.98362e-05 -9.6189e-06 3.9768e-06 -1.3978e-05 -5.59923e-05 -0.000124945 9.07103e-06 -1.2317e-05 -6.07062e-05 -3.47173e-05 3.45536e-06 -6.37538e-05 -1.74894e-05 3.20505e-06 -1.3596e-07 -1.04132e-06 -4.00496e-13 2.96668e-05 2.52379e-05 4.77048e-05 9.45566e-05 0.000118247 0.00013963 0.000196646 7.44458e-05 4.68909e-05 9.33993e-05 -7.90785e-06 0.000107245 9.71385e-07 1.78976e-06 -7.74838e-06 -0.000216007 7.56531e-05 1.95055e-05 -4.11251e-05 1.61019e-05 2.29382e-05 1.094e-05 2.01372e-06 -3.40509e-05 -2.83887e-05 -3.46623e-05 -8.13948e-05 8.21385e-05 2.21824e-05 6.20071e-05 1.43118e-05 1.1471e-06 3.83658e-06 -8.21622e-05 0.000108903 -2.75541e-05 -7.29885e-05 6.14864e-06 8.42871e-06 1.71172e-06 2.39366e-05 6.12417e-12 5.42566e-05 1.42161e-05 0.000129183 7.14573e-05 0.000176733 0.000216639 0.00011654 0.000125701 0.000189296 0.0001642 4.52631e-05 6.78272e-05 3.67565e-05 9.55772e-06 -0.000430463 0.000218285 7.69879e-05 -3.62968e-05 -0.000291478 0.00025276 5.53604e-06 -0.000358519 -2.50781e-05 1.50197e-07 4.13472e-07 -2.83548e-06 1.23612e-05 3.20945e-06 1.31271e-05 6.20201e-05 3.2771e-06 1.35844e-05 3.16616e-05 9.25345e-05 2.19029e-05 -2.36621e-06 2.82568e-05 -1.13226e-05 -3.94216e-05 1.47966e-05 0.000206263 0.000106822 1.96963e-08 0.000416325 0.000599141 -2.84318e-08 8.58265e-05 0.000226521 -0.000158036 3.47863e-13 -0.00380115 -0.00126597 0.000444522 0.000544676 2.00692e-10 
-0.000202972 -0.000726784 -8.01567e-05 -6.92144e-05 -0.000128548 6.7965e-06 0.00711396 0.00149573 -0.000329633 -6.96904e-05 0.000310448 -0.000455644 0.000677481 -0.000112301 0.00162983 0.000313178 -7.65353e-05 0.000321657 1.86533e-05 0.000150403 -0.000116094 -3.96334e-05 -4.62262e-05 0.000268407 0.00012069 3.73401e-06 9.39075e-05 -0.000163104 1.22831e-06 3.28524e-05 -0.000218297 1.97999e-05 -3.48185e-06 -0.000113921 -8.69389e-05 -4.98566e-12 -0.000142673 2.32854e-05 -0.000133222 1.8959e-05 -0.000109079 3.75871e-05 -0.000160619 2.46467e-05 -0.000183348 -0.000211379 4.2653e-05 -0.000393059 6.07893e-05 -5.99294e-05 -0.000839962 0.00056299 0.000502342 -0.000843667 -0.000575253 -0.00212905 -0.00185257 -0.000555978 -0.000921983 -0.00150984 -0.00109949 -0.00144738 -0.00167233 -0.000537195 -0.000213987 -0.00222808 -0.000597109 -5.46646e-05 -7.89087e-05 0.000372848 0.000376537 8.98099e-05 0.000890568 0.000143841 0.000180038 0.000472279 0.000359196 -7.9679e-11 0.000607479 7.40739e-05 0.000637403 0.000274617 0.000360241 0.000206137 0.000647032 0.000597891 0.000832536 0.00101138 6.05127e-05 0.00170594 0.000118331 0.000249219 0.00215018 -0.000474176 0.000496824 7.3915e-05 0.000731612 -0.000212775 0.000150431 0.000119837 -0.00165241 -7.43187e-06 -1.17489e-06 1.63603e-05 0.000104375 0.000115355 0.000110423 0.00013608 0.000236671 0.000112881 2.54145e-05 -0.00024236 -6.43056e-05 -0.000137527 -7.6083e-05 0.000184998 0.000147123 -3.66638e-05 0.000483185 -1.36106e-05 -1.15488e-06 0.00137029 -0.000129298 -2.09611e-06 -0.00204372 0.00924665 -0.000743389 -1.03243e-11 0.00384461 0.015923 -0.000556512 0.000567112 1.50379e-08 
-0.0083412 -0.00757267 -0.00103491 -0.00161323 -0.00166631 0.0003472 0.00149573 0.0169845 -5.55308e-05 0.00077851 -0.00102667 0.00452117 0.00949335 0.00734624 0.0135888 0.00775963 0.00198779 0.0019921 0.000973015 0.00117275 0.000867858 0.000490889 -2.4399e-06 -0.000428021 -0.00173818 -0.000586018 -0.000102265 -0.00172052 -0.00130401 -0.00132384 -0.00252209 -0.000909312 -0.000814492 -0.00144747 -0.00101015 1.11475e-11 -0.00122608 -0.000180727 -0.00054995 -0.000460235 -0.000816033 -0.000286558 -0.000440772 -0.000280591 -0.000642196 -0.000730354 1.06291e-05 -0.00145037 -1.95623e-05 -0.000206784 -0.00304001 -0.00973252 -0.0020083 0.00118509 0.00474022 0.00109302 -0.000121839 -0.000869048 -0.000354604 -0.000516582 -0.000908001 -0.0012538 -0.00108121 -0.000261504 -2.39996e-05 -0.000605613 0.000228082 -9.04862e-05 -9.34584e-05 0.000236646 -0.00120487 -0.000380581 -0.00115806 -0.000126246 -0.000254045 0.00026301 0.00046237 1.35405e-10 0.000826009 8.83778e-05 0.000611985 2.65604e-05 0.000393739 -0.000317087 -0.000400875 -7.47163e-05 0.000403396 0.000424724 -0.000245176 0.00102711 5.49322e-05 7.85322e-05 -0.00310662 0.00285736 -0.00200055 -4.01109e-05 0.000648438 0.00187937 0.000842782 0.00445882 -0.000770483 -9.48555e-06 5.26748e-05 0.00140608 0.00275991 0.00341772 0.00289639 0.00320714 0.00409291 0.00321151 0.000686735 0.0014595 0.000524449 0.000854905 0.000522844 0.00122704 0.00136765 0.00147123 0.00484553 0.00122554 -5.03521e-07 -0.00688328 -0.00303831 -4.59738e-06 -0.0235249 -0.0461549 0.0111659 1.69556e-11 -0.0608704 0.0611877 -0.00789906 0.00501304 3.85047e-08 
