* MPD
estimate_values:
catchability[CSacous].q catchability[WCacous].q catchability[CRsum].q catchability[SAsum].q catchability[SAaut].q observation[CRsumbio].process_error observation[SAsumbio].process_error process[recruit_E].b0 process[recruit_W].b0 process[Instant_mortality].m{west.sa} time_varying[shifted_mu].a process[recruit_E].ycs_values{1975} process[recruit_E].ycs_values{1976} process[recruit_E].ycs_values{1977} process[recruit_E].ycs_values{1978} process[recruit_E].ycs_values{1979} process[recruit_E].ycs_values{1980} process[recruit_E].ycs_values{1981} process[recruit_E].ycs_values{1982} process[recruit_E].ycs_values{1983} process[recruit_E].ycs_values{1984} process[recruit_E].ycs_values{1985} process[recruit_E].ycs_values{1986} process[recruit_E].ycs_values{1987} process[recruit_E].ycs_values{1988} process[recruit_E].ycs_values{1989} process[recruit_E].ycs_values{1990} process[recruit_E].ycs_values{1991} process[recruit_E].ycs_values{1992} process[recruit_E].ycs_values{1993} process[recruit_E].ycs_values{1994} process[recruit_E].ycs_values{1995} process[recruit_E].ycs_values{1996} process[recruit_E].ycs_values{1997} process[recruit_E].ycs_values{1998} process[recruit_E].ycs_values{1999} process[recruit_E].ycs_values{2000} process[recruit_E].ycs_values{2001} process[recruit_E].ycs_values{2002} process[recruit_E].ycs_values{2003} process[recruit_E].ycs_values{2004} process[recruit_E].ycs_values{2005} process[recruit_E].ycs_values{2006} process[recruit_E].ycs_values{2007} process[recruit_E].ycs_values{2008} process[recruit_E].ycs_values{2009} process[recruit_E].ycs_values{2010} process[recruit_E].ycs_values{2011} process[recruit_E].ycs_values{2012} process[recruit_E].ycs_values{2013} process[recruit_E].ycs_values{2014} process[recruit_E].ycs_values{2015} process[recruit_E].ycs_values{2016} process[recruit_W].ycs_values{1975} process[recruit_W].ycs_values{1976} process[recruit_W].ycs_values{1977} process[recruit_W].ycs_values{1978} process[recruit_W].ycs_values{1979} process[recruit_W].ycs_values{1980} process[recruit_W].ycs_values{1981} process[recruit_W].ycs_values{1982} process[recruit_W].ycs_values{1983} process[recruit_W].ycs_values{1984} process[recruit_W].ycs_values{1985} process[recruit_W].ycs_values{1986} process[recruit_W].ycs_values{1987} process[recruit_W].ycs_values{1988} process[recruit_W].ycs_values{1989} process[recruit_W].ycs_values{1990} process[recruit_W].ycs_values{1991} process[recruit_W].ycs_values{1992} process[recruit_W].ycs_values{1993} process[recruit_W].ycs_values{1994} process[recruit_W].ycs_values{1995} process[recruit_W].ycs_values{1996} process[recruit_W].ycs_values{1997} process[recruit_W].ycs_values{1998} process[recruit_W].ycs_values{1999} process[recruit_W].ycs_values{2000} process[recruit_W].ycs_values{2001} process[recruit_W].ycs_values{2002} process[recruit_W].ycs_values{2003} process[recruit_W].ycs_values{2004} process[recruit_W].ycs_values{2005} process[recruit_W].ycs_values{2006} process[recruit_W].ycs_values{2007} process[recruit_W].ycs_values{2008} process[recruit_W].ycs_values{2009} process[recruit_W].ycs_values{2010} process[recruit_W].ycs_values{2011} process[recruit_W].ycs_values{2012} process[recruit_W].ycs_values{2013} process[recruit_W].ycs_values{2014} process[recruit_W].ycs_values{2015} process[recruit_W].ycs_values{2016} selectivity[sel_Whome].v{1} selectivity[sel_Whome].v{2} selectivity[sel_Whome].v{3} selectivity[sel_Whome].v{4} selectivity[sel_Whome].v{5} selectivity[sel_Whome].v{6} selectivity[sel_Whome].v{7} selectivity[sel_Espmg].v{1} selectivity[sel_Espmg].v{2} selectivity[sel_Espmg].v{3} selectivity[sel_Espmg].v{4} selectivity[sel_Espmg].v{5} selectivity[sel_Espmg].v{6} selectivity[sel_Espmg].v{7} selectivity[sel_Espmg].v{8} selectivity[sel_Wspmg].v{1} selectivity[sel_Wspmg].v{2} selectivity[sel_Wspmg].v{3} selectivity[sel_Wspmg].v{4} selectivity[sel_Wspmg].v{5} selectivity[sel_Wspmg].v{6} selectivity[sel_Wspmg].v{7} selectivity[sel_Wspmg].v{8} selectivity[Enspsl].mu selectivity[Enspsl].sigma_l selectivity[Enspsl].sigma_r selectivity[Wnspsl].mu selectivity[Wnspsl].sigma_l selectivity[Wnspsl].sigma_r selectivity[Espsl].mu selectivity[Espsl].sigma_l selectivity[Espsl].sigma_r selectivity[CRsl].mu selectivity[CRsl].sigma_l selectivity[CRsl].sigma_r selectivity[SAsl].mu selectivity[SAsl].sigma_l selectivity[SAsl].sigma_r 
0.431164 0.300245 0.0743067 0.0592469 0.0671665 0.140482 0.430608 555124 1.13368e+006 0.295985 -0.217442 0.447819 0.726793 0.784536 1.36001 0.987755 0.329318 0.447229 0.265562 0.434181 0.48804 0.395695 0.217908 1.0364 0.958914 0.428992 0.138105 0.375 0.391639 0.383104 0.56285 0.263984 0.284472 0.450032 0.253074 0.06 0.462197 0.161649 0.266888 0.500381 0.520028 0.508824 0.600553 0.522148 0.373005 0.526808 0.158637 0.660584 0.155996 0.185838 0.730627 0.739003 1.19515 0.457018 0.822181 0.670005 0.653897 0.465897 0.515117 0.578235 0.473277 0.871923 0.836462 0.320243 0.164969 1.47555 0.77276 0.081345 0.0815768 0.892803 1.26778 0.377216 0.959394 0.221128 0.19718 0.23795 0.202916 0.06 0.373045 0.0954844 0.795582 0.465168 0.516626 0.511258 0.755439 0.638912 0.616864 0.578407 0.145471 0.974777 0.160162 0.244439 2.19657 2.15204 1.19539 0.327833 0.307785 0.476201 0.14184 0.468362 0.750259 0.788416 0.0056585 0.160209 0.324113 0.431229 0.385459 0.46535 0.599017 0.607778 0.106144 0.287744 0.270759 0.455253 0.484657 0.527105 0.660622 0.596269 3.56716 1.22108 15.7137 5.34117 2.83934 13.3788 10.8788 11.6775 3.98165 1 1 9.30042 14.2523 8.75558 1.3152 
covariance_matrix:
0.00898841 0.00185603 0.000610626 0.000235666 0.000231219 -0.00024635 -0.000198166 -0.00759777 -0.00232522 -0.000597039 0.000740825 -0.00207378 -0.00548947 -0.00433064 -0.00918277 -0.00578975 -0.00126314 -0.00176421 -0.000612913 -0.00117397 -0.000541144 -0.000502221 4.86015e-005 0.000160238 0.000773284 0.000670834 0.000171527 0.000753285 0.000918979 0.00106689 0.00132332 0.000684362 0.000658898 0.000873277 0.000422679 4.83602e-012 0.000654838 0.000148752 -9.14121e-006 0.000298993 0.000240352 0.00036011 0.000187749 0.000401893 1.78457e-005 0.000403814 9.11571e-005 0.000658841 0.000147804 0.000278583 0.00103934 -0.000515485 0.000816653 -0.000246902 8.67785e-005 -0.000644392 -0.000123084 -0.00013971 -0.000115674 0.000503767 -7.80188e-006 0.000704555 2.44361e-006 7.03606e-005 9.86326e-005 0.000609583 -8.72559e-005 3.84594e-006 2.04558e-005 -8.93536e-005 -0.00011594 0.000114295 0.000407566 0.000114921 8.00951e-005 0.000227368 0.000160391 -3.28372e-011 7.98403e-005 6.92764e-006 0.00017537 0.000261299 0.000250563 8.25582e-005 0.000375476 -2.54623e-005 -0.000109124 1.564e-005 -6.25949e-005 -0.000856295 -0.000193598 -0.000182513 -0.000549655 -0.00076239 0.000841215 7.60438e-005 0.000578736 -0.000328363 -0.000775253 -0.000748705 -0.00221142 -0.0217071 -7.04907e-005 -0.00179346 -0.00333356 -0.00402261 -0.00316789 -0.0035035 -0.00418101 -0.00289266 -0.000394225 -0.00104829 -0.000335746 -0.000460049 -0.000227226 -6.36052e-005 0.00032964 -0.00100361 -6.27391e-005 -3.80242e-005 0.0963031 -0.00051707 0.000197073 -0.0457878 0.00753603 0.0940029 -0.00526069 1.16259e-007 1.14908e-008 0.0118708 -0.012269 0.00104028 0.0091708 
0.00185603 0.00498307 0.00048309 0.0009355 0.00102205 -0.000128411 -0.000742781 -0.0075284 0.00142699 -0.000110313 0.000534975 -0.000752996 -0.00307077 -0.002451 -0.00389772 -0.00191767 -0.000522265 -0.000618982 -0.000178382 -0.000293217 -0.000128504 3.60138e-006 2.1273e-005 0.000522556 0.000669929 0.000117562 1.9619e-005 0.000696146 0.000715232 0.000234026 0.00123743 0.000213789 0.000245026 0.000635305 0.000462467 -5.48115e-012 0.000497053 -4.05928e-005 0.00035421 7.40977e-005 0.000205173 8.19422e-005 0.000108603 -0.000216847 0.000125004 6.96959e-005 -0.000119705 0.000208592 -7.58053e-005 -4.39813e-005 0.000723596 0.00559166 0.00104 -0.000712573 -0.0013184 -0.000447243 0.000187872 -3.76728e-006 7.00459e-005 0.000123484 1.72691e-005 0.000229526 -0.00011891 -0.000107046 -6.66608e-006 -0.000597438 -0.000466556 3.39386e-006 7.91524e-005 -0.000135811 0.000812814 0.000435148 0.00024016 0.00023807 0.000144841 -0.000389881 -0.000359259 -7.26494e-011 -0.000550389 -2.99624e-005 -1.49168e-005 -1.72268e-006 4.88612e-005 0.000375055 0.000470475 0.000520669 0.000194217 0.000271674 0.000242059 0.000982545 0.000230157 0.000295756 0.00419548 -0.000168648 0.00103585 0.000145989 -0.0005676 -0.00043792 -0.00158823 -0.00213441 0.00228441 0.0131914 1.28091e-005 0.000157978 0.000211102 0.000100812 2.76018e-006 -0.000152062 -0.000244428 -0.000205282 -0.000128473 -0.00014764 -0.000192636 -0.000286515 -0.000372897 -0.000551463 -0.000985129 1.77417e-005 -0.00270592 -0.000707294 0.0274327 0.00230162 -0.000814292 0.1708 0.0130279 -0.0374914 -0.00500202 -5.79595e-008 2.62592e-009 -0.0261063 0.00846767 -0.0142753 -0.00185519 
0.000610626 0.00048309 0.00025321 5.74321e-005 6.73178e-005 -4.2106e-005 -3.75679e-005 -0.000740183 4.42234e-005 -0.000349967 0.000254723 -0.000384511 -0.0010195 -0.00096311 -0.00177092 -0.00102499 -0.000270666 -0.000349844 -0.000142888 -0.000213886 -0.000178344 -8.99296e-005 -8.77074e-006 0.000111497 0.000144638 1.53814e-005 2.05684e-005 0.000237548 0.000298441 0.00018694 0.000448705 0.000137672 0.000116527 0.000227859 0.000126089 -7.69827e-013 0.000174379 1.4045e-005 0.000109847 3.23691e-005 4.88582e-005 2.76242e-005 8.23318e-005 -1.59028e-005 0.000123873 3.85669e-006 3.62267e-005 5.62694e-005 -1.4339e-006 1.53169e-005 0.000186286 0.000176256 0.000119139 -0.000142981 -0.000321763 -0.000362836 -0.000251091 -7.22149e-005 -8.77989e-005 -4.05528e-005 5.89024e-005 0.000129915 1.90615e-005 1.81033e-005 -7.68995e-006 -0.000109246 -0.000124471 -3.67072e-006 8.77448e-006 -3.33601e-005 0.000111498 5.15017e-005 0.0001218 4.65286e-005 4.23776e-005 -5.75528e-005 -2.84498e-005 -1.85601e-011 -4.87435e-005 6.64819e-006 4.60025e-005 2.85563e-005 3.63382e-005 5.29906e-005 0.000134377 0.000145834 7.62588e-005 0.000163528 5.35297e-006 0.000342384 5.31683e-005 6.44961e-005 0.000858114 0.000278229 0.000118145 0.000235395 0.000536398 0.000402086 -3.97135e-005 0.000953437 0.00114679 0.00677375 4.46181e-006 8.47402e-005 0.000161526 0.00019828 0.00017257 0.000166745 0.00019291 9.38087e-006 1.84116e-005 -5.41449e-005 1.05891e-005 1.36402e-006 -2.50113e-006 2.6318e-005 1.70975e-005 2.65257e-006 -0.000618911 -0.000205508 -0.089186 -0.000520353 0.000121151 -0.0373412 -0.00193321 0.0104301 -0.0026913 6.22759e-010 2.90384e-009 -0.0161114 -0.00587771 0.000585633 0.00344507 
0.000235666 0.0009355 5.74321e-005 0.000333119 0.000328337 -1.7778e-005 -8.15887e-005 -0.00174694 0.000397197 0.000119457 1.86039e-005 -7.55906e-005 -0.000631807 -0.000457735 -0.000572688 -0.000226788 -7.57234e-005 -5.42243e-005 -7.96979e-006 -2.10601e-006 5.12002e-005 5.04645e-005 1.69066e-005 0.000191862 0.000225592 4.01457e-005 2.94578e-006 0.000157128 0.000138151 2.45705e-005 0.000230301 2.28834e-005 2.68363e-005 0.000115469 9.79098e-005 -4.9825e-013 8.85477e-005 -1.64411e-005 8.75223e-005 9.64701e-006 5.0372e-005 4.5536e-006 -8.54703e-006 -7.47636e-005 1.00611e-005 1.54334e-005 -4.59323e-005 1.93004e-006 -3.33194e-005 -3.26979e-005 0.00012723 0.00155141 6.3411e-005 -1.04102e-005 -0.000320844 5.14719e-005 0.000228507 4.91107e-005 0.000123197 0.000127436 -5.89716e-006 7.51186e-005 3.12247e-005 -2.72945e-005 6.11174e-006 -0.000155572 -0.000119424 7.71191e-007 1.0165e-005 -8.10445e-005 0.00014597 7.50796e-005 -6.08872e-005 4.25253e-005 1.98861e-005 -0.000136856 -0.000131879 2.15625e-011 -0.000177382 -2.52099e-005 -7.43126e-005 -3.55795e-005 2.22255e-006 8.78483e-005 9.94789e-005 0.000123305 5.77534e-005 1.97176e-005 5.44977e-005 0.000165999 5.10938e-005 7.39804e-005 0.000879344 -0.000139937 6.41728e-005 3.65429e-005 -0.000235844 -0.000128715 -0.000454993 -0.000736296 0.000431957 0.00300699 5.18948e-006 8.82686e-005 0.000120434 9.30596e-005 4.06824e-005 2.64497e-006 -1.61656e-005 7.48972e-005 -1.83614e-006 5.29278e-005 -6.05724e-006 5.21749e-006 -6.50812e-006 -7.11848e-005 -0.0001385 0.000148244 -0.000456867 -0.000124256 0.0438802 0.00142122 -0.000289135 0.0729327 0.00521195 -0.0224199 -0.000556715 -1.68901e-008 -4.20463e-010 -0.000243435 0.0112305 -0.0040907 -0.00761271 
0.000231219 0.00102205 6.73178e-005 0.000328337 0.000426976 -1.73309e-005 -0.000153086 -0.00184078 0.000439637 0.000111314 0.000123037 -8.3648e-005 -0.000730416 -0.000453619 -0.000578967 -0.000263248 -6.1009e-005 -3.75192e-005 4.2296e-006 7.96826e-006 6.17917e-005 6.16937e-005 1.60661e-005 0.000235597 0.000262546 4.73613e-005 1.04524e-005 0.000190028 0.00017986 3.0737e-005 0.000280914 2.73508e-005 3.30854e-005 0.000133049 0.000101434 -1.37962e-012 9.82191e-005 -1.83135e-005 8.29453e-005 1.14728e-005 3.75452e-005 1.31263e-005 -5.90147e-006 -9.23626e-005 6.00242e-006 6.69751e-006 -3.88541e-005 -1.01648e-005 -3.12815e-005 -3.60754e-005 0.000110133 0.00190121 0.000134688 -7.37528e-005 -0.000553243 -6.25771e-005 0.00014429 -1.35653e-005 3.87614e-005 -1.72136e-005 -5.8513e-005 -0.000108596 -0.000158054 -8.40679e-005 -1.99275e-005 -0.000471965 -0.000261109 -2.32311e-006 8.52826e-006 -0.000155433 0.000145528 8.95924e-005 -2.29409e-005 5.09951e-005 3.25957e-005 -0.000116991 -0.000107248 1.6776e-011 -0.000139984 -4.99475e-006 4.69043e-005 3.0086e-005 7.52669e-005 0.000159067 0.000214478 0.000219206 0.000156556 0.000119285 7.04737e-005 0.000335667 6.82184e-005 0.000120958 0.00128324 -0.000232368 0.000135048 7.86653e-005 -0.000172413 -0.000165411 -0.000459571 -0.000703584 0.000503481 0.00334537 5.9322e-006 0.000107587 0.000162603 0.000136334 7.67141e-005 4.56436e-005 2.49133e-005 9.86428e-005 -1.5128e-005 1.29421e-005 -8.50264e-006 -7.5096e-007 -1.27107e-005 -7.23577e-005 -0.000129378 0.000175315 -0.000507535 -0.0001561 0.044017 0.00153594 -0.00047802 0.0798723 0.00565481 -0.0229513 -0.000815038 -2.48408e-008 -3.90977e-010 -0.000600185 0.01259 -0.00495933 -0.00850937 
-0.00024635 -0.000128411 -4.2106e-005 -1.7778e-005 -1.73309e-005 0.000964109 3.49727e-005 0.000290491 3.28145e-005 4.68159e-005 -9.58646e-006 0.000224888 0.000235506 0.000262477 0.0004087 0.000313314 2.13449e-005 0.000109506 -3.1215e-006 -3.38669e-005 5.38727e-005 1.82797e-005 -1.59901e-005 -0.000100151 -8.4858e-005 -5.98057e-005 -1.17968e-005 -8.98353e-005 -8.53898e-005 -6.2015e-005 -0.000107381 -4.02845e-005 -2.2859e-005 -2.20297e-005 -2.68291e-005 -1.23217e-012 3.00476e-005 1.66789e-005 4.50126e-005 0.000147469 0.000162713 0.000181111 0.000226621 0.000172421 9.68271e-005 0.000151821 2.82188e-005 0.000158938 4.74619e-005 4.99298e-005 -2.84626e-005 -3.1552e-005 0.000141149 9.08497e-005 -0.000160645 8.67272e-005 3.75146e-005 8.028e-005 0.000104559 3.79101e-005 2.15027e-005 2.28228e-005 -2.56823e-005 -6.20487e-005 -2.46589e-005 5.65112e-005 -1.12867e-006 1.85759e-006 7.60858e-007 -0.000179729 0.000134774 -7.41008e-005 -9.0664e-005 -3.10952e-005 -3.55577e-005 -8.34937e-006 8.66729e-006 -1.09304e-010 8.02179e-005 8.8499e-006 0.000239076 0.000115901 0.000209281 0.000271367 0.000240293 0.00015357 0.000258015 0.000167841 3.26914e-005 0.00015264 -1.99621e-005 -2.22573e-005 -0.000655687 -4.57485e-005 0.00012144 -7.37829e-005 -0.000323679 0.000295664 -0.000136055 -0.000412951 -0.000206201 0.000796923 -1.00668e-006 -2.88209e-006 -8.62677e-006 9.72287e-006 8.66068e-006 8.54616e-006 1.37755e-006 2.81311e-006 -6.09676e-006 8.02591e-005 -1.98532e-005 -1.18857e-005 3.42707e-005 1.03642e-005 -6.8456e-005 5.2479e-005 0.000284223 0.000140349 0.00472856 0.000294599 0.000632293 0.00374591 -1.55565e-005 -0.00062771 0.000545195 3.48753e-008 -7.07954e-010 0.000862881 0.00151415 0.000976742 -0.000983712 
-0.000198166 -0.000742781 -3.75679e-005 -8.15887e-005 -0.000153086 3.49727e-005 0.00778114 0.00179978 -0.000414619 -0.000231001 0.000643357 9.13237e-005 0.000647747 -0.000595505 0.000963333 0.000224817 -5.19473e-005 0.000115615 5.63289e-005 0.000136051 -7.43328e-005 0.000129797 2.76422e-005 -2.01832e-005 9.02599e-005 -3.08462e-005 4.07195e-005 -0.000128345 -0.000129613 0.000133916 -0.000210836 2.12891e-005 1.18999e-005 -8.54118e-005 -0.000104615 -3.39502e-012 -6.89212e-005 6.16115e-005 -7.38102e-005 9.02609e-005 7.46551e-005 9.5566e-005 4.95242e-005 0.000128792 7.32264e-005 1.88433e-005 7.57911e-005 -1.55394e-005 9.16112e-005 2.64399e-005 -0.000131343 -0.00169695 0.000511145 -0.000198316 -0.00170879 -0.00168073 -0.0014906 -0.00105207 -0.00105196 -0.00145175 -0.000912129 -0.00182001 -0.00165299 -0.000429651 -0.000245464 -0.00200617 -0.000605779 -6.0955e-005 -3.30614e-005 0.000417717 0.00082202 0.000228359 0.0011666 9.59627e-005 0.000243111 0.000550566 0.000424795 2.24797e-010 0.000689878 8.0751e-005 0.000486775 0.000154793 0.000190718 3.55512e-005 0.000382765 0.000485003 0.000636629 0.000887234 0.000116412 0.0015801 0.000155696 0.000331897 0.00182216 0.00235086 0.000510166 0.000120716 0.000794512 -0.000235358 -0.000100477 0.00103309 -0.00158918 -0.0109641 1.79897e-006 -4.01093e-006 4.98528e-005 0.000117885 0.000138689 0.000134891 0.000179222 -1.44526e-005 -3.50818e-005 -0.000306225 -0.000117602 -2.01347e-005 2.83881e-006 0.000128627 0.000194791 -6.44082e-005 3.4887e-005 -0.000215169 -0.0671431 0.000769318 8.0009e-005 -0.071586 -0.00473227 0.0255962 -0.000983391 -7.1893e-008 1.05916e-009 0.00099621 -0.00115654 0.00329479 -0.00097827 
-0.00759777 -0.0075284 -0.000740183 -0.00174694 -0.00184078 0.000290491 0.00179978 0.0181693 -0.000875845 -0.000241703 -0.000598596 0.00312329 0.00867767 0.00655864 0.0119435 0.0061112 0.0012133 0.0017846 0.000549809 0.000869658 0.000149753 0.000141023 -7.03566e-005 -0.00112211 -0.00173928 -0.000742652 -0.000157812 -0.00150889 -0.00151433 -0.000949906 -0.00249225 -0.000685872 -0.000718371 -0.0014954 -0.000938478 -4.87621e-013 -0.00123456 -1.60571e-005 -0.000590416 -0.000510444 -0.000651897 -0.000474184 -0.000371464 -6.89426e-006 -0.000166543 -0.000703351 0.000199654 -0.00105373 -1.78537e-005 -0.000174845 -0.00212772 -0.0091234 -0.0017261 0.00238882 0.00445783 0.000786232 -0.00107962 -0.000541097 -0.000911992 -0.00149187 -0.000651913 -0.00167929 -0.00089077 -0.000151274 -0.000161995 -0.000672326 0.000188266 -3.6185e-005 -0.00014156 8.61517e-006 -0.00157998 -0.000811638 -0.000569182 -0.000445982 -0.000200052 0.000588203 0.000594616 1.00507e-010 0.000961423 0.000113842 0.000274145 4.71524e-005 -1.5584e-007 -0.000423743 -0.000579014 -0.000468669 0.000149828 0.000346774 -0.000272113 0.000761367 -0.000102593 5.34651e-005 -0.00397373 0.00218708 -0.0017438 6.11918e-005 0.00163052 0.00174138 0.00328816 0.00581793 -0.000430103 0.00245924 2.95842e-005 0.00105923 0.0022477 0.00316399 0.00279079 0.00344023 0.00433965 0.00298886 0.000406932 0.000709153 0.000484765 0.000786741 0.000791578 0.00135833 0.00176841 0.00121563 0.00389741 0.000937424 -0.316739 -0.00438193 0.00255939 -0.376308 -0.0360489 0.0611545 0.00624177 -8.48211e-008 -6.86118e-009 0.00654952 -0.0220396 0.0262649 0.00592534 
