* MPD
estimate_values:
process[Recruitment].b0 catchability[summerTANq].q catchability[autumnTANq].q selectivity[M_all].x0 selectivity[M_all].y0 selectivity[M_all].y1 selectivity[M_all].y2 selectivity[summerTANSel_m].a50 selectivity[summerTANSel_m].ato95 selectivity[summerTANSel_m].alpha selectivity[summerTANSel_f].a50 selectivity[summerTANSel_f].ato95 selectivity[autumnTANSel_m].a50 selectivity[autumnTANSel_m].ato95 selectivity[autumnTANSel_m].alpha selectivity[autumnTANSel_f].a50 selectivity[autumnTANSel_f].ato95 selectivity[trwlFSel_m].mu selectivity[trwlFSel_m].sigma_l selectivity[trwlFSel_m].sigma_r selectivity[trwlFSel_m].alpha selectivity[trwlFSel_f].mu selectivity[trwlFSel_f].sigma_l selectivity[trwlFSel_f].sigma_r selectivity[lineHomeFSel_m].a50 selectivity[lineHomeFSel_m].ato95 selectivity[lineHomeFSel_m].alpha selectivity[lineHomeFSel_f].a50 selectivity[lineHomeFSel_f].ato95 selectivity[lineSpawnFSel_m].a50 selectivity[lineSpawnFSel_m].ato95 selectivity[lineSpawnFSel_m].alpha selectivity[lineSpawnFSel_f].a50 selectivity[lineSpawnFSel_f].ato95 process[Recruitment].ycs_values{1972} process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
308529 0.0913703 0.126074 12.4965 0.132624 0.382802 0.351133 4.73988 1.74459 0.609946 5.46111 2.2034 5.50982 2.31271 0.941731 5.91574 2.7702 8.36919 1.97023 61.5229 1.04276 8.65854 2.09656 43.1639 11.456 8.59958 0.380222 9.61476 3.87014 18.2151 13.5995 1.85634 9.73862 2.99387 0.483786 0.461221 0.568372 0.566516 0.486352 0.554131 0.563157 0.688994 0.620933 0.79247 0.465073 0.699667 0.409952 0.515396 0.341311 0.347596 0.437913 0.479243 0.451811 0.492645 0.469175 0.797909 0.791277 0.82538 0.707279 0.552059 0.475079 0.461188 0.555747 0.545459 0.483726 0.549892 0.614184 0.77712 0.631304 0.773772 0.642514 0.706489 0.653115 0.511364 0.585561 0.600643 0.576009 
covariance_matrix:
1.33701e+08 -15.1556 18.1509 1075.37 5.64505 50.506 4.62853 254.453 134.89 -82.672 420.91 230.496 466.831 402.99 -214.531 1359.53 1278.64 268.109 83.1912 22254.5 -32.0262 -153.301 -156.002 12264.9 1541.11 4069.24 -21.9915 531.372 505.601 9011.09 10320.1 931.399 494.029 843.691 156.45 -100.436 122.386 58.175 -84.9858 1.37511 12.6258 -115.825 -6.48923 -204.025 -130.112 -57.113 -60.7407 -70.9742 -1.57822 -50.655 10.3711 -67.0143 -12.2233 -9.10652 -13.2059 -65.8404 -5.69682 -49.7651 6.90781 -12.6535 19.0959 -27.7664 53.0507 -3.0901 61.8632 37.0172 71.7772 44.5721 111.408 163.024 95.5255 163.09 70.4624 238.239 244.507 327.02 100.297 
-15.1556 1.69967e-05 -7.44663e-06 -3.11826e-05 -7.1717e-06 1.0787e-07 2.52914e-05 -4.91535e-07 -2.21911e-05 -1.83285e-05 4.99632e-05 3.28989e-05 -0.000174777 -0.000132536 5.47999e-05 -0.000483378 -0.00055791 -4.51838e-05 -2.95914e-05 -0.00382244 -1.16545e-05 4.48106e-05 1.65407e-05 -0.00226993 -0.000235944 -0.00105657 2.21398e-05 -0.000238353 -0.000259848 -0.00236717 -0.00291211 -0.000200633 -0.000182938 -0.000361395 0.000107613 -6.76102e-06 6.21823e-05 1.36277e-05 -1.40983e-05 1.92943e-05 -5.61461e-06 8.30664e-06 2.72847e-05 -8.80982e-07 8.03264e-06 -2.40742e-06 3.68523e-06 -1.1463e-05 4.51236e-06 -1.1651e-05 8.3627e-06 -2.26567e-05 -1.45462e-05 -7.71854e-06 -2.12822e-05 -1.80966e-05 -1.15632e-05 -2.95789e-05 4.29767e-07 -2.00834e-05 -2.32971e-06 -3.02253e-06 -1.25007e-05 2.19571e-06 -4.8394e-06 -4.96252e-06 2.30036e-05 1.00405e-05 1.54074e-05 3.17738e-05 2.16107e-05 4.9797e-05 1.89477e-05 8.45001e-05 4.03738e-05 6.42337e-05 4.26754e-05 
18.1509 -7.44663e-06 2.90934e-05 -0.000159374 1.55072e-05 -9.61057e-06 -4.78946e-05 4.2714e-05 6.66759e-05 -6.26723e-06 5.60677e-05 7.08645e-05 0.000278701 0.000289431 -0.000119431 0.000840449 0.000943965 0.000126515 6.36423e-05 0.00477598 3.11356e-06 -4.93518e-05 -3.3335e-05 0.00311759 0.000467319 0.00160944 -3.44678e-05 0.000430189 0.000416982 0.00396343 0.00489214 0.000315553 0.000342135 0.000538862 -4.59092e-05 3.74722e-06 1.33825e-05 2.96046e-05 5.73636e-06 -2.44342e-06 1.77735e-05 -2.6731e-05 -1.9288e-05 -3.74622e-05 -3.83659e-05 1.35807e-06 -1.8706e-05 4.2481e-06 1.32944e-06 4.15575e-06 -6.20916e-07 1.14535e-05 1.31051e-05 7.07936e-06 1.78316e-05 5.2865e-06 7.72122e-06 1.76194e-05 2.19996e-07 1.58954e-05 4.29243e-06 -5.59437e-06 2.16371e-05 -9.54661e-06 1.38327e-05 9.82117e-06 -1.83229e-05 -3.96152e-06 5.17359e-06 1.0385e-06 -1.27428e-06 -1.13917e-05 -3.21387e-06 -7.27431e-06 2.65936e-05 2.64674e-05 -1.13191e-05 
1075.37 -3.11826e-05 -0.000159374 0.655568 -0.00575277 0.0301999 0.0246093 0.0745139 0.0186788 -0.00380971 0.0754969 0.00725027 0.0644753 -0.0257252 0.0049394 0.0508153 -0.0461849 0.0356214 -0.00282231 7.10144 0.00181354 0.00109179 -0.0221345 3.42068 0.431278 0.472544 0.0216261 -0.0672135 -0.12818 1.18793 1.15754 0.216935 -0.0587864 -0.0928408 0.00461454 -0.0143651 -0.0141522 -0.0067354 -0.00582 -0.00111386 0.00146475 -0.0033192 0.00743877 -0.00457223 -0.00763417 -0.00827199 -0.00092817 -0.00828818 -0.00411255 -0.0016378 -0.00164093 -0.00188332 -0.00282695 -0.00224556 0.0014643 -0.00371835 -0.00617296 -0.00129057 -0.00767909 0.00102694 -0.00498467 -0.00341171 -2.02209e-05 -0.0053452 0.00151816 -0.000731749 -0.00076056 -0.00762162 0.00281415 -0.00340579 -0.00299554 -0.00386872 -0.00165623 -0.00359801 0.00689888 0.00764531 -0.00392121 
5.64505 -7.1717e-06 1.55072e-05 -0.00575277 0.000153189 -0.000285226 -0.000375829 -0.000253361 0.000103871 -5.90146e-06 -7.675e-05 0.000468125 0.000454544 0.00121895 -0.000186445 0.00121959 0.00191263 0.000157838 0.000113302 -0.0541455 4.77727e-05 9.35958e-06 3.16757e-05 -0.0260469 -0.0021549 -0.00416809 -0.000172822 0.0013279 0.00114037 -0.00580107 -0.00422808 -0.00135435 0.000794958 0.000291282 -2.31827e-05 0.000306994 0.000456096 0.000403327 0.000295105 0.000231056 0.000218073 0.000152863 8.7584e-05 0.00021488 5.943e-05 0.000129839 -1.1362e-05 0.000138665 2.3726e-05 8.75311e-05 -8.24865e-06 0.000136208 3.16785e-05 1.92412e-05 3.12279e-05 9.5786e-05 -4.31859e-05 9.51244e-05 -4.26279e-05 4.38212e-05 -5.53242e-05 -4.05566e-06 -4.51119e-05 -7.53126e-05 -9.38893e-05 -3.95979e-05 -0.000256138 -0.000117042 -0.000185736 -0.000225059 -0.000150076 -0.000203562 -8.89719e-05 -3.70334e-05 -5.41083e-05 -6.30362e-05 -6.80584e-05 
50.506 1.0787e-07 -9.61057e-06 0.0301999 -0.000285226 0.0016494 0.00120292 0.00373435 0.000789902 -0.000192331 0.00376216 0.000183149 0.0030231 -0.00124469 0.00023203 0.0023276 -0.0022804 0.00201892 -9.87102e-06 0.338207 8.63671e-05 0.000382303 -0.000925112 0.163033 0.0206338 0.022211 0.00105342 -0.00320694 -0.00620848 0.0562856 0.0544988 0.01033 -0.00273113 -0.00434266 0.000365633 -0.00067742 -0.000548451 -0.000258914 -0.000245104 2.19228e-05 9.02683e-05 -7.32716e-05 0.000419303 -0.000127981 -0.000336657 -0.00032504 -2.58816e-05 -0.000348221 -0.000171248 -5.90988e-05 -5.52255e-05 -7.01499e-05 -0.000116188 -9.59826e-05 7.92917e-05 -0.0001438 -0.000257791 -5.40314e-05 -0.000340032 9.19139e-05 -0.000215158 -0.000167177 1.07758e-05 -0.000223329 0.000108639 -1.35406e-06 -2.01957e-06 -0.000305511 0.000160954 -0.000124912 -0.000127729 -0.00014137 -5.42805e-05 -0.000165923 0.000340305 0.000392313 -8.96763e-05 
4.62853 2.52914e-05 -4.78946e-05 0.0246093 -0.000375829 0.00120292 0.00158487 0.00248437 0.000586218 -0.000131407 0.00229295 -0.000392582 0.000107049 -0.00322285 0.00048204 -0.00225077 -0.00599637 0.00116181 -1.39307e-05 0.251986 -0.000100106 0.001089 -0.000117 0.121359 0.0143124 0.0151391 0.000895511 -0.00439029 -0.00567646 0.0336083 0.0270457 0.00701347 -0.0025512 -0.00330553 0.000866101 -0.000626344 -0.0001562 -0.000182847 -0.000295322 -4.94023e-06 -0.000227378 2.62482e-05 0.000450898 0.000191426 -0.000119395 -2.28158e-05 0.000109433 -0.0002316 -8.24796e-05 -4.38814e-05 2.32995e-05 -0.000122906 -7.17152e-05 -1.47881e-05 1.60446e-05 -0.000141956 -6.05777e-05 -8.99071e-05 -8.42902e-05 -2.27436e-05 -4.57287e-06 -6.90038e-05 3.97225e-05 2.37878e-05 0.000208266 -1.07506e-05 0.000498083 -3.39842e-05 0.000311584 0.000224696 0.000231324 0.000363207 0.000148268 0.000128492 0.000424613 0.000504694 0.000392901 
254.453 -4.91535e-07 4.2714e-05 0.0745139 -0.000253361 0.00373435 0.00248437 0.0324729 0.0251072 0.00150459 0.0149782 0.00637329 0.012276 0.00101686 3.82927e-05 0.0133714 0.00081443 0.00790768 0.000272307 0.873706 0.000565829 0.00177166 -0.00342505 0.420863 0.059657 0.0517491 0.00264197 -0.00483917 -0.0169394 0.159852 0.156675 0.0280008 -0.00429111 -0.0134936 3.44529e-05 -0.00112415 0.000103409 0.000548855 -0.000607542 -0.000668195 0.000552513 -1.4224e-05 0.000723608 -0.00102531 -0.00114526 -0.00223817 4.14898e-05 -0.00147228 -0.000623358 0.000229334 -0.000124529 -0.000165371 -0.000882483 -0.00100171 2.63811e-05 -0.00157774 -0.00190297 -0.000687773 -0.00120345 0.000108321 -0.00086835 -0.000569578 -4.62459e-05 -0.000825443 0.00039025 0.000264423 -8.61114e-05 -0.00101127 0.000839352 0.000961348 0.000388233 0.000989495 0.00162352 0.00143043 0.00269585 0.0016808 -0.000932105 
