*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 catchability[summerTANq].q catchability[autumnTANq].q selectivity[M_all].x0 selectivity[M_all].y0 selectivity[M_all].y1 selectivity[M_all].y2 selectivity[summerTANSel_m].a50 selectivity[summerTANSel_m].ato95 selectivity[summerTANSel_m].alpha selectivity[summerTANSel_f].a50 selectivity[summerTANSel_f].ato95 selectivity[autumnTANSel_m].a50 selectivity[autumnTANSel_m].ato95 selectivity[autumnTANSel_m].alpha selectivity[autumnTANSel_f].a50 selectivity[autumnTANSel_f].ato95 selectivity[trwlFSel_m].mu selectivity[trwlFSel_m].sigma_l selectivity[trwlFSel_m].sigma_r selectivity[trwlFSel_m].alpha selectivity[trwlFSel_f].mu selectivity[trwlFSel_f].sigma_l selectivity[trwlFSel_f].sigma_r selectivity[lineHomeFSel_m].a50 selectivity[lineHomeFSel_m].ato95 selectivity[lineHomeFSel_m].alpha selectivity[lineHomeFSel_f].a50 selectivity[lineHomeFSel_f].ato95 selectivity[lineSpawnFSel_m].a50 selectivity[lineSpawnFSel_m].ato95 selectivity[lineSpawnFSel_m].alpha selectivity[lineSpawnFSel_f].a50 selectivity[lineSpawnFSel_f].ato95 process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} process[Recruitment].recruitment_multipliers{2015} process[Recruitment].recruitment_multipliers{2016} process[Recruitment].recruitment_multipliers{2017} process[Recruitment].recruitment_multipliers{2018} 
310577 0.0910559 0.125941 12.9844 0.127969 0.447264 0.353734 4.87645 1.77029 0.601837 5.60807 2.2142 5.63972 2.29781 0.933195 6.05848 2.73846 8.40239 1.94735 200 1.02085 8.73949 2.08849 40.5947 8.60835 4.59169 0.26993 9.53352 3.69064 14.0467 10.0261 1.17449 9.71478 2.8967 0.466425 0.450203 0.564536 0.566878 0.490807 0.56717 0.578546 0.710941 0.636192 0.808019 0.469285 0.707058 0.410425 0.514559 0.342115 0.347279 0.438257 0.475005 0.451332 0.494793 0.470699 0.80486 0.792084 0.831087 0.712485 0.554267 0.476828 0.461396 0.554418 0.542062 0.482628 0.549935 0.615783 0.774625 0.630525 0.77345 0.639284 0.699353 0.648711 0.50623 0.587382 0.589121 0.574499 
covariance_matrix:
9.83057e+09 -3413.75 -4256.01 5157.21 957.945 -272.777 751.686 1636.04 807.312 -18.9136 1397.6 147.023 4160.01 3211.11 -657.434 4560.64 1466.42 587.831 -352.565 19.7447 -846.331 3196.63 838.035 -811823 -2618.33 -9654.21 383.848 -6701.58 -6804.28 -6318.84 -12887.3 1264.9 -4719.09 -4942.69 3706.26 1911.95 304.746 2321.4 384.047 -39.666 385.408 -634.853 -684.224 -1649.31 -1137.82 -2144.92 -1243.95 -1669.1 -1058.37 -1074.23 -1312.12 -1254.03 -948.192 -871.218 -702.122 -967.606 -842.999 -618.65 -408.183 -225.181 -130.85 -86.1795 -47.6986 32.8151 102.493 106.075 162.883 47.14 68.9172 95.6042 117.568 269.306 266.524 590.018 961.536 2132.55 -465.008 
-3413.75 0.00121092 0.00149078 -0.002752 -0.000348864 0.000279984 -0.000260696 -0.00029711 -0.00028934 -6.15109e-05 -7.5239e-05 -2.80671e-07 -0.00128536 -0.00124911 0.000229578 -0.00156911 -0.000891607 -0.000146918 6.94164e-05 -1.94487e-05 0.000234573 -0.00115759 -0.000428613 0.30063 -0.00134474 -0.000594631 -0.000218195 0.00235012 0.0022985 0.00147855 0.00404459 -0.000558036 0.00154598 0.00153155 -0.00125127 -0.00064497 -0.000107971 -0.000807013 -0.000184789 -4.91325e-05 -0.000135434 0.000112288 0.000247161 0.000501708 0.000372817 0.000707678 0.000411503 0.000547398 0.000354307 0.000363269 0.000434263 0.00039878 0.0002969 0.000266325 0.0002166 0.0002885 0.000241496 0.00017971 0.000114089 5.7902e-05 3.1259e-05 2.04734e-05 5.5502e-06 -1.39581e-05 -3.09254e-05 -2.6021e-05 -1.2838e-05 2.77174e-05 2.86742e-05 6.03757e-05 4.46443e-05 3.27818e-05 1.30762e-05 -5.06046e-05 -0.000161451 -0.000506496 0.000357888 
-4256.01 0.00149078 0.00205416 -0.00124623 -0.000446206 0.000154758 -0.000268578 -0.000515537 -0.000277625 -3.87692e-06 -0.000408034 -6.62236e-05 -0.00182206 -0.00136409 -0.000821858 0.0010501 0.00174815 4.46347e-05 0.000273492 -5.16483e-05 0.000341734 -0.00145876 -0.000466602 0.358874 0.00179742 0.00514759 -0.000194531 0.00333396 0.00311388 0.00484566 0.00667994 -0.000350425 0.00203631 0.00195074 -0.00191834 -0.000899101 -0.000374368 -0.00125728 -0.000373849 -0.000237394 -0.00038125 -1.92675e-05 7.99903e-05 0.000397285 0.000329871 0.000707042 0.000444058 0.000612951 0.000413486 0.000413684 0.000500973 0.000515165 0.000345366 0.000362666 0.000279173 0.000367711 0.000345269 0.000245803 0.000177526 0.000116476 7.11257e-05 7.56272e-05 7.76467e-05 5.41867e-05 2.77723e-05 6.1544e-05 4.0838e-05 0.00016355 0.000140162 0.000200326 0.000159125 0.000139995 0.000176625 1.18989e-05 -7.59127e-05 -0.000476989 0.000555397 
5157.21 -0.002752 -0.00124623 2.88112 0.00951964 -0.287658 0.0432329 -0.280489 0.0972716 0.00129164 -0.174994 0.256868 -0.111906 0.281248 -0.0039089 -0.0609155 0.391712 0.166056 0.169295 -0.00300159 0.00678239 0.165752 0.181463 -2.6226 1.7566 2.92643 0.0555075 0.180935 0.228174 0.0476452 -0.100904 -0.0125336 0.142565 0.125904 -0.00485576 -0.00702323 -0.0114357 -0.000944856 -0.00188092 0.0267118 0.0020129 0.0276631 -0.0066856 -0.0063859 -0.0129662 -0.0149394 -0.00829143 0.000128047 0.0031998 0.000581023 0.00311626 0.00830499 0.00975795 0.00362038 0.00306686 -0.00213277 0.00998514 0.0048192 0.0057194 0.00427009 0.00530101 0.00568829 0.00853243 0.00948029 0.00700122 0.00583029 0.00228256 0.00445649 0.00344056 -0.00529142 0.00326293 0.0110071 0.00970254 0.00771886 -0.00401836 0.0230073 -0.0345973 
957.945 -0.000348864 -0.000446206 0.00951964 0.00039647 -0.00281665 -0.000346895 -0.00311416 0.000791131 5.54637e-05 -0.00225837 0.00214145 -0.00120861 0.00300063 -4.24915e-05 -0.000375314 0.00461587 0.000996945 0.00141706 -1.25042e-05 0.000285076 0.000483175 0.00131698 0.26165 0.0281215 0.044078 0.000901591 0.00306986 0.00379857 0.00693504 0.00268528 0.000892116 0.00230926 0.00282496 0.000653612 0.000473442 0.000707232 0.000591535 0.0003188 0.000424001 7.37374e-05 0.000267205 -9.36665e-05 -0.000120916 -0.000151638 -0.000192439 -0.000113813 -6.01761e-05 -5.69933e-05 -7.35677e-05 -8.33964e-05 6.98337e-06 -1.61585e-05 -5.80117e-05 -6.08372e-05 -0.000153926 -1.30844e-05 -8.25567e-05 -4.40068e-05 -5.25636e-05 -9.96334e-06 -3.96124e-05 1.15375e-05 -3.12203e-06 -1.2553e-05 -7.79695e-05 -0.000157344 -0.000230034 -0.000184147 -0.000285801 -0.000145625 -0.000113957 -6.21454e-05 4.57871e-05 -5.83911e-05 0.000347594 -3.32417e-05 
-272.777 0.000279984 0.000154758 -0.287658 -0.00281665 0.0509934 -0.00091473 0.0623163 -0.0106165 -0.00148618 0.0491305 -0.0347661 0.0372021 -0.0427354 -0.000331095 0.0285718 -0.0663971 -0.0106651 -0.0244256 0.000366252 -0.00348983 -0.00730956 -0.0257472 -2.16118 -0.367664 -0.625559 -0.0116784 -0.0416042 -0.0633002 -0.119028 -0.111295 -0.0127525 -0.0283048 -0.0394703 -0.000883603 -0.00064625 -0.00175755 -0.000401554 -0.000533824 -0.00284377 0.00134165 -0.00159563 0.00239197 0.00251715 0.00210511 0.00188118 0.000935291 -0.000446875 -0.000321314 0.000217207 -0.000144335 -0.000966337 -0.00114492 0.000286746 6.79471e-06 0.00115836 -0.00131458 4.0737e-05 -0.000289947 -0.000211645 -0.00061825 -0.000626866 -0.00127984 -0.00141908 -0.00100105 -0.000530559 -4.17989e-06 -0.000421894 -0.000315081 0.000878575 -0.000792879 -0.00203765 -0.00114867 -0.00206851 0.00129955 -0.00408087 0.000621723 
751.686 -0.000260696 -0.000268578 0.0432329 -0.000346895 -0.00091473 0.002745 2.90609e-05 0.000613839 -4.97865e-05 0.000440816 0.00134874 0.000702445 0.00187124 -0.00028167 5.91936e-05 0.000472181 0.00106795 0.000564042 -1.77268e-05 -0.000457928 0.00242454 0.00124795 -0.626244 -0.0130324 -0.0188264 -0.000165766 -0.00424386 -0.00400304 0.013307 0.0170067 0.00226912 -0.00288845 -0.00422544 0.000641854 -0.000519126 -0.000964596 -0.000368608 -0.000343383 -0.000211356 0.000299541 -0.000193 0.000192035 -0.000207524 -0.00020247 -0.000367491 -0.000246322 -0.000277564 -0.000118152 -0.000149048 -0.00017184 -0.000193667 -3.33964e-05 -0.000120708 -9.21049e-05 -0.000207015 -0.000192833 -0.000134589 -0.000107861 -8.25619e-05 -4.32678e-05 -1.39412e-05 -5.97286e-05 4.81429e-05 4.84108e-05 6.0894e-05 0.000279025 0.000222751 0.000191117 0.000138374 0.000183702 0.000282691 9.39393e-05 -0.000143128 0.000149704 0.000175169 -0.000797011 
1636.04 -0.00029711 -0.000515537 -0.280489 -0.00311416 0.0623163 2.90609e-05 0.104434 0.0115135 -0.000462185 0.0729948 -0.0341608 0.0568899 -0.0460723 -0.00125989 0.0486184 -0.0751806 -0.00029736 -0.0260701 0.000407795 -0.00401431 0.000220287 -0.0297255 -2.51848 -0.430953 -0.759504 -0.0140069 -0.047737 -0.0828419 -0.186394 -0.209038 -0.0211561 -0.0299535 -0.0507889 -0.00171181 -0.000988373 -0.00153666 0.000390131 -0.000664882 -0.00297143 0.00199815 -0.000206917 0.00281703 0.00272953 0.00176646 0.000314271 0.000739387 -0.00142481 -0.000467481 0.000588868 -7.06444e-05 -0.00131102 -0.0020779 4.59146e-05 -0.000600674 0.000357174 -0.00292131 -0.000660043 -0.00037611 -0.000497136 -0.00075785 -0.000957986 -0.00158516 -0.00169801 -0.00103082 -0.000407248 0.000360555 -0.000890037 2.77609e-05 0.00241787 -0.000254323 -0.00139169 0.000455079 -0.000687887 0.00380814 -0.00427119 -0.000351567 
