* MPD
estimate_values:
process[Recruitment].b0 catchability[summerTANq].q catchability[autumnTANq].q selectivity[M_all].x0 selectivity[M_all].y0 selectivity[M_all].y1 selectivity[M_all].y2 selectivity[summerTANSel_m].a50 selectivity[summerTANSel_m].ato95 selectivity[summerTANSel_m].alpha selectivity[summerTANSel_f].a50 selectivity[summerTANSel_f].ato95 selectivity[autumnTANSel_m].a50 selectivity[autumnTANSel_m].ato95 selectivity[autumnTANSel_m].alpha selectivity[autumnTANSel_f].a50 selectivity[autumnTANSel_f].ato95 selectivity[trwlFSel_m].mu selectivity[trwlFSel_m].sigma_l selectivity[trwlFSel_m].sigma_r selectivity[trwlFSel_m].alpha selectivity[trwlFSel_f].mu selectivity[trwlFSel_f].sigma_l selectivity[trwlFSel_f].sigma_r selectivity[lineHomeFSel_m].a50 selectivity[lineHomeFSel_m].ato95 selectivity[lineHomeFSel_m].alpha selectivity[lineHomeFSel_f].a50 selectivity[lineHomeFSel_f].ato95 selectivity[lineSpawnFSel_m].a50 selectivity[lineSpawnFSel_m].ato95 selectivity[lineSpawnFSel_m].alpha selectivity[lineSpawnFSel_f].a50 selectivity[lineSpawnFSel_f].ato95 process[Recruitment].ycs_values{1972} process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
310576 0.0910563 0.125941 12.9844 0.127969 0.447268 0.353733 4.87646 1.77029 0.601837 5.60807 2.21419 5.63972 2.29781 0.933193 6.05848 2.73846 8.40239 1.94735 200 1.02085 8.73949 2.08849 40.5939 8.60828 4.59155 0.269928 9.53352 3.69064 14.0467 10.026 1.17448 9.71477 2.89669 0.466425 0.450201 0.564533 0.56688 0.490805 0.56717 0.578543 0.710941 0.63619 0.80802 0.469285 0.707058 0.410425 0.514559 0.342114 0.347278 0.438256 0.475004 0.451331 0.494792 0.470698 0.804859 0.792082 0.831085 0.712484 0.554266 0.476827 0.461395 0.554416 0.542061 0.482626 0.549933 0.615782 0.774623 0.630523 0.773448 0.639283 0.699351 0.648709 0.506228 0.58738 0.589119 0.574485 
covariance_matrix:
1.20074e+10 -4163.17 -5262.32 -15815.3 1078.51 1797.26 692.648 4051.63 199.439 -68.9939 3236.59 -1398.44 3622.76 -1447.33 -635.78 4876.08 -1553.69 1118 -839.04 848795 -963.843 1706.4 -921.963 -1.56769e+06 -10478.4 -22133.8 306.763 -10457.3 -11043.7 -356.562 -4544.4 2934.94 -7508.16 -8195.19 4205.14 2291.21 2067.86 1569.21 927.145 674.647 171.292 -351.901 -668.59 -1627.01 -1094.19 -2265.72 -1333.98 -1874.79 -1199.92 -1190.62 -1441.86 -1412.79 -1105.18 -926.345 -714.948 -921.474 -782.177 -529.372 -335.462 -165.486 -93.9165 -12.9159 30.3087 119.96 174.272 247.825 267.343 232.165 158.283 285.421 218.368 326.787 441.084 526.854 1298.67 1747.7 2714 
-4163.17 0.00147716 0.00183952 0.0045146 -0.000398213 -0.000394379 -0.000225694 -0.00110471 -0.000122376 -7.25404e-05 -0.000567481 0.000583229 -0.0011442 0.000277022 0.000224172 -0.00163939 0.000190445 -0.000370999 0.000182811 -0.325189 0.000280412 -0.000550173 0.000203775 0.522791 0.00136541 0.00393844 -0.000184186 0.00339782 0.0034679 -0.000979332 0.000640602 -0.00116858 0.00243073 0.00258532 -0.00146892 -0.000823257 -0.000777203 -0.000618058 -0.000379127 -0.000311561 -0.000132651 2.72689e-05 0.000163366 0.000470736 0.000334795 0.00071348 0.000424021 0.000597203 0.000385551 0.00038556 0.000458169 0.000429631 0.000321499 0.00025919 0.000187369 0.000222616 0.000171467 0.000101209 4.95772e-05 1.1329e-05 -6.48699e-06 -2.68253e-05 -4.65466e-05 -7.01126e-05 -7.65995e-05 -9.22909e-05 -8.75717e-05 -5.94402e-05 -1.8897e-05 -2.78778e-05 -6.90152e-06 -9.19566e-06 -8.21211e-06 -3.73573e-05 -0.000162589 -0.000232783 -0.000369594 
-5262.32 0.00183952 0.00254914 0.00841212 -0.00049655 -0.000840308 -0.000284685 -0.00167352 -8.07019e-06 1.41282e-05 -0.0012319 0.000760804 -0.00176808 0.000643544 -0.000935784 0.000979787 0.00328392 -0.000280186 0.000438767 -0.361886 0.000382432 -0.000531355 0.000464493 0.696539 0.00634495 0.0119944 -9.72159e-05 0.00497378 0.00502154 0.00159512 0.00253882 -0.00115157 0.00366276 0.00386988 -0.00215844 -0.00123296 -0.00120217 -0.00099193 -0.000642818 -0.000590002 -0.000339735 -0.000199292 3.24049e-05 0.000341827 0.000307543 0.000731162 0.000468767 0.000710798 0.000470152 0.000466799 0.000562507 0.000568914 0.00046547 0.000395028 0.000297546 0.000388404 0.000339619 0.000258845 0.000184348 0.000111991 8.60619e-05 5.78288e-05 6.59149e-05 3.91135e-05 1.72596e-05 1.31808e-05 3.39399e-05 0.000110385 0.000124054 0.000150919 0.000151546 0.000174633 0.000145676 6.34871e-05 -0.000127716 -0.000234892 -0.000538082 
-15815.3 0.0045146 0.00841212 4.14671 0.0147436 -0.409324 0.0579584 -0.426685 0.126585 0.00392871 -0.280239 0.352665 -0.199488 0.389913 -0.00734474 -0.105318 0.587621 0.205793 0.234998 13.5089 0.0130709 0.217489 0.249654 12.0732 2.86175 4.62318 0.0889549 0.33389 0.412983 0.279409 0.0400125 0.00305394 0.231055 0.229542 -0.00773056 -0.0107214 -0.0137326 -0.00700167 -0.00183226 0.0128945 0.0202878 0.0122812 5.2483e-05 -0.0247152 -0.0168801 -0.024359 -0.0105848 -0.000890435 0.00251385 -0.00106249 0.00247345 0.00928646 0.0114182 0.00160886 0.000868613 -0.00838539 0.00865655 0.0003638 0.00100685 0.000489205 0.00254217 0.00303028 0.00717896 0.00754293 0.00535293 0.00233561 -0.00378882 -0.00377259 -0.00196887 -0.0146293 -0.00171222 0.00894307 0.00695429 0.00847636 -0.0144636 0.0188135 0.00302133 
1078.51 -0.000398213 -0.00049655 0.0147436 0.000505311 -0.00396372 -0.000407772 -0.00455899 0.000969781 9.19487e-05 -0.00337237 0.00301476 -0.00229533 0.00368953 -0.000125515 -0.00118691 0.00585323 0.00159197 0.00219217 0.693992 0.000332224 0.00100812 0.00207614 0.350396 0.0435716 0.0690787 0.00140704 0.00478957 0.00606168 0.0136279 0.00864427 0.00175663 0.00315944 0.00406639 0.000845142 0.000577899 0.000665059 0.000571881 0.000352191 0.0003478 0.000191645 4.45118e-05 -0.000114022 -0.000376164 -0.00022109 -0.000355809 -0.000178483 -0.000119908 -7.04874e-05 -0.000110678 -0.000111971 -3.54641e-05 3.5634e-06 -0.000123316 -7.86928e-05 -0.000275564 -1.21968e-05 -0.000157689 -9.94755e-05 -8.90835e-05 -4.26798e-05 -5.31934e-05 -1.08357e-06 9.4268e-06 -2.4092e-05 -0.000107775 -0.000215721 -0.000287257 -0.00023708 -0.000389398 -0.000223858 -0.000120362 -0.000126253 -4.56579e-05 -0.000239578 0.000213958 0.000165472 
1797.26 -0.000394379 -0.000840308 -0.409324 -0.00396372 0.0699339 -0.0011291 0.0875164 -0.0130353 -0.0021083 0.0689909 -0.0476565 0.0540076 -0.0583113 0.000427323 0.0407891 -0.0923849 -0.0141985 -0.034313 -5.68169 -0.00454306 -0.012128 -0.0360167 -4.35645 -0.57019 -0.945029 -0.0181176 -0.0665012 -0.0972317 -0.190367 -0.172965 -0.0204935 -0.0424317 -0.0589259 -0.00112448 -0.000633903 -0.000727222 -0.000756897 -0.000324206 -0.00100974 -0.000765351 0.0010929 0.00218698 0.00554886 0.00271233 0.00337814 0.00135109 -0.000321358 -0.000258587 0.000514266 4.87379e-05 -0.00107917 -0.00124776 0.000836449 0.000285361 0.00227352 -0.00140083 0.00081007 0.000351089 0.000288474 -0.00030385 -0.000323171 -0.00129769 -0.00145193 -0.000949125 -0.000187807 0.000758471 0.000347493 0.000207892 0.00206792 -0.000399729 -0.00200567 -0.00135894 -0.00145458 0.00264255 -0.00439439 -0.000372667 
692.648 -0.000225694 -0.000284685 0.0579584 -0.000407772 -0.0011291 0.00353448 -0.00028507 0.000746059 -4.75304e-05 0.000274523 0.00134102 5.45115e-07 0.000952913 -4.9578e-05 0.000180348 0.00122234 0.00122314 0.000683087 -0.253623 -0.000299456 0.0019254 0.000917597 -0.530623 -0.0144607 -0.0220565 -0.000350887 -0.00373085 -0.00391203 0.0133462 0.0160047 0.00198089 -0.00217694 -0.00334577 0.000690269 -0.000175408 -0.000699288 -0.000550741 -0.00023532 6.33232e-05 0.000350608 0.000353204 0.000214894 -7.49915e-05 -0.000170529 -0.000352931 -0.000211575 -0.000264009 -0.000138613 -0.000151096 -0.000142287 -0.000134607 -9.49463e-05 -6.93923e-05 -9.3014e-05 -0.000122285 -0.000174995 -0.000104933 -0.000113214 -6.8718e-05 -5.50752e-05 -1.16684e-05 -2.06996e-05 2.0605e-06 4.75452e-05 0.00011733 0.000178424 0.000247422 0.00021278 0.000196274 0.000193563 0.000217249 0.000212317 0.000220335 0.000292616 0.000419208 0.000504867 
4051.63 -0.00110471 -0.00167352 -0.426685 -0.00455899 0.0875164 -0.00028507 0.135345 0.00531195 -0.0013681 0.0998535 -0.0513273 0.0802524 -0.0668375 -0.000109676 0.0663786 -0.108575 -0.00291865 -0.0386181 -6.59324 -0.00526665 -0.00232958 -0.0418866 -5.11013 -0.676172 -1.14906 -0.0217543 -0.0763257 -0.125756 -0.276248 -0.289265 -0.0308555 -0.0469739 -0.0754424 -0.00113568 -0.000708602 -0.000798378 -0.000693113 -0.000151139 -0.000631954 -0.000170136 0.00193002 0.00284374 0.00613441 0.00253162 0.0026598 0.00103296 -0.00131301 -0.000407916 0.000834076 0.000126744 -0.00170044 -0.00187642 0.00089374 -0.000107032 0.0017601 -0.00273808 0.000800784 0.000488502 0.000250385 -0.00044128 -0.000511107 -0.00169499 -0.00180278 -0.00111071 -8.7434e-05 0.00091913 -0.000270051 0.000253408 0.00315556 -0.00076353 -0.00163225 -0.000470791 -0.000153056 0.00536865 -0.00621136 -0.000318405 
