* MPD
estimate_values:
process[Recruitment].b0 catchability[summerTANq].q catchability[autumnTANq].q selectivity[M_all].x0 selectivity[M_all].y0 selectivity[M_all].y1 selectivity[M_all].y2 selectivity[summerTANSel_m].a50 selectivity[summerTANSel_m].ato95 selectivity[summerTANSel_m].alpha selectivity[summerTANSel_f].a50 selectivity[summerTANSel_f].ato95 selectivity[autumnTANSel_m].a50 selectivity[autumnTANSel_m].ato95 selectivity[autumnTANSel_m].alpha selectivity[autumnTANSel_f].a50 selectivity[autumnTANSel_f].ato95 selectivity[trwlFSel_m].mu selectivity[trwlFSel_m].sigma_l selectivity[trwlFSel_m].sigma_r selectivity[trwlFSel_m].alpha selectivity[trwlFSel_f].mu selectivity[trwlFSel_f].sigma_l selectivity[trwlFSel_f].sigma_r selectivity[lineHomeFSel_m].a50 selectivity[lineHomeFSel_m].ato95 selectivity[lineHomeFSel_m].alpha selectivity[lineHomeFSel_f].a50 selectivity[lineHomeFSel_f].ato95 selectivity[lineSpawnFSel_m].a50 selectivity[lineSpawnFSel_m].ato95 selectivity[lineSpawnFSel_m].alpha selectivity[lineSpawnFSel_f].a50 selectivity[lineSpawnFSel_f].ato95 process[Recruitment].ycs_values{1972} process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
332645 0.0928912 0.126178 12.8641 0.135561 0.400393 0.356019 4.66425 1.7431 0.612361 5.39465 2.2282 5.49577 2.386 0.955215 5.85755 2.82431 8.3769 1.99773 70.2 1.05106 8.63399 2.11036 48.2719 12.4084 9.70441 0.420725 9.66734 3.96166 19.4872 14.3958 2.11839 9.76639 3.05711 0.485448 0.462114 0.568476 0.565131 0.488273 0.552863 0.564026 0.687644 0.619802 0.785343 0.460579 0.700652 0.408881 0.516916 0.344004 0.347019 0.439964 0.480166 0.454847 0.492583 0.471079 0.797661 0.794351 0.825708 0.709605 0.551972 0.477645 0.46153 0.55697 0.547641 0.484482 0.549188 0.616543 0.7754 0.631427 0.774244 0.644485 0.705913 0.650544 0.513486 0.585064 0.605367 0.564116 
covariance_matrix:
1.66422e+08 -19.2032 26.3192 714.572 1.9507 -4.7478 15.3778 76.1343 48.719 -63.2493 137.584 -73.3878 -139.327 -166.631 -370.796 1301.34 1480.1 -287.416 -148.458 28882.7 -119.563 -315.944 -188.802 16149 1496.55 6149.08 -36.7473 681.571 753.609 10697.6 14341.9 968.973 471.109 1022.74 189.202 -191.813 47.8649 -33.4845 -186.845 -5.09333 28.3243 -100.876 -15.4123 -230.584 -54.4828 -96.4763 -22.4107 -100.945 -37.2943 -20.0837 -48.3295 -45.3597 -8.13913 -31.5171 -49.8273 -86.8437 -63.0695 -70.8456 -67.7235 -0.618436 -38.8453 25.3289 36.3571 5.30556 78.2499 78.7471 52.438 134.93 172.833 253.74 97.2729 341.251 57.0341 207.175 194.246 325.646 33.2439 
-19.2032 2.01261e-05 -1.05141e-05 0.000168797 -1.83801e-06 2.23545e-05 2.11486e-05 6.96929e-05 1.98741e-05 -3.05269e-05 0.000141897 5.73706e-05 8.88284e-05 9.29738e-05 0.000134773 -0.0004284 -0.000558227 0.000188146 6.84557e-05 -0.00441577 2.7371e-05 -2.11881e-05 -3.98442e-05 -0.00269927 -0.000172635 -0.00137869 2.86404e-05 -0.000220009 -0.000354602 -0.00278876 -0.00389757 -0.000165245 -0.00014063 -0.000354402 8.28537e-05 -3.56973e-05 6.12986e-05 5.26382e-05 6.07608e-06 3.47204e-05 3.77814e-05 -5.65835e-05 3.66317e-05 3.31296e-06 -6.50949e-06 -1.89469e-05 -2.01913e-05 -9.25669e-06 -2.5722e-06 -8.27332e-06 2.44985e-07 -2.2375e-05 -2.15173e-05 -2.11825e-05 -1.74627e-05 -2.60037e-05 -3.54087e-05 -3.1512e-05 -2.42013e-05 -1.37147e-05 -1.75505e-05 -9.67814e-06 -3.02819e-05 -7.99541e-06 -2.17368e-05 -1.4277e-05 -7.70153e-06 -1.00836e-05 -8.27126e-06 3.03752e-06 7.2262e-06 2.61144e-05 2.74131e-05 5.67078e-05 2.7715e-05 7.86356e-05 2.54758e-05 
26.3192 -1.05141e-05 3.71697e-05 -0.00180977 1.96033e-05 -0.000113661 -9.16199e-05 -0.000186941 -4.0997e-05 1.72547e-05 -0.00023414 -5.29432e-05 -0.000250577 -8.36013e-05 -0.000247823 0.000741699 0.00114152 -0.00026999 -6.81714e-05 -0.011276 -6.39209e-05 -3.01422e-05 4.5646e-05 -0.00488081 -0.0009588 0.000968929 -0.000111439 0.000572171 0.000746296 0.00198534 0.00450907 -0.000255967 0.000382589 0.000712688 -2.66585e-05 -4.07142e-07 2.26439e-06 -6.57931e-06 -3.12298e-05 -1.72095e-05 -3.78142e-05 -3.11049e-06 -4.27468e-05 -5.05694e-05 -1.28134e-05 -1.23042e-05 1.01672e-05 -7.65863e-07 -3.31536e-06 6.441e-06 -1.19734e-05 7.34754e-06 1.43875e-05 5.00735e-06 -1.77405e-06 6.00103e-06 9.21515e-06 8.566e-06 4.64652e-06 8.1014e-06 6.2048e-06 1.07659e-05 2.17853e-05 5.23804e-06 2.25479e-05 1.7899e-05 4.65562e-06 1.99414e-05 2.96752e-05 4.60623e-05 1.73682e-05 5.83794e-05 -1.28411e-05 1.12662e-06 2.03077e-05 1.39406e-05 -1.74166e-05 
714.572 0.000168797 -0.00180977 0.816679 -0.00636954 0.0402955 0.0308223 0.0771329 0.0261865 -0.00441203 0.0822396 0.00748794 0.0856785 0.00119014 0.0159583 0.0100192 -0.105483 0.0319719 -0.0068854 9.85872 0.00661225 -0.0111547 -0.0295167 4.95617 0.688467 0.713192 0.0370671 -0.0741369 -0.133807 1.38971 1.13109 0.293105 -0.0696128 -0.101748 0.00355094 -0.00693332 -0.0129501 -0.014651 -0.00704597 -0.00174053 0.0111368 0.0110895 0.00618978 0.000351268 0.00412924 0.0003573 0.00128176 -0.00471859 -0.00262607 0.00180671 -0.000588025 0.00197252 0.00240617 0.00316596 0.00114704 -0.0017058 0.000808283 -0.00145456 -0.00172455 -0.000330587 -0.00183369 -0.000874886 0.00411133 -0.00337821 0.00503131 0.00449065 -0.00053894 0.00548521 0.00574153 0.00297522 -0.00584769 0.00400669 -0.00711573 -0.00726948 0.00194918 0.00205568 0.00302535 
1.9507 -1.83801e-06 1.96033e-05 -0.00636954 0.000133552 -0.000324833 -0.000338782 -0.000210274 3.98629e-05 1.01021e-05 -0.000113309 0.000305919 0.000275733 0.000826323 -0.000190699 0.00103699 0.00165917 9.75099e-05 0.000104717 -0.0729386 3.53658e-05 -0.000113425 -3.21671e-05 -0.0372045 -0.00437823 -0.00660494 -0.00023434 0.001197 0.000911292 -0.00966549 -0.00683064 -0.00192203 0.000332087 -3.24478e-05 -2.18963e-05 0.000137785 0.000315041 0.000314513 0.000226291 0.000198688 0.000172436 4.99058e-05 7.53086e-05 0.000202416 8.54478e-05 8.6149e-06 1.33292e-05 0.000122383 -2.71923e-05 9.56564e-05 -9.20116e-06 5.0882e-05 2.99612e-05 2.19308e-05 -1.63508e-05 3.89098e-05 -2.95995e-05 -5.70234e-06 -5.22708e-06 -5.91586e-05 1.08299e-05 -8.24959e-05 -3.86803e-05 -0.000101878 -7.20665e-05 -7.24936e-05 -0.000200151 -0.000170757 -0.000185301 -0.000198194 -0.000165695 -8.49429e-05 -0.000214489 -0.000238767 -6.0557e-05 1.14687e-05 6.011e-05 
-4.7478 2.23545e-05 -0.000113661 0.0402955 -0.000324833 0.00229283 0.00157623 0.00413787 0.00129707 -0.000236305 0.00446553 0.000459541 0.00505545 0.00084796 0.00116829 4.11705e-05 -0.00578457 0.00248273 1.53849e-05 0.481527 0.000496367 -0.000485625 -0.00152126 0.24026 0.0334266 0.0321003 0.00187423 -0.00386603 -0.00711495 0.0615301 0.0456831 0.0141511 -0.00365878 -0.00561281 0.000280986 -0.00029165 -0.000540967 -0.000640358 -0.000266681 -3.72872e-05 0.000590429 0.000528895 0.000361132 0.000122137 0.000228577 -3.20483e-06 6.40188e-05 -0.000198853 -0.000112035 0.000113113 -1.01434e-05 9.81784e-05 0.00011506 0.000168268 6.34751e-05 -6.40587e-05 2.8899e-05 -5.517e-05 -8.6397e-05 -1.25101e-05 -8.9628e-05 -5.10136e-05 0.000181226 -0.000179538 0.000223167 0.00021548 -5.97096e-05 0.000254415 0.000235634 6.21859e-05 -0.000305358 0.000156336 -0.00042954 -0.000403458 6.35788e-05 6.21079e-05 0.000186161 
15.3778 2.11486e-05 -9.16199e-05 0.0308223 -0.000338782 0.00157623 0.00167792 0.00280521 0.00112476 -0.000172818 0.00283902 4.35222e-05 0.00169198 -0.0013343 0.000835584 -0.00191068 -0.005972 0.00225269 0.000406525 0.368614 0.000132479 0.00117999 -0.000138904 0.186526 0.0254735 0.0267452 0.00143868 -0.00412697 -0.00561829 0.0495851 0.0352751 0.0105072 -0.00169347 -0.00257668 0.000787211 -0.000313318 0.000109313 -0.000110163 -0.000187396 0.000195257 0.000353018 0.000495036 0.000409562 0.000307848 0.000237082 0.000332966 9.90479e-05 -6.62394e-05 3.68364e-05 6.69224e-05 4.95196e-05 0.000137537 0.000110611 0.000129272 5.13366e-05 3.07182e-05 0.000107829 -7.87541e-06 5.36294e-05 2.84405e-05 3.19412e-05 1.23596e-05 0.000215298 5.3596e-05 0.000231513 0.000221184 0.000265798 0.000400866 0.000365442 0.000177303 0.00010492 0.000438362 0.000134487 0.000145671 0.000287862 0.000278256 0.000128507 
76.1343 6.96929e-05 -0.000186941 0.0771329 -0.000210274 0.00413787 0.00280521 0.0320357 0.0263859 0.00164771 0.0141507 0.0059413 0.0149184 0.00631184 0.00215894 0.00632311 -0.00590616 0.00901287 0.00112321 0.945746 0.00166425 0.00049791 -0.0037359 0.468306 0.0709916 0.0497402 0.00403024 -0.0048489 -0.0163286 0.123085 0.0907704 0.0290757 -0.00596055 -0.0159565 -0.000546819 0.000196217 0.000529815 0.000106191 -3.6431e-05 -0.000190071 0.00223128 0.00192342 6.88503e-06 -0.000479427 0.000478188 -0.00122145 0.000155458 -0.00105728 1.93984e-05 0.000356595 0.000279321 0.000184067 -0.000620282 -0.000168537 -6.6581e-05 -0.00139891 -0.0010197 -0.000794168 -0.000437589 7.3599e-05 -0.000696508 0.000123427 -0.000304237 -0.000178965 0.000326943 0.000611583 0.000185432 -8.59521e-05 0.000844622 0.00174585 -0.000408607 0.00194813 -0.000244241 9.24193e-05 0.00211201 0.000901819 0.00078362 
