* MPD
estimate_values:
process[Recruitment].b0 catchability[summerTANq].q catchability[autumnTANq].q selectivity[M_all].x0 selectivity[M_all].y0 selectivity[M_all].y1 selectivity[M_all].y2 selectivity[summerTANSel_m].a50 selectivity[summerTANSel_m].ato95 selectivity[summerTANSel_m].alpha selectivity[summerTANSel_f].a50 selectivity[summerTANSel_f].ato95 selectivity[autumnTANSel_m].a50 selectivity[autumnTANSel_m].ato95 selectivity[autumnTANSel_m].alpha selectivity[autumnTANSel_f].a50 selectivity[autumnTANSel_f].ato95 selectivity[trwlFSel_m].mu selectivity[trwlFSel_m].sigma_l selectivity[trwlFSel_m].sigma_r selectivity[trwlFSel_m].alpha selectivity[trwlFSel_f].mu selectivity[trwlFSel_f].sigma_l selectivity[trwlFSel_f].sigma_r selectivity[lineHomeFSel_m].a50 selectivity[lineHomeFSel_m].ato95 selectivity[lineHomeFSel_m].alpha selectivity[lineHomeFSel_f].a50 selectivity[lineHomeFSel_f].ato95 selectivity[lineSpawnFSel_m].a50 selectivity[lineSpawnFSel_m].ato95 selectivity[lineSpawnFSel_m].alpha selectivity[lineSpawnFSel_f].a50 selectivity[lineSpawnFSel_f].ato95 process[Recruitment].ycs_values{1972} process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
310453 0.091008 0.125971 12.9848 0.127976 0.447125 0.353742 4.8763 1.77035 0.601862 5.60784 2.21421 5.63966 2.29795 0.933181 6.05841 2.73862 8.40245 1.94743 200 1.0209 8.73946 2.08855 40.6027 8.61108 4.59586 0.270052 9.53344 3.69069 14.0487 10.0276 1.17487 9.71472 2.89671 0.466417 0.450195 0.564519 0.566858 0.490789 0.567142 0.578519 0.710893 0.636154 0.807959 0.469258 0.707017 0.410406 0.514542 0.342109 0.347274 0.438258 0.475023 0.451357 0.494818 0.470725 0.804893 0.792118 0.83111 0.71251 0.554284 0.476844 0.461411 0.554441 0.542083 0.482643 0.54995 0.615797 0.774641 0.630534 0.773456 0.639287 0.699359 0.648716 0.506238 0.587383 0.589135 0.574501 
covariance_matrix:
9.95459e+09 -3450.31 -4309.46 2429.12 964.444 -44.7017 699.19 1825.89 669.657 -37.5604 1583.09 -59.7993 4391.2 2976.21 -641.978 4608.04 945.028 554.679 -449.68 94.8319 -891.111 3370.61 865.942 -764840 -1885.46 -8092.06 428.142 -7253.48 -7482.86 -4355.05 -10677.8 1603.62 -4733.76 -4816.58 3770.5 1900.55 573.855 2140.73 378.549 5.72576 284.921 -594.16 -736.744 -1691.27 -1115.22 -2172.63 -1256.47 -1678.23 -1060.83 -1079.81 -1317.63 -1284.73 -942.052 -886.859 -700.015 -969.771 -834.183 -609.155 -394.811 -213.267 -126.397 -86.369 -52.4257 34.5434 99.6657 107.396 149.174 60.0953 63.6144 101.683 107.773 265.498 287.533 584.814 976.553 2082.77 -61.8728 
-3450.31 0.00122165 0.00150681 -0.00188027 -0.000350766 0.000208536 -0.000243471 -0.000352788 -0.000244434 -5.61057e-05 -0.000127348 6.69163e-05 -0.00135425 -0.00115846 0.00021988 -0.00156596 -0.000718688 -0.000144079 9.55181e-05 -6.45023e-05 0.000253221 -0.00122985 -0.000446847 0.290416 -0.00167145 -0.00124398 -0.000234372 0.00251211 0.00249796 0.000739257 0.00324729 -0.000681104 0.00154435 0.00148734 -0.00127076 -0.000646597 -0.000200297 -0.000753427 -0.000181458 -6.76655e-05 -0.000111358 0.000100026 0.000256701 0.000513508 0.000360989 0.000711624 0.000412718 0.000547227 0.000352501 0.000362467 0.000433068 0.000404719 0.000291804 0.000267769 0.000211852 0.0002844 0.000231676 0.000170649 0.000104576 4.99855e-05 2.68743e-05 1.70277e-05 3.57067e-06 -1.79643e-05 -3.26733e-05 -3.00188e-05 -1.12801e-05 1.7852e-05 2.71098e-05 5.45122e-05 4.50046e-05 3.07689e-05 5.69192e-07 -5.15615e-05 -0.000164485 -0.000483009 0.000238022 
-4309.46 0.00150681 0.00207496 -0.000121125 -0.000449245 7.17412e-05 -0.000248296 -0.000583503 -0.00023033 1.08126e-06 -0.000465182 1.33513e-05 -0.00187389 -0.00125771 -0.000819573 0.00102282 0.0019245 3.82954e-05 0.000301126 -0.000152141 0.000343101 -0.00147004 -0.000459768 0.332972 0.00152816 0.00450119 -0.000210579 0.00350422 0.00333487 0.00397165 0.00570504 -0.000498185 0.00203439 0.00187386 -0.00194333 -0.000889641 -0.000502278 -0.00117341 -0.000368968 -0.000279538 -0.000318369 -5.17958e-05 0.000113798 0.000410154 0.000328439 0.00071748 0.000450068 0.000619834 0.000414532 0.000417401 0.000503403 0.000525895 0.000344725 0.0003679 0.000277841 0.000369568 0.000340879 0.000242697 0.000172204 0.00010986 6.95599e-05 7.40927e-05 7.6614e-05 5.24593e-05 2.68668e-05 5.70864e-05 4.57674e-05 0.000153823 0.000137902 0.000193573 0.000161107 0.000139114 0.000163155 7.4533e-06 -8.20326e-05 -0.0004539 0.000366676 
2429.12 -0.00188027 -0.000121125 2.87501 0.00932015 -0.287734 0.0426051 -0.285777 0.0936763 0.00156926 -0.179649 0.252474 -0.118254 0.27432 -0.0032897 -0.0616605 0.394168 0.165827 0.170153 -0.00698743 0.0056802 0.171421 0.185474 -5.64844 1.77751 2.95875 0.0567558 0.185607 0.23439 0.0549445 -0.0914341 -0.0109344 0.14475 0.131556 -0.00451883 -0.00432681 -0.0151882 0.00214314 -0.00155057 0.0212048 0.0113807 0.0205627 -0.00157289 -0.00777555 -0.0108241 -0.0135493 -0.00754421 0.00142322 0.00415252 0.00131902 0.00421495 0.00909354 0.0108219 0.00462143 0.00376029 -0.000110021 0.0119216 0.00685898 0.00738491 0.00582773 0.0062019 0.00664066 0.00942801 0.0104815 0.00768818 0.00690234 0.00262937 0.00613852 0.00425586 -0.00424799 0.00406178 0.0120723 0.011323 0.00774693 -0.004559 0.0207198 -0.0355126 
964.444 -0.000350766 -0.000449245 0.00932015 0.000394539 -0.00279062 -0.000347975 -0.0031126 0.000751062 5.45684e-05 -0.00226663 0.00208637 -0.00121324 0.00292228 -3.39798e-05 -0.000367266 0.00455602 0.000984443 0.00140647 -2.8124e-05 0.000269177 0.00052269 0.00133227 0.240415 0.0280881 0.0440056 0.000904447 0.00304007 0.0038073 0.00684775 0.00266131 0.000887681 0.00229619 0.00281961 0.000655624 0.00048371 0.00071488 0.000585479 0.000311543 0.000426559 6.76182e-05 0.000273586 -8.78646e-05 -0.000117003 -0.000138237 -0.000187264 -0.000112141 -5.09725e-05 -5.23565e-05 -6.89784e-05 -7.88587e-05 8.2243e-06 -6.95157e-06 -5.62746e-05 -5.36384e-05 -0.000141962 1.13471e-06 -6.97825e-05 -2.9801e-05 -4.48811e-05 -2.67256e-07 -3.3919e-05 1.84343e-05 5.82729e-06 -6.74341e-06 -7.21671e-05 -0.000147378 -0.000218193 -0.000177202 -0.000275781 -0.000136958 -0.000104916 -5.44833e-05 5.16799e-05 -5.24414e-05 0.000344727 -1.76419e-05 
-44.7017 0.000208536 7.17412e-05 -0.287734 -0.00279062 0.0509807 -0.000881355 0.0629091 -0.0101017 -0.00150387 0.0496848 -0.0341246 0.0376648 -0.0419219 -0.000445071 0.0284278 -0.0663959 -0.0106395 -0.0245113 0.000907014 -0.00338676 -0.00772657 -0.0262016 -1.83402 -0.369327 -0.627729 -0.0118062 -0.041929 -0.0640583 -0.117588 -0.10979 -0.0127303 -0.0284624 -0.0398462 -0.000857366 -0.00096311 -0.00123517 -0.00062618 -0.000530561 -0.00239105 0.000742223 -0.00110259 0.00206209 0.00259205 0.0019157 0.00180354 0.000895984 -0.000572818 -0.000408009 0.000150349 -0.000247579 -0.000981716 -0.00128096 0.000249179 -4.08081e-05 0.000987985 -0.00144526 -0.000121482 -0.000432246 -0.000341865 -0.000713707 -0.000701502 -0.00134776 -0.00150874 -0.00105046 -0.000594592 -4.86335e-05 -0.000548808 -0.000380484 0.000820237 -0.000847055 -0.00211423 -0.00123626 -0.00206046 0.0013342 -0.00390867 0.000963781 
699.19 -0.000243471 -0.000248296 0.0426051 -0.000347975 -0.000881355 0.00271624 -3.50864e-05 0.000578571 -4.71106e-05 0.000391223 0.00128287 0.000622095 0.00177751 -0.000268945 5.56729e-05 0.000562343 0.00110493 0.000578492 -2.11082e-05 -0.000470726 0.00252404 0.00131818 -0.664143 -0.0125422 -0.017971 -0.000140052 -0.00423807 -0.00409705 0.0139731 0.0175994 0.00236469 -0.00283516 -0.00407563 0.00065589 -0.000447041 -0.0010085 -0.000300938 -0.000311104 -0.000333165 0.000542792 -0.000381633 0.000304658 -0.000245236 -0.000171572 -0.000323435 -0.000233814 -0.000259153 -9.69049e-05 -0.000137442 -0.000152152 -0.000173413 -2.31843e-05 -0.000102998 -7.83206e-05 -0.000188458 -0.000159481 -0.000107463 -8.25979e-05 -5.22952e-05 -3.70676e-05 2.98032e-06 -5.2091e-05 5.80583e-05 5.17727e-05 8.18259e-05 0.00025935 0.000254085 0.000193426 0.000149689 0.000185826 0.00028914 0.000138566 -0.000133856 0.000107097 8.16678e-05 -0.000726434 
1825.89 -0.000352788 -0.000583503 -0.285777 -0.0031126 0.0629091 -3.50864e-05 0.105404 0.01169 -0.000490544 0.0737782 -0.0341198 0.0575033 -0.0457566 -0.00134279 0.0484999 -0.0756534 -0.000536964 -0.0264578 0.00098041 -0.0040183 0.000240901 -0.0302644 -2.30529 -0.435719 -0.766909 -0.0141908 -0.0486434 -0.0842248 -0.186371 -0.20783 -0.0212845 -0.0307208 -0.0517926 -0.00162482 -0.0011817 -0.000887981 0.000177881 -0.000692789 -0.00255974 0.00150042 0.000306178 0.00251222 0.00287496 0.00172116 0.000431915 0.000740157 -0.00145355 -0.000497107 0.000571117 -0.00015043 -0.00126348 -0.00220637 6.26033e-05 -0.000602658 0.000280675 -0.00290166 -0.000708562 -0.000391948 -0.000558075 -0.000807624 -0.000982792 -0.00162795 -0.00173585 -0.00105983 -0.000400848 0.000324271 -0.000891721 -2.96391e-05 0.00244175 -0.000231099 -0.00141583 0.000530746 -0.000656135 0.00373843 -0.00426233 0.00020591 
