* MPD
estimate_values:
process[Recruitment].b0 catchability[summerTANq].q catchability[autumnTANq].q selectivity[M_all].x0 selectivity[M_all].y0 selectivity[M_all].y1 selectivity[M_all].y2 selectivity[summerTANSel_m].a50 selectivity[summerTANSel_m].ato95 selectivity[summerTANSel_m].alpha selectivity[summerTANSel_f].a50 selectivity[summerTANSel_f].ato95 selectivity[autumnTANSel_m].a50 selectivity[autumnTANSel_m].ato95 selectivity[autumnTANSel_m].alpha selectivity[autumnTANSel_f].a50 selectivity[autumnTANSel_f].ato95 selectivity[trwlFSel_m].mu selectivity[trwlFSel_m].sigma_l selectivity[trwlFSel_m].sigma_r selectivity[trwlFSel_m].alpha selectivity[trwlFSel_f].mu selectivity[trwlFSel_f].sigma_l selectivity[trwlFSel_f].sigma_r selectivity[lineHomeFSel_m].a50 selectivity[lineHomeFSel_m].ato95 selectivity[lineHomeFSel_m].alpha selectivity[lineHomeFSel_f].a50 selectivity[lineHomeFSel_f].ato95 selectivity[lineSpawnFSel_m].a50 selectivity[lineSpawnFSel_m].ato95 selectivity[lineSpawnFSel_m].alpha selectivity[lineSpawnFSel_f].a50 selectivity[lineSpawnFSel_f].ato95 process[Recruitment].ycs_values{1972} process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
308391 0.0913276 0.126079 12.4971 0.132629 0.382835 0.351136 4.74005 1.74447 0.609956 5.46137 2.20371 5.51112 2.31372 0.942031 5.91609 2.77017 8.36975 1.97041 61.5186 1.04297 8.65812 2.09629 43.1556 11.4562 8.59889 0.380244 9.61484 3.86996 18.2092 13.5914 1.85604 9.73798 2.99349 0.483712 0.461295 0.568412 0.566533 0.486392 0.554158 0.563323 0.689074 0.620887 0.792416 0.465098 0.699739 0.409887 0.515451 0.341344 0.347633 0.437919 0.479322 0.451901 0.492687 0.469239 0.797983 0.79132 0.825462 0.707291 0.552146 0.475047 0.461264 0.55575 0.545502 0.483712 0.549964 0.614101 0.777233 0.631271 0.773797 0.64244 0.706483 0.652871 0.511363 0.585544 0.600554 0.575933 
covariance_matrix:
1.33919e+08 -15.2659 18.3161 1051.25 5.74978 49.3711 3.96815 251.578 135.421 -82.1544 416.379 228.466 452.331 394.292 -217.327 1357.1 1282.09 261.485 81.4054 22091.4 -33.8654 -149.509 -152.721 12216.2 1542.8 4082.51 -22.0996 530.254 513.582 9052.59 10378.9 931.975 500.625 849.197 156.628 -99.8295 122.792 58.0115 -85.4844 0.149545 10.1299 -116.852 -8.10551 -204.557 -130.262 -57.6731 -60.0257 -70.8178 -3.21535 -49.7143 10.8019 -68.0981 -13.2392 -8.22331 -13.3405 -66.5224 -5.46961 -49.4564 6.83172 -13.1227 20.1842 -27.5761 52.0705 -1.641 61.9855 36.4206 72.3229 46.1058 110.661 162.124 95.4758 162.97 73.3562 238.857 244.309 327.162 101.951 
-15.2659 1.70139e-05 -7.49593e-06 -2.42037e-05 -7.2135e-06 4.36363e-07 2.552e-05 2.12924e-07 -2.27049e-05 -1.83429e-05 5.11674e-05 3.3744e-05 -0.000170858 -0.00013133 5.58477e-05 -0.00048291 -0.000559655 -4.31881e-05 -2.91636e-05 -0.00377377 -1.11158e-05 4.42207e-05 1.58148e-05 -0.00225452 -0.000235714 -0.00106026 2.22555e-05 -0.000238758 -0.000262705 -0.0023779 -0.00292823 -0.000200528 -0.000185912 -0.00036328 0.000106867 -6.66169e-06 6.1627e-05 1.34497e-05 -1.38585e-05 1.9399e-05 -4.97e-06 8.82581e-06 2.73871e-05 -9.92432e-07 7.9352e-06 -2.32144e-06 3.22548e-06 -1.15293e-05 4.95197e-06 -1.21277e-05 8.30264e-06 -2.25488e-05 -1.43272e-05 -8.16075e-06 -2.11579e-05 -1.81802e-05 -1.16783e-05 -2.99234e-05 4.0158e-07 -2.01133e-05 -2.72201e-06 -3.11277e-06 -1.24871e-05 1.87891e-06 -5.15963e-06 -4.77324e-06 2.27296e-05 9.47242e-06 1.54049e-05 3.21974e-05 2.17797e-05 4.96647e-05 1.82535e-05 8.41483e-05 4.03516e-05 6.38665e-05 4.23787e-05 
18.3161 -7.49593e-06 2.91781e-05 -0.00017218 1.55576e-05 -1.02154e-05 -4.82506e-05 4.12341e-05 6.73408e-05 -6.0916e-06 5.36926e-05 6.95763e-05 0.000270735 0.000285914 -0.000121155 0.000838839 0.000946034 0.000122586 6.26273e-05 0.00468354 2.0731e-06 -4.78583e-05 -3.18725e-05 0.00308854 0.000466783 0.00161545 -3.46076e-05 0.000430009 0.000421537 0.00398198 0.00491988 0.000315323 0.000346723 0.000541931 -4.5063e-05 3.79961e-06 1.40083e-05 2.96802e-05 5.29304e-06 -2.98674e-06 1.63668e-05 -2.75414e-05 -1.97007e-05 -3.73064e-05 -3.82072e-05 1.00394e-06 -1.8023e-05 4.19859e-06 6.37693e-07 4.74618e-06 -5.35614e-07 1.11489e-05 1.26257e-05 7.66215e-06 1.75783e-05 5.28606e-06 7.81375e-06 1.79931e-05 1.89063e-07 1.5863e-05 4.82835e-06 -5.4508e-06 2.14353e-05 -9.005e-06 1.41988e-05 9.48352e-06 -1.79089e-05 -3.17506e-06 5.09109e-06 4.46123e-07 -1.49976e-06 -1.12047e-05 -1.72443e-06 -6.74585e-06 2.6581e-05 2.69259e-05 -1.0585e-05 
1051.25 -2.42037e-05 -0.00017218 0.657416 -0.00576314 0.0302901 0.0246732 0.0748081 0.0184592 -0.00380135 0.0758635 0.00746245 0.0652273 -0.0255262 0.00517995 0.0508596 -0.0464126 0.0361028 -0.0026481 7.11653 0.00192464 0.000892478 -0.0222887 3.42558 0.432056 0.472658 0.0216711 -0.067548 -0.128673 1.18702 1.1553 0.217196 -0.0592176 -0.0935318 0.00455538 -0.0143383 -0.0141594 -0.00664363 -0.00570167 -0.00103692 0.00153066 -0.00345024 0.00728711 -0.00481559 -0.00779315 -0.00829399 -0.000911434 -0.00818661 -0.00438508 -0.00143443 -0.00155043 -0.0020659 -0.00287334 -0.00213002 0.00155005 -0.0038865 -0.00610517 -0.00128338 -0.00766776 0.00088256 -0.00478438 -0.00342176 -0.000232095 -0.00508805 0.00145945 -0.000828763 -0.000735939 -0.00739243 0.00259323 -0.00351698 -0.00305969 -0.00400195 -0.00168611 -0.00361603 0.00688275 0.00759596 -0.00402255 
5.74978 -7.2135e-06 1.55576e-05 -0.00576314 0.000153233 -0.000285771 -0.000376325 -0.000254578 0.000105974 -5.57789e-06 -7.78552e-05 0.000468898 0.000452804 0.00122594 -0.000187285 0.00122258 0.00192137 0.000158173 0.000114318 -0.0542861 4.77097e-05 9.01412e-06 3.16547e-05 -0.026116 -0.0021734 -0.00417848 -0.000173988 0.00133051 0.00114865 -0.00583429 -0.00426265 -0.00136124 0.000801354 0.000298672 -2.13489e-05 0.000307398 0.000457881 0.00040357 0.000294328 0.000229807 0.000216426 0.000152334 8.84771e-05 0.000218023 6.13384e-05 0.000129618 -1.0212e-05 0.000137858 2.54819e-05 8.73727e-05 -8.80513e-06 0.000137816 3.21157e-05 1.97312e-05 3.03341e-05 9.77784e-05 -4.31256e-05 9.61777e-05 -4.24467e-05 4.54074e-05 -5.58757e-05 -3.39095e-06 -4.3674e-05 -7.61864e-05 -9.25749e-05 -3.92661e-05 -0.000255696 -0.000117102 -0.000184345 -0.000224639 -0.000150697 -0.000202052 -8.75054e-05 -3.60279e-05 -5.38373e-05 -6.22704e-05 -6.71049e-05 
49.3711 4.36363e-07 -1.02154e-05 0.0302901 -0.000285771 0.00165379 0.00120612 0.00374801 0.000778619 -0.000191963 0.00377954 0.000193175 0.00305786 -0.00123881 0.000243243 0.00232874 -0.00229341 0.00204104 -2.40379e-06 0.338963 9.14152e-05 0.000373091 -0.000932207 0.16329 0.0206766 0.0222212 0.00105589 -0.00322436 -0.00623434 0.0562584 0.0544104 0.0103448 -0.00275373 -0.00437667 0.000362421 -0.000676298 -0.000549476 -0.000254831 -0.000239527 2.57471e-05 9.38718e-05 -7.91002e-05 0.000412072 -0.000140394 -0.000344659 -0.000325994 -2.54975e-05 -0.000343597 -0.00018376 -5.00208e-05 -5.12235e-05 -7.90893e-05 -0.00011832 -9.11327e-05 8.33054e-05 -0.000152169 -0.000254562 -5.46777e-05 -0.000339403 8.46112e-05 -0.000206103 -0.000168121 7.41662e-07 -0.000211919 0.000105479 -6.05201e-06 -1.29377e-06 -0.00029526 0.000150642 -0.000129826 -0.000130548 -0.000148331 -5.59377e-05 -0.000166733 0.000339597 0.000390008 -9.46619e-05 
3.96815 2.552e-05 -4.82506e-05 0.0246732 -0.000376325 0.00120612 0.00158764 0.00249247 0.000575364 -0.000132027 0.00230293 -0.000390947 0.000124371 -0.00324008 0.00048806 -0.00225871 -0.00602311 0.0011701 -1.33144e-05 0.252676 -9.85839e-05 0.00108563 -0.000120282 0.121662 0.0143801 0.015177 0.000899424 -0.00440472 -0.0057105 0.0336995 0.0271134 0.00703891 -0.00257627 -0.00333476 0.000861388 -0.000628037 -0.0001614 -0.000182053 -0.000291965 -9.57603e-07 -0.000222236 2.5166e-05 0.000447482 0.000178009 -0.000128505 -2.36251e-05 0.000106522 -0.000228637 -9.10611e-05 -4.11077e-05 2.60582e-05 -0.000130882 -7.379e-05 -1.52656e-05 1.94689e-05 -0.000151122 -5.96324e-05 -9.45933e-05 -8.43145e-05 -3.01689e-05 -2.1163e-07 -7.18462e-05 3.29438e-05 2.88955e-05 0.00020393 -1.37466e-05 0.000497725 -3.14645e-05 0.000304881 0.000222836 0.000232755 0.000356303 0.000145524 0.000125784 0.000424192 0.000503698 0.000388433 
251.578 2.12924e-07 4.12341e-05 0.0748081 -0.000254578 0.00374801 0.00249247 0.0325108 0.0250664 0.00150321 0.0150352 0.00639465 0.0124111 0.00106092 6.79699e-05 0.013421 0.000814416 0.00797296 0.000288802 0.876163 0.000584282 0.00172798 -0.00345842 0.421696 0.0597729 0.0517877 0.00264436 -0.00487402 -0.0169874 0.159783 0.156415 0.0280416 -0.00435872 -0.0135741 2.55774e-05 -0.00111663 0.000102113 0.000557943 -0.00059341 -0.000663109 0.000559446 -3.88666e-05 0.000697691 -0.00104786 -0.00116935 -0.00224109 3.49404e-05 -0.00145775 -0.000656641 0.00025795 -0.000116442 -0.000184122 -0.000889532 -0.000990136 3.84576e-05 -0.00159938 -0.00189558 -0.00069197 -0.00120549 9.34696e-05 -0.000849001 -0.00056647 -7.66897e-05 -0.000793093 0.000379144 0.000255366 -9.00698e-05 -0.000977603 0.000810601 0.000952937 0.000392933 0.000969056 0.00163443 0.00142395 0.00268937 0.00166988 -0.000945706 
135.421 -2.27049e-05 6.73408e-05 0.0184592 0.000105974 0.000778619 0.000575364 0.0250664 0.04921 0.0018139 0.00804021 0.00871902 0.0057101 -0.00104642 -0.000790092 0.00866151 0.00223791 0.00284652 -5.612e-06 0.275371 0.000148386 0.00121034 -0.00115795 0.139191 0.0285974 0.0120426 0.00101749 0.00291651 -0.0100319 0.0699463 0.075853 0.0108968 -0.000918532 -0.00812135 9.22755e-06 0.00128003 0.000774019 0.000420114 -0.00068562 -0.000674848 0.00025823 -0.000747998 -0.00180937 -0.00039209 -0.00073015 -0.000930368 0.000647198 -0.00156203 0.000215949 0.000417453 0.000500627 -0.000843525 -0.000672942 -0.000532513 0.000401183 -0.00138456 -0.000246217 -9.18289e-05 0.000120623 2.06329e-05 -0.000117817 0.000160026 0.000179467 6.72672e-05 0.000630068 0.000857173 -1.56005e-05 0.000327194 0.00109953 0.00196161 -0.000383134 0.00254639 0.00174668 0.00100259 -0.000115156 -0.000502285 -7.95172e-05 
-82.1544 -1.83429e-05 -6.0916e-06 -0.00380135 -5.57789e-06 -0.000191963 -0.000132027 0.00150321 0.0018139 0.00150742 -0.00238087 -0.00137491 -0.000920535 -0.000604238 9.3149e-05 -0.000958989 -0.000479121 -0.000458073 0.000111844 -0.0465355 8.80064e-05 0.000724774 0.000597572 -0.0226439 -0.00404175 -0.00246014 -2.96478e-05 0.000214529 0.000631651 -0.010315 -0.00809133 -0.00143426 5.27036e-05 0.000441903 -0.000346039 0.000377936 -8.57215e-05 -7.02082e-05 -1.11725e-05 -0.000269335 -0.000170862 0.000229565 -0.000252586 -0.000206224 6.09557e-05 -2.55262e-05 4.08992e-05 -0.000172138 2.57612e-05 -0.00019086 0.000164551 -0.00025629 -6.86538e-05 6.93662e-05 -0.000214148 -6.17716e-05 -1.7197e-05 -0.000273167 -2.64106e-05 -0.000165093 -3.81811e-06 -8.8649e-05 -9.68487e-05 -0.000103826 -5.57735e-05 -0.000103842 -3.69334e-05 -8.4224e-05 -0.00013252 3.88677e-05 -0.000391391 0.000217969 -0.000829819 0.000202693 0.00035358 -0.000136764 0.000321207 
416.379 5.11674e-05 5.36926e-05 0.0758635 -7.78552e-05 0.00377954 0.00230293 0.0150352 0.00804021 -0.00238087 0.036862 0.0298908 0.015484 0.00487174 -2.19452e-05 0.0160473 0.00369711 0.00853171 0.000329872 0.897317 0.000569663 -0.000730043 -0.00497162 0.428368 0.0635957 0.0493139 0.00242463 -0.00108932 -0.018327 0.164529 0.156932 0.0282467 -0.00488375 -0.0152234 0.000850484 -0.00278374 -0.000242959 9.34916e-05 -0.000769838 0.000961767 0.00189965 -0.000703214 0.00122671 -0.000592744 -0.000629242 -0.000927234 0.00010009 -0.000542827 -0.000339634 0.000976177 -6.21121e-05 0.000245981 -0.000476096 -0.000349249 0.000193103 -0.000439744 -0.00121921 0.00115759 -0.000786954 0.000958765 -0.00057084 0.000194244 0.00055421 -0.000142173 0.000916346 0.00094323 3.84011e-07 -0.000138995 0.00135617 0.000635819 0.000709342 0.00193874 0.000860948 -0.00170169 0.000644932 0.00184573 -0.00227268 
228.466 3.3744e-05 6.95763e-05 0.00746245 0.000468898 0.000193175 -0.000390947 0.00639465 0.00871902 -0.00137491 0.0298908 0.0574463 0.00749322 0.00626771 -0.000384726 0.00937209 0.00807053 0.00268289 0.000750696 0.140361 0.000507019 -0.00147203 -0.00160782 0.0635055 0.0156818 0.000339967 0.00054121 0.00906322 -0.00785794 0.0365672 0.0418311 0.00529073 -3.81275e-05 -0.00845374 -0.000706192 -0.00144089 -0.000580392 -0.000703324 -0.000743466 0.00155592 0.0026925 0.000272794 -0.000700054 -0.000757927 0.0010142 0.00120724 0.000400095 0.000245253 0.000626011 0.000806593 0.000534188 -0.000315217 -0.000226847 0.00145926 -0.000361153 0.00136455 0.000712274 0.00299946 0.000935158 0.00135978 0.000274452 0.00125185 0.00115672 0.000877688 0.00148675 0.00158157 5.26057e-05 0.00129673 0.0014769 0.000723894 -0.00158989 0.0043143 -0.00494771 -0.00786215 -0.00277991 -0.00112449 -0.00224739 
452.331 -0.000170858 0.000270735 0.0652273 0.000452804 0.00305786 0.000124371 0.0124111 0.0057101 -0.000920535 0.015484 0.00749322 0.108639 0.033853 -0.00132251 0.0495016 0.0456282 0.0259568 0.0099225 0.894591 0.00304374 -0.00284606 -0.0056461 0.418418 0.0531178 0.0704266 0.00012913 0.0164496 0.00146722 0.198126 0.203927 0.0273079 0.0097609 0.00562104 0.00115562 -0.00172982 0.0026717 0.00213041 -9.90896e-05 0.000674013 0.00318908 0.000102482 0.00150246 -0.000634641 9.51315e-06 -0.000457158 0.000307267 0.000973335 0.00120434 0.00210049 0.000919044 0.00235508 0.00191265 0.00213669 0.00225742 0.00337188 0.000267653 0.00315871 0.00035889 0.00164279 0.000398473 0.000374807 0.000780221 0.000528111 0.000535609 0.00102152 -0.000376962 -0.000367041 0.000428874 0.000325959 -5.40186e-05 0.000261538 0.000141279 0.0015886 0.00237458 0.00340993 -0.000244669 
