* MPD
estimate_values:
process[Recruitment].b0 catchability[summerTANq].q catchability[autumnTANq].q selectivity[M_all].x0 selectivity[M_all].y0 selectivity[M_all].y1 selectivity[M_all].y2 selectivity[summerTANSel_m].a50 selectivity[summerTANSel_m].ato95 selectivity[summerTANSel_m].alpha selectivity[summerTANSel_f].a50 selectivity[summerTANSel_f].ato95 selectivity[autumnTANSel_m].a50 selectivity[autumnTANSel_m].ato95 selectivity[autumnTANSel_m].alpha selectivity[autumnTANSel_f].a50 selectivity[autumnTANSel_f].ato95 selectivity[trwlFSel_m].mu selectivity[trwlFSel_m].sigma_l selectivity[trwlFSel_m].sigma_r selectivity[trwlFSel_m].alpha selectivity[trwlFSel_f].mu selectivity[trwlFSel_f].sigma_l selectivity[trwlFSel_f].sigma_r selectivity[lineHomeFSel_m].a50 selectivity[lineHomeFSel_m].ato95 selectivity[lineHomeFSel_m].alpha selectivity[lineHomeFSel_f].a50 selectivity[lineHomeFSel_f].ato95 selectivity[lineSpawnFSel_m].a50 selectivity[lineSpawnFSel_m].ato95 selectivity[lineSpawnFSel_m].alpha selectivity[lineSpawnFSel_f].a50 selectivity[lineSpawnFSel_f].ato95 process[Recruitment].ycs_values{1972} process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} 
310422 0.0910179 0.125984 12.985 0.127973 0.447102 0.353746 4.87627 1.77034 0.601866 5.60779 2.21422 5.63959 2.29789 0.933191 6.05835 2.73861 8.40246 1.94745 200 1.02089 8.73952 2.08858 40.5571 8.61126 4.59623 0.270055 9.53351 3.69078 14.0488 10.0278 1.17489 9.71474 2.89675 0.466413 0.450209 0.564504 0.566889 0.490794 0.567114 0.578594 0.71085 0.636208 0.807957 0.469275 0.707035 0.410416 0.514556 0.342118 0.347284 0.438271 0.475037 0.451371 0.49483 0.470741 0.804914 0.792144 0.831131 0.712527 0.554297 0.476855 0.461422 0.554454 0.542095 0.482653 0.549962 0.615809 0.774659 0.630547 0.773471 0.639298 0.699373 0.648726 0.506248 0.587382 0.589123 0.574497 
covariance_matrix:
9.58014e+09 -3345 -4157.15 4986.25 930.335 -223.651 761.701 1606.55 780.681 12.6787 1291.76 93.822 3383.09 1971.57 -573.07 3923.93 1057.22 412.774 -385.698 -563.76 -1195.52 4018.3 1132.28 -1.64709e+06 -232.52 -5116.8 469.065 -6636 -6783.24 -2512.95 -8381.94 1757.31 -4363.55 -4334.5 3724.77 2056.26 195.214 2710.61 511.032 -360.221 1563.92 -1365.16 151.529 -1629.07 -885.263 -1913.01 -1088.9 -1480.7 -927.231 -930.286 -1105.89 -1032.96 -768.371 -638.181 -496.557 -603.217 -488.128 -276.983 -126.353 -0.630192 45.5693 95.9656 183.66 246.12 287.545 331.018 368.666 359.842 302.715 392.494 361.189 513.661 541.206 657.996 1118.08 2009.96 -502.465 
-3345 0.00119387 0.00146507 -0.00268813 -0.000340445 0.000247636 -0.000265829 -0.000314192 -0.000284488 -7.0518e-05 -6.48881e-05 2.29288e-05 -0.0010761 -0.000865973 0.000206038 -0.00138042 -0.00074522 -7.23937e-05 9.75721e-05 -6.30394e-05 0.000356311 -0.00144909 -0.000529329 0.582142 -0.00192164 -0.001684 -0.000240218 0.00236301 0.00234007 0.00034494 0.00272046 -0.000707161 0.00143662 0.00135053 -0.00126415 -0.000688966 -7.1133e-05 -0.000936838 -0.000219558 3.98738e-05 -0.000498032 0.000332519 -9.27486e-06 0.000489393 0.000293876 0.000635785 0.000362769 0.000489512 0.000313676 0.000317949 0.000369226 0.000328844 0.000241609 0.000189998 0.00015343 0.000171575 0.000130661 7.03599e-05 2.36815e-05 -1.44759e-05 -2.56542e-05 -3.80317e-05 -6.8535e-05 -8.1995e-05 -9.02168e-05 -9.82197e-05 -7.87182e-05 -7.28335e-05 -4.63715e-05 -3.52631e-05 -3.47599e-05 -4.46283e-05 -7.92559e-05 -7.0299e-05 -0.000214237 -0.000469584 0.000440146 
-4157.15 0.00146507 0.00201367 -0.0012208 -0.000434845 0.000137977 -0.000276741 -0.00050745 -0.000280003 -1.95533e-05 -0.000357348 -4.85563e-05 -0.00146902 -0.000845272 -0.000844389 0.00129638 0.00188396 0.000113657 0.000286577 -0.00040859 0.000477416 -0.00175844 -0.000574259 0.718005 0.000994442 0.00354186 -0.000223377 0.0032672 0.00307167 0.00330315 0.00484803 -0.000549556 0.0018823 0.00167701 -0.00192891 -0.000952285 -0.000334967 -0.001419 -0.000422656 -0.000127801 -0.000853243 0.000269947 -0.000256169 0.00038128 0.000233512 0.000610335 0.000380415 0.000538301 0.000359506 0.000355253 0.000414966 0.00042083 0.000273139 0.00026255 0.000194276 0.000215048 0.000198003 0.000103668 5.9918e-05 2.07169e-05 -2.74469e-06 -2.14385e-06 -2.24775e-05 -3.60089e-05 -5.20829e-05 -3.67013e-05 -4.66334e-05 2.8453e-05 3.72801e-05 7.10038e-05 5.35351e-05 3.51437e-05 5.5553e-05 -2.16434e-05 -0.00014472 -0.000428228 0.000594688 
4986.25 -0.00268813 -0.0012208 2.86617 0.00944843 -0.285986 0.0425292 -0.283476 0.092807 0.00125432 -0.177279 0.250674 -0.109501 0.282362 -0.00401449 -0.0560447 0.391635 0.16611 0.169011 -0.0287728 0.00686678 0.170799 0.185162 -1.81866 1.74718 2.90725 0.0558332 0.180408 0.228807 0.03066 -0.1179 -0.0135566 0.141895 0.128286 -0.00357382 -0.00539721 -0.013547 -0.000691978 -0.00294628 0.023441 0.00274232 0.0260343 -0.00768289 -0.00813092 -0.0123558 -0.0153182 -0.00870482 8.27783e-05 0.00323957 0.000300302 0.00278105 0.00733302 0.00977385 0.00294776 0.00246341 -0.00244902 0.00962746 0.0047562 0.00569092 0.00448703 0.00512005 0.00542607 0.00782193 0.00902222 0.00641453 0.0053659 0.00118133 0.00410801 0.00264895 -0.0062202 0.00231365 0.0103966 0.00952421 0.00744462 -0.00562427 0.0213939 -0.0380164 
930.335 -0.000340445 -0.000434845 0.00944843 0.00039274 -0.00281095 -0.000346038 -0.00313708 0.000765416 5.87995e-05 -0.00229259 0.00211146 -0.00133061 0.00281029 -2.56642e-05 -0.000441188 0.00459043 0.000971834 0.00141647 -0.000286822 0.000249339 0.000536675 0.00133647 0.179256 0.0284522 0.044615 0.000915872 0.00310302 0.00387076 0.00714961 0.00299252 0.000919554 0.00233565 0.00286339 0.000644021 0.000497506 0.000687476 0.000628721 0.000331065 0.000395759 0.000190596 0.000195714 -1.61366e-06 -0.000110332 -0.000117171 -0.000162866 -9.5811e-05 -3.24895e-05 -3.98283e-05 -5.46756e-05 -5.84888e-05 3.32486e-05 7.19867e-06 -3.16548e-05 -3.61594e-05 -0.000108114 3.26673e-05 -3.99604e-05 -5.82941e-06 -2.57917e-05 1.52559e-05 -1.66595e-05 4.15239e-05 2.66318e-05 1.16135e-05 -5.01033e-05 -0.000126452 -0.000189268 -0.000153966 -0.00024713 -0.00011109 -8.09535e-05 -2.78782e-05 5.48427e-05 -3.50887e-05 0.000337633 -2.88387e-07 
-223.651 0.000247636 0.000137977 -0.285986 -0.00281095 0.0509659 -0.000822762 0.0629515 -0.00998968 -0.00147838 0.0496724 -0.0340408 0.0372069 -0.0424734 -0.000447067 0.0281406 -0.0663626 -0.0109124 -0.0246087 0.00456436 -0.00364026 -0.00720239 -0.0260368 -2.52476 -0.369823 -0.628733 -0.0118196 -0.0417902 -0.0639772 -0.117445 -0.109406 -0.0127596 -0.0282595 -0.0396088 -0.000842948 -0.000898895 -0.00155817 -0.000210612 -0.000458477 -0.00259335 0.00152739 -0.00157384 0.0025914 0.00266517 0.00204092 0.0019458 0.000994546 -0.000464543 -0.000336134 0.000237812 -0.000118501 -0.000828129 -0.00119049 0.00041909 6.31275e-05 0.00122543 -0.00125696 8.05636e-05 -0.000270064 -0.000210859 -0.000605156 -0.000590122 -0.0011979 -0.00137821 -0.00093018 -0.000453191 9.30078e-05 -0.00036432 -0.00022583 0.00101115 -0.000670309 -0.00195943 -0.00105912 -0.00203949 0.00146799 -0.00389798 0.000277692 
761.701 -0.000265829 -0.000276741 0.0425292 -0.000346038 -0.000822762 0.00272151 5.3345e-05 0.000568683 -5.44098e-05 0.000475727 0.00123826 0.000848161 0.00196491 -0.000294612 0.000204596 0.000489824 0.0010686 0.000522555 0.000147773 -0.000466631 0.00256645 0.00132408 -0.632389 -0.0136123 -0.0198308 -0.000171617 -0.00439997 -0.00428689 0.0131869 0.0167684 0.00227401 -0.00290098 -0.00415405 0.000688663 -0.000475295 -0.00100027 -0.000337735 -0.000345423 -0.000284895 0.000366407 -0.000267341 0.000175825 -0.000245039 -0.000205864 -0.000363099 -0.00025861 -0.000289158 -0.000117645 -0.000159177 -0.000181642 -0.000210029 -4.67951e-05 -0.000133698 -0.000108356 -0.000232675 -0.000210775 -0.000149656 -0.000116761 -7.88185e-05 -5.79304e-05 -2.17928e-05 -8.39927e-05 2.81575e-05 2.67159e-05 5.10693e-05 0.000231429 0.000212676 0.000162244 0.000111809 0.000154051 0.000255427 0.00010542 -0.00014326 9.37926e-05 0.000107897 -0.000903678 
1606.55 -0.000314192 -0.00050745 -0.283476 -0.00313708 0.0629515 5.3345e-05 0.105595 0.011904 -0.00045902 0.0738987 -0.0339668 0.0568773 -0.0465805 -0.00137466 0.0481489 -0.0755481 -0.00108554 -0.0266965 0.00482411 -0.00441389 0.000946961 -0.0300948 -3.36493 -0.436917 -0.769464 -0.0142144 -0.0486139 -0.0843926 -0.186493 -0.207673 -0.0213645 -0.0304248 -0.0514952 -0.0015957 -0.00111526 -0.00140722 0.000805964 -0.000568739 -0.00282708 0.00266712 -0.000405823 0.00328905 0.0030137 0.00189091 0.000627772 0.000884 -0.00130472 -0.000399429 0.000697414 4.07214e-05 -0.0010331 -0.00209379 0.00033123 -0.000472206 0.000638299 -0.00264712 -0.000417376 -0.000159596 -0.00036788 -0.000647583 -0.000818697 -0.00139998 -0.00153972 -0.00087616 -0.000185472 0.000539543 -0.000616837 0.000207257 0.00273768 5.36088e-05 -0.00118351 0.000818768 -0.000657696 0.00398761 -0.00420321 -0.000928093 
