* MPD
estimate_values:
process[Recruitment].b0 catchability[summerTANq].q catchability[autumnTANq].q selectivity[M_all].x0 selectivity[M_all].y0 selectivity[M_all].y1 selectivity[M_all].y2 selectivity[summerTANSel_m].a50 selectivity[summerTANSel_m].ato95 selectivity[summerTANSel_m].alpha selectivity[summerTANSel_f].a50 selectivity[summerTANSel_f].ato95 selectivity[autumnTANSel_m].a50 selectivity[autumnTANSel_m].ato95 selectivity[autumnTANSel_m].alpha selectivity[autumnTANSel_f].a50 selectivity[autumnTANSel_f].ato95 selectivity[trwlFSel_m].mu selectivity[trwlFSel_m].sigma_l selectivity[trwlFSel_m].sigma_r selectivity[trwlFSel_m].alpha selectivity[trwlFSel_f].mu selectivity[trwlFSel_f].sigma_l selectivity[trwlFSel_f].sigma_r selectivity[lineHomeFSel_m].a50 selectivity[lineHomeFSel_m].ato95 selectivity[lineHomeFSel_m].alpha selectivity[lineHomeFSel_f].a50 selectivity[lineHomeFSel_f].ato95 selectivity[lineSpawnFSel_m].a50 selectivity[lineSpawnFSel_m].ato95 selectivity[lineSpawnFSel_m].alpha selectivity[lineSpawnFSel_f].a50 selectivity[lineSpawnFSel_f].ato95 process[Recruitment].ycs_values{1972} process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} 
335844 0.0934009 0.127366 13.0293 0.14116 0.383294 0.345909 4.52313 1.98045 0.592088 5.4778 2.95759 5.51674 3.10031 0.949264 5.91106 3.67144 8.51712 2.09805 75.924 1.04927 8.76002 2.20409 50.9388 12.8407 9.92109 0.438727 9.74549 3.98591 19.4262 14.0989 2.12933 9.8277 3.09958 0.488553 0.460583 0.573351 0.570845 0.488493 0.560341 0.56382 0.682087 0.612456 0.783863 0.465142 0.701661 0.408702 0.527338 0.334942 0.358826 0.410639 0.526476 0.432234 0.50018 0.459568 0.828502 0.776359 0.83359 0.701733 0.560933 0.465073 0.469847 0.568116 0.529153 0.508865 0.519702 0.710084 0.697449 0.640387 0.781813 0.645931 0.691513 0.631433 0.511694 0.625394 0.574861 
covariance_matrix:
1.48196e+08 -21.3382 20.3774 1320.7 -16.1332 -27.4243 84.4941 1.84728 47.9887 -84.2738 186.365 -146.035 -254.891 -128.317 -368.443 1877.67 3492.55 -289.527 -143.559 51804.1 -83.8531 -11.482 -3.43411 27133.1 3687.31 7526.09 67.1099 403.461 668.38 13319.1 12424.5 1929.67 331.245 685.024 52.3525 85.0434 36.2651 -122.993 41.6593 -188.252 6.02611 -21.1451 -40.1639 -56.4794 -114.657 -6.38916 -24.5539 -3.26229 -20.0392 -5.52231 -2.50339 -2.74084 -38.9194 47.155 -89.277 2.50289 20.409 -1.64913 72.178 35.3062 23.6378 40.2778 62.9052 82.1414 69.6917 112.957 126.741 192.224 169.461 234.888 263.432 198.356 242.649 246.058 316.471 232.119 
-21.3382 2.02397e-05 -9.65179e-06 -0.000388205 1.76338e-06 1.88866e-05 -1.6196e-05 2.17317e-05 2.10153e-05 -1.88785e-05 0.000107455 0.000145482 0.00011503 7.94667e-05 0.000137398 -0.000532423 -0.00144717 0.000183396 6.35315e-05 -0.0184099 3.16124e-05 9.32576e-05 3.24994e-05 -0.0096856 -0.00134877 -0.00288489 -7.29294e-06 -0.000187652 -0.000147437 -0.00512688 -0.00491172 -0.0007185 -4.94312e-05 -0.000169266 3.73855e-05 1.37022e-05 1.36672e-05 8.81519e-05 3.89228e-05 3.76647e-05 3.8891e-05 -1.19893e-05 -2.5857e-05 5.1994e-05 3.85947e-05 -1.78654e-05 7.41494e-06 -7.83804e-06 1.06772e-05 2.56939e-06 -6.46831e-06 1.51015e-05 -1.24612e-05 -1.03536e-05 2.12975e-05 -3.2904e-06 -3.08727e-05 2.2667e-05 -2.36088e-05 6.1837e-07 -2.46274e-06 1.06046e-06 1.65669e-06 -9.19451e-06 1.28357e-05 -1.18952e-05 2.94183e-05 2.84092e-06 -2.22044e-06 5.11234e-05 -2.16853e-06 0.000116339 1.76375e-05 1.25001e-06 1.15337e-05 4.09983e-05 
20.3774 -9.65179e-06 3.05692e-05 -0.000659262 7.56724e-06 -6.75616e-05 -2.83345e-05 -0.000118565 -0.000136738 2.21664e-06 -0.000134818 -0.000111092 -0.000113697 0.000230298 -0.000187649 0.000873376 0.00230987 -0.000139778 -3.61145e-05 0.00762927 -3.28858e-05 -7.56816e-05 -1.78085e-05 0.00411127 0.00046804 0.00211004 -3.80195e-05 0.000281867 0.000420647 0.00431401 0.00494886 0.000417297 0.000185076 0.000366454 -2.27077e-05 2.376e-05 2.72505e-05 -6.92293e-05 -5.95388e-06 -5.41732e-05 -4.00522e-05 -2.6738e-05 -1.75009e-05 -4.9171e-05 -3.09238e-05 7.6906e-06 -1.61324e-05 1.36883e-05 -7.82461e-06 -3.06642e-06 -6.72215e-06 8.16454e-06 -8.8171e-06 2.78687e-06 -3.0285e-05 5.14379e-06 -1.48222e-05 3.30991e-06 1.74427e-06 7.14653e-06 -1.94488e-07 -2.98879e-06 2.23375e-06 7.73671e-06 5.70678e-07 4.64565e-06 5.37643e-06 9.29639e-06 2.36778e-05 1.2397e-05 4.17131e-05 1.25809e-05 1.29039e-05 4.01472e-05 4.77215e-05 2.27925e-06 
1320.7 -0.000388205 -0.000659262 0.59859 -0.00506979 0.0227855 0.023789 0.0610947 0.0515366 -0.00591064 0.0699956 0.000372946 0.0325161 -0.0884682 -0.000791888 0.0299863 -0.122369 -0.00746415 -0.0129929 8.55833 -0.00191481 -0.0004196 -0.01147 4.39432 0.642296 0.762682 0.0267496 -0.00619535 -0.0870237 1.24203 0.83852 0.25344 -0.021444 -0.0487687 0.00425715 -0.00252659 -0.00827557 -0.0110514 -0.00454556 -0.00472831 0.00710869 0.0146579 0.0151309 -0.000341173 -0.0122435 0.00427352 0.00279078 -0.00178594 -0.00175129 0.000283663 0.00729535 -0.00985972 0.00662959 0.00678732 -0.00372542 -0.00246779 0.0206541 -0.00984649 0.0163875 -0.00066982 0.00252193 0.00272808 0.00160747 0.00624191 -0.000747304 0.0114582 -0.00260267 0.00954761 0.00794732 -0.00549991 0.00901944 -0.0303169 0.0112116 0.00625625 0.00986788 0.0092852 
-16.1332 1.76338e-06 7.56724e-06 -0.00506979 0.000112552 -0.000143801 -0.000328199 -7.61238e-05 -0.00056158 -8.76545e-06 0.000146359 0.000398935 0.00112263 0.00242366 0.000115848 0.000565882 0.00199592 0.00081496 0.000330549 -0.0811875 0.000109845 -5.51115e-05 -0.000150737 -0.0431645 -0.00685245 -0.00955275 -0.000292282 0.000418557 0.000349116 -0.013337 -0.00838266 -0.00297097 0.00056191 0.000253653 3.54921e-06 0.000170158 0.000279477 0.000234092 0.000185382 0.000283837 7.55798e-05 -3.83622e-05 8.39149e-06 7.70644e-05 0.000137604 1.46674e-05 -1.37217e-05 4.85319e-05 2.1506e-05 2.17828e-06 -1.84395e-05 5.81201e-05 3.18395e-05 -0.000104364 3.94508e-05 -2.75378e-05 -0.000185516 8.90551e-06 -0.000158591 -4.87651e-05 -5.78169e-05 -9.58549e-05 -9.73752e-05 -0.000125195 -0.000108534 -0.000189317 -0.000112029 -0.000264106 -0.000130789 -0.000224909 -0.000182041 1.89408e-05 -0.000225989 -0.000138529 -0.000104169 -0.000125571 
-27.4243 1.88866e-05 -6.75616e-05 0.0227855 -0.000143801 0.00147305 0.000622207 0.00366209 0.00388681 -0.000308462 0.00449597 0.00120599 0.00528686 0.00213664 0.00106347 0.000475692 -0.00835827 0.0039195 0.00153537 0.249297 0.000382927 0.000769604 -0.000382674 0.122569 0.0146759 0.0121014 0.0007108 -0.000190103 -0.00474691 0.0185332 0.00653653 0.00440045 0.000280991 -0.00123022 0.000288673 -4.50868e-07 -0.000149685 4.9233e-05 -6.19223e-05 0.000125599 0.000433756 0.00046987 0.00050844 0.000157082 -0.000237566 5.0576e-05 0.000190202 -6.01183e-05 -5.61311e-06 2.78534e-05 0.000301862 -0.000260421 0.000313425 0.000265605 8.03904e-05 -0.000133813 0.000945155 -0.000280651 0.000695858 -5.86278e-06 0.000142802 0.000106023 8.85512e-05 0.000195401 -6.50181e-06 0.000400822 -9.36183e-05 0.00028217 0.000231665 -0.000338769 0.000230928 -0.00111509 0.000276313 -2.15805e-05 2.99103e-05 0.000310188 
84.4941 -1.6196e-05 -2.83345e-05 0.023789 -0.000328199 0.000622207 0.00177613 0.00112218 0.0023272 -0.000131521 0.000915449 -0.000982358 -0.00430487 -0.0116613 -0.000888501 -0.0015605 -0.00855603 -0.00420216 -0.00233236 0.399539 -0.000579581 0.000726462 0.000431657 0.212273 0.0357737 0.0435664 0.00153354 -0.000831077 -0.00260173 0.0681525 0.0434481 0.014812 -0.00187413 -0.00258182 0.00041777 0.000462421 -0.000359453 -0.000309913 0.000121251 3.63651e-05 0.000624512 0.000802112 0.00109037 0.00033657 -0.000376602 0.000582144 0.000246994 3.66906e-05 6.06926e-05 0.000107407 0.000348472 -0.000224725 0.00015378 0.000388467 -7.85962e-05 0.000172551 0.000845649 -0.000114589 0.000692606 0.000161987 0.000174935 0.000265243 0.000222891 0.000367609 0.000195008 0.000569482 0.000105257 0.000788077 0.000270233 0.000424096 0.000410521 -0.000693229 0.000665339 0.000495664 0.000711152 0.00106016 
1.84728 2.17317e-05 -0.000118565 0.0610947 -7.61238e-05 0.00366209 0.00112218 0.0345752 0.0194817 0.00152147 0.0162955 0.00588722 0.017877 0.0141266 0.00270819 0.00408249 -0.0107782 0.016989 0.00653668 0.700718 0.0015534 0.00468986 -0.00160392 0.339377 0.0386978 0.0237631 0.00210169 0.00213272 -0.0163067 0.0589113 0.0429238 0.0109117 0.00348763 -0.00636432 0.000407718 -0.00124725 -0.000413551 0.00105124 -0.000250208 0.000517244 -0.000566262 -0.000323563 -0.000259835 -0.000848999 -0.00172571 -0.00126322 -0.00084216 -0.000544086 -0.000834209 -0.000462782 0.00134867 -0.00292748 0.00104111 -0.00077329 -0.00207905 -0.0014341 -0.000641658 -0.00222649 0.000914707 -0.00102497 -0.000117912 -0.000775262 -0.000555769 -0.000262734 -0.000686182 0.000483508 0.000261498 -0.00165488 0.0029408 -0.00330054 0.0046166 -0.00253329 -0.0010988 0.00111512 0.00364533 -0.000157415 
