*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 selectivity[MaturationSel_male].v{1} selectivity[MaturationSel_male].v{2} selectivity[MaturationSel_male].v{3} selectivity[MaturationSel_male].v{4} selectivity[MaturationSel_female].v{1} selectivity[MaturationSel_female].v{2} selectivity[MaturationSel_female].v{3} selectivity[MaturationSel_female].v{4} process[Recruitment].recruitment_multipliers{1960} process[Recruitment].recruitment_multipliers{1961} process[Recruitment].recruitment_multipliers{1962} process[Recruitment].recruitment_multipliers{1963} process[Recruitment].recruitment_multipliers{1964} process[Recruitment].recruitment_multipliers{1965} process[Recruitment].recruitment_multipliers{1966} process[Recruitment].recruitment_multipliers{1967} process[Recruitment].recruitment_multipliers{1968} process[Recruitment].recruitment_multipliers{1969} process[Recruitment].recruitment_multipliers{1970} process[Recruitment].recruitment_multipliers{1971} process[Recruitment].recruitment_multipliers{1972} process[Recruitment].recruitment_multipliers{1973} process[Recruitment].recruitment_multipliers{1974} process[Recruitment].recruitment_multipliers{1975} process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} parameter_transformation[M_nonspawn_avg_diff].average_parameter parameter_transformation[M_nonspawn_avg_diff].difference_parameter observation[TangaroaAcousticMature].process_error 
299610 0.0853669 0.735258 0.514323 0.293981 0.0190345 0.515637 0.94578 0.999 0.251687 0.256263 0.261698 0.268296 0.276323 0.286361 0.300089 0.707008 0.464017 0.32237 0.231725 0.12143 0.0708351 0.136124 0.0915088 0.0498304 0.0521509 0.107502 0.0430752 0.0337305 0.042266 0.312768 0.304796 0.0779883 0.0275099 0.112475 0.107569 0.0925564 0.23474 0.105181 0.358491 0.0300068 0.2116 2.26862 0.460416 0.218181 0.106325 0.462205 0.299581 0.120961 0.264764 0.160483 0.246235 0.574981 0.338164 0.205854 0.201745 0.256777 1.31409 0.523281 0.152418 0.876062 0.00771912 0.5907 0.094947 0.161979 -0.00906314 0.0001 
covariance_matrix:
1.72728e+08 22.7756 128.868 62.3659 690.668 5.50222 88.2808 112.821 0.00135832 720.852 562.996 401.001 310.622 210.058 -348.492 -475.762 -2098.06 -590.003 -325.639 -229.106 -90.3202 -54.772 -95.5296 -53.3385 -23.2703 -23.3358 -38.3964 -10.3056 -6.94406 -8.69042 -63.082 -43.4487 -10.1326 0.310443 2.33414 -2.20165 2.74211 11.1744 0.437511 10.2584 1.24518 10.622 3.35817 22.9369 17.5452 -11.1058 8.32029 -14.5682 -3.98702 -8.90036 0.495196 0.659309 46.2948 32.4113 33.4602 50.7455 84.1138 577.675 318.672 104.792 806.155 -0.75677 912.57 150.369 -91.596 7.77621 1.09058e-09 
22.7756 0.000190305 0.00011842 5.75408e-05 0.000185813 1.24931e-05 9.61279e-05 5.97958e-05 5.33156e-10 -6.27994e-05 -6.67002e-05 -0.000123915 -0.000138201 -0.000136173 -0.000277477 -0.000190524 -0.00082659 -0.000230053 -0.000111914 -5.12594e-05 -5.22508e-06 1.09252e-06 -4.51517e-06 -1.14116e-06 6.5075e-07 5.43838e-06 1.29497e-05 6.11847e-06 5.84759e-06 5.57106e-06 4.7055e-05 5.64785e-05 2.14642e-05 6.42877e-06 2.72591e-05 3.23103e-05 2.78355e-05 7.40579e-05 3.7185e-05 9.53424e-05 3.18422e-06 1.82125e-05 7.54368e-05 8.90068e-06 7.15412e-06 1.00752e-05 6.20907e-05 4.41858e-05 2.54032e-05 2.57645e-05 3.64604e-05 3.23966e-05 7.73088e-05 5.92446e-05 2.97384e-05 2.72102e-05 4.63394e-05 5.65985e-05 6.97728e-05 6.69375e-06 6.35629e-05 -1.83395e-07 5.11704e-07 -6.28238e-06 -7.33637e-05 2.60655e-06 1.31326e-15 
128.868 0.00011842 0.00351889 -0.00350799 0.00283577 5.04847e-05 0.00106527 0.000562152 5.10602e-09 -0.000504363 -3.08224e-05 -6.87068e-06 -0.000474076 -0.00088772 -0.00124556 -0.000790586 -0.00237478 -0.000634124 -0.000277865 -1.69895e-05 5.40029e-05 -1.16271e-05 -7.84539e-06 3.49175e-05 2.83566e-05 3.97664e-05 0.000102185 4.93091e-05 4.43515e-05 3.66552e-05 0.000344492 0.000404178 8.53844e-05 4.51907e-05 0.000165945 0.000144848 0.000150265 0.000455282 0.000195666 0.000332572 8.49722e-06 0.000149094 0.00130316 0.0001039 5.16105e-05 5.4157e-05 0.000500177 0.000267833 0.000173148 9.84217e-05 0.000257105 0.00016994 0.000981885 0.000169931 0.00023409 0.00010919 8.09915e-05 0.00119902 0.000359772 -2.069e-05 0.000176945 2.03378e-07 -0.000436435 -0.000192815 -0.000311293 4.2682e-05 5.6741e-14 
62.3659 5.75408e-05 -0.00350799 0.0318917 -0.0325669 -1.20789e-05 -0.000238508 -0.00195741 7.02951e-09 0.000195669 -0.000437403 -0.000212107 -0.00127665 -0.000774745 0.000862521 -0.00168145 -0.00315256 -9.37145e-05 -0.000783421 -0.000331827 -0.000372243 7.60842e-05 0.000225295 -1.50997e-05 -3.02343e-05 -3.30122e-06 8.12644e-06 1.46282e-05 -9.46718e-06 9.88713e-05 0.000176006 0.000188582 5.30588e-07 2.41516e-05 0.000158034 4.90576e-05 1.40712e-05 2.58252e-05 -4.06884e-05 0.000259631 4.38245e-05 2.47661e-05 -0.000215501 0.000794312 0.000688975 1.84679e-05 -0.000450338 0.000442259 -0.000157477 0.00023847 -0.000205999 0.000437221 -0.000706325 0.000333245 -3.36238e-05 2.77199e-05 0.000212092 -0.000628948 -0.000491206 8.77459e-05 6.3173e-05 -1.73953e-06 0.000291837 0.00032019 -0.000263439 9.99691e-05 -1.8869e-13 
690.668 0.000185813 0.00283577 -0.0325669 0.180869 5.6849e-05 0.00157668 0.0021181 -6.8793e-08 -0.00119646 -0.00223827 -0.00146577 -0.00187339 0.00319515 -0.00304126 0.00267073 -0.0118939 -0.0051851 -0.000338541 0.000109347 0.000840842 -0.00010354 -0.000637485 -0.000121462 -1.59835e-05 4.20654e-05 5.28321e-05 -9.17622e-05 -4.06582e-06 -6.19484e-06 0.000131141 0.000390463 0.000135998 -1.31579e-05 0.000116178 4.84539e-05 0.000227728 -0.000339419 2.9537e-05 -0.000433535 -8.33583e-05 -0.000222587 -0.000316875 -0.000119065 -0.000601212 3.0196e-05 0.00369486 -0.00123211 0.00047809 -0.000720362 0.00093515 -0.000597061 0.00181563 -0.000933089 0.000339622 0.000865245 0.000333178 0.000905599 0.00253969 0.000848863 0.00806227 3.1303e-06 0.00323619 0.000382999 -0.000510315 0.000118855 5.15042e-13 
5.50222 1.24931e-05 5.04847e-05 -1.20789e-05 5.6849e-05 3.18706e-05 1.12707e-05 1.64626e-05 3.91246e-10 1.43679e-05 6.84872e-06 -2.02941e-05 -4.41314e-05 -3.72958e-05 -5.62078e-05 -7.96277e-07 -0.000142797 -3.39305e-05 -8.98304e-06 -9.78998e-06 -1.01997e-06 3.88923e-07 -8.19831e-07 2.42423e-06 1.66471e-06 2.06487e-06 5.30862e-06 1.9569e-06 1.34687e-06 2.08711e-06 1.5497e-05 1.59638e-05 5.49974e-06 7.15451e-07 8.87096e-06 7.31672e-06 8.80479e-06 2.10287e-05 1.07578e-05 3.1229e-05 1.63704e-06 8.72361e-06 5.78312e-05 1.19552e-05 3.15782e-06 2.9782e-06 2.12861e-05 1.83698e-05 7.98172e-06 1.13272e-05 1.18173e-05 1.14152e-05 3.12701e-05 1.84391e-05 1.29878e-05 8.40388e-06 5.99839e-06 3.71757e-05 6.27952e-06 1.20836e-05 3.07356e-05 2.37057e-08 -8.03405e-07 -4.55812e-06 -1.56637e-05 1.3149e-06 1.74331e-15 
88.2808 9.61279e-05 0.00106527 -0.000238508 0.00157668 1.12707e-05 0.00206028 0.000417998 1.47692e-09 9.90537e-05 3.79437e-05 7.80303e-05 -0.000200605 -0.000528413 -0.00068077 -0.000565178 -0.00120162 -0.000214332 -0.000192832 -1.41412e-05 4.09271e-05 -3.09311e-05 -7.12231e-05 2.45352e-05 -6.85833e-07 1.53446e-05 4.44914e-05 2.0851e-05 1.56067e-05 1.58481e-05 0.000132847 0.000164778 4.31389e-05 2.04921e-05 6.54866e-05 5.23261e-05 7.75024e-05 0.000223625 0.00010061 0.000138698 1.30541e-06 6.82542e-05 0.000482937 -5.72847e-05 -1.21254e-05 -1.68198e-06 0.000344598 6.69506e-05 8.12042e-05 4.5435e-06 0.000121302 5.97103e-05 0.000487532 2.12263e-05 8.87051e-05 1.3994e-05 -3.40454e-05 0.000637061 0.000204909 -5.62145e-05 -6.68183e-05 8.35298e-07 -0.000490115 -0.000161887 -0.000144874 2.88207e-05 5.13206e-14 
112.821 5.97958e-05 0.000562152 -0.00195741 0.0021181 1.64626e-05 0.000417998 0.00849464 7.78876e-09 0.000659298 0.000461744 0.000716938 0.000144027 -0.000496957 -0.000454461 -5.72306e-05 0.000670406 0.000387347 0.000142609 0.000123446 0.000104796 -4.54293e-05 -0.000127187 5.3981e-05 2.73555e-05 1.54482e-06 2.46716e-05 5.75439e-06 -1.05145e-05 -2.62598e-05 -5.82086e-05 -0.00010128 -4.66872e-06 -9.87813e-06 -1.90734e-05 -3.2493e-05 2.64066e-05 2.49243e-05 -3.2894e-05 5.76821e-05 1.47196e-05 1.72809e-05 -0.00057116 0.000257979 0.00027286 -4.53169e-05 -0.000252999 0.000225493 -3.72666e-05 -1.73089e-05 -6.30652e-05 6.17365e-05 -0.000184262 2.80987e-05 1.91377e-05 -4.71173e-05 -7.82673e-06 -6.98586e-05 -0.000187826 -2.95845e-06 0.000103221 1.75106e-06 -0.000427008 -3.26072e-05 4.48099e-05 6.32013e-06 1.74492e-13 
