*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 selectivity[MaturationSel_male].v{1} selectivity[MaturationSel_male].v{2} selectivity[MaturationSel_male].v{3} selectivity[MaturationSel_male].v{4} selectivity[MaturationSel_female].v{1} selectivity[MaturationSel_female].v{2} selectivity[MaturationSel_female].v{3} selectivity[MaturationSel_female].v{4} process[Recruitment].ycs_values{1958} process[Recruitment].ycs_values{1959} process[Recruitment].ycs_values{1960} process[Recruitment].ycs_values{1961} process[Recruitment].ycs_values{1962} process[Recruitment].ycs_values{1963} process[Recruitment].ycs_values{1964} process[Recruitment].ycs_values{1965} process[Recruitment].ycs_values{1966} process[Recruitment].ycs_values{1967} process[Recruitment].ycs_values{1968} process[Recruitment].ycs_values{1969} process[Recruitment].ycs_values{1970} process[Recruitment].ycs_values{1971} process[Recruitment].ycs_values{1972} process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} parameter_transformation[M_nonspawn_avg_diff].average_parameter parameter_transformation[M_nonspawn_avg_diff].difference_parameter observation[TangaroaAcousticMature].process_error 
299610 0.0853669 0.735258 0.514323 0.293981 0.0190345 0.515637 0.94578 0.999 0.251687 0.256263 0.261698 0.268296 0.276323 0.286361 0.300089 0.707008 0.464017 0.32237 0.231725 0.12143 0.0708351 0.136124 0.0915088 0.0498304 0.0521509 0.107502 0.0430752 0.0337305 0.042266 0.312768 0.304796 0.0779883 0.0275099 0.112475 0.107569 0.0925564 0.23474 0.105181 0.358491 0.0300068 0.2116 2.26862 0.460416 0.218181 0.106325 0.462205 0.299581 0.120961 0.264764 0.160483 0.246235 0.574981 0.338164 0.205854 0.201745 0.256777 1.31409 0.523281 0.152418 0.876062 0.00771912 0.5907 0.094947 0.161979 -0.00906314 0.0001 
covariance_matrix:
1.79773e+08 27.4652 140.931 82.6195 670.74 4.69049 95.4234 163.313 -0.000245213 800.431 488.147 393.294 464.914 163.791 -53.9661 -721.982 -2011.4 -758.793 -363.797 -253.545 -115.008 -57.6886 -96.6723 -61.1926 -32.2737 -24.3422 -47.4317 -15.8509 -10.446 -11.9238 -93.8644 -75.0185 -17.6497 -2.79637 -19.8109 -11.4679 -6.59975 -5.72951 -5.50146 -12.6822 -1.00542 -9.39111 -195.905 -19.1691 4.60764 -16.1448 -28.7306 -29.2571 -9.81447 -24.9943 -6.55923 -4.05976 17.1709 17.9944 24.9865 42.8912 67.4664 501.879 264.27 90.7439 740.216 -0.557813 860.341 127.785 -93.1967 5.10613 2.82143e-08 
27.4652 0.000195392 0.000143704 6.00193e-05 0.000262396 1.15519e-05 0.00011988 8.30734e-05 -8.98129e-11 -8.79757e-06 -6.30712e-05 -7.14819e-05 -0.000105802 -1.28737e-05 -0.000248949 -0.000314768 -0.000854179 -0.00030712 -0.000117483 -5.40364e-05 -2.29532e-05 3.42743e-06 -6.24939e-06 -5.86266e-06 -2.57007e-07 2.82929e-06 9.6173e-06 4.85997e-06 4.64841e-06 5.05498e-06 3.45806e-05 4.29021e-05 1.83746e-05 6.0658e-06 2.29736e-05 2.65254e-05 2.45205e-05 6.17026e-05 3.13629e-05 7.60783e-05 1.6601e-06 7.64631e-06 -3.07655e-05 2.79985e-07 8.66888e-06 6.6277e-06 4.78386e-05 4.19481e-05 2.19616e-05 1.58196e-05 3.36217e-05 2.88674e-05 5.88312e-05 5.01434e-05 2.56412e-05 2.263e-05 3.20392e-05 -6.51194e-06 3.40531e-05 1.06046e-05 5.92333e-05 -1.16269e-07 -1.34373e-05 -1.01096e-05 -7.44109e-05 6.41464e-07 3.13122e-15 
140.931 0.000143704 0.00365725 -0.00392929 0.00228033 5.01641e-05 0.00118116 0.000802598 -1.9475e-10 -0.000204222 3.79686e-05 -0.000437458 -0.000571102 2.66772e-05 -0.000612361 -0.00148593 -0.00384321 -0.00132368 -0.000404014 -8.96826e-05 9.62942e-06 6.19898e-06 3.95619e-06 1.68426e-05 3.21793e-05 4.75632e-05 9.7161e-05 4.325e-05 3.4368e-05 3.07123e-05 0.00029248 0.000370238 7.59254e-05 4.29715e-05 0.000112065 0.000125902 0.000119635 0.000439771 0.000189849 0.000283727 3.84519e-07 5.55842e-05 0.000164861 -1.01894e-06 2.23286e-05 9.6779e-06 0.000400289 0.000226774 0.000159703 1.39043e-05 0.000229736 8.26459e-05 0.000827267 3.86734e-05 0.000198835 7.62305e-05 -1.10908e-05 0.000766372 0.000214005 1.92807e-05 0.000140247 -2.95889e-07 -0.000602003 -0.000147664 -0.000330981 3.84687e-05 -1.25432e-13 
82.6195 6.00193e-05 -0.00392929 0.0333162 -0.0384132 6.53665e-06 -0.000550479 -0.00327065 -7.67508e-10 0.000768685 -8.43664e-05 -0.00168672 -0.000823076 9.07547e-05 0.000118752 -0.00219191 -0.000425806 -0.000206506 3.48408e-05 -0.000441153 4.08613e-05 -6.73407e-05 -0.000160893 -2.30856e-05 1.48515e-05 -5.61801e-05 -0.000119647 -3.93612e-05 -4.16668e-05 -2.38131e-05 -9.53258e-05 -0.00010626 5.47312e-06 -4.86282e-05 6.11257e-05 -5.31147e-06 5.26264e-09 -0.000167927 -0.00012623 0.000139786 2.56239e-05 8.56374e-05 0.000346709 0.00088195 0.000652573 3.78119e-05 -0.000847099 0.000377549 -0.000196543 0.000200305 -0.000308764 0.000240317 -0.000936293 0.000328423 -0.00010175 -1.59683e-05 0.000282948 -0.000111913 -0.000500801 1.24152e-05 0.000250099 2.78664e-06 0.000478025 0.000333166 -0.000111791 8.30929e-05 -1.15204e-13 
670.74 0.000262396 0.00228033 -0.0384132 0.20383 1.97598e-05 0.00158687 0.00516389 7.99835e-10 -0.000557555 -0.00202205 0.00295156 0.00572229 -0.00289773 -0.00132866 0.00113661 -0.0140626 -0.00191577 -0.00151505 -0.000718031 -0.000399686 0.000257876 0.000287021 -8.00431e-05 -4.3243e-05 2.8791e-05 0.000123876 -1.98265e-05 0.000102716 7.72848e-05 0.000390896 0.000649408 0.000189855 0.000125697 0.000201359 0.000178896 0.000288667 0.000130665 0.000253247 0.000380155 1.03284e-06 -3.61479e-05 -0.000860792 0.000193387 0.00011313 0.000133465 0.00413746 -0.000851776 0.000706541 -0.000127079 0.00110393 -0.000152046 0.00236306 -0.00045086 0.000621239 0.001048 0.000606106 -0.000499426 0.00258312 0.000779425 0.00774697 -7.0649e-06 0.00417061 0.000318029 -0.000711756 0.000149377 -8.1253e-14 
4.69049 1.15519e-05 5.01641e-05 6.53665e-06 1.97598e-05 3.29213e-05 9.30047e-06 2.11649e-05 5.64464e-11 -6.64357e-05 -2.02161e-05 -7.64137e-05 -9.2068e-06 -3.13603e-05 -2.87571e-05 2.02539e-05 -0.000146388 -9.83673e-06 -1.65785e-05 -1.15656e-05 -1.01383e-05 3.90409e-06 -4.33878e-07 3.56153e-06 3.00147e-07 7.40585e-07 3.91181e-06 1.56956e-06 1.29338e-06 9.17881e-07 1.08146e-05 1.27709e-05 4.4605e-06 9.0516e-07 6.09078e-06 6.41973e-06 5.66167e-06 1.45765e-05 6.79602e-06 1.52315e-05 5.60335e-07 3.70183e-06 3.9023e-05 1.46244e-06 1.1177e-06 3.47864e-06 8.27073e-06 1.65338e-05 6.8455e-06 8.78857e-06 9.98387e-06 7.89501e-06 2.2604e-05 1.61442e-05 9.79894e-06 6.06055e-06 7.73913e-06 3.49312e-05 -6.10857e-06 7.96845e-06 1.99217e-05 -1.30016e-07 1.26504e-05 3.86326e-06 -1.29752e-05 1.41244e-06 1.20916e-14 
95.4234 0.00011988 0.00118116 -0.000550479 0.00158687 9.30047e-06 0.00213555 0.000692485 -1.37096e-10 -0.000305413 1.10104e-05 5.62177e-05 -0.000240194 -0.000260753 -0.000325474 -0.000701497 -0.00204621 -0.00067694 -0.000230808 1.38284e-06 -6.09478e-06 -9.47685e-06 -4.50838e-06 1.45652e-05 7.10656e-06 1.65407e-05 4.93327e-05 2.39748e-05 2.11982e-05 1.69019e-05 0.000150268 0.000190976 3.72111e-05 2.95926e-05 4.97276e-05 6.44501e-05 6.91841e-05 0.000242931 0.000108157 0.000143891 -3.4018e-06 3.23677e-05 3.76991e-05 -9.57615e-05 -1.87848e-05 -4.08781e-07 0.000318461 8.85648e-05 8.39758e-05 -1.2533e-05 0.000127711 5.20316e-05 0.000506652 3.03555e-05 0.000114524 3.24005e-05 -3.02627e-05 0.00049034 9.8673e-05 2.15008e-06 1.38033e-05 9.28034e-08 -0.000417698 -0.000133863 -0.000176846 1.96662e-05 6.28198e-15 
163.313 8.30734e-05 0.000802598 -0.00327065 0.00516389 2.11649e-05 0.000692485 0.0101915 -3.51076e-10 0.000579198 4.4002e-05 0.000929597 0.000309357 0.000608082 -2.23829e-05 -0.00107156 0.00136648 3.71383e-05 -0.000165335 4.17236e-05 -6.2877e-05 6.14497e-06 -2.48229e-05 -8.1429e-06 -1.13066e-05 -2.05796e-05 -1.78111e-05 -1.40802e-05 -2.56705e-05 -3.53781e-05 -0.000222911 -0.000277927 -8.51693e-05 -1.13654e-05 -0.000176841 -0.000123362 -5.41658e-05 -0.000119062 -0.000136877 -0.000311542 -1.24314e-05 -0.000149486 -0.00196791 -1.61538e-05 0.000230596 -9.62225e-05 -0.000662469 0.000151529 -0.000120015 -0.000182875 -0.000167689 2.04198e-05 -0.000525243 -0.000134002 -7.94752e-05 -0.000147097 -0.000143074 -0.000908857 -0.000632241 -8.40852e-05 -0.00031271 -1.01026e-06 -0.000297054 2.87874e-05 0.000119774 4.46969e-07 3.5932e-13 
