*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 selectivity[MaturationSel_male].v{1} selectivity[MaturationSel_male].v{2} selectivity[MaturationSel_male].v{3} selectivity[MaturationSel_male].v{4} selectivity[MaturationSel_female].v{1} selectivity[MaturationSel_female].v{2} selectivity[MaturationSel_female].v{3} selectivity[MaturationSel_female].v{4} process[Recruitment].recruitment_multipliers{1960} process[Recruitment].recruitment_multipliers{1961} process[Recruitment].recruitment_multipliers{1962} process[Recruitment].recruitment_multipliers{1963} process[Recruitment].recruitment_multipliers{1964} process[Recruitment].recruitment_multipliers{1965} process[Recruitment].recruitment_multipliers{1966} process[Recruitment].recruitment_multipliers{1967} process[Recruitment].recruitment_multipliers{1968} process[Recruitment].recruitment_multipliers{1969} process[Recruitment].recruitment_multipliers{1970} process[Recruitment].recruitment_multipliers{1971} process[Recruitment].recruitment_multipliers{1972} process[Recruitment].recruitment_multipliers{1973} process[Recruitment].recruitment_multipliers{1974} process[Recruitment].recruitment_multipliers{1975} process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} parameter_transformation[M_nonspawn_avg_diff].average_parameter parameter_transformation[M_nonspawn_avg_diff].difference_parameter observation[TangaroaAcousticMature].process_error 
299610 0.0853669 0.735258 0.514323 0.293981 0.0190345 0.515637 0.94578 0.999 0.251687 0.256263 0.261698 0.268296 0.276323 0.286361 0.300089 0.707008 0.464017 0.32237 0.231725 0.12143 0.0708351 0.136124 0.0915088 0.0498304 0.0521509 0.107502 0.0430752 0.0337305 0.042266 0.312768 0.304796 0.0779883 0.0275099 0.112475 0.107569 0.0925564 0.23474 0.105181 0.358491 0.0300068 0.2116 2.26862 0.460416 0.218181 0.106325 0.462205 0.299581 0.120961 0.264764 0.160483 0.246235 0.574981 0.338164 0.205854 0.201745 0.256777 1.31409 0.523281 0.152418 0.876062 0.00771912 0.5907 0.094947 0.161979 -0.00906314 0.0001 
covariance_matrix:
1.72727e+08 22.7751 128.868 62.313 690.835 5.50219 88.2894 112.861 0.00255678 720.819 563.228 400.897 310.576 209.725 -348.574 -475.665 -2098.01 -590.047 -325.685 -229.133 -90.3399 -54.7693 -95.5245 -53.3476 -23.2692 -23.3372 -38.3964 -10.3098 -6.94706 -8.69151 -63.0949 -43.4583 -10.1347 0.302358 2.32584 -2.2153 2.7484 11.1591 0.426561 10.2193 1.2418 10.6086 3.27831 22.9253 17.5355 -11.1119 8.28842 -14.5818 -3.99685 -8.91521 0.477828 0.634532 46.2345 32.3798 33.4465 50.7331 84.1047 577.615 318.657 104.789 806.118 -0.756445 912.533 150.353 -91.5914 7.77681 2.93389e-09 
22.7751 0.000190305 0.000118421 5.7518e-05 0.000185884 1.24931e-05 9.61319e-05 5.98133e-05 1.15669e-09 -6.28162e-05 -6.6611e-05 -0.000123959 -0.00013822 -0.000136304 -0.000277508 -0.000190485 -0.000826572 -0.000230072 -0.000111934 -5.12713e-05 -5.23337e-06 1.09396e-06 -4.51251e-06 -1.14514e-06 6.51079e-07 5.43787e-06 1.29496e-05 6.11672e-06 5.84631e-06 5.57067e-06 4.70495e-05 5.64745e-05 2.14631e-05 6.42536e-06 2.72555e-05 3.23044e-05 2.78381e-05 7.40515e-05 3.71803e-05 9.53255e-05 3.18276e-06 1.82067e-05 7.54032e-05 8.89534e-06 7.15002e-06 1.00727e-05 6.20769e-05 4.418e-05 2.5399e-05 2.57579e-05 3.6453e-05 3.23864e-05 7.72834e-05 5.92313e-05 2.97325e-05 2.72049e-05 4.63355e-05 5.65743e-05 6.97661e-05 6.69237e-06 6.3547e-05 -1.8327e-07 4.9691e-07 -6.28847e-06 -7.33618e-05 2.6067e-06 7.56668e-16 
128.868 0.000118421 0.00351892 -0.00350808 0.00283602 5.04854e-05 0.00106529 0.000562218 1.07544e-08 -0.000504506 -3.0817e-05 -7.03912e-06 -0.000474125 -0.000887836 -0.00124553 -0.000790512 -0.00237484 -0.000634217 -0.000277926 -1.70518e-05 5.39787e-05 -1.16132e-05 -7.82116e-06 3.49016e-05 2.8354e-05 3.97665e-05 0.000102185 4.9305e-05 4.43473e-05 3.66563e-05 0.000344476 0.000404169 8.53768e-05 4.51812e-05 0.000165931 0.000144828 0.000150271 0.000455265 0.000195651 0.000332509 8.49166e-06 0.000149073 0.00130307 0.000103871 5.15977e-05 5.41504e-05 0.000500125 0.000267815 0.000173133 9.83942e-05 0.000257082 0.000169916 0.000981811 0.000169891 0.00023407 0.000109174 8.09792e-05 0.00119898 0.000359746 -2.06952e-05 0.000176893 2.03376e-07 -0.00043645 -0.000192818 -0.000311289 4.26792e-05 1.05446e-14 
62.313 5.7518e-05 -0.00350808 0.0318898 -0.0325609 -1.20831e-05 -0.000238235 -0.00195594 3.60275e-08 0.000194822 -0.0004276 -0.000215856 -0.00127841 -0.000788391 0.000858954 -0.00167762 -0.0031501 -9.52317e-05 -0.000785151 -0.0003327 -0.000372986 7.61447e-05 0.000225417 -1.54257e-05 -3.01792e-05 -3.35784e-06 8.12752e-06 1.44646e-05 -9.57864e-06 9.88206e-05 0.000175518 0.000188209 4.68751e-07 2.3844e-05 0.000157732 4.85547e-05 1.43148e-05 2.5237e-05 -4.1095e-05 0.000258209 4.37022e-05 2.42782e-05 -0.000218583 0.000793934 0.000688613 1.82358e-05 -0.000451493 0.000441748 -0.000157838 0.000237944 -0.000206646 0.00043626 -0.0007086 0.00033206 -3.41261e-05 2.72501e-05 0.000211754 -0.000631292 -0.000491765 8.76305e-05 6.17876e-05 -1.72574e-06 0.000290311 0.000319535 -0.000263261 0.000100005 6.89997e-14 
690.835 0.000185884 0.00283602 -0.0325609 0.18085 5.68622e-05 0.00157581 0.00211345 -1.64213e-07 -0.00119371 -0.00226903 -0.00145393 -0.00186787 0.00323798 -0.00303012 0.00265866 -0.0119016 -0.0051803 -0.00033311 0.000112119 0.000843184 -0.000103738 -0.000637887 -0.000120431 -1.61549e-05 4.2243e-05 5.28282e-05 -9.1248e-05 -3.71484e-06 -6.03761e-06 0.000132675 0.000391633 0.000136195 -1.21907e-05 0.000117132 5.00371e-05 0.000226963 -0.000337567 3.08191e-05 -0.000429045 -8.29717e-05 -0.00022105 -0.000307217 -0.000117866 -0.000600074 3.09255e-05 0.0036985 -0.0012305 0.00047923 -0.000718698 0.000937191 -0.000594038 0.0018228 -0.000929357 0.000341205 0.000866725 0.000334241 0.000912949 0.00254145 0.000849225 0.00806664 3.08713e-06 0.00324098 0.000385054 -0.000510875 0.000118744 -2.51841e-13 
5.50219 1.24931e-05 5.04854e-05 -1.20831e-05 5.68622e-05 3.18706e-05 1.12716e-05 1.64657e-05 5.89022e-10 1.43629e-05 6.85794e-06 -2.03021e-05 -4.41344e-05 -3.73113e-05 -5.62099e-05 -7.90746e-07 -0.000142796 -3.39345e-05 -8.98606e-06 -9.79251e-06 -1.02132e-06 3.89379e-07 -8.18988e-07 2.42349e-06 1.66469e-06 2.06482e-06 5.3086e-06 1.95665e-06 1.34665e-06 2.0871e-06 1.54962e-05 1.59632e-05 5.49948e-06 7.14929e-07 8.87033e-06 7.31574e-06 8.80517e-06 2.10277e-05 1.0757e-05 3.12259e-05 1.63678e-06 8.72261e-06 5.78265e-05 1.1954e-05 3.15715e-06 2.97782e-06 2.12836e-05 1.83688e-05 7.98098e-06 1.1326e-05 1.1816e-05 1.14137e-05 3.1266e-05 1.84369e-05 1.29868e-05 8.40305e-06 5.99779e-06 3.71726e-05 6.27834e-06 1.20833e-05 3.07329e-05 2.37173e-08 -8.05143e-07 -4.55878e-06 -1.56634e-05 1.31485e-06 5.43661e-16 
88.2894 9.61319e-05 0.00106529 -0.000238235 0.00157581 1.12716e-05 0.00206025 0.000417788 -1.07863e-09 9.9137e-05 3.63937e-05 7.85653e-05 -0.000200345 -0.000526292 -0.000680193 -0.000565759 -0.00120203 -0.000214125 -0.000192579 -1.40249e-05 4.10362e-05 -3.09358e-05 -7.12337e-05 2.45813e-05 -6.95488e-07 1.53536e-05 4.44909e-05 2.08755e-05 1.56229e-05 1.58565e-05 0.000132919 0.000164834 4.3146e-05 2.05376e-05 6.553e-05 5.23987e-05 7.74659e-05 0.000223712 0.000100669 0.000138901 1.32281e-06 6.8324e-05 0.000483396 -5.72352e-05 -1.20726e-05 -1.64747e-06 0.000344763 6.70254e-05 8.12561e-05 4.61735e-06 0.000121396 5.98543e-05 0.000487866 2.13999e-05 8.87775e-05 1.4063e-05 -3.3996e-05 0.000637417 0.000204989 -5.6198e-05 -6.66169e-05 8.3311e-07 -0.000489878 -0.000161784 -0.000144901 2.8814e-05 -6.28943e-15 
112.861 5.98133e-05 0.000562218 -0.00195594 0.00211345 1.64657e-05 0.000417788 0.0084935 -1.35996e-08 0.000659936 0.00045417 0.000719839 0.000145377 -0.000486395 -0.000451685 -6.01941e-05 0.000668498 0.000388518 0.000143959 0.000124118 0.000105369 -4.54747e-05 -0.000127278 5.42325e-05 2.73127e-05 1.58856e-06 2.46713e-05 5.88142e-06 -1.0428e-05 -2.62199e-05 -5.78281e-05 -0.000100989 -4.62062e-06 -9.63935e-06 -1.88388e-05 -3.21021e-05 2.62175e-05 2.53796e-05 -3.25795e-05 5.87797e-05 1.48138e-05 1.76595e-05 -0.000568751 0.000258272 0.00027314 -4.51366e-05 -0.000252106 0.000225889 -3.69881e-05 -1.69009e-05 -6.25653e-05 6.24818e-05 -0.000182502 2.90166e-05 1.95267e-05 -4.67531e-05 -7.56299e-06 -6.80338e-05 -0.000187392 -2.8683e-06 0.000104291 1.74034e-06 -0.000425824 -3.21003e-05 4.46725e-05 6.2914e-06 -3.5846e-14 
