*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 selectivity[MaturationSel_male].v{1} selectivity[MaturationSel_male].v{2} selectivity[MaturationSel_male].v{3} selectivity[MaturationSel_male].v{4} selectivity[MaturationSel_female].v{1} selectivity[MaturationSel_female].v{2} selectivity[MaturationSel_female].v{3} selectivity[MaturationSel_female].v{4} process[Recruitment].recruitment_multipliers{1960} process[Recruitment].recruitment_multipliers{1961} process[Recruitment].recruitment_multipliers{1962} process[Recruitment].recruitment_multipliers{1963} process[Recruitment].recruitment_multipliers{1964} process[Recruitment].recruitment_multipliers{1965} process[Recruitment].recruitment_multipliers{1966} process[Recruitment].recruitment_multipliers{1967} process[Recruitment].recruitment_multipliers{1968} process[Recruitment].recruitment_multipliers{1969} process[Recruitment].recruitment_multipliers{1970} process[Recruitment].recruitment_multipliers{1971} process[Recruitment].recruitment_multipliers{1972} process[Recruitment].recruitment_multipliers{1973} process[Recruitment].recruitment_multipliers{1974} process[Recruitment].recruitment_multipliers{1975} process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} parameter_transformation[M_nonspawn_avg_diff].average_parameter parameter_transformation[M_nonspawn_avg_diff].difference_parameter observation[TangaroaAcousticMature].process_error 
299610 0.0853669 0.735258 0.514323 0.293981 0.0190345 0.515637 0.94578 0.999 0.251687 0.256263 0.261698 0.268296 0.276323 0.286361 0.300089 0.707008 0.464017 0.32237 0.231725 0.12143 0.0708351 0.136124 0.0915088 0.0498304 0.0521509 0.107502 0.0430751 0.0337305 0.042266 0.312768 0.304796 0.0779883 0.0275099 0.112475 0.107569 0.0925564 0.23474 0.105181 0.358491 0.0300068 0.211599 2.26862 0.460416 0.218181 0.106325 0.462205 0.299581 0.120961 0.264764 0.160483 0.246235 0.574981 0.338164 0.205854 0.201745 0.256777 1.31409 0.523281 0.152418 0.876062 0.00771912 0.5907 0.094947 0.161979 -0.00906313 0.0001 
covariance_matrix:
1.87066e+08 29.7607 152.744 95.0468 717.082 4.20362 89.0778 128.047 2.85463e-06 684.703 600.96 567.438 398.474 -7.82526 -18.56 -376.26 -2003.24 -780.948 -344.662 -286.554 -114.415 -50.2852 -77.6998 -65.6295 -21.6924 -23.8001 -34.3149 -12.1498 -7.20645 -8.42151 -64.2249 -44.0386 -9.57914 -0.959413 -0.784493 8.41554 -1.96881 8.24932 4.05987 14.2287 2.05645 22.4292 175.842 53.3804 39.003 -2.66911 19.5438 6.28351 6.0677 0.709221 -0.46978 -8.49249 44.0033 42.1146 44.2487 62.3664 98.2184 695.412 347.43 110.793 836.571 -0.439778 894.278 128.353 -91.5314 1.91838 1.8713e-08 
29.7607 0.000195435 0.000137191 2.14088e-05 0.000137912 1.34494e-05 9.94171e-05 8.29601e-05 4.3292e-12 -3.87292e-05 6.1742e-05 4.97688e-05 -0.00015668 -0.000196976 -0.000144523 -0.000370091 -0.000841985 -0.000228077 -0.000104753 -6.85052e-05 -6.96071e-06 6.28315e-06 -2.41731e-06 -1.3006e-06 -4.54441e-07 3.19364e-06 1.06528e-05 6.45818e-06 5.32119e-06 4.3752e-06 3.77174e-05 4.75048e-05 1.98681e-05 8.29496e-06 3.20869e-05 3.05064e-05 2.2869e-05 6.66961e-05 3.52819e-05 9.17923e-05 3.22146e-06 1.65401e-05 5.99803e-05 1.84731e-05 1.75778e-05 1.17426e-05 6.08519e-05 5.15559e-05 2.39861e-05 2.12618e-05 3.45057e-05 2.76834e-05 7.6109e-05 5.20832e-05 2.64484e-05 2.46551e-05 4.57473e-05 5.16189e-05 5.02724e-05 1.1778e-05 6.71799e-05 -3.23034e-07 1.0122e-05 -3.80457e-06 -7.21819e-05 -1.73705e-06 1.73981e-14 
152.744 0.000137191 0.00368743 -0.00401095 0.00245613 3.32289e-05 0.00109368 0.000735684 1.39073e-12 -0.000281572 -0.00029311 -0.000543321 -0.000454853 -0.000921422 -0.00110364 -0.00174257 -0.00238344 -0.000971856 -0.000424107 -0.000261044 -3.38323e-05 8.12185e-06 -4.11061e-05 -8.54048e-06 1.85392e-05 1.60795e-05 8.13588e-05 3.08682e-05 2.64872e-05 2.40563e-05 0.000233956 0.000315669 6.65395e-05 2.39508e-05 0.000131538 0.000168247 0.000129073 0.000399539 0.000160819 0.00021247 5.38471e-07 6.88301e-05 0.00058317 8.16255e-05 7.5462e-05 3.38706e-05 0.000433118 0.000172737 0.000163338 2.29644e-05 0.000211041 3.91034e-05 0.000678122 4.53344e-05 0.000152747 5.59626e-05 2.18496e-05 0.000944638 0.000295069 -1.72595e-05 -8.37097e-07 -4.16718e-07 -0.00057785 -0.000177453 -0.000324915 1.21043e-05 -6.33113e-14 
95.0468 2.14088e-05 -0.00401095 0.0334671 -0.0399035 -2.51134e-07 -0.000536257 -0.00293696 5.26835e-11 -0.000794021 0.000806521 0.0026269 0.00275642 -0.000617117 -0.00202273 -0.00133112 -0.00571161 -0.00102083 -0.000903655 -0.000649483 -0.000479832 -5.46706e-05 -4.57311e-05 -4.3545e-06 -1.4913e-05 1.60353e-05 -6.13146e-06 -1.58136e-06 -5.02235e-06 -4.14986e-05 -8.72925e-06 -6.27589e-05 4.60801e-05 1.19068e-05 4.75165e-05 4.8245e-05 1.28167e-05 -7.29247e-06 -8.78847e-05 0.000261564 5.40588e-05 9.7073e-06 -0.000324063 0.000647902 0.000555322 -1.37935e-05 -0.000835857 0.00033675 -0.000149187 0.000286171 -0.000182701 0.000395904 -0.000976624 0.000325758 -0.000171249 -0.000141484 1.25082e-05 -0.00101056 -0.000777995 3.86083e-05 -0.000240203 1.82715e-06 6.46961e-05 0.000228144 -0.000273105 6.28817e-05 5.47837e-13 
717.082 0.000137912 0.00245613 -0.0399035 0.228235 4.85407e-05 0.00142406 0.00421361 1.28103e-12 0.000903471 -0.000506161 0.00168864 0.00465634 -0.00190465 0.000850104 0.000133369 -0.00349848 -0.00391233 0.00035338 0.000582841 0.000136795 -0.000135719 -8.61325e-05 -0.000165878 -4.39451e-05 -6.4493e-05 -0.000125427 -9.21146e-05 -2.62545e-05 -2.28709e-05 -0.000397645 -0.000151191 -2.25359e-05 -7.76817e-06 -0.000140713 -7.50306e-05 -0.000112282 -0.000708206 -6.04645e-05 -0.000427775 -5.92392e-05 -0.000246579 -0.00265231 -0.000301513 -0.000502387 -0.000103172 0.00299524 -0.00129176 0.000301399 -0.000875771 0.000671153 -0.000506882 0.00145977 -0.000800994 0.000335312 0.000753605 7.10226e-05 -0.000829997 0.00233487 0.000836783 0.00762538 -1.20241e-06 0.00408697 0.000123318 -0.000169648 1.30504e-05 4.33142e-14 
4.20362 1.34494e-05 3.32289e-05 -2.51134e-07 4.85407e-05 3.31605e-05 3.39848e-06 2.49628e-05 -1.27401e-12 2.54788e-05 -2.74035e-05 -6.53494e-05 -2.66953e-05 -5.43707e-05 4.79939e-05 -5.7769e-05 -0.000189491 -4.57901e-05 -1.1397e-05 1.00327e-07 -1.40122e-06 -1.77785e-06 3.43408e-06 -6.90271e-07 1.49331e-06 3.41008e-06 7.05425e-06 1.21046e-06 9.95187e-07 3.04539e-06 1.55413e-05 1.47913e-05 5.40847e-06 -7.94154e-07 6.79246e-06 8.82338e-06 8.29749e-06 1.39449e-05 8.20076e-06 2.54404e-05 5.61953e-07 5.1686e-06 5.24529e-05 8.2499e-06 3.34176e-07 2.42561e-06 1.32041e-05 1.81509e-05 7.10587e-06 7.10329e-06 6.78952e-06 6.94241e-06 1.44697e-05 1.31565e-05 7.99775e-06 6.02484e-06 1.10528e-05 2.73399e-05 1.69596e-05 2.63607e-06 2.00025e-05 1.05482e-07 -7.63415e-06 -1.04678e-05 -1.44955e-05 -2.79315e-06 -1.65618e-14 
89.0778 9.94171e-05 0.00109368 -0.000536257 0.00142406 3.39848e-06 0.00211012 0.000640519 -2.00579e-12 -0.000115617 -2.4727e-05 -0.000568059 9.92732e-05 -0.000738146 -0.000506832 -0.00111703 -0.00112545 -0.000337059 -0.00017631 -0.000150987 -2.7563e-05 1.11746e-06 -1.46362e-05 -1.24032e-05 8.71029e-06 2.80816e-07 3.84379e-05 1.5748e-05 1.24699e-05 4.18438e-06 9.52004e-05 0.000137982 3.40763e-05 1.31411e-05 5.22968e-05 6.53643e-05 7.17727e-05 0.000209729 7.93445e-05 6.25817e-05 -7.48549e-06 3.1466e-05 0.000182235 -4.68405e-05 2.57292e-05 9.73959e-06 0.000219334 7.19461e-05 7.21628e-05 -2.91704e-05 9.82402e-05 -1.68736e-05 0.000366757 -7.76153e-06 6.36394e-05 -1.22427e-05 -7.05845e-06 0.000437584 0.000111361 -4.57277e-05 -0.000144172 6.57173e-07 -0.000544611 -0.000145651 -0.00015091 3.01677e-06 -6.77037e-14 
128.047 8.29601e-05 0.000735684 -0.00293696 0.00421361 2.49628e-05 0.000640519 0.00970519 -9.47398e-12 -4.16227e-05 -3.91534e-05 -0.00036524 4.96853e-05 7.44736e-05 0.000164475 -3.02205e-05 0.000500599 6.2691e-05 3.03521e-05 2.28946e-05 5.28724e-05 1.3355e-05 -3.31961e-06 1.59641e-05 1.12864e-05 2.97725e-06 3.72859e-05 4.78096e-06 -1.06315e-05 -7.23903e-06 -2.0632e-05 -4.78543e-05 -2.02319e-05 -4.1525e-06 -6.40037e-05 -3.41333e-05 7.77352e-06 2.45409e-05 -4.31774e-05 -6.71715e-05 1.64003e-06 -2.41211e-05 -0.000581536 0.000216507 0.000322817 -3.30674e-05 -0.000356359 0.000271958 -5.79108e-05 -4.39473e-05 -8.77504e-05 0.000119707 -0.000215565 4.05968e-05 1.45451e-05 -4.02234e-05 -8.61959e-06 2.03e-05 -0.000284032 -1.13776e-05 5.28647e-05 2.97979e-07 -0.000293341 -1.00493e-05 3.82953e-05 -1.63001e-06 -2.93245e-13 
