*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 selectivity[MaturationSel_male].v{1} selectivity[MaturationSel_male].v{2} selectivity[MaturationSel_male].v{3} selectivity[MaturationSel_male].v{4} selectivity[MaturationSel_female].v{1} selectivity[MaturationSel_female].v{2} selectivity[MaturationSel_female].v{3} selectivity[MaturationSel_female].v{4} process[Recruitment].recruitment_multipliers{1960} process[Recruitment].recruitment_multipliers{1961} process[Recruitment].recruitment_multipliers{1962} process[Recruitment].recruitment_multipliers{1963} process[Recruitment].recruitment_multipliers{1964} process[Recruitment].recruitment_multipliers{1965} process[Recruitment].recruitment_multipliers{1966} process[Recruitment].recruitment_multipliers{1967} process[Recruitment].recruitment_multipliers{1968} process[Recruitment].recruitment_multipliers{1969} process[Recruitment].recruitment_multipliers{1970} process[Recruitment].recruitment_multipliers{1971} process[Recruitment].recruitment_multipliers{1972} process[Recruitment].recruitment_multipliers{1973} process[Recruitment].recruitment_multipliers{1974} process[Recruitment].recruitment_multipliers{1975} process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} parameter_transformation[M_nonspawn_avg_diff].average_parameter parameter_transformation[M_nonspawn_avg_diff].difference_parameter observation[TangaroaAcousticMature].process_error 
299610 0.0853669 0.735258 0.514322 0.293981 0.0190345 0.515637 0.94578 0.999 0.251687 0.256263 0.261698 0.268296 0.276323 0.286361 0.300089 0.707008 0.464017 0.32237 0.231725 0.12143 0.0708351 0.136124 0.0915088 0.0498304 0.0521509 0.107502 0.0430752 0.0337305 0.042266 0.312768 0.304796 0.0779883 0.0275099 0.112475 0.107569 0.0925564 0.23474 0.105181 0.358491 0.0300068 0.2116 2.26862 0.460416 0.218181 0.106325 0.462205 0.299581 0.120961 0.264764 0.160483 0.246235 0.574981 0.338164 0.205854 0.201745 0.256777 1.31409 0.523281 0.152418 0.876062 0.00771912 0.5907 0.094947 0.161979 -0.00906314 0.0001 
covariance_matrix:
1.78377e+08 25.5878 165.061 -64.5452 833.711 4.64672 107.829 137.161 0.0245463 594.135 642.457 486.07 253.937 99.4203 73.8815 -402.546 -1872.61 -777.292 -395.081 -242.693 -144.083 -59.9636 -95.3451 -74.5437 -29.684 -24.0039 -43.6365 -17.6877 -9.71059 -13.3467 -90.4012 -74.0883 -15.4988 -7.92932 -9.5709 -4.09413 -4.4819 -15.4636 -11.2403 -50.3477 -3.50824 -12.3789 -109.162 -19.2132 4.08366 -11.8335 -13.7341 -12.5541 -3.56657 -19.112 -6.82593 -17.6422 18.7692 12.3102 26.2375 46.8955 69.3458 556.633 296.643 97.9777 729.706 -0.663954 839.081 121.987 -80.4911 1.06042 7.27246e-09 
25.5878 0.000194465 0.000175591 -1.99769e-05 0.000393981 1.17327e-05 0.000114688 7.96367e-05 8.84866e-09 -2.20593e-05 -6.4325e-05 -7.18765e-05 -0.000128713 -5.84234e-05 -0.000130046 -0.000238884 -0.000871393 -0.000178524 -0.000100331 -6.28987e-05 -2.18375e-05 8.47457e-06 8.3631e-06 -4.04106e-06 1.87333e-07 6.47082e-06 1.42798e-05 6.29799e-06 5.67727e-06 5.07959e-06 4.93745e-05 5.52566e-05 2.27307e-05 4.15393e-06 3.19869e-05 3.81201e-05 2.56255e-05 6.99204e-05 3.45065e-05 8.08602e-05 2.85763e-06 1.31212e-05 8.00698e-05 1.13531e-05 2.08305e-05 1.2792e-05 7.5519e-05 5.2376e-05 2.61747e-05 2.78872e-05 4.06227e-05 3.78318e-05 0.000101448 5.57067e-05 3.10905e-05 2.79449e-05 2.75186e-05 5.69966e-05 6.94896e-05 1.54681e-05 7.21606e-05 -1.7687e-07 -1.43717e-05 -1.37723e-05 -6.88226e-05 -4.49371e-07 2.84601e-15 
165.061 0.000175591 0.00396708 -0.00496768 0.00336618 3.11732e-05 0.00116593 0.000762283 8.16436e-08 -0.000282437 -7.01887e-05 -0.000507082 -0.000663724 -0.000229754 -0.00011496 -0.000944339 -0.00352074 -0.00107664 -0.00043299 -0.000181401 -0.000151472 -7.51503e-07 -7.60128e-06 -3.05261e-05 5.54739e-06 1.71919e-05 9.10826e-05 3.00317e-05 2.33991e-05 3.39092e-05 0.000289049 0.000354805 7.46719e-05 2.60609e-05 0.000142444 0.000144537 0.00010733 0.000382221 0.000169848 0.000176787 -6.76272e-07 5.97771e-05 0.000682769 -1.87377e-05 4.87448e-05 4.12347e-05 0.000460662 0.000192434 0.000149708 6.56392e-06 0.000200995 4.40413e-05 0.000784416 5.97338e-05 0.000183461 0.000106967 -1.32318e-05 0.000984008 0.000360565 -5.33473e-05 2.86963e-05 -2.30335e-07 -0.000574608 -0.000185444 -0.000303667 8.29418e-06 2.31726e-14 
-64.5452 -1.99769e-05 -0.00496768 0.0350407 -0.0229804 2.76759e-05 -0.000662227 -0.00201783 6.29116e-07 0.000456836 -0.00125873 -0.00190592 0.000296558 -0.00167177 -0.0016264 -0.00128526 -0.000936853 0.00187598 -0.000519645 -0.000168296 -0.000425241 -6.5549e-05 -2.24403e-05 -7.81818e-06 -3.41894e-05 4.92989e-06 -1.36241e-05 2.14053e-06 8.95173e-06 -1.0763e-05 1.16453e-05 -5.62068e-05 1.84129e-06 -1.46322e-05 -1.64419e-05 -6.73194e-05 5.84006e-06 -0.000179568 -0.000168566 3.00805e-05 3.57163e-05 -5.5832e-05 -0.00118996 0.000699605 0.000747835 1.89271e-05 -0.000736309 0.000267704 -0.000146881 0.000180948 -0.000213497 0.000213626 -0.00120315 0.000101483 -0.000199351 -8.43741e-05 8.40189e-05 -0.00166958 -0.00121973 -4.77871e-05 -0.000482309 1.94413e-06 -8.36632e-05 0.000215018 -0.000145355 3.8201e-05 2.70134e-13 
833.711 0.000393981 0.00336618 -0.0229804 0.156247 5.42416e-05 0.00196343 0.0025104 -1.37384e-06 -0.0045121 0.000843962 0.00250328 -0.000531555 0.00268347 -0.000514685 -0.00193455 -0.00939944 -0.0030586 -0.0010396 -0.000652968 -0.000624221 8.04964e-05 0.000296894 -0.000121242 8.23337e-05 -3.91659e-05 3.06584e-05 -2.17988e-05 0.000124076 6.13158e-05 0.000278847 0.000573213 6.89244e-05 -3.1176e-07 0.000216253 0.000296729 0.000139187 -0.000294775 0.000151149 5.70439e-05 -1.06284e-05 -2.6484e-05 9.46565e-05 0.000340555 4.02045e-05 0.000166411 0.00345618 -0.000751739 0.000573636 -0.000275736 0.000812161 -0.000336316 0.00182941 -0.000223921 0.000667115 0.00109957 0.000266476 0.000298147 0.00272849 0.00125115 0.00766852 -7.28738e-06 0.00487139 0.000493603 -0.000582062 0.000197179 -5.29749e-13 
4.64672 1.17327e-05 3.11732e-05 2.76759e-05 5.42416e-05 3.26501e-05 1.17604e-05 2.00006e-05 -1.56843e-09 -1.02667e-05 1.60986e-05 -1.66757e-05 -3.97308e-05 -2.95494e-05 -2.56372e-05 -3.1972e-05 -0.000105228 -4.44524e-05 -1.11633e-05 -3.80948e-06 -7.44035e-06 -2.42988e-06 -1.23022e-06 5.02835e-06 1.00179e-06 9.22608e-07 5.49195e-06 1.24414e-06 2.15987e-06 1.39815e-06 1.30285e-05 1.40142e-05 5.1799e-06 9.34651e-07 7.03803e-06 5.87823e-06 6.90895e-06 1.62048e-05 8.37815e-06 2.15467e-05 4.90444e-07 5.7462e-06 4.39271e-05 7.60987e-06 6.09866e-07 4.49748e-06 1.5968e-05 1.75423e-05 8.88249e-06 1.00107e-05 8.9444e-06 5.60434e-06 2.013e-05 1.47503e-05 9.98144e-06 7.29449e-06 1.73959e-05 3.02152e-05 1.25558e-05 -1.15996e-06 1.3907e-05 5.01041e-08 2.80897e-06 -7.7584e-06 -1.22983e-05 -1.10896e-06 -8.76105e-16 
107.829 0.000114688 0.00116593 -0.000662227 0.00196343 1.17604e-05 0.00208061 0.000563136 1.82921e-08 1.02551e-05 0.000137864 -0.000126726 -0.000511924 -0.000278729 0.000174181 -0.000427699 -0.00199916 -0.000630399 -0.000230483 -0.000131956 -0.000110616 -6.51916e-06 1.47421e-05 -3.5098e-05 -2.35082e-06 3.54986e-06 5.4317e-05 1.29084e-05 1.09402e-05 1.18057e-05 0.000154806 0.000187176 5.02619e-05 1.82877e-05 7.33264e-05 6.95971e-05 6.78039e-05 0.000226765 9.74501e-05 8.36711e-05 -4.49389e-06 3.90851e-05 0.00046826 -6.52964e-05 2.50581e-05 2.69487e-05 0.000295191 0.00010787 7.2766e-05 -6.48758e-06 0.000106228 8.07516e-06 0.000517568 1.85759e-05 9.92999e-05 4.79015e-05 -4.62562e-06 0.000536345 0.00025641 -6.60059e-05 -6.95242e-06 7.12092e-07 -0.000428178 -0.00016193 -0.00015807 -1.22752e-05 1.71348e-15 
137.161 7.96367e-05 0.000762283 -0.00201783 0.0025104 2.00006e-05 0.000563136 0.00936698 -2.00494e-07 3.76707e-05 0.000474572 0.000414354 -0.000400666 0.000547778 0.000583141 0.000445319 0.000102824 -0.000513617 5.03586e-06 9.90655e-05 0.000201665 2.9952e-05 3.3008e-05 3.27425e-05 1.84789e-05 2.15134e-05 6.09526e-05 -3.55955e-06 -1.97415e-06 -4.8953e-08 4.42134e-05 4.22913e-05 -7.15997e-06 -1.68662e-05 -3.58415e-05 -4.86743e-05 -1.80693e-05 0.000101219 -1.42299e-05 -4.82176e-06 1.36235e-06 1.55268e-05 -0.000180727 0.000295882 0.000339149 -1.75528e-05 -0.000277931 0.00030629 -3.38907e-05 3.68186e-06 -5.4273e-05 0.000185634 -0.000141505 0.00012031 5.2019e-05 -1.19427e-06 7.1804e-05 0.000422333 -0.000128952 3.11942e-05 0.000208812 2.1138e-07 -0.000247331 2.9811e-05 4.60728e-05 -3.53959e-06 -7.77634e-14 
0.0245463 8.84866e-09 8.16436e-08 6.29116e-07 -1.37384e-06 -1.56843e-09 1.82921e-08 -2.00494e-07 3.64265e-09 -1.23374e-07 -2.91724e-08 7.38142e-07 -1.29666e-07 2.83404e-07 -2.22292e-07 1.08303e-07 2.37716e-07 -8.23165e-07 8.26159e-08 1.99279e-08 1.66602e-07 6.97361e-09 7.80183e-09 1.86675e-08 6.01789e-09 3.5152e-09 5.21859e-09 -7.6627e-09 -2.40936e-09 2.8379e-09 2.93957e-08 6.70683e-08 -3.59543e-09 -8.55918e-09 9.74963e-09 -1.53768e-08 -3.07052e-08 8.92436e-08 2.75494e-08 7.65337e-08 6.11311e-10 2.3464e-08 1.66192e-07 6.44348e-08 1.39236e-08 1.45555e-10 3.8394e-08 2.78192e-08 5.92912e-09 2.26162e-08 2.00982e-08 6.15931e-08 8.97853e-08 4.90734e-08 4.29367e-08 2.61248e-08 7.05723e-08 3.1017e-07 1.43387e-07 3.69442e-08 2.51181e-07 -1.93188e-10 1.63911e-07 5.53702e-08 -8.72325e-09 4.90583e-09 1.79372e-16 
594.135 -2.20593e-05 -0.000282437 0.000456836 -0.0045121 -1.02667e-05 1.02551e-05 3.76707e-05 -1.23374e-07 0.0635316 -0.000125303 -0.00300198 -0.00125751 -0.00464787 -0.0024879 -0.00284412 -0.000739317 -0.00215736 0.000217885 -0.000598541 0.000397712 -0.000229082 -0.000131587 -0.000281011 -6.37628e-05 -1.87263e-05 -0.000131893 -6.13422e-05 0.000104849 -6.15518e-05 -0.000163352 -4.53213e-05 -6.29391e-05 -8.24863e-06 2.35707e-06 2.48827e-05 -1.75922e-05 5.68245e-07 4.77487e-05 0.000272143 -2.80091e-05 0.00010365 -0.000390146 0.000131713 0.000209223 8.20611e-05 0.000240928 0.000110513 0.000148236 0.00011259 0.000192858 0.000174345 0.000283423 3.31705e-06 4.38499e-06 -1.81827e-06 -0.00023808 -0.000627921 -0.000190932 7.33982e-05 -0.000360893 2.49309e-06 -0.000110373 -0.000291329 0.00027585 -2.43843e-05 -6.24915e-14 
642.457 -6.4325e-05 -7.01887e-05 -0.00125873 0.000843962 1.60986e-05 0.000137864 0.000474572 -2.91724e-08 -0.000125303 0.0664806 -0.00153526 -0.00295012 -0.00217854 -0.00590091 -0.00122121 -0.00422914 0.000546286 0.000841927 8.68409e-05 0.00035152 0.000124317 0.000104582 0.000178106 9.02361e-05 4.22311e-05 0.000128829 9.93467e-05 1.54342e-05 5.34442e-05 0.000408817 0.000327705 7.82323e-05 7.76241e-05 8.11736e-05 1.72793e-05 0.000133188 0.000336419 7.57535e-05 0.000593571 6.6712e-05 0.000522331 0.00569518 0.00121952 0.000536717 0.000147939 0.000694764 0.000622148 0.000108457 0.000366722 0.000181323 0.000479378 0.0010547 0.000602561 0.000396816 0.0003559 0.000577866 0.00297978 0.0011651 0.000310118 0.00213782 -2.68757e-06 0.00134634 0.00042089 0.000355655 3.65784e-05 -4.85486e-15 
