*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 selectivity[MaturationSel_male].v{1} selectivity[MaturationSel_male].v{2} selectivity[MaturationSel_male].v{3} selectivity[MaturationSel_male].v{4} selectivity[MaturationSel_female].v{1} selectivity[MaturationSel_female].v{2} selectivity[MaturationSel_female].v{3} selectivity[MaturationSel_female].v{4} process[Recruitment].recruitment_multipliers{1960} process[Recruitment].recruitment_multipliers{1961} process[Recruitment].recruitment_multipliers{1962} process[Recruitment].recruitment_multipliers{1963} process[Recruitment].recruitment_multipliers{1964} process[Recruitment].recruitment_multipliers{1965} process[Recruitment].recruitment_multipliers{1966} process[Recruitment].recruitment_multipliers{1967} process[Recruitment].recruitment_multipliers{1968} process[Recruitment].recruitment_multipliers{1969} process[Recruitment].recruitment_multipliers{1970} process[Recruitment].recruitment_multipliers{1971} process[Recruitment].recruitment_multipliers{1972} process[Recruitment].recruitment_multipliers{1973} process[Recruitment].recruitment_multipliers{1974} process[Recruitment].recruitment_multipliers{1975} process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} parameter_transformation[M_nonspawn_avg_diff].average_parameter parameter_transformation[M_nonspawn_avg_diff].difference_parameter observation[TangaroaAcousticMature].process_error 
299610 0.0853669 0.735258 0.514322 0.293981 0.0190345 0.515637 0.94578 0.999 0.251687 0.256263 0.261698 0.268296 0.276323 0.286361 0.300089 0.707008 0.464017 0.32237 0.231725 0.12143 0.0708351 0.136124 0.0915088 0.0498304 0.0521509 0.107502 0.0430752 0.0337305 0.042266 0.312768 0.304796 0.0779883 0.0275099 0.112475 0.107569 0.0925564 0.23474 0.105181 0.358491 0.0300068 0.2116 2.26862 0.460416 0.218181 0.106325 0.462205 0.299581 0.120961 0.264764 0.160483 0.246235 0.574981 0.338164 0.205854 0.201745 0.256777 1.31409 0.523281 0.152418 0.876062 0.00771912 0.5907 0.094947 0.161979 -0.00906314 0.0001 
covariance_matrix:
1.80629e+08 26.4072 172.465 -4.81739 705.466 4.49349 109.409 118.402 -0.0100831 582.327 639.754 554.518 241.852 124.589 52.6752 -392.368 -1849.64 -853.377 -387.305 -240.599 -128.455 -59.3228 -94.5836 -72.7548 -29.1024 -23.6645 -43.1432 -18.4053 -9.92108 -13.0848 -87.6381 -67.8121 -15.8519 -8.76938 -8.63457 -5.58452 -7.39383 -7.10009 -8.66568 -43.1494 -3.44675 -10.1496 -93.5783 -13.0604 5.43835 -11.8047 -10.2071 -9.95107 -3.00599 -17.0331 -4.98527 -11.9616 26.9569 16.8541 30.2189 49.3155 75.9885 585.749 309.955 101.462 752.985 -0.681868 854.342 127.145 -81.2881 1.51956 -1.21848e-08 
26.4072 0.000194763 0.000178284 1.76305e-06 0.000347311 1.16769e-05 0.000115262 7.28103e-05 -3.77058e-09 -2.63575e-05 -6.53087e-05 -4.69716e-05 -0.000133111 -4.92626e-05 -0.000137768 -0.00023518 -0.00086304 -0.000206203 -9.75e-05 -6.21326e-05 -1.61491e-05 8.70754e-06 8.64046e-06 -3.38986e-06 3.9912e-07 6.59447e-06 1.44594e-05 6.03698e-06 5.60081e-06 5.17498e-06 5.03804e-05 5.7541e-05 2.26022e-05 3.84831e-06 3.23276e-05 3.75778e-05 2.45659e-05 7.29641e-05 3.54436e-05 8.34808e-05 2.88006e-06 1.39332e-05 8.57454e-05 1.35936e-05 2.13242e-05 1.28026e-05 7.68022e-05 5.33231e-05 2.63787e-05 2.86436e-05 4.12922e-05 3.98986e-05 0.000104426 5.736e-05 3.2539e-05 2.88256e-05 2.99365e-05 6.75969e-05 7.43351e-05 1.67368e-05 8.06323e-05 -1.83388e-07 -8.81868e-06 -1.18949e-05 -6.91125e-05 -2.82227e-07 -4.39626e-15 
172.465 0.000178284 0.00399142 -0.00477125 0.00294447 3.06694e-05 0.00117112 0.0007006 -3.22327e-08 -0.000321273 -7.90758e-05 -0.000282031 -0.000703464 -0.00014699 -0.000184719 -0.000910873 -0.00344525 -0.00132678 -0.000407412 -0.000174491 -0.000100075 1.3543e-06 -5.09577e-06 -2.46424e-05 7.46079e-06 1.83088e-05 9.27054e-05 2.76729e-05 2.27078e-05 3.47709e-05 0.000298137 0.000375445 7.35112e-05 2.32988e-05 0.000145523 0.000139637 9.77555e-05 0.000409724 0.000178315 0.000200463 -4.73719e-07 6.71121e-05 0.000734039 1.50277e-06 5.32033e-05 4.13302e-05 0.000472258 0.000200992 0.000151552 1.33989e-05 0.000207045 6.27179e-05 0.000811329 7.4674e-05 0.000196551 0.000114925 8.61458e-06 0.00107978 0.000404346 -4.18854e-05 0.000105245 -2.89234e-07 -0.00052443 -0.000168482 -0.000306287 9.80427e-06 -4.06881e-14 
-4.81739 1.76305e-06 -0.00477125 0.036622 -0.0263777 2.36167e-05 -0.000620202 -0.00251486 -2.9125e-07 0.000144399 -0.00133036 -9.17322e-05 -2.35888e-05 -0.0010049 -0.00218725 -0.00101555 -0.000327848 -0.000141528 -0.000313969 -0.000113713 -1.14711e-05 -4.85266e-05 -2.32241e-06 3.95305e-05 -1.88064e-05 1.38874e-05 -5.8823e-07 -1.68869e-05 3.34308e-06 -3.83659e-06 8.47593e-05 0.000109971 -7.51157e-06 -3.68913e-05 8.37019e-06 -0.000106798 -7.13184e-05 4.19547e-05 -0.000100393 0.000220552 3.73323e-05 3.06229e-06 -0.000778131 0.000862296 0.000783577 1.96595e-05 -0.000642809 0.000336702 -0.000132028 0.000236062 -0.000164657 0.000364226 -0.000985876 0.000221911 -9.3797e-05 -2.02637e-05 0.000259879 -0.000899234 -0.000867214 4.44036e-05 0.000134378 1.46905e-06 0.000320793 0.000351609 -0.000166494 5.03541e-05 -2.85965e-13 
705.466 0.000347311 0.00294447 -0.0263777 0.163544 6.29604e-05 0.00187329 0.00357795 6.01288e-07 -0.00384072 0.000997809 -0.00139283 0.000156118 0.00125112 0.000690732 -0.00251382 -0.010707 0.00127348 -0.00148164 -0.000770892 -0.00151317 4.39688e-05 0.000253639 -0.000222978 4.92716e-05 -5.84316e-05 2.63402e-06 1.90564e-05 0.000136099 4.64282e-05 0.000121737 0.000216202 8.90129e-05 4.74955e-05 0.000162964 0.00038153 0.000304907 -0.000770628 4.69126e-06 -0.000352253 -1.41093e-05 -0.000153112 -0.000790706 -9.13352e-06 -3.66801e-05 0.000164815 0.0032554 -0.000899914 0.000541733 -0.000394089 0.000707313 -0.000659713 0.00136299 -0.000482556 0.00044045 0.000961859 -0.000111353 -0.00135728 0.00197117 0.00105304 0.00634389 -6.26729e-06 0.00400276 0.000200169 -0.000536675 0.000171066 6.39343e-13 
4.49349 1.16769e-05 3.06694e-05 2.36167e-05 6.29604e-05 3.26605e-05 1.16527e-05 2.12762e-05 8.05419e-10 -9.46463e-06 1.62826e-05 -2.13306e-05 -3.89093e-05 -3.12618e-05 -2.41965e-05 -3.26639e-05 -0.00010679 -3.92769e-05 -1.16915e-05 -3.95057e-06 -8.5025e-06 -2.47352e-06 -1.28191e-06 4.9068e-06 9.62283e-07 8.99584e-07 5.45846e-06 1.29295e-06 2.17422e-06 1.38036e-06 1.28408e-05 1.35877e-05 5.20389e-06 9.9174e-07 6.9744e-06 5.97952e-06 7.10691e-06 1.56363e-05 8.20316e-06 2.10576e-05 4.86282e-07 5.59487e-06 4.28691e-05 7.192e-06 5.17964e-07 4.49558e-06 1.57281e-05 1.73653e-05 8.84438e-06 9.86924e-06 8.81915e-06 5.21796e-06 1.95728e-05 1.44413e-05 9.71064e-06 7.12995e-06 1.69444e-05 2.82371e-05 1.16509e-05 -1.3967e-06 1.23243e-05 5.13232e-08 1.77114e-06 -8.10903e-06 -1.22441e-05 -1.14016e-06 6.77224e-16 
109.409 0.000115262 0.00117112 -0.000620202 0.00187329 1.16527e-05 0.00208171 0.000549955 -5.92549e-09 1.93901e-06 0.000135966 -7.86627e-05 -0.000520418 -0.000261044 0.000159231 -0.000420549 -0.00198306 -0.000683782 -0.000225002 -0.000130441 -9.96198e-05 -6.07109e-06 1.528e-05 -3.38386e-05 -1.94073e-06 3.78998e-06 5.46652e-05 1.24051e-05 1.07938e-05 1.19904e-05 0.000156752 0.000191591 5.00138e-05 1.76976e-05 7.3984e-05 6.85494e-05 6.57581e-05 0.000232645 9.92613e-05 8.87411e-05 -4.45004e-06 4.06598e-05 0.000479261 -6.09571e-05 2.60173e-05 2.69704e-05 0.000297667 0.000109697 7.31599e-05 -5.02844e-06 0.000107518 1.20623e-05 0.000523305 2.17668e-05 0.000102094 4.96024e-05 4.8739e-08 0.000556857 0.000265774 -6.35508e-05 9.40916e-06 6.99524e-07 -0.000417461 -0.000158302 -0.000158629 -1.1952e-05 -1.02587e-14 
118.402 7.28103e-05 0.0007006 -0.00251486 0.00357795 2.12762e-05 0.000549955 0.00952315 8.81493e-08 0.0001359 0.000497075 -0.000155579 -0.000300064 0.000338256 0.000759508 0.000360577 -8.84513e-05 0.000120062 -5.96391e-05 8.17851e-05 7.1612e-05 2.461e-05 2.66784e-05 1.7858e-05 1.36413e-05 1.86939e-05 5.68519e-05 2.41664e-06 -2.16422e-07 -2.22723e-06 2.12269e-05 -9.93892e-06 -4.22107e-06 -9.87226e-06 -4.36374e-05 -3.62681e-05 6.17382e-06 3.16047e-05 -3.56565e-05 -6.47051e-05 8.52697e-07 -3.00285e-06 -0.000310279 0.000244716 0.000327897 -1.77874e-05 -0.000307302 0.000284615 -3.85577e-05 -1.36305e-05 -6.96086e-05 0.000138328 -0.000209725 8.24757e-05 1.88627e-05 -2.13394e-05 1.65274e-05 0.000180128 -0.000239745 2.20769e-06 1.50325e-05 3.60587e-07 -0.000374397 -1.31167e-05 5.27115e-05 -7.35985e-06 8.96253e-14 
-0.0100831 -3.77058e-09 -3.22327e-08 -2.9125e-07 6.01288e-07 8.05419e-10 -5.92549e-09 8.81493e-08 4.15489e-09 5.89585e-08 1.20428e-08 -3.15521e-07 5.65773e-08 -1.01877e-07 1.0408e-07 -4.87744e-08 -1.17093e-07 3.47787e-07 -3.72074e-08 -1.26658e-08 -7.41697e-08 -2.87383e-09 -3.9576e-09 -8.91868e-09 -2.96046e-09 -1.72686e-09 -2.39261e-09 3.39435e-09 8.18403e-10 -1.19382e-09 -1.32003e-08 -2.96336e-08 1.86831e-09 4.43944e-09 -4.74624e-09 7.64401e-09 1.41997e-08 -3.95937e-08 -1.21137e-08 -3.43886e-08 -3.40179e-10 -1.09137e-08 -7.41182e-08 -3.0435e-08 -6.97346e-09 -3.20108e-10 -1.58948e-08 -1.22651e-08 -2.7104e-09 -9.33925e-09 -8.2096e-09 -2.58001e-08 -3.6108e-08 -2.08616e-08 -1.83477e-08 -1.11284e-08 -3.17717e-08 -1.38488e-07 -6.16066e-08 -1.67439e-08 -1.07153e-07 8.15709e-11 -7.09333e-08 -2.40054e-08 3.51497e-09 -2.15777e-09 1.00383e-16 
582.327 -2.63575e-05 -0.000321273 0.000144399 -0.00384072 -9.46463e-06 1.93901e-06 0.0001359 5.89585e-08 0.0635934 -0.00011114 -0.00336055 -0.00119425 -0.00477968 -0.00237712 -0.00289742 -0.000859698 -0.00175855 0.000177259 -0.000609271 0.000315959 -0.000232449 -0.000135559 -0.000290365 -6.6801e-05 -2.04944e-05 -0.000134468 -5.7581e-05 0.000105959 -6.29198e-05 -0.000177796 -7.81553e-05 -6.1091e-05 -3.85006e-06 -2.54605e-06 3.26836e-05 -2.34385e-06 -4.32059e-05 3.42788e-05 0.000234516 -2.83277e-05 9.20218e-05 -0.000471469 9.95811e-05 0.000202169 8.19183e-05 0.000222447 9.68757e-05 0.000145301 0.000101695 0.000183201 0.000144577 0.000240461 -2.04853e-05 -1.64793e-05 -1.44878e-05 -0.000272825 -0.000780094 -0.000260587 5.51872e-05 -0.000482762 2.58701e-06 -0.000190312 -0.000318319 0.000280029 -2.67854e-05 5.29717e-14 
639.754 -6.53087e-05 -7.90758e-05 -0.00133036 0.000997809 1.62826e-05 0.000135966 0.000497075 1.20428e-08 -0.00011114 0.0664838 -0.00161739 -0.00293562 -0.00220871 -0.00587549 -0.00123342 -0.00425671 0.000637595 0.000832605 8.43456e-05 0.000332776 0.000123548 0.000103669 0.00017596 8.95387e-05 4.18246e-05 0.000128238 0.000100208 1.56873e-05 5.31303e-05 0.000405504 0.000320178 7.86562e-05 7.86327e-05 8.00493e-05 1.90679e-05 0.000136683 0.000326387 7.26655e-05 0.00058494 6.66385e-05 0.00051966 0.00567651 0.00121215 0.000535094 0.000147905 0.000690531 0.000619024 0.000107784 0.000364228 0.000179114 0.000472562 0.00104487 0.000597109 0.000392038 0.000352997 0.0005699 0.00294487 0.00114914 0.00030594 0.0021099 -2.66609e-06 0.00132803 0.000414704 0.000356611 3.60279e-05 1.48954e-14 
