* MPD
estimate_values:
process[Recruitment].b0 selectivity[MaturationSel_male].v{1} selectivity[MaturationSel_male].v{2} selectivity[MaturationSel_male].v{3} selectivity[MaturationSel_male].v{4} selectivity[MaturationSel_female].v{1} selectivity[MaturationSel_female].v{2} selectivity[MaturationSel_female].v{3} selectivity[MaturationSel_female].v{4} process[Recruitment].ycs_values{1958} process[Recruitment].ycs_values{1959} process[Recruitment].ycs_values{1960} process[Recruitment].ycs_values{1961} process[Recruitment].ycs_values{1962} process[Recruitment].ycs_values{1963} process[Recruitment].ycs_values{1964} process[Recruitment].ycs_values{1965} process[Recruitment].ycs_values{1966} process[Recruitment].ycs_values{1967} process[Recruitment].ycs_values{1968} process[Recruitment].ycs_values{1969} process[Recruitment].ycs_values{1970} process[Recruitment].ycs_values{1971} process[Recruitment].ycs_values{1972} process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Instantaneous_Mortality].m{male.nonspawn} process[Instantaneous_Mortality].m{female.nonspawn} observation[TangaroaAcousticMature].process_error 
314527 0.0855841 0.729927 0.512672 0.331181 0.0190747 0.51254 0.941203 0.999 0.255898 0.260995 0.267025 0.274312 0.283173 0.294102 0.308798 0.824676 0.531625 0.370703 0.266765 0.138528 0.0802537 0.158215 0.106305 0.0575723 0.060793 0.127247 0.0505653 0.0395934 0.0499646 0.375867 0.368155 0.0940202 0.0328014 0.136472 0.130805 0.112561 0.286165 0.127934 0.437718 0.035898 0.256495 2.75116 0.558714 0.2639 0.126748 0.560017 0.36192 0.144856 0.320596 0.192791 0.298743 0.705184 0.417689 0.254272 0.252378 0.324953 1.69567 0.686598 0.200671 1.20372 0.169349 0.875687 0.132658 0.151183 0.160327 0.0001 
covariance_matrix:
2.99702e+08 43.0433 326.582 364.792 650.659 8.4962 195.534 -1352.36 29806.5 531.497 445.941 334.771 184.239 -23.5564 -314.433 -758.833 -3895.55 -1157.53 -534.373 -320.047 -134.143 -68.1862 -137.465 -79.171 -34.6225 -24.7157 -55.9655 -20.7827 -9.8426 -11.7526 -90.2148 -38.7726 -3.07103 -1.36317 10.9343 23.1545 12.8781 1.64516 27.5444 44.0906 0.117851 -12.6076 -186.25 -8.01977 -41.664 -14.8131 235.159 -120.674 25.5367 -88.0774 61.5613 -57.9159 212.545 7.76093 104.143 149.259 176.361 1116.9 755.519 262.506 2101.57 307.004 2182.39 300.107 -153.598 -2.56622 -5.29633e-07 
43.0433 0.000225218 0.000164898 0.000109941 0.000273023 7.7221e-06 0.000112744 -0.00018219 0.00540955 -5.25229e-05 -6.66962e-05 -8.54215e-05 -0.000111091 -0.000146733 -0.000197985 -0.000278482 -0.00112398 -0.000281397 -0.000112922 -5.34482e-05 -1.57514e-05 -5.36325e-06 -5.32375e-06 -2.89563e-09 2.6239e-06 7.49694e-06 1.99395e-05 7.82691e-06 6.94043e-06 7.90605e-06 5.41633e-05 7.30369e-05 2.11791e-05 6.93737e-06 3.80615e-05 4.11795e-05 3.50779e-05 8.97446e-05 4.47759e-05 0.000112099 3.88134e-06 2.10874e-05 9.77037e-05 2.65128e-05 3.59788e-06 6.23568e-06 0.000116219 3.45648e-05 2.84963e-05 3.38988e-05 4.97548e-05 3.95384e-05 0.000112995 4.15952e-05 4.04551e-05 4.49233e-05 3.41303e-05 9.28533e-05 0.000101993 2.6745e-05 0.000196183 8.34891e-06 2.51263e-05 -1.95475e-05 -7.46215e-05 -5.61301e-06 -5.31966e-14 
326.582 0.000164898 0.00446642 -0.00245911 0.00293351 3.75562e-05 0.0013453 -0.00458525 0.108839 -0.000233055 -0.000300185 -0.000387585 -0.000509724 -0.000677006 -0.000919254 -0.00129895 -0.00528627 -0.00131865 -0.000516445 -0.000208501 -4.73797e-05 -1.72387e-05 2.173e-05 1.49579e-05 2.11359e-05 6.49767e-05 0.000106758 3.69225e-05 3.6292e-05 2.43313e-05 0.000224499 0.000377078 8.47255e-05 2.23032e-05 0.000160229 0.000173694 0.000137599 0.000339748 0.000220847 0.000213212 -8.14349e-06 -2.67e-05 -0.000259077 -8.43457e-05 -0.000145608 8.80262e-06 0.00135498 -0.000135082 0.000296678 -0.000246167 0.0004762 -0.000174341 0.00126629 -0.000205397 0.000337245 0.000230725 5.76857e-05 0.00104564 0.000878401 0.00024546 0.0020385 5.64728e-05 0.00022209 -0.000212123 -0.000339261 -2.56407e-05 -3.32113e-13 
364.792 0.000109941 -0.00245911 0.0366017 -0.0366042 9.66918e-06 0.000154629 -0.0147325 0.244857 -0.000207197 -0.000264336 -0.000336559 -0.000438621 -0.00058081 -0.000781388 -0.00109306 -0.00465162 -0.00122228 -0.000499953 -0.000197841 -5.92032e-05 -5.94982e-05 -9.1156e-05 -5.2962e-06 -7.48892e-06 2.62417e-05 2.79498e-05 -5.29631e-05 -2.03219e-05 1.45228e-05 2.46681e-05 4.28932e-05 4.08579e-05 1.24149e-06 2.86317e-05 0.000142564 7.70353e-05 -0.000380066 -4.66258e-05 0.000225521 2.43286e-05 -0.000179245 -0.00120156 0.000358768 0.000107952 5.11823e-06 0.00151312 -0.000482207 8.50927e-05 -0.000276569 0.000276913 -9.77968e-05 0.000136275 -0.000230105 0.00019311 0.000466368 0.00030217 -0.0010218 0.000941099 0.000643102 0.0053878 0.000299593 0.00327717 0.000540188 -0.000244429 8.40209e-06 -1.46598e-12 
650.659 0.000273023 0.00293351 -0.0366042 0.18628 5.67727e-05 0.00182882 0.0139407 -0.198612 -0.000407049 -0.000519594 -0.000665476 -0.000869098 -0.00114959 -0.00155467 -0.00218702 -0.00908514 -0.00239608 -0.000950502 -0.00038814 -9.85315e-05 -7.02091e-05 -5.37167e-05 8.60465e-06 8.80852e-06 9.49539e-05 0.000113169 -1.57409e-05 2.2966e-05 3.49805e-05 0.00019838 0.000440708 0.000135107 2.63997e-05 0.000207883 0.000330393 0.000208987 -8.38185e-06 0.000195195 0.00027713 6.89202e-07 -7.47976e-05 -0.000515381 0.000503405 7.32869e-05 -7.11566e-06 0.00247815 -0.000532797 0.00038282 -0.000550713 0.000744873 -0.000269674 0.00149133 -0.000397717 0.000515479 0.00064066 0.000192273 0.00066161 0.00140247 0.000749866 0.00609176 0.000285281 0.00307881 0.000161822 -0.000549073 6.75814e-05 -1.44996e-12 
8.4962 7.7221e-06 3.75562e-05 9.66918e-06 5.67727e-05 4.12881e-05 1.1324e-05 -8.63898e-06 0.000742846 -1.02721e-05 -1.29517e-05 -1.64805e-05 -2.12958e-05 -2.79674e-05 -3.75246e-05 -5.24914e-05 -0.000212566 -5.36979e-05 -2.16785e-05 -1.03462e-05 -3.03475e-06 -9.87329e-07 -1.06627e-06 -6.21263e-08 4.98445e-07 1.38628e-06 3.88217e-06 1.59219e-06 1.34245e-06 1.49673e-06 1.03147e-05 1.39465e-05 4.04596e-06 1.34299e-06 7.2841e-06 7.82588e-06 6.87805e-06 1.86181e-05 8.93921e-06 2.23028e-05 8.01306e-07 4.62071e-06 1.96291e-05 4.81713e-06 1.22378e-06 1.12029e-06 1.95064e-05 8.41622e-06 5.28762e-06 7.32336e-06 9.12961e-06 8.62746e-06 2.11547e-05 8.94442e-06 7.71472e-06 8.2146e-06 6.60545e-06 1.90858e-05 1.86347e-05 4.31578e-06 3.12635e-05 1.14299e-06 -7.30274e-07 -4.64439e-06 -1.41639e-05 4.90739e-07 -9.75459e-15 
195.534 0.000112744 0.0013453 0.000154629 0.00182882 1.1324e-05 0.00223097 -0.00246435 0.0624838 -0.000128265 -0.000164187 -0.000210723 -0.000275474 -0.000363697 -0.000491351 -0.000690438 -0.00282314 -0.000711441 -0.000281402 -0.000112721 -2.45411e-05 -8.33493e-06 1.43937e-05 7.41146e-06 1.13686e-05 3.60959e-05 5.76273e-05 2.09095e-05 1.99793e-05 1.06035e-05 0.000106106 0.000199544 4.31601e-05 1.08987e-05 8.31987e-05 8.85828e-05 7.18124e-05 0.00019759 0.000127785 0.000105001 -5.08985e-06 -2.64584e-06 -7.56123e-05 -6.65006e-05 -9.14778e-05 1.1855e-06 0.000761798 -7.085e-05 0.000171261 -0.000164238 0.000273709 -0.000113971 0.000761162 -0.000128816 0.000201756 0.000122956 2.78734e-05 0.000699054 0.000540609 0.000126999 0.00109835 3.15793e-05 6.94332e-05 -0.000140778 -0.000178728 3.20299e-06 -1.64171e-13 
-1352.36 -0.00018219 -0.00458525 -0.0147325 0.0139407 -8.63898e-06 -0.00246435 0.0675508 -1.17672 0.000281005 0.0003594 0.000448782 0.000599621 0.000785365 0.00104991 0.00146005 0.00672425 0.0018185 0.000817592 0.000256507 0.000157209 0.000233966 6.13687e-05 2.96767e-05 0.000102238 -0.0001041 0.000314398 0.000269982 -8.24011e-06 6.25598e-06 0.00098792 0.00034783 8.14221e-05 8.68042e-05 -1.41055e-05 -0.000195794 0.000444863 0.00253617 -0.000168631 0.000751024 0.00011947 0.00112775 0.00657401 0.00261431 0.00362592 9.04003e-05 -0.00963654 0.00509937 -0.00111481 0.00309584 -0.00228206 0.00298767 -0.00438485 0.00300941 -0.00108748 -0.00191092 -0.000454029 0.000311774 -0.00684923 -0.00271097 -0.0231426 -0.00168426 -0.0155002 -0.000982124 0.00015141 8.46224e-05 4.67913e-12 
