*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 growth_increment[female_growth].min_sigma process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} process[Recruitment].ycs_values{2015} process[Recruitment].ycs_values{2016} process[Recruitment].ycs_values{2017} process[Recruitment].ycs_values{2018} process[Recruitment].ycs_values{2019} process[Recruitment].ycs_values{2020} process[Recruitment].ycs_values{2021} selectivity[maturity].a50 selectivity[maturity].ato95 selectivity[FishingSel_1_male].a50 selectivity[FishingSel_1_male].ato95 selectivity[FishingSel_1_male].alpha selectivity[FishingSel_2_female].a50 selectivity[FishingSel_2_female].ato95 selectivity[FishingSel_2_male].alpha selectivity[TrawlSurveySel_1_female].a50 selectivity[TrawlSurveySel_1_female].ato95 selectivity[TrawlSurveySel_1_male].alpha selectivity[TrawlSurveySel_2_female].a50 selectivity[TrawlSurveySel_2_female].ato95 selectivity[TrawlSurveySel_2_male].alpha growth_increment[male_growth].g_alpha growth_increment[male_growth].g_beta growth_increment[female_growth].g_alpha growth_increment[female_growth].g_beta 
2107.57 4.59666 0.260612 0.281342 0.350036 0.529439 3.14872 0.609627 0.594004 0.503654 0.315394 0.381732 0.398958 0.374132 0.499858 0.374255 0.501991 0.538242 0.598002 0.364319 0.602926 0.463575 0.494219 0.553456 0.996902 0.532904 0.884133 0.926237 0.50437 0.647133 0.452715 0.62466 0.582546 0.557937 0.941119 1.43303 0.388992 0.4781 0.549858 30.1166 7.09305 44.2195 16.5275 0.854239 45.7797 20.1815 0.506478 31.004 21.7416 1.12748 37.2238 17.1871 1.08665 13.8385 2.74853 13.4264 0.803576 
covariance_matrix:
5041.85 1.65445 1.37925 0.659319 0.44668 0.266165 0.225422 -4.38261 -0.766867 -1.36405 -0.678356 -0.958025 -0.500612 -0.640638 -0.55878 -0.386429 -0.586019 -0.168765 0.120096 -0.286125 0.128444 -0.140562 0.0288347 0.127279 0.695858 -0.190221 0.0767264 0.326165 -0.41541 0.445861 -0.159971 0.603328 -0.241859 0.315139 1.61218 1.88711 -0.124006 -0.99172 1.75397 -0.0547681 -0.0768622 -0.25932 1.90388 0.0680365 -0.943902 1.50374 0.00489229 -16.3742 -4.27076 0.244886 -6.10474 -1.63099 0.214102 -3.47053 -5.53378 -3.58581 -6.16904 
1.65445 0.0193133 -0.000216444 0.00024419 -2.555e-05 -0.00459066 0.016154 -0.000270876 -0.00218835 -0.000749993 3.77338e-05 -0.00135028 0.000111887 0.000147659 0.00010196 -0.000622045 0.000297515 0.000517315 0.000976069 0.000155779 0.000116897 0.00059296 -4.74885e-05 0.000666327 0.00203233 0.00108697 -0.00055068 0.00326896 -0.00299851 0.00197712 -0.000161177 -3.92146e-05 -5.62624e-05 0.000718327 -0.000308887 0.00477506 -0.00107756 -0.00130941 0.00223489 8.90794e-05 -5.61611e-05 0.076852 0.0504006 -1.60787e-05 0.114355 0.0687625 -0.000116435 0.0391377 0.232644 -0.000421478 0.0468824 0.0702965 0.000340936 0.00137913 -0.0253717 0.00677059 -0.0298729 
1.37925 -0.000216444 0.0107999 -0.0020225 -0.00181859 -0.000812089 0.00574468 0.00144329 0.000627879 0.000843944 0.000525864 0.00070632 0.000423149 0.000835954 0.000792347 0.00074818 0.000833483 0.00164182 0.000898573 0.0016506 0.000907311 0.00123546 0.000980404 0.00114371 0.00182483 0.00165989 0.00141783 0.0013402 0.00154124 0.00122058 0.00186027 0.000889481 0.00107536 0.000749416 0.0017516 0.00112695 0.00047542 0.000856546 -0.00197869 -9.57386e-05 1.4822e-05 -0.00685959 -0.00221483 -9.88415e-06 -0.00703447 -0.000499743 8.98105e-07 -0.0109134 -0.0361668 -6.43974e-05 -0.00336866 -0.00275181 0.000150998 -0.000175126 -0.000888904 -0.000614072 -0.00116548 
0.659319 0.00024419 -0.0020225 0.0122737 -0.00270458 -0.00317951 0.00730429 -0.00120683 0.000682629 0.00028397 0.000145342 0.000883326 0.000379935 0.000711139 0.000761214 0.000701408 0.000607383 0.00154487 0.000552234 0.000496902 0.000845457 0.000830308 0.000788233 0.00090232 0.00187701 0.000533915 0.0017758 0.00150595 -0.000358243 0.00263502 0.000259303 0.00131538 0.000411611 -3.82357e-05 0.00269724 0.000721404 -0.00038442 -0.00118192 0.00251391 0.000111944 -0.000136989 0.00132852 -0.000662632 -1.57499e-05 0.00384532 0.00245741 1.58396e-05 -0.0232246 -0.0185246 0.000207775 -0.00155389 0.0019903 0.000534883 -0.00159244 -0.0013827 -0.00154326 -0.00123403 
0.44668 -2.555e-05 -0.00181859 -0.00270458 0.0192551 -0.0079126 0.00743953 0.00108596 0.00133863 0.000986696 0.000650542 0.000989706 0.000989196 0.00100897 0.00102467 0.00117654 0.000942678 0.00212679 0.00111748 0.00116536 0.00121167 0.00134405 0.00111756 0.00151239 0.00249642 0.00167951 0.002027 0.00245146 0.000694075 0.00111527 0.000249095 0.00725001 -0.0038814 0.00283011 0.00277639 0.00212919 0.00065462 -0.00221532 0.00199675 -0.000118307 7.13017e-05 0.000548621 0.000471445 -1.52116e-05 -0.00099282 6.78762e-05 5.81491e-06 -0.00429508 -0.0180522 0.000388672 -0.00242276 0.00393176 0.00028641 -0.00169082 -0.00111597 -0.00184825 -0.00108988 
0.266165 -0.00459066 -0.000812089 -0.00317951 -0.0079126 0.0414907 -0.0127518 0.000710985 0.0039676 0.001335 0.00118281 0.00180526 0.00137603 0.00120948 0.00164237 0.00177667 0.00174267 0.00206014 0.00219318 0.0014409 0.0029534 0.001485 0.00192602 0.00208018 0.00321518 0.00196008 0.00431397 0.0028864 0.00232059 0.00353584 0.00303908 -0.00873742 0.0120103 -0.000505163 0.00448901 0.00341266 0.00161396 0.00102398 -0.00209753 -0.000147684 0.000120263 -0.00225683 -0.0088619 -3.88045e-05 -0.0165608 -0.0190393 8.57983e-05 0.0187082 -0.0603483 -0.000196569 0.00321522 -0.026484 -0.000111228 -0.0092338 0.00279363 -0.00822065 0.00464464 
0.225422 0.016154 0.00574468 0.00730429 0.00743953 -0.0127518 0.198424 -0.0287331 0.0232977 0.0133009 0.0090539 0.0112942 0.0129202 0.0118232 0.0169738 0.0105353 0.0185678 0.0158802 0.0217694 0.00858366 0.0220458 0.0126055 0.0167862 0.0182562 0.0342481 0.0165436 0.0291938 0.0318262 0.0143344 0.0190007 0.0127472 0.0322031 0.00642946 0.0208093 0.0286326 0.0493845 0.00628741 -0.0038258 0.00119931 0.000219112 -3.0147e-05 0.0527727 0.0056912 -0.000199271 0.100015 0.0287893 -0.000230743 0.00115885 0.139948 -0.000999162 0.0596223 0.0500964 -0.000609782 -0.0136009 -0.0256638 -0.0065888 -0.0284964 
-4.38261 -0.000270876 0.00144329 -0.00120683 0.00108596 0.000710985 -0.0287331 0.046752 -0.00986159 0.00377257 0.000399741 0.00187855 -9.79879e-06 0.00144734 0.00117227 0.000686375 0.00121993 0.00123956 0.00116791 0.000163238 0.00109222 0.000668469 0.000900506 -6.18625e-05 -5.01549e-05 0.00218944 0.00125795 0.00131779 -0.000849946 0.00534367 -0.000833147 -0.00335848 0.00652618 -0.00249252 0.000709164 0.00271793 0.000159067 -0.00154015 0.00185176 -0.000343929 0.000287342 -0.00454922 0.0110638 -8.141e-06 -0.00780222 0.0228733 0.000134182 -0.00444718 0.201597 -0.000222378 -0.0226352 0.000663728 0.000399491 0.0187885 0.00838548 0.0180252 0.00704363 
-0.766867 -0.00218835 0.000627879 0.000682629 0.00133863 0.0039676 0.0232977 -0.00986159 0.0140715 0.00150626 0.0017295 0.00187776 0.00215281 0.00211418 0.00285395 0.00228599 0.00219458 0.00343182 0.00265654 0.00321462 0.00276761 0.0029702 0.00252259 0.00307905 0.0054788 0.00256872 0.0051685 0.00452833 0.0030292 0.00318 0.00244483 0.00494572 0.00194481 0.00344071 0.00499572 0.0069979 0.0030894 -0.000590487 0.000496493 0.000220925 -0.000167539 -0.00144832 -0.00289232 5.46048e-05 0.0106013 0.00340508 4.73967e-08 0.0407875 -0.0589366 -0.000235112 0.0091701 0.00563691 6.63802e-05 -0.00274833 0.00210322 -0.00202472 0.00291893 
-1.36405 -0.000749993 0.000843944 0.00028397 0.000986696 0.001335 0.0133009 0.00377257 0.00150626 0.00669868 0.000817295 0.00135383 0.00149575 0.00181212 0.0024106 0.00154753 0.002285 0.00213483 0.00259598 0.0016659 0.00267915 0.00161511 0.00232367 0.00216096 0.00405591 0.00249118 0.00381496 0.00398772 0.00202363 0.00295277 0.00170633 0.0029684 0.00248851 0.00215892 0.00392501 0.0065285 0.00175748 -0.000103062 -0.000406224 -0.000288791 0.000188777 -0.00174576 -0.00344558 -7.31553e-05 -7.31313e-05 0.000211988 -1.5189e-05 0.0102469 0.010444 -0.000207658 -0.00122926 -0.00101554 -0.000102284 0.00230074 0.00227824 0.00184216 0.00224923 
-0.678356 3.77338e-05 0.000525864 0.000145342 0.000650542 0.00118281 0.0090539 0.000399741 0.0017295 0.000817295 0.0035874 0.000322114 0.000826504 0.000890748 0.00118082 0.00105603 0.00117412 0.00136024 0.0012564 0.00134704 0.00130609 0.00112633 0.00121959 0.001284 0.00227573 0.00150154 0.00218794 0.0021949 0.00119105 0.00205445 0.000767655 0.00181984 0.001359 0.00119329 0.00248511 0.00338904 0.00117507 -0.00045771 0.000531564 -5.72708e-05 0.000102734 0.00208637 0.00137135 3.53034e-05 0.00452014 0.00215876 1.66634e-05 0.0121646 -0.0211666 -8.85538e-05 0.0029756 0.00390766 -1.05089e-05 0.000605932 0.000506605 0.000949983 0.000366967 
-0.958025 -0.00135028 0.00070632 0.000883326 0.000989706 0.00180526 0.0112942 0.00187855 0.00187776 0.00135383 0.000322114 0.0053688 0.000407618 0.000944272 0.00183622 0.00112906 0.00222115 0.00175749 0.00217105 0.000726647 0.00233216 0.00159343 0.00179494 0.00184329 0.00328114 0.00155316 0.00363729 0.00311128 0.00174408 0.00160814 0.00201383 0.00231516 0.00205652 0.00197253 0.0028311 0.0052318 0.000676093 0.000329626 -0.00142074 0.000203258 -0.000165252 -0.00503437 -0.00634971 -5.95874e-05 -0.000382829 0.000608819 -3.63612e-06 -0.0103768 -0.0028549 -0.000124951 -0.00266605 -0.00692873 -1.23416e-05 0.000148058 0.00224351 9.36385e-05 0.00267134 
-0.500612 0.000111887 0.000423149 0.000379935 0.000989196 0.00137603 0.0129202 -9.79879e-06 0.00215281 0.00149575 0.000826504 0.000407618 0.00461019 0.000392994 0.000993443 0.00120133 0.00177645 0.00183588 0.00178467 0.000917375 0.00210907 0.001255 0.00178289 0.00173626 0.00323505 0.00162885 0.00270328 0.00294273 0.00158779 0.00287943 0.000786456 0.00207757 0.00192949 0.00149644 0.00357473 0.00430372 0.00130379 -0.000790568 0.00108876 -2.80463e-05 1.1359e-05 0.00126011 -0.000722616 -4.18518e-05 0.0073803 -0.000381416 -3.75061e-05 0.00486337 0.00246006 -4.03154e-06 0.00391723 0.000165481 6.20572e-05 -0.000938995 -0.000159247 -0.000527404 -0.000159684 
-0.640638 0.000147659 0.000835954 0.000711139 0.00100897 0.00120948 0.0118232 0.00144734 0.00211418 0.00181212 0.000890748 0.000944272 0.000392994 0.00424421 0.000601194 0.00101862 0.00178445 0.0017937 0.00184514 0.00123013 0.00187701 0.00136917 0.00175147 0.00178684 0.00327959 0.0016695 0.00316425 0.00319535 0.00117371 0.00183838 0.00157584 0.00214168 0.00185819 0.00177053 0.00278998 0.00444822 0.000640956 -1.07429e-05 -0.000678042 -0.000260783 0.000163657 0.00422653 0.00129963 -5.37833e-05 0.00619003 0.000677179 -2.27075e-05 0.00556798 0.00895367 -0.000142459 0.00260164 0.00172234 3.27504e-05 -0.000336757 -7.54953e-05 -6.68898e-06 -0.000102426 
