*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 growth_increment[female_growth].min_sigma process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} process[Recruitment].ycs_values{2015} process[Recruitment].ycs_values{2016} process[Recruitment].ycs_values{2017} process[Recruitment].ycs_values{2018} process[Recruitment].ycs_values{2019} process[Recruitment].ycs_values{2020} process[Recruitment].ycs_values{2021} selectivity[maturity].a50 selectivity[maturity].ato95 selectivity[FishingSel_1_male].a50 selectivity[FishingSel_1_male].ato95 selectivity[FishingSel_1_male].alpha selectivity[FishingSel_2_female].a50 selectivity[FishingSel_2_female].ato95 selectivity[FishingSel_2_male].alpha selectivity[TrawlSurveySel_1_female].a50 selectivity[TrawlSurveySel_1_female].ato95 selectivity[TrawlSurveySel_1_male].alpha selectivity[TrawlSurveySel_2_female].a50 selectivity[TrawlSurveySel_2_female].ato95 selectivity[TrawlSurveySel_2_male].alpha growth_increment[male_growth].g_alpha growth_increment[male_growth].g_beta growth_increment[female_growth].g_alpha growth_increment[female_growth].g_beta 
2105.51 4.51885 0.261042 0.281884 0.353648 0.549444 3.07993 0.615977 0.600201 0.506279 0.31465 0.38549 0.396781 0.372691 0.498903 0.375299 0.499394 0.53521 0.593339 0.365624 0.599139 0.464229 0.493889 0.551246 0.987446 0.530798 0.885373 0.913117 0.51161 0.642861 0.449854 0.627611 0.581539 0.555542 0.938753 1.41707 0.393394 0.478997 0.54982 30.1166 7.09305 43.9218 16.3695 0.855181 45.4296 20.0232 0.506615 30.6936 20.7703 1.12876 36.9843 16.9428 1.08687 13.8569 2.8468 13.4224 0.925078 
covariance_matrix:
4952.57 1.5599 1.27383 1.08688 0.998864 0.231439 0.63714 -3.02523 -1.00745 -1.11061 -0.631649 -0.915512 -0.370441 -0.642011 -0.397685 -0.345685 -0.453482 0.0827629 0.224766 -0.0505014 0.41933 -0.184047 0.153297 0.252684 0.796053 -0.0281347 0.335781 0.453553 0.175884 -0.0173347 0.493219 0.110264 0.393671 0.575407 1.48721 2.22338 0.234825 -0.18283 -0.046351 0.0268647 -0.128174 -2.26926 1.59571 0.141435 -0.952263 2.44235 0.0410344 -15.1623 -5.51176 0.120083 -3.70934 -2.95167 0.125799 -3.12231 -5.44246 -3.61029 -6.02316 
1.5599 0.0192352 -0.000373596 0.000831891 -3.44476e-06 -0.00535514 0.0149451 -0.000126429 -0.0017965 -0.000952992 0.000205793 -0.00148638 9.19801e-06 0.000287164 -0.000235936 -0.000319405 0.000156875 0.000414225 0.00112482 -0.000239766 0.000929277 9.11804e-05 1.14996e-05 0.000541976 0.00217195 0.000177702 -0.000107028 0.00290035 -0.00184397 0.000850231 0.000686399 -0.000572014 -0.000132448 0.000846438 -0.000534248 0.00452187 -0.000626466 -0.00109068 -0.000516296 1.45829e-05 -1.89657e-05 0.0658169 0.0438503 -6.92586e-05 0.105356 0.0658405 -0.000162171 0.0297803 0.205233 -0.000308687 0.0483886 0.0615913 -6.55068e-05 0.00252087 -0.0242673 0.00693525 -0.0293339 
1.27383 -0.000373596 0.0113814 -0.00205121 -0.00179963 0.000146514 0.00480395 0.00100937 0.00144606 0.000218625 0.000518034 0.000826497 0.000257982 0.000895061 0.000493366 0.000980937 0.000577659 0.00143474 0.000923242 0.00128938 0.000918043 0.00110122 0.000895358 0.00121611 0.00144523 0.00131264 0.00154828 0.00102621 0.00140865 0.00134483 0.00114775 0.00126537 0.000598697 0.000459984 0.00182602 0.000944146 0.000485792 -0.0001258 -0.000416597 0.000261822 -0.000240254 -0.00663164 -0.0025702 0.000108247 -0.00717488 -0.00101597 9.18632e-05 -0.0098758 -0.0339593 3.74075e-06 -0.00372559 -0.00115797 4.08889e-06 -1.35011e-05 -0.000996205 -0.00118991 -0.00105528 
1.08688 0.000831891 -0.00205121 0.013157 -0.00252123 -0.00320971 0.00744447 0.000344627 0.000385166 0.000748505 0.000171003 0.000808617 0.000556024 0.000649341 0.00109673 0.000507839 0.000971089 0.00130762 0.0010542 0.000802822 0.00111246 0.00103916 0.000787996 0.00107429 0.00206368 0.000960122 0.00178004 0.00191842 0.00103091 0.00153448 0.00103863 0.000888877 0.000821989 0.000990925 0.00216085 0.00134862 0.000498384 -0.00014996 -0.00022362 5.15633e-05 -6.61211e-05 -0.00072812 6.37142e-05 -1.73404e-05 0.00847152 0.0072481 -2.72971e-05 -0.0119471 -0.00841132 9.53526e-05 0.00363963 0.00153503 0.000284611 -0.00118565 -0.00238654 -0.00124444 -0.00274075 
0.998864 -3.44476e-06 -0.00179963 -0.00252123 0.0214221 -0.0112953 0.010514 0.000624406 0.00127996 0.00133815 0.000559814 0.00108848 0.000991847 0.00101718 0.00136718 0.00100801 0.00109467 0.00229158 0.00128058 0.00151835 0.00135563 0.00155647 0.00133635 0.00155561 0.00289836 0.0020161 0.002172 0.00298764 0.00128814 0.00213082 0.00115585 0.00131208 0.00156535 0.00186407 0.00279051 0.00246196 0.00115629 -0.000205546 -0.000322728 -0.000205011 0.000104884 -0.000927418 0.00275695 -6.67346e-05 -0.00627593 -0.00040933 -2.69468e-05 -0.00785065 -0.0163046 0.000327697 -0.00446222 -0.000525495 7.0257e-05 -0.000705156 -0.00120633 -0.00128854 -0.00121035 
0.231439 -0.00535514 0.000146514 -0.00320971 -0.0112953 0.0471126 -0.0172701 0.00389299 0.00256803 0.00158935 0.00102254 0.00213341 0.00140471 0.00139618 0.00186998 0.00163335 0.00199517 0.0021425 0.00199008 0.00150277 0.00261205 0.00167285 0.00224702 0.00214886 0.00349773 0.00202138 0.00415003 0.00270901 0.00227393 0.00182943 0.00130728 0.00328949 0.00204476 0.00238885 0.00483769 0.0035953 0.00096886 -0.000671713 0.000514146 -0.000575761 0.000366029 -0.000954224 -0.00882423 -8.73063e-05 -0.00871901 -0.020807 2.01842e-06 0.0083366 -0.0656894 -0.000155578 0.00233609 -0.0193631 0.000197678 -0.0108636 0.002973 -0.0096048 0.00536239 
0.63714 0.0149451 0.00480395 0.00744447 0.010514 -0.0172701 0.194709 -0.029302 0.024118 0.0129182 0.00903345 0.0105469 0.0134514 0.0107066 0.0165945 0.011093 0.0172486 0.0164365 0.021076 0.00854641 0.0219813 0.0127681 0.0161358 0.0180598 0.033073 0.0165492 0.0288261 0.0313196 0.0138992 0.0215215 0.0134575 0.0192852 0.0184262 0.0166551 0.0282018 0.0478509 0.00810427 -0.000855373 -0.00239097 0.00114061 -0.000717655 0.0479679 0.00608388 -8.00466e-05 0.0791377 0.0270818 -4.25569e-05 0.00245871 0.108276 -0.00101401 0.054022 0.0401802 -0.000451256 -0.0110015 -0.0231476 -0.00501463 -0.0260267 
-3.02523 -0.000126429 0.00100937 0.000344627 0.000624406 0.00389299 -0.029302 0.0504116 -0.011233 0.0046767 0.000301759 0.00165138 0.00125948 0.000925221 0.00206858 0.00076071 0.00147096 0.00192957 0.00200023 0.000594827 0.00169527 0.00189514 0.00107548 0.000898841 0.000840622 0.00349565 0.00121788 0.00249123 0.00150031 0.00281479 -0.000269099 0.00256143 0.00216731 0.00170267 -5.54569e-06 0.00538174 0.00121428 -0.000458092 -0.000907963 3.0567e-05 -0.000113418 -0.000532666 0.0142359 -2.74088e-05 0.016424 0.0349807 3.5729e-05 0.0193833 0.231699 -0.00066169 -0.00645013 0.0126414 0.000190603 0.0164507 0.0059739 0.0153099 0.00455585 
