*mpd[__mpd__]
estimate_values:
process[Recruit_BH].b0 growth_increment[female_growth].min_sigma process[Recruit_BH].ycs_values{1985} process[Recruit_BH].ycs_values{1986} process[Recruit_BH].ycs_values{1987} process[Recruit_BH].ycs_values{1988} process[Recruit_BH].ycs_values{1989} process[Recruit_BH].ycs_values{1990} process[Recruit_BH].ycs_values{1991} process[Recruit_BH].ycs_values{1992} process[Recruit_BH].ycs_values{1993} process[Recruit_BH].ycs_values{1994} process[Recruit_BH].ycs_values{1995} process[Recruit_BH].ycs_values{1996} process[Recruit_BH].ycs_values{1997} process[Recruit_BH].ycs_values{1998} process[Recruit_BH].ycs_values{1999} process[Recruit_BH].ycs_values{2000} process[Recruit_BH].ycs_values{2001} process[Recruit_BH].ycs_values{2002} process[Recruit_BH].ycs_values{2003} process[Recruit_BH].ycs_values{2004} process[Recruit_BH].ycs_values{2005} process[Recruit_BH].ycs_values{2006} process[Recruit_BH].ycs_values{2007} process[Recruit_BH].ycs_values{2008} process[Recruit_BH].ycs_values{2009} process[Recruit_BH].ycs_values{2010} process[Recruit_BH].ycs_values{2011} process[Recruit_BH].ycs_values{2012} process[Recruit_BH].ycs_values{2013} process[Recruit_BH].ycs_values{2014} process[Recruit_BH].ycs_values{2015} process[Recruit_BH].ycs_values{2016} process[Recruit_BH].ycs_values{2017} process[Recruit_BH].ycs_values{2018} process[Recruit_BH].ycs_values{2019} process[Recruit_BH].ycs_values{2020} process[Recruit_BH].ycs_values{2021} selectivity[maturity].a50 selectivity[maturity].ato95 selectivity[FishingSel_1_male].a50 selectivity[FishingSel_1_male].ato95 selectivity[FishingSel_1_male].alpha selectivity[FishingSel_2_female].a50 selectivity[FishingSel_2_female].ato95 selectivity[FishingSel_2_male].alpha selectivity[TrawlSurveySel_1_female].a50 selectivity[TrawlSurveySel_1_female].ato95 selectivity[TrawlSurveySel_1_male].alpha selectivity[TrawlSurveySel_2_female].a50 selectivity[TrawlSurveySel_2_female].ato95 selectivity[TrawlSurveySel_2_male].alpha growth_increment[male_growth].g_alpha growth_increment[male_growth].g_beta growth_increment[female_growth].g_alpha growth_increment[female_growth].g_beta 
2105.51 4.51884 0.261033 0.281881 0.353653 0.549472 3.07992 0.615958 0.600207 0.506277 0.314646 0.385494 0.396775 0.372693 0.498902 0.375296 0.499391 0.53521 0.593337 0.365622 0.599144 0.464225 0.493891 0.551245 0.987451 0.53079 0.885373 0.913114 0.511603 0.642873 0.449837 0.627626 0.581531 0.555544 0.938755 1.41706 0.393404 0.478977 0.549888 30.1166 7.09305 43.9218 16.3696 0.855182 45.4297 20.0232 0.506614 30.6937 20.7706 1.12877 36.9843 16.9428 1.08687 13.8569 2.8468 13.4224 0.925075 
covariance_matrix:
4780.1 1.53679 1.53382 0.949948 0.572056 0.366607 0.268385 -2.70736 -1.02899 -1.22171 -0.514482 -1.01837 -0.30205 -0.641487 -0.451083 -0.270031 -0.401521 0.00335867 0.233692 -0.0703214 0.206682 -0.100136 0.0520639 0.261722 0.676115 0.0351673 0.334437 0.466694 -0.047908 -0.166549 0.553951 0.879644 -0.512221 0.661033 1.55388 2.25983 -0.0692919 -0.415937 -0.538475 -0.0387038 -0.092499 -2.68359 -0.0469782 0.113153 -3.50179 0.591907 0.0388725 -17.1092 -12.4096 -0.0100534 -5.58406 -3.90935 0.259108 -3.17692 -5.26412 -3.68265 -5.83862 
1.53679 0.0185074 -0.000803357 0.00047024 5.30986e-05 -0.00450389 0.0148323 1.65478e-05 -0.00207074 -0.000676196 0.000230804 -0.00173517 0.000469638 -4.96598e-05 6.62512e-05 -0.000386937 0.000159315 0.000593641 0.000996524 5.74937e-06 0.00044526 0.000578895 -8.81268e-05 0.000691613 0.00211298 0.000689607 -0.000380707 0.00320154 -0.00273387 0.00158705 0.000258503 -1.3916e-05 -0.000228816 0.00108619 -0.000707778 0.00498127 -0.000757391 -0.00116163 0.000374264 3.60312e-06 1.24131e-05 0.0679795 0.0453552 -5.09418e-05 0.108107 0.0664344 -0.000152998 0.0350367 0.20896 -0.000489631 0.0478438 0.0650752 0.000280414 0.00175156 -0.0236433 0.00653072 -0.0281958 
1.53382 -0.000803357 0.0107676 -0.00195627 -0.00111779 0.000480319 0.00549331 0.000902159 0.00136266 0.000619487 0.000366537 0.000963092 0.000405384 0.000771359 0.000827538 0.000854852 0.000573761 0.00170482 0.000918671 0.00149684 0.00106187 0.00128732 0.00109636 0.00134787 0.0017856 0.00150988 0.00154566 0.00131386 0.00129485 0.00199002 0.000857753 0.000588189 0.00189401 0.000675361 0.00168944 0.00129855 0.00106348 0.000538786 0.000107129 0.000381922 -0.000294455 -0.00427697 0.00145988 0.000168454 -0.00149916 0.00227078 0.000104006 -0.00334693 -0.0188498 0.000120554 -0.00185226 0.00240771 2.52864e-06 -0.000233782 -0.000831011 -0.00114196 -0.000570768 
0.949948 0.00047024 -0.00195627 0.0120195 -0.0023649 -0.0022491 0.00749647 -0.00140919 0.00114987 0.000418572 0.000230586 0.000813056 0.000502358 0.000669332 0.00100818 0.000576235 0.000969485 0.00126249 0.000910174 0.00076123 0.000637276 0.00110984 0.00074295 0.00104587 0.00204064 0.00102803 0.00174125 0.00220389 -0.00166223 0.00430196 -0.000395039 0.00166525 0.000302914 0.000528294 0.00263837 0.000857775 0.000248973 -0.000717694 0.000981609 -1.93122e-05 -1.95119e-05 -0.000338974 -0.000253923 -3.87687e-05 0.00496516 0.00406144 -2.3899e-05 -0.0190699 -0.0138818 5.51192e-05 -0.00426602 0.00256225 0.000518452 -0.000994335 -0.00173937 -0.000888473 -0.00189391 
0.572056 5.30986e-05 -0.00111779 -0.0023649 0.0189452 -0.00879562 0.00621508 0.00331345 0.000323339 0.00110673 0.000649066 0.000899488 0.0010128 0.00101726 0.00112653 0.00104962 0.00111368 0.0019764 0.00117638 0.00125968 0.00102444 0.00139722 0.00111799 0.00144791 0.0024882 0.00173365 0.00204557 0.00238892 0.00217706 -0.000795494 0.00130716 0.00709242 -0.00437614 0.00329395 0.00254729 0.00230683 0.000394503 -0.00315521 0.00234863 -0.000351559 0.00018082 -0.000965395 -0.00100765 -0.000145002 -0.00350078 -0.00205053 -7.35614e-05 -0.0101861 -0.0260781 0.000111997 -0.00292112 0.00136429 0.000171191 -0.00154784 -0.0012351 -0.00225297 -0.00128067 
0.366607 -0.00450389 0.000480319 -0.0022491 -0.00879562 0.0404597 -0.0102083 0.00297685 0.00332476 0.00191647 0.00129923 0.00230785 0.00142603 0.00167341 0.00205798 0.00188914 0.00232915 0.00234571 0.0025936 0.00180808 0.00336516 0.00186291 0.00245688 0.00236296 0.00386296 0.00251492 0.00478922 0.00345503 0.00385182 0.00245142 0.00372658 -0.0057742 0.0101549 0.00059151 0.00511298 0.00467644 0.00145562 0.00545936 -0.0113081 -0.000363422 0.00018844 -0.00452212 -0.0101786 -5.09088e-05 -0.023292 -0.0220049 7.80121e-05 0.0074455 -0.0736879 -0.000238832 0.000934114 -0.0319394 0.000159333 -0.00896693 0.00260173 -0.00799115 0.00440692 
0.268385 0.0148323 0.00549331 0.00749647 0.00621508 -0.0102083 0.185183 -0.0250095 0.0222276 0.0127408 0.00861369 0.0108129 0.0130248 0.0107907 0.0162391 0.0108419 0.017118 0.0160523 0.0206184 0.00791353 0.0219206 0.0118195 0.0162693 0.0177111 0.032757 0.0155315 0.0286363 0.0300529 0.0145575 0.0174159 0.0119029 0.0320897 0.00649535 0.0198823 0.0276625 0.0469233 0.00761608 -0.00783466 0.00804005 0.00124432 -0.000828237 0.0517305 0.00545706 -0.000143616 0.0993963 0.0308813 -0.000148635 -0.00382854 0.119971 -0.000926169 0.0596677 0.0532487 -0.000603714 -0.0125139 -0.0234605 -0.00649333 -0.0262893 
-2.70736 1.65478e-05 0.000902159 -0.00140919 0.00331345 0.00297685 -0.0250095 0.0440766 -0.00800818 0.0037948 0.000328627 0.00238368 0.000383185 0.00158986 0.0017661 0.000997201 0.00145778 0.0019294 0.00213477 0.000451155 0.00192107 0.00161223 0.00143407 0.000824664 0.00169202 0.0029567 0.00185276 0.00332625 -0.00321486 0.0100535 -0.00272578 -0.00183798 0.00680874 -0.000596269 0.00161087 0.00382079 0.00214067 0.00132545 -0.0016704 -0.000104351 -3.25064e-06 -0.00241579 0.0169906 -9.72483e-06 0.00319124 0.0290272 7.08653e-05 0.00486159 0.22954 -8.64664e-05 -0.0233712 0.00816576 -0.000118509 0.018802 0.00643386 0.0175574 0.00483066 
