* MPD
estimate_values:
process[Recruitment].b0 selectivity[MaturationSel_male].v{1} selectivity[MaturationSel_male].v{2} selectivity[MaturationSel_male].v{3} selectivity[MaturationSel_male].v{4} selectivity[MaturationSel_female].v{1} selectivity[MaturationSel_female].v{2} selectivity[MaturationSel_female].v{3} selectivity[MaturationSel_female].v{4} process[Recruitment].ycs_values{1958} process[Recruitment].ycs_values{1959} process[Recruitment].ycs_values{1960} process[Recruitment].ycs_values{1961} process[Recruitment].ycs_values{1962} process[Recruitment].ycs_values{1963} process[Recruitment].ycs_values{1964} process[Recruitment].ycs_values{1965} process[Recruitment].ycs_values{1966} process[Recruitment].ycs_values{1967} process[Recruitment].ycs_values{1968} process[Recruitment].ycs_values{1969} process[Recruitment].ycs_values{1970} process[Recruitment].ycs_values{1971} process[Recruitment].ycs_values{1972} process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Instantaneous_Mortality].m{male.nonspawn} process[Instantaneous_Mortality].m{female.nonspawn} observation[TangaroaAcousticMature].process_error observation[TangaroaAcousticImmature].process_error 
314528 0.0855841 0.729928 0.512671 0.331184 0.0190747 0.51254 0.941203 0.999 0.255898 0.260995 0.267025 0.274312 0.283173 0.294103 0.308799 0.824677 0.531625 0.370703 0.266765 0.138528 0.0802537 0.158215 0.106305 0.0575723 0.0607929 0.127247 0.0505653 0.0395934 0.0499645 0.375867 0.368154 0.0940201 0.0328013 0.136472 0.130805 0.112561 0.286164 0.127934 0.437718 0.035898 0.256495 2.75116 0.558714 0.2639 0.126748 0.560017 0.36192 0.144856 0.320595 0.192791 0.298743 0.705181 0.417688 0.254272 0.252377 0.324954 1.69567 0.686601 0.200672 1.20373 0.16935 0.875691 0.132659 0.151183 0.160327 0.0001 0.0001 
covariance_matrix:
2.51818e+08 32.6127 128.753 94.3562 770.924 7.65787 88.9048 115.319 -4.44363e-05 534.644 295.823 249.853 116.665 29.5035 -237.905 -793.622 -3198.05 -903.964 -549.311 -342.702 -145.557 -79.3354 -143.554 -93.5672 -35.433 -38.6052 -52.8546 -19.8712 -0.877959 -13.0168 -43.9695 -19.2402 -6.23465 0.0978938 20.3534 19.9574 22.499 67.5727 24.9361 70.5844 3.85784 19.1989 76.0263 58.3192 36.8006 -17.1939 -24.7061 27.6948 -5.81099 -2.57734 7.13696 37.2996 100.415 124.003 84.9555 100.708 170.575 1138.53 601.081 188.325 1454.26 256.446 1726.59 279.912 -142.517 -1.59194 1.03662e-08 6.86284e-08 
32.6127 0.000204435 0.000113576 4.341e-05 0.000274128 8.44573e-06 8.72257e-05 7.6984e-05 1.62733e-11 5.82418e-06 -0.000126488 -7.06253e-05 -0.000194992 -0.000167819 -0.000203828 -0.00048609 -0.000881547 -0.000189678 -0.000165383 -1.3337e-05 -1.23629e-05 -1.57395e-05 -1.71705e-05 -1.70214e-05 -2.93811e-06 2.74405e-06 5.87776e-06 3.32153e-06 2.90255e-06 2.654e-06 2.58832e-05 3.18007e-05 1.16678e-05 4.3083e-06 1.56508e-05 3.33811e-05 2.15645e-05 7.36686e-05 3.075e-05 6.94925e-05 1.75835e-06 2.47264e-06 -6.67192e-05 4.03318e-07 -3.01996e-06 -1.40592e-06 2.35454e-05 1.99141e-05 -4.36533e-06 3.70574e-05 1.75518e-05 2.42935e-05 2.22311e-05 1.68482e-05 1.4324e-05 3.06015e-05 2.14426e-06 -5.07918e-05 8.50438e-06 -1.89976e-06 -1.01413e-06 -3.66506e-06 -8.43809e-05 -3.28148e-05 -6.51728e-05 -3.53901e-06 -1.39379e-16 1.54045e-14 
128.753 0.000113576 0.00367664 -0.00404992 0.00424348 3.51591e-05 0.000977851 0.000728977 1.25783e-10 -0.000104024 -0.000533414 0.000269831 -0.000227233 -0.000583925 -0.000914398 -0.00179634 -0.00278244 -0.000964667 -0.000599086 -0.000185795 -3.71075e-05 -5.26474e-06 -3.92697e-06 -1.12978e-05 1.42662e-05 3.32865e-05 0.000103016 3.25967e-05 2.40083e-05 9.05516e-06 0.000198076 0.000290371 6.10258e-05 2.09818e-05 0.000105573 8.22536e-05 0.000136643 0.000435359 0.000154445 0.000145208 -9.6565e-06 5.65448e-06 -9.18444e-05 5.9815e-05 6.78484e-05 -4.63837e-06 0.000215874 0.000216671 0.000112825 -0.000102523 0.000251694 6.04107e-05 0.000611399 -2.61777e-05 0.000168852 -4.66158e-05 -8.2106e-05 0.000463372 -5.94808e-05 -0.000133038 -0.000650879 -0.000121846 -0.00137686 -0.000342957 -0.000254692 -3.00203e-05 -2.12686e-14 -1.47024e-13 
94.3562 4.341e-05 -0.00404992 0.034927 -0.0339767 -1.51182e-05 -0.000777529 -0.00286605 5.93139e-10 0.00206209 -0.00121093 0.00107151 -0.000361656 -0.00190367 0.00133449 -0.00445053 -0.00425158 -0.00103557 -0.000107129 -7.85951e-05 2.23085e-05 6.97748e-05 -6.20343e-05 4.52009e-05 2.83498e-05 -4.87077e-08 6.76028e-05 5.81569e-05 -1.13029e-05 2.47158e-05 0.000360227 0.000308326 0.000123148 2.06292e-05 9.64065e-05 0.000268703 0.000239896 0.000323003 2.34012e-05 0.000716422 7.98154e-05 0.000185109 0.000917295 0.000876975 0.000909904 0.000106036 -0.000223787 0.000693743 -7.07144e-05 0.000624442 -0.000194464 0.000521747 -0.000636764 0.000686126 3.6456e-05 0.000345354 0.000383689 -0.000504896 -0.000150474 0.000181315 0.000719862 0.000145136 0.000984086 0.0005309 -0.000304157 2.28919e-05 -1.28673e-13 -5.63789e-13 
770.924 0.000274128 0.00424348 -0.0339767 0.169522 5.39798e-05 0.00103519 0.00413606 8.00117e-10 0.00016264 0.00304297 0.000794874 -0.0058556 0.00306408 -0.00727436 0.00157011 -0.000264098 -0.00315576 -0.00082994 -0.000339975 -6.60567e-05 8.85407e-05 -0.000134821 2.34905e-05 -4.00668e-05 0.000177601 0.000166997 -4.27628e-05 5.0587e-05 3.35189e-05 0.000327906 0.000379259 0.000104948 -7.49206e-07 0.000135893 0.000411598 0.000138744 -0.000525552 0.00023737 0.000332461 3.08393e-05 -0.000148802 0.00129417 0.00040938 -0.000360272 0.000205409 0.00398528 -0.00100756 0.00070601 -0.00112473 0.00110405 -0.000491167 0.00219482 -0.000552089 0.000901797 0.000494102 0.00044773 0.000891292 0.002045 0.00118303 0.00879337 0.000840092 0.0053448 0.000603856 -0.000332362 0.000140701 5.4451e-14 1.42697e-13 
7.65787 8.44573e-06 3.51591e-05 -1.51182e-05 5.39798e-05 3.71843e-05 3.38218e-06 2.42705e-05 1.96587e-11 -3.32885e-05 1.82487e-05 1.62413e-05 1.42902e-05 -3.46777e-05 -2.11915e-05 -9.10998e-05 -0.000201113 -8.74868e-05 -2.56538e-05 1.36374e-05 2.39976e-06 -5.03875e-06 9.51793e-07 -1.7169e-07 2.52471e-06 -3.71296e-07 2.0117e-06 1.22227e-06 9.38724e-07 1.16149e-06 1.12116e-05 1.14051e-05 3.61907e-06 1.20219e-06 3.72319e-06 1.20967e-05 5.29985e-06 2.18089e-05 8.8906e-06 2.19102e-05 1.04586e-06 4.91992e-06 3.76203e-05 1.60612e-06 7.12004e-06 3.05024e-06 1.31618e-05 1.8658e-05 -8.99637e-06 1.72449e-05 2.47791e-06 1.05749e-05 2.82651e-06 1.36667e-05 7.72103e-06 1.16388e-05 6.77557e-06 1.55314e-05 1.69247e-05 9.17305e-06 2.01032e-05 2.07209e-06 5.55013e-06 -2.22433e-06 -1.37169e-05 9.60805e-07 -3.11168e-15 -1.42483e-14 
88.9048 8.72257e-05 0.000977851 -0.000777529 0.00103519 3.38218e-06 0.00186787 0.000579347 3.03596e-10 0.000366078 -0.000312196 1.17931e-05 -0.000860411 0.000174323 -0.000420887 -0.00093142 -0.00133841 -0.000607471 -0.000171209 -6.38936e-05 1.20365e-05 1.43276e-05 -3.42111e-06 1.90106e-05 1.64737e-05 3.01105e-05 6.44409e-05 2.1051e-05 1.57103e-05 2.22352e-06 0.000126998 0.000163574 3.25884e-05 6.83015e-06 5.17258e-05 5.98555e-05 7.60783e-05 0.000250049 0.000105182 0.000111114 4.73658e-07 2.47969e-05 0.000292957 8.38076e-05 6.55521e-05 3.96889e-06 0.000148235 0.000182167 8.95456e-05 -4.45076e-05 0.000134203 4.48137e-05 0.000426902 -7.80229e-06 0.000102914 -2.12099e-05 -1.31476e-05 0.000464849 0.000109677 -5.58697e-05 -0.000281162 -4.17058e-05 -0.000615005 -0.000162724 -0.000135202 1.00639e-05 -4.07184e-14 -1.25919e-13 
115.319 7.6984e-05 0.000728977 -0.00286605 0.00413606 2.42705e-05 0.000579347 0.00943054 1.50457e-10 0.000200564 0.000373668 0.000247596 0.000137192 0.000144733 0.000113712 -0.000308988 0.000676304 0.000172312 0.000110497 6.09895e-05 3.91704e-05 3.4829e-05 1.26166e-05 1.81889e-05 7.30511e-06 1.45018e-05 4.84221e-05 9.97877e-06 -1.11801e-05 -1.32108e-05 -2.96734e-05 -7.86563e-05 -2.43685e-05 -7.66804e-06 -7.1819e-05 -5.38932e-05 1.62451e-05 2.85163e-05 -6.88857e-05 -0.000103635 4.41738e-06 -2.14126e-05 -0.000558175 0.000275025 0.000385651 -3.72519e-05 -0.000397362 0.000334229 -7.68421e-05 -5.12988e-05 -0.000102231 0.000151546 -0.000256896 6.50641e-05 3.77197e-05 -2.93913e-05 1.89887e-05 5.44959e-06 -0.000298356 -3.24864e-05 -5.575e-05 -5.32122e-05 -0.000691615 3.37795e-06 6.04956e-05 -1.08621e-05 -2.7616e-15 -4.28796e-13 
