* MPD
estimate_values:
process[Recruitment].b0 catchability[chatTANq].q selectivity[chatTANSel].mu selectivity[chatTANSel].sigma_l selectivity[chatTANSel].sigma_r selectivity[eastFSel].mu selectivity[eastFSel].sigma_l selectivity[eastFSel].sigma_r selectivity[westFSel].mu selectivity[westFSel].sigma_l selectivity[westFSel].sigma_r process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} 
52583 0.0575073 9.51995 5.53388 10.8664 10.8129 3.50263 6.86989 6.44798 3.00327 7.88329 1.02472 1.04659 1.06325 1.07299 1.07458 1.06541 1.04328 1.01815 1.00286 0.426938 0.476757 0.520428 0.382199 0.527158 0.445186 0.674269 1.00397 0.761246 0.653432 0.592745 0.488618 0.321245 0.30342 0.221371 0.33299 0.219917 0.328752 0.925174 0.525767 0.434871 0.187221 0.307342 0.259688 0.23094 0.26021 3 3 
covariance_matrix:
2.95518e+07 -0.568904 -15.3237 -12.7805 -137.704 -190.987 75.4202 7.51346 -30.2471 33.5604 12.0649 -218.288 -257.989 -44.366 240.57 297.57 157.102 -70.9438 -165.066 -19.5239 4.08168 -11.1939 -7.35869 -13.1402 -40.0853 -38.0969 -63.859 -143.097 -82.2491 -70.4712 -26.2843 26.3736 39.1938 56.7028 44.4824 48.55 23.1995 26.9156 20.6861 -4.66846 11.9502 -6.65118 4.52551 13.6985 19.8802 17.3848 1.41669e-06 1.41663e-06 
-0.568904 5.83944e-05 -1.67151e-05 -1.69433e-05 -0.000132795 -9.66845e-05 -5.97786e-05 0.000154778 -2.50854e-05 3.37374e-05 4.30235e-05 -0.00021884 -0.000253929 -4.80395e-05 0.000225721 0.000286559 0.000154869 -6.31082e-05 -0.000154652 -6.42542e-07 1.12349e-05 -5.14327e-06 2.9348e-06 -5.25131e-06 -3.05397e-05 -2.70647e-05 -4.6174e-05 -0.000124492 -6.7118e-05 -6.90624e-05 -2.37267e-05 2.94612e-05 3.53224e-05 5.09943e-05 4.2354e-05 3.59079e-05 1.22166e-05 1.58577e-05 -1.78237e-05 -2.49295e-05 1.12841e-05 -8.60574e-06 2.91127e-06 1.3727e-05 2.14205e-05 1.79373e-05 1.71538e-12 1.71531e-12 
-15.3237 -1.67151e-05 0.476688 0.00025733 -0.00158762 0.00242012 0.00113556 -0.00468657 -0.00165674 0.000654489 -0.00872757 0.000934233 0.000440476 0.000323678 0.000384614 -0.000210213 -0.000320539 -0.000116896 0.0004053 -0.00104624 -0.000481808 -0.000152442 -0.000660984 -0.00064226 -0.000701903 -0.00108431 -0.00161461 -0.000414265 -0.00164986 -0.000612841 -0.000199382 -0.000437647 4.90626e-05 0.000267236 -3.96932e-06 0.00089881 0.000710045 0.000799001 0.00338991 0.00178473 -9.36726e-05 0.000494861 5.65975e-05 -0.000305133 -0.000481203 -0.000274034 -4.26373e-11 -4.26359e-11 
-12.7805 -1.69433e-05 0.00025733 0.728565 -0.00192033 0.0062806 -0.0025969 -0.00192809 -0.00207603 0.00087124 -0.0109614 0.00256716 0.000762933 -0.000272085 -2.76364e-05 -0.000403479 -0.000638401 -0.000364803 0.000785213 -0.000367529 -0.000435234 -1.38546e-05 -0.00058432 -0.0006281 -0.000639989 -0.00111609 -0.00161533 0.000111508 -0.00172128 -0.000734447 -0.000175389 -0.000532706 -9.03618e-05 0.000136766 -0.000110091 0.000800752 0.000617213 0.00073546 0.00344457 0.00182472 -0.00015604 0.000619941 2.49161e-05 -0.000424681 -0.00062278 -0.000368231 -4.99789e-11 -4.99773e-11 
-137.704 -0.000132795 -0.00158762 -0.00192033 6.71092 0.0209685 -0.0314472 0.0258639 -0.0138066 0.00974622 -0.0439021 -0.0283936 -0.0369091 -0.00668453 0.0354051 0.0423371 0.0221209 -0.00934367 -0.0197886 -0.00280826 0.000177449 -0.000512149 -0.00165015 -0.00335842 -0.00743584 -0.00907662 -0.0141811 -0.0185956 -0.0183165 -0.0147757 -0.00455302 0.00249607 0.00512857 0.00867299 0.00628306 0.00891707 0.00424608 0.00539866 0.0111217 0.00337235 0.00104289 0.00145998 0.00048802 0.00019107 0.000589799 0.00118336 5.82925e-11 5.82869e-11 
-190.987 -9.66845e-05 0.00242012 0.0062806 0.0209685 0.351126 0.204239 -0.205412 0.00839508 -0.0095258 0.0175948 0.0219142 0.0201053 0.00760249 -0.00649136 -0.0146013 -0.0131227 -0.00592325 -0.00160049 -0.0176399 -0.00833178 -0.00737924 -0.0107575 -0.00627389 -0.00532551 -0.0049334 -0.00854354 -0.0102286 -0.00183859 0.0110023 0.000513555 -0.00476819 0.00124638 0.000430519 -0.00179666 0.00779029 0.00961341 0.00859706 0.0337522 0.0195869 0.000428309 3.72916e-05 0.00166022 0.000770534 -0.00103417 -0.00077159 -3.16919e-10 -3.16903e-10 
75.4202 -5.97786e-05 0.00113556 -0.0025969 -0.0314472 0.204239 0.212396 0.159934 -0.0268368 0.0155941 -0.125691 0.0105619 0.002285 -0.00504438 -0.00698185 -0.00652457 0.000187446 0.00970316 0.0178947 0.00707091 0.00263647 0.00676984 0.00388956 -0.00020285 4.46556e-05 -0.00517175 -0.00592295 0.0162492 -0.0121261 -0.0139666 -0.00104949 -0.00218069 -0.00356511 -0.00132758 -0.00138894 -0.000869695 -0.0032487 -0.00136978 0.00394424 0.00130075 -0.00246623 0.00647049 -0.00139542 -0.00552751 -0.00621356 -0.00378896 -2.8723e-10 -2.87226e-10 
7.51346 0.000154778 -0.00468657 -0.00192809 0.0258639 -0.205412 0.159934 4.01821 0.0345386 -0.0152266 0.18816 -0.0471114 -0.0334977 -0.000500092 0.0280993 0.0371971 0.0190414 -0.0130942 -0.0351725 0.00238391 0.00324562 -0.00498055 0.00283289 0.00522939 0.00272406 0.010898 0.0140641 -0.0240304 0.0173058 0.00954338 1.88849e-06 0.00898499 0.00653785 0.00447054 0.00594039 -0.00314599 -0.00211283 -0.00408346 -0.0351056 -0.0195597 0.00417184 -0.0108004 0.00100889 0.00890002 0.0118867 0.00761994 8.09527e-10 8.09504e-10 
