* MPD
estimate_values:
process[Recruitment].b0 catchability[chatTANq].q process[instant_mort].m{male} selectivity[chatTANSel_f].mu selectivity[chatTANSel_f].sigma_l selectivity[chatTANSel_f].sigma_r selectivity[chatTANSel_m].mu selectivity[chatTANSel_m].sigma_l selectivity[chatTANSel_m].sigma_r selectivity[trwlFSel_f].mu selectivity[trwlFSel_f].sigma_l selectivity[trwlFSel_f].sigma_r selectivity[trwlFSel_m].mu selectivity[trwlFSel_m].sigma_l selectivity[trwlFSel_m].sigma_r selectivity[lineFSel].a50 selectivity[lineFSel].ato95 process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} 
133196 0.0868123 0.14632 5.58426 2.00671 25.3314 4.92313 1.50185 200 7.46917 2.38823 20.2034 7.0437 2.0943 32.0154 10.5646 3.11464 0.566281 0.796971 0.719815 0.828376 0.830193 0.734097 0.675343 0.508068 0.445231 0.496566 0.504741 0.425322 0.377135 0.44515 0.540289 0.611202 0.509674 0.515034 0.442769 0.464608 0.579995 0.773168 0.924823 0.650636 0.602512 0.575204 0.650541 0.537089 0.496586 0.479175 0.440755 0.48113 0.522755 0.435196 0.64029 0.474097 0.535281 0.686716 
covariance_matrix:
2.17068e+08 -258.906 117.811 1685.34 1040.69 -8970.29 756.201 255.432 0.0070587 1131.22 474.615 -52501.2 950.864 435.202 26366.8 -1742.82 -1191.9 411.349 376.145 286.09 274.596 32.0657 4.7629 -71.9252 -86.682 -105.947 -162.104 -192.737 -172.606 -154.335 -181.95 -210.866 -233.824 -190.032 -191.16 -150.923 -137.556 -141.934 -141.679 -117.178 -47.5108 -20.2949 15.8779 42.7905 36.4702 52.1726 56.4203 56.4121 77.9151 90.989 94.4133 177.302 169.222 379.852 513.715 
-258.906 0.000364278 -0.000190874 -0.00226238 -0.00134462 -0.0237842 -0.000994426 -0.000296455 -8.79767e-09 -0.00154632 -0.000504405 0.0504023 -0.00213882 -0.00114709 -0.0323013 0.00156824 0.00132662 -0.000669987 -0.000721112 -0.000606435 -0.000552277 -0.000326512 -0.000181758 -3.91822e-05 2.16589e-05 6.97722e-05 0.000145666 0.00018552 0.000180718 0.000166941 0.000208029 0.000241919 0.000275223 0.000226646 0.000228952 0.000178181 0.000160565 0.000161541 0.000162005 0.000138545 5.90801e-05 2.82291e-05 -6.63215e-06 -2.04813e-05 -1.03697e-05 -2.13394e-05 -1.52772e-05 -1.15192e-05 -1.57128e-05 -5.71301e-06 -1.24259e-05 -4.90118e-05 -3.48866e-05 -0.000190942 -0.000251882 
117.811 -0.000190874 0.000135986 0.00159094 0.000806031 0.0212513 0.000945331 0.000362809 4.09094e-09 0.000863832 0.000144853 -0.0148299 0.00186574 0.00104842 0.0141838 -0.000275906 -0.000530526 0.000608597 0.000699467 0.000577933 0.000488522 0.000378623 0.00025023 9.88253e-05 2.95215e-05 -4.36854e-06 -5.69467e-05 -9.8155e-05 -9.34109e-05 -9.23196e-05 -0.00012455 -0.000149944 -0.000176125 -0.000148354 -0.000151671 -0.000122283 -0.000116055 -0.000126411 -0.000142199 -0.000153453 -9.4038e-05 -7.79466e-05 -5.98437e-05 -7.0062e-05 -6.8271e-05 -6.60237e-05 -7.38771e-05 -6.71529e-05 -7.47295e-05 -8.96967e-05 -7.49876e-05 -8.22975e-05 -5.80799e-05 7.82118e-05 0.000238059 
1685.34 -0.00226238 0.00159094 0.313852 0.254651 -0.376989 0.0486715 0.0306817 3.68408e-08 -0.0104114 -0.0198254 -0.0365505 0.0194559 0.00874662 -0.894095 -0.00488184 -0.00939088 0.0111281 0.0116891 0.00206892 0.00323747 -0.00230941 0.000528572 -0.00150903 -0.0010264 -0.00161754 -0.00234002 -0.00386109 -0.00145535 -0.00181268 -0.00255889 -0.00140544 -0.00272568 -0.00236775 -0.00241567 -0.00160699 -0.0015625 -0.0017521 -0.00187879 -0.00158299 -0.0012356 -0.00108225 -2.13328e-05 0.00125299 0.000530777 0.000491568 0.000573275 0.000467576 0.00295755 0.00193903 0.00252121 0.00539679 0.00585225 0.00592489 0.00135167 
1040.69 -0.00134462 0.000806031 0.254651 0.223533 -0.381253 0.0355055 0.0253346 1.81472e-08 -0.0132788 -0.0175007 0.0111919 -0.000415286 -0.00398759 -0.885297 -0.00568028 -0.0077953 0.00763165 0.00773838 0.000214264 0.0028508 -0.00267309 0.00106581 -0.00119601 -0.000437873 -0.00072498 -0.00100639 -0.00224617 -0.000242918 -0.000718972 -0.00116544 8.65324e-05 -0.0012209 -0.00112653 -0.00100485 -0.000428934 -0.000413992 -0.000346687 -0.000120956 -0.000127552 -0.000402864 -0.000429849 0.000410259 0.00155307 0.000834656 0.00065864 0.000642984 0.000489132 0.00260038 0.00146286 0.0018733 0.00377538 0.00341778 0.0024901 -0.00354133 
-8970.29 -0.0237842 0.0212513 -0.376989 -0.381253 60.4635 -0.169763 -0.170103 -3.4353e-07 0.221107 0.0940461 18.142 0.626159 0.364812 -2.48049 0.618761 0.292562 -0.0580033 -0.0541733 -0.00468218 -0.00172438 0.0419494 0.0191571 0.0141125 0.000749786 -0.00485148 -0.00449787 0.00149321 -0.0110413 -0.00904826 -0.0099169 -0.0150622 -0.0164994 -0.0136548 -0.0113008 -0.00639115 -0.00122758 0.00236846 0.00666514 0.00637314 0.009769 0.0141797 0.0116848 0.00464551 0.00890557 0.0102601 0.0107888 0.00945429 -0.00209368 0.00121425 0.00325712 0.00185986 0.00354026 0.0120859 0.0363693 
756.201 -0.000994426 0.000945331 0.0486715 0.0355055 -0.169763 0.149929 0.118766 4.59439e-08 0.0011039 -0.00653259 -0.188579 0.0459109 0.0313927 -0.0548066 -0.000812999 -0.00256604 0.00665358 0.00763067 0.00160474 -0.00132797 -0.000753612 -0.00268496 -0.00150328 -0.000929979 -0.000814009 -0.00225078 -0.00250806 -0.00103107 -0.000910341 -0.00218966 -0.00170786 -0.00210498 -0.00183091 -0.0022709 -0.00162293 -0.00174918 -0.00234145 -0.00314512 -0.00254431 -0.0017373 -0.00188819 -0.00123807 -0.000279789 -0.000830236 -0.00041587 -0.000524891 -0.000300993 0.00113793 0.00103482 0.00053477 0.0026872 0.00250324 0.00231016 -0.00105572 
255.432 -0.000296455 0.000362809 0.0306817 0.0253346 -0.170103 0.118766 0.104486 2.88827e-08 -0.000209277 -0.00488748 -0.154964 0.0371112 0.0264932 -0.0754998 -0.000724702 -0.000486532 0.00359747 0.0040158 0.000214404 -0.00237126 -0.000928227 -0.0029836 -0.00124613 -0.000583773 -0.000292196 -0.0013091 -0.00127859 -5.66636e-05 -0.000232038 -0.00122207 -0.000663659 -0.00107427 -0.0010083 -0.00134528 -0.000837909 -0.00100465 -0.00146219 -0.00208176 -0.00149288 -0.00116921 -0.00138295 -0.000953354 -7.31311e-05 -0.000577995 -0.000222816 -0.000345254 -0.000277991 0.00107625 0.000872037 0.000349475 0.00176826 0.000941742 -0.00123143 -0.00568792 
